Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),CO2X(24),COX(50)
6.814803465219854e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,7.7232063216308797e-75,6.5569527437171768e-51,2.0714954258700838e-29,1.1247750447369561e-54,2.3607532631606346e-41,1.2180861494227681e-92,6.9296796952664221e-19,1.6572124212682686e-85,6.9296796844570902e-19,3.8617448121199807e-58,4.8800343833984781e-54,1.1529245233494268e-76,6.9664676423336789e-78,8.6430507246827502e-42,1.2169997438779309e-67,2.7482111771924732e-12,1.3213643565786238e-13,5.0932379931278024e-17,5.0932668271211766e-17,1.3707952833770586e-22,4.7341102050834639e-24,1.5593725970557925e-27,2.8728663476096298e-26,2.2678257453982955e-46,7.3429134176604769e-40,1.0751297719676991e-68,1.8322009633358693e-68,1.0205367184484735e-66
1.3629612707425081e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,2.0495943881441724e-72,8.4029942612510803e-50,1.4263968997335992e-28,1.3900682369784819e-52,1.8885946649628761e-40,6.02414895510159e-90,1.3859365285463782e-18,1.0606122578585402e-83,1.3859365242226489e-18,6.1787671747754216e-57,6.2525587815419339e-53,2.8498361085454117e-74,1.7219857865022516e-75,5.5813672703453879e-41,3.8943841713277233e-66,5.4964246823308038e-12,2.6427298332571342e-13,1.0186451948106116e-16,1.0186569067431065e-16,5.3052293097151244e-22,3.6712781395347749e-23,2.4086460969149198e-26,9.1345290994913348e-26,1.4012539139243883e-44,1.0052945097694188e-38,2.657252890822888e-66,2.4305628351642359e-66,2.5225808844435125e-64
2.7259231191835536e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,5.1304230642089918e-70,9.5566800826003921e-49,1.0076392001928234e-27,1.6758389974569475e-50,1.5108607778315857e-39,2.9076549591685715e-87,2.7718736527548698e-18,6.7878558480274215e-82,2.7718736354600505e-18,9.8859332883146321e-56,7.1085847265656449e-52,6.8721778577768751e-72,4.1524071520535658e-73,3.2107634295762001e-40,1.2461912823059101e-64,1.0992851687376669e-11,5.2854607865082511e-13,2.0372794791605775e-16,2.0373276314505356e-16,1.9919794111248941e-21,2.7668685233853653e-22,3.6282531383610782e-25,2.5683881988397822e-25,8.4448903675840158e-43,1.4171112210247206e-37,6.4060499494609294e-64,3.0413277437974269e-64,6.0829538664602254e-62
5.451846816065645e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,1.2025593740129653e-67,9.6031888831949116e-48,6.9842408351089176e-27,1.9268958734464236e-48,1.2086637996061662e-38,1.3397021910503177e-84,5.5437479258475646e-18,4.3441427020706964e-80,5.5437478566689429e-18,1.5817179284703639e-54,7.1400773410925331e-51,1.5806879815001996e-69,9.5508806916403606e-71,1.6363351118052903e-39,3.9877342539262582e-63,2.1985705676545219e-11,1.0570922692587985e-12,4.0745140218458155e-16,4.074715462725352e-16,7.088633148505088e-21,1.9821875663051676e-21,5.2104612695604929e-24,6.3674512672216714e-25,4.8530386156175321e-41,1.9668334627496442e-36,1.4726805822763951e-61,3.5634303621128509e-62,1.3991237241231484e-59
1.0903694209829827e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,2.5825926403765685e-65,8.740692238638519e-47,4.5431243502603678e-26,2.0496445964767521e-46,9.6689096671558488e-38,5.7201860815245821e-82,1.1087496570732472e-17,2.7801409307175438e-78,1.1087496294023128e-17,2.5306472121208289e-53,6.4958265791122848e-50,3.3640792509461858e-67,2.032576792716996e-68,7.5505585552968797e-39,1.2760246159532807e-61,4.397141357118959e-11,2.1141846503059054e-12,8.1488470077061276e-16,8.1497053255336763e-16,2.3146461110402953e-20,1.3087786461933497e-20,6.9187063490833469e-23,1.4316004791099467e-24,2.5792623477019231e-39,2.5711024971702875e-35,3.1313067949009934e-59,3.8248768975391163e-60,2.9775281724799322e-57
2.1807388997358194e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,4.9487455439927035e-63,7.4745754633893403e-46,2.6699897492569781e-25,1.9551661565332654e-44,7.7344851873472352e-37,2.1973283955556129e-79,2.2174994255273516e-17,1.7791483819686895e-76,2.2174993148477313e-17,4.0487100476521296e-52,5.5525146507833311e-49,6.4219946767465615e-65,3.8798746890559986e-66,3.262777470685112e-38,4.0829557500964192e-60,8.794282902570741e-11,4.2283694117248887e-12,1.6296968617762381e-15,1.6300661100185733e-15,6.7197482005664148e-20,7.7187133914395633e-20,8.2358505791672276e-22,3.0350969150481956e-24,1.228841760354315e-37,3.0479977845172681e-34,5.9679415973360045e-57,3.6625307125332982e-58,5.6835416245142165e-55
4.3614778572414927e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,8.3416128252990162e-61,6.1818069800760011e-45,1.3944176843497348e-24,1.6449140681691579e-42,6.1865596823419919e-36,7.4893641453843407e-77,4.4349991203226074e-17,1.1384733131011114e-74,4.4349986776371178e-17,6.4768940389605848e-51,4.5901539082112659e-48,1.0815112157794828e-62,6.5330051765876281e-64,1.3582482156713078e-37,1.3063390079063899e-58,1.7588565859565942e-10,8.4567389318619846e-12,3.2591034682198019e-15,3.26068289894334e-15,1.7158225422975244e-19,4.005540537480721e-19,8.6521655271576115e-21,6.2449421239967607e-24,5.1618971312277724e-36,3.2199140728141025e-33,1.0025103963952611e-54,3.0845683251783026e-56,9.5697193261565223e-53
6.542216814747166e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,5.7531718593215292e-60,1.8513830003281089e-44,3.2420892383847443e-24,9.6770268829951446e-42,1.8364613524618899e-35,5.8807608263186032e-76,6.6524989729845642e-17,6.4635669918656555e-74,6.6524980323250508e-17,2.4501508921135864e-50,1.3752918340305066e-47,7.40658967008627e-62,4.4738411406769522e-63,2.9206735583092011e-37,6.0936476935779387e-58,2.6382848682652773e-10,1.2685108449298212e-11,4.8882923881887375e-15,4.8917399417597618e-15,2.8151388204970191e-19,9.258499277250482e-19,2.6746581655591254e-20,9.4549354957089452e-24,2.5508735754073265e-35,9.99769688376758e-33,6.9093529290041323e-54,1.8298112413490779e-55,6.5533358340382613e-52
1.0903694729758513e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,3.4030291845556478e-58,8.7557209231200223e-44,9.877026110868273e-24,2.7165286990396131e-40,8.5995970693824795e-35,5.3012442561378439e-74,1.1087499309597229e-16,1.7370280484392579e-72,1.1087496709298319e-16,1.9330922426369743e-49,6.5025157849915578e-47,3.6266056110428812e-60,2.1897377698408927e-61,8.1673842476787816e-37,8.1634377149609028e-57,4.3971413793193004e-10,2.1141847473367193e-11,8.1457997149261516e-15,8.1556633072226147e-15,5.0589412028516568e-19,2.7705585551239341e-18,1.3503544671937117e-19,1.5874939964143952e-23,4.1599718127302323e-34,5.1294727164895228e-32,4.0771219599159544e-52,6.2224188946897083e-54,3.207358435167722e-50
1.4699188505085826e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257870157,0.11866996543717888,0.022821567678803705,1.7123335167726591e-57,1.9678492267301723e-43,1.7874818797476334e-23,1.0588220895462898e-39,1.9269776677217433e-34,2.4921472340246836e-73,1.4946975059287801e-16,7.0712501675241596e-72,1.494697051463312e-16,5.2018101029447519e-49,1.4615713855516122e-46,1.544964831523029e-59,9.326729586063428e-61,1.4332411028816022e-36,2.5611237353766903e-56,5.9277529961653431e-10,2.8501164868839152e-11,1.0979928019307635e-14,1.0997416253590518e-14,7.0190516688089557e-19,4.9575181679296393e-18,3.0297141029503374e-19,2.1461830144912161e-23,1.4471742184004386e-33,1.1605177686497908e-31,2.0512636242626279e-51,2.8978574319263e-53,1.3660942363124631e-49
