Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),COX(50),CO2X(24),CHOX(53)
5.869212630989052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,1.2517680937747184e-73,1.3051188208849117e-48,1.7167414641071895e-24,5.3095186735498226e-53,8.2903458499777773e-37,3.9403510469274604e-85,5.1800455843699074e-14,9.4238782992861901e-72,5.1800455837514177e-14,5.9413477553329161e-49,1.4866341740840824e-51,5.5715159567670608e-71,6.4601588287436196e-72,4.3319748039630529e-38,1.3400109924364114e-56,2.8289650988088896e-12,8.3760628588712721e-14,3.3532340714261975e-16,5.1631663807475607e-26,3.3532037553508112e-16,1.4954752349896567e-21,1.2582276626158192e-23,4.3132324437686211e-27,2.4055988821389994e-46,6.5969044460216276e-35,1.0518241427247234e-63,1.9270516471725089e-25,9.8119564073663254e-65,1.0988589702871056e-66,3.2975759875762482e-67
1.1738430237375515e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,5.4962692943340413e-71,2.0730087317246064e-47,6.8709165135724362e-24,5.9462576593071454e-51,6.6322831734646409e-36,1.7641328088563772e-82,1.0360095559994867e-13,6.0312910109009146e-70,1.0360095557520904e-13,9.5061661763435165e-48,2.3605492429476189e-50,1.2474517640696915e-68,1.4464169311668945e-69,3.4402150669963971e-37,4.2880393989195124e-55,5.6579325944198648e-12,1.6752132818050497e-13,6.7065019594746644e-16,2.0490665259992586e-25,6.7063801995597372e-16,5.9323143477287012e-21,9.9853016117694106e-23,6.0522868262000628e-26,1.3480903844611984e-44,5.280360401110954e-34,6.731680936668568e-62,7.7082071603352858e-25,2.1968765765284618e-62,2.4128522293059837e-64,7.3888401454691823e-65
2.3476865450148443e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,2.4862824744768243e-68,3.2692449494887238e-46,2.7514522623024544e-23,6.9933267939499551e-49,5.3058290571871923e-35,8.296436036468144e-80,2.0720195511461609e-13,3.8600289101344857e-68,2.0720195501565761e-13,1.5209872963721554e-46,3.7202960384700979e-49,2.9335984186621533e-66,3.4014981170702577e-67,2.7124366232220243e-36,1.3721730567436211e-53,1.1315867581611683e-11,3.350427273588632e-13,1.3413133544318218e-15,8.0694669074384244e-25,1.3412642628264382e-15,2.3341616674912032e-20,7.8622564192245713e-22,8.9091852400628233e-25,7.9307805643801645e-43,4.2287221806458835e-33,4.3082768309933591e-60,3.0832803810048123e-24,5.1663269940704207e-60,5.457733088227172e-62,1.7383061161662284e-62
4.69537358756943e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,1.1059605588560691e-65,5.084774946082829e-45,1.1029391110189492e-22,8.3760648785319605e-47,4.244664126756579e-34,3.9742718204820719e-77,4.1440395415262357e-13,2.4704191184041556e-66,4.1440395375679039e-13,2.4335800062668766e-45,5.7788967595782425e-48,7.0267329211458369e-64,8.1474685412074591e-65,2.1089678328346732e-35,4.3909530498214248e-52,2.2631737539874796e-11,6.7008552569473545e-13,2.6826799005554563e-15,3.1306259871656687e-24,2.6824805656586638e-15,9.0403203244448022e-20,6.0969121715872738e-21,1.3345050385311491e-23,4.7501728544231859e-41,3.3897646531355833e-32,2.7572961913246641e-58,1.2333095778168154e-23,1.2374661742695055e-57,1.2138224683857869e-59,4.1642949687876475e-60
9.390747672678601e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,4.590274849422741e-63,7.7045071818169574e-44,4.4290314561180514e-22,9.9353842774878818e-45,3.395731451648581e-33,1.8857725353797577e-74,8.2880795226332681e-13,1.5810681303851019e-64,8.288079506799978e-13,3.8937275254474969e-44,8.7346332102971365e-47,1.6670409097149101e-61,1.9329243195486019e-62,1.5971719159570401e-34,1.4051039306763198e-50,4.5263477391918941e-11,1.340171122283555e-12,5.3655876030106176e-15,1.1807498383392159e-23,5.3647684475015908e-15,3.3990320725934823e-19,4.5940931514050155e-20,1.9783174569425355e-22,2.8170102134358357e-39,2.7217842908008676e-31,1.7646675711276876e-56,4.9332165385448529e-23,2.9357797547981045e-55,2.5185699701052819e-57,9.8778026333758963e-58
1.8781495842896944e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,1.6735757178149119e-60,1.1141468887340576e-42,1.7833268003298964e-21,1.1325252124717025e-42,2.7165848980145435e-32,8.6005400934433849e-72,1.6576159486234649e-12,1.0118831825637698e-62,1.6576159422901818e-12,6.2299612524131352e-43,1.2572889747124839e-45,3.8011512428212852e-59,4.4073996982262317e-60,1.1540310074394128e-33,4.4963249654541952e-49,9.0526956838078856e-11,2.6803423151324284e-12,1.0732190951589853e-14,4.2342537812017506e-23,1.0728765378400743e-14,1.2123828352527419e-18,3.288736215669086e-19,2.8162786020893283e-21,1.6049877333274946e-37,2.191029071411887e-30,1.1293844610551397e-54,1.9732689622268534e-22,6.6940200909373136e-53,4.5897128584203215e-55,2.2510819879979727e-55
3.756299218333363e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,5.0520256870646714e-58,1.4933440456627474e-41,7.2030681998059418e-21,1.1974429758793011e-40,2.1732672958179982e-31,3.6393144543134476e-69,3.3152319418985039e-12,6.4760460664585964e-61,3.315231916565634e-12,9.9679280919284374e-42,1.6715466275647529e-44,8.0408836848058685e-57,9.3232742789870561e-58,7.7245645096342174e-33,1.4388189692607546e-47,1.8105391469868517e-10,5.3606846995313675e-12,2.1469047184794283e-14,1.3988561382093528e-22,2.1454444408939543e-14,3.9725427623717847e-18,2.1658328140571809e-18,3.71539553810324e-20,8.4790738071587729e-36,1.7691958241793419e-29,7.2280241564580465e-53,7.8929341564749503e-22,1.4160054946239376e-50,6.9235280136051916e-53,4.7563431654278235e-53
5.446633888972665e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652963648,0.11866996576259894,0.02282156768916779,3.7386673058767949e-57,4.5185475915624617e-41,1.431251282867015e-20,6.3388816851761167e-40,5.7663588958558748e-31,2.198515174251214e-68,4.8070863362942398e-12,3.3796597005885528e-60,4.8070862861882371e-12,3.2175203143523177e-41,5.2584556830451327e-44,4.5879038688130166e-56,5.3195774175968183e-57,1.8223394064806548e-32,5.4497494064176861e-47,2.6252817593985798e-10,7.772992844449728e-12,3.1135425534913652e-14,2.4875244125612816e-22,3.1105686075900549e-14,7.0337124261284678e-18,5.0709261982438032e-18,1.0911825600875836e-19,4.0826403480232871e-35,4.5332392213489378e-29,3.1121104378174274e-52,1.5611339127088572e-21,8.0792800146343657e-50,4.8625969072769182e-52,3.4438577440532515e-52
7.136968559611967e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072764457306,0.11866996567962317,0.022821567687961637,1.5866058551937123e-56,1.0461539551059285e-40,2.3799851114928899e-20,2.3324374677111689e-39,1.2080748139260529e-30,1.0741042020215317e-67,6.2989407311618326e-12,1.1187916826380643e-59,6.2989406481630017e-12,8.0834764131600334e-41,1.2351672012994871e-43,1.9573400567571957e-55,2.2694918934484715e-56,3.43087405421588e-32,1.6141840262315339e-46,3.4400243629892248e-10,1.0185300988272874e-11,4.0805420275588295e-14,3.7298511580963275e-22,4.0754949391735996e-14,1.0507907404031873e-17,9.474276284689385e-18,2.4863414871709452e-19,1.2720806325530144e-34,9.2668358428422607e-29,1.0722399605143386e-51,2.5860176826906352e-21,3.4468443656357299e-49,1.7384587034252168e-51,1.3654884537082569e-51
8.827303230251268e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727636182472,0.11866996559664741,0.022821567686755483,5.5301346324416476e-56,2.024893554673756e-40,3.5542145986609454e-20,6.7733629383967346e-39,2.1697322242052447e-30,3.7752246375467179e-67,7.7907951264773227e-12,3.1639214463400159e-59,7.7907950029135884e-12,1.6740789904183982e-40,2.4324216267977297e-43,6.2635605738607227e-55,7.2624386668111256e-56,5.6088936750047126e-32,3.8035318435953323e-46,4.2547669582474242e-10,1.2597609131066144e-11,5.0478962054369317e-14,5.0777759773488327e-22,5.0402344301280412e-14,1.426156171485628e-17,1.5382096882292281e-17,4.7308239341961714e-19,3.350959400757813e-34,1.6289312484953092e-28,2.8432226809704474e-51,3.8499210104091389e-21,1.1029951066963601e-48,5.6675225919798933e-51,4.6445694737577486e-51
