Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),CO2X(24),CHOX(53),COX(50)
6.9142949098972176e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,6.3976393456532266e-74,1.5167027964293611e-42,2.1555739567378482e-29,1.244267962913949e-54,2.4656659483417926e-41,1.3871315438834398e-92,7.0308459436634871e-19,1.8077795666474709e-85,7.0308459325362343e-19,4.0922473900382027e-58,1.6196819789440021e-50,1.2940277695166468e-76,7.8190766007497561e-78,2.7992084621339584e-38,1.3084691350856139e-67,2.7883331706739879e-12,1.3406553676033216e-13,5.1675955556683731e-17,5.1676252436258053e-17,1.4104233328839521e-22,4.9422175726593984e-24,1.6514697245232221e-27,3.9440464221760758e-26,2.472655473669532e-46,7.7512523588843932e-40,7.8848703794350142e-37,1.4981740722489499e-67,1.2067117940172881e-68,1.1454376964471694e-66
1.3828595681119822e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,3.1618160493631856e-71,2.4264148001077527e-41,1.4857564548397184e-28,1.5373749403531869e-52,1.9725243103711973e-40,6.8585724675780721e-90,1.4061697868622483e-18,1.1569748112300982e-83,1.406169782411351e-18,6.547569354905406e-57,2.5911366635028031e-49,3.1978527017190438e-74,1.932271850688475e-75,2.2390756086717697e-37,4.1870847925938946e-66,5.5766687032544157e-12,2.6813118716582526e-13,1.0335166302236899e-16,1.0335286911731403e-16,5.4560827503810306e-22,3.8309991754270743e-23,2.5500156067743959e-26,1.5773985464464049e-25,1.5274444065597653e-44,1.0623282575137563e-38,6.3070640227168503e-36,3.7020359851420584e-65,2.9817444311009931e-66,2.8306342115963334e-64
2.7657197223565033e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,1.5238425024422608e-68,3.8812684661128731e-40,1.049636238134926e-27,1.8524531831396659e-50,1.5780035901832271e-39,3.3087022972582314e-87,2.8123401782045083e-18,7.4045694233983318e-82,2.8123401604010201e-18,1.0476009616165101e-55,4.1446776315425242e-48,7.7073453623172834e-72,4.6570445564523773e-73,1.7907928135891473e-36,1.3398544117018734e-64,1.1153339763030628e-11,5.362624879657143e-13,2.0670220226998464e-16,2.0670716244507507e-16,2.0468870588493292e-21,2.8849360477481727e-22,3.8383764491664841e-25,6.3078286808935166e-25,9.2005290273085167e-43,1.4977102433621505e-37,5.044314461834213e-35,8.9205517168002987e-63,7.1845277356216469e-64,6.8222080235610539e-62
5.531440030845545e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,7.0015284867419005e-66,6.2068435396281084e-39,7.2689583595735041e-27,2.1280779147044176e-48,1.2623765633237303e-38,1.523168496295237e-84,5.6246809862904863e-18,4.7388302835410633e-80,5.6246809150772167e-18,1.6761277746378201e-54,6.6278300853938379e-47,1.7712169575671557e-69,1.0702098484570859e-70,1.4318857446425583e-35,4.2874491778035841e-63,2.2306681861044497e-11,1.0725250895211048e-12,4.1339977808961985e-16,4.1342053652844495e-16,7.2735141688099304e-21,2.0639498161403022e-21,5.5050342524385806e-24,2.5217189732392881e-24,5.2825715598564761e-41,2.0770275245492814e-36,4.0333121385440314e-34,2.0491337320800733e-60,1.6501723601667967e-61,1.5677672527576151e-59
1.106288064782363e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,2.9749600986117382e-63,9.9207667021051346e-38,4.7199247493190186e-26,2.2609945182214451e-46,1.0098587840326863e-37,6.4962290162203312e-82,1.1249362704064773e-17,3.0327291861642041e-78,1.124936241921708e-17,2.6816953342669957e-53,1.0592785443921727e-45,3.7651688347470751e-67,2.2749134146159303e-68,1.1443124829369045e-34,1.3719288147378382e-61,4.4613365970917977e-11,2.1450502924543464e-12,8.2678091950122694e-16,8.2686939735496878e-16,2.3698686019698209e-20,1.3599516216469726e-20,7.2953062318797898e-23,1.007559119857651e-23,2.8042542567398375e-39,2.7105387944828228e-35,3.2232309150500695e-33,4.3526277664897467e-58,3.5045800272647945e-59,3.3325270085426082e-57
2.2125761881779797e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,1.1337559511918161e-60,1.5840735944793283e-36,2.7672414620711163e-25,2.1548086342990512e-44,8.0781893678075338e-37,2.4933705741073799e-79,2.249872654599467e-17,1.9407897201293733e-76,2.2498725406646938e-17,4.2903625760796347e-52,1.6911086709745973e-44,7.1811241830238464e-65,4.338497848016762e-66,9.1354186980093429e-34,4.3898198342384896e-60,8.9226733846047949e-11,4.290100697610724e-12,1.6534871652134996e-15,1.6538678119267859e-15,6.8616395765600358e-20,7.9996224505408914e-20,8.6621718963485597e-22,4.0212364721119003e-23,1.3348195247396427e-37,3.2058258414622501e-34,2.5731308564909976e-32,8.2916735921145302e-56,6.6732313320624038e-57,6.355365194409538e-55
4.425152434969213e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,3.8161476490023052e-58,2.5241822094096037e-35,1.4417120114777229e-24,1.8139714643346631e-42,6.4614616418515318e-36,8.5048423471552721e-77,4.499745585515579e-17,1.2419043727112365e-74,4.4997451298109453e-17,6.8634597679534198e-51,2.6938895652905616e-43,1.2100771215558029e-62,7.3095940363944894e-64,7.2779886280926747e-33,1.4045167232729988e-58,1.7845346821783985e-10,8.5802015050835235e-12,3.306675538585344e-15,3.3083033061927663e-15,1.7475748531654098e-19,4.1403516501308318e-19,9.0763990290894034e-21,1.6013393365166106e-22,5.6105506011732569e-36,3.3785706381663328e-33,2.0498309564934173e-31,1.3949758437262777e-53,1.1216568412329117e-54,1.0707276394501799e-52
6.637728681760446e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,3.0059317227717514e-57,9.272457461433206e-35,3.3488331909748203e-24,1.0676827649605451e-41,1.9180625135416301e-35,6.6808856246190417e-76,6.7496186789394832e-17,7.050780831265609e-74,6.7496177106174762e-17,2.5963823039259482e-50,1.0250087324071744e-42,8.2905596607136773e-62,5.0077665796600125e-63,2.0760883859572708e-32,6.5516086855779898e-58,2.6768020121116376e-10,1.2870302309716369e-11,4.9596398242904191e-15,4.9631923304093309e-15,2.8639991190772844e-19,9.5597157811931465e-19,2.8032232148742049e-20,3.3923907821017797e-22,2.7742052327195738e-35,1.0481716962887696e-32,5.8470542520191052e-31,9.6216596266810558e-53,7.7337250192603501e-54,7.3354276778828256e-52
8.85030492855168e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756282591943,0.1186699656730517,0.022821567684474083,1.528951674346265e-56,2.3475341996690223e-34,6.0102547556597238e-24,4.0521079436892444e-41,4.1789321536618419e-35,3.1640335782598445e-75,8.9994919348487332e-17,2.711427999604372e-73,8.9994902830847587e-17,6.7578275780721531e-50,2.751918204206437e-42,3.5164929049764773e-61,2.1239258640929165e-62,4.3696135060055948e-32,1.9948387718135381e-57,3.5690693282601974e-10,1.7160403111510191e-11,6.6123800527126248e-15,6.6185425896798581e-15,3.9989161904555654e-19,1.7053148904550358e-18,6.1845963682743261e-20,5.7706696863788808e-22,9.3416927687274892e-35,2.3229953296383216e-32,1.2306097089091891e-30,4.5035899230941272e-52,3.6195573995061021e-53,3.1111211275350464e-51
1.3275457422134147e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756263887916,0.11866996549459488,0.022821567680183983,2.0699672399270549e-55,8.1849869307731428e-34,1.3113701752020093e-23,2.7951797827424705e-40,1.2127598437892003e-34,3.1186881120433014e-74,1.3499238827940876e-16,2.063284046875992e-72,1.3499235408448732e-16,2.4796153284391907e-49,1.107846026147717e-41,2.8374670236048283e-60,1.7133074977570744e-61,1.1891952265486248e-31,9.0873069062207315e-57,5.3536039282055187e-10,2.57406047084369e-11,9.9173347550662766e-15,9.9303410981813586e-15,6.2805293398349653e-19,3.681318105085015e-18,1.7686672411157123e-19,1.1891259742566339e-21,5.4547752090736498e-34,6.6967025482882488e-32,3.3489385377278492e-30,5.5681467389573963e-51,4.4758657801148875e-52,2.5096124193886365e-50
