Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),H2OX(35),COX(37),CX(24),CO2X(34),HOCXO(25)
1.1087777181497283e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039679685,0.099999999997151381,0.099999999999822939,4.8250423823158406e-79,1.0547557950830935e-49,1.946779199849728e-40,1.1318487420040417e-65,4.8578676635778733e-38,1.9215209358759463e-76,8.6689283212536082e-31,0.0,8.0064156883245759e-37,1.7567764290766305e-81,1.4492451672574611e-52,7.1708874710248005e-65,6.2491103536623725e-73,5.7189077088101421e-47,3.6112504148214108e-117,2.8482715408635765e-12,3.541539462774316e-13,3.5563915212637738e-16,3.5564034781029522e-16,5.9530746041381776e-22,1.6914024497316313e-24,5.1999668893721506e-27,8.3425763626760799e-51,1.5788346698147204e-48,9.5669158936624721e-53,1.4632108628311829e-60,1.2246735807690012e-76,7.8873400607838638e-40,4.1568596760258038e-90,8.3110323754161873e-80
2.217556376222771e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039359372,0.099999999994302757,0.099999999999645858,1.2319621646604507e-76,1.6876136952586803e-48,1.5574298201419316e-39,1.4449626990783545e-63,3.8862857964987739e-37,2.453043261438713e-74,3.4675685436635344e-30,0.0,3.2025729555883864e-36,1.1286058626035608e-79,2.3187907488236187e-51,4.5772712899576311e-63,7.9776838278904413e-71,4.5751288585754336e-46,4.5560650510820402e-115,5.6965451936437281e-12,7.083081927586089e-13,7.1127741171789546e-16,7.1128220117967127e-16,2.3744980174707785e-21,1.3495516169022265e-23,2.0799877362396103e-26,1.3348175578471395e-49,5.0388484127530283e-47,6.1066875794919537e-51,4.6822869349985119e-59,3.1269491090143786e-74,1.2587519616614568e-38,2.1227199789031836e-87,2.1247977328375643e-77
4.4351136923688564e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038718743,0.099999999988605495,0.099999999999291697,3.1373073549449226e-74,2.7001915054006977e-47,1.2459524074168665e-38,1.8398846657134427e-61,3.1090106900944549e-36,3.1233644588054633e-72,1.3870238668349533e-29,0.0,1.2810333335474746e-35,7.2234451918740519e-78,3.7100540682902358e-50,2.91408123705638e-61,1.0157605645491848e-68,3.6601033213283734e-45,5.8469108918598036e-113,1.1393091591418294e-11,1.4166166856713759e-12,1.4225503488775505e-15,1.4225695600908271e-15,9.4445525739923096e-21,1.0739710866332387e-22,8.3199508551855119e-26,2.1357218886000455e-48,1.6039031892704251e-45,3.8877712437090485e-49,1.4983369850988322e-57,7.9632289686003262e-72,2.0037662592391625e-37,1.0811466585564663e-84,5.4107691054654977e-75
8.870228324661028e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503743749,0.099999999977210985,0.099999999998583389,7.9481974145829683e-72,4.3203338792942236e-46,9.9677506736909993e-38,2.3306699746999929e-59,2.4871779922189273e-35,3.9562159828487441e-70,5.5480644170001457e-29,0.0,5.1241645537867256e-35,4.622927249410496e-76,5.9360458466178445e-49,1.8456274170808278e-59,1.2865977025488065e-66,2.9280814043222681e-44,7.5653289043142052e-111,2.2786180755825626e-11,2.8332336712985624e-12,2.8450818952476492e-15,2.8451591603256891e-15,3.7357343900204777e-20,8.502409979575839e-22,3.3279786846495798e-25,3.41719710229304e-47,5.0787225888534128e-44,2.4623119998556733e-47,4.7947076822150367e-56,2.0175215345422329e-69,3.1737527089307473e-36,5.4781077698721029e-82,1.3706598092350649e-72
1.33053429569532e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036156234,0.099999999965816475,0.09999999999787508,6.0024465599105158e-71,1.6471304824725347e-45,2.9591981806226797e-37,1.5246597795117687e-58,7.3837575761462647e-35,2.6107203985816156e-69,1.1789590537188522e-28,0.0,1.0888895382419091e-34,2.3252258369401996e-75,2.2631122843823651e-48,1.0309340550789686e-58,8.4903184091596492e-66,8.3724802278218698e-44,1.0121832729833422e-109,3.4179266289092317e-11,4.2498506567274002e-12,4.2675991138128885e-15,4.2677639112802288e-15,7.8774148313891804e-20,2.4166503996495336e-21,7.0719518412341893e-25,1.2928027411305973e-46,2.3663731385090147e-43,1.375402896252948e-46,2.2503322781936847e-55,1.5163495206761556e-68,1.1625015958114937e-35,4.6766907418956063e-81,8.4171921300561434e-72
1.7740457589245372e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034874978,0.099999999954421964,0.099999999997166772,3.0140628746849264e-70,4.4317438613978209e-45,6.4479886648334956e-37,6.2227508988976221e-58,1.6088698142502733e-34,1.1751014511383309e-68,2.0111581272406397e-28,0.0,1.8575246639118997e-34,1.0121729363078404e-74,6.0890441550459421e-48,3.7499606661348057e-58,3.8215123360187308e-65,1.7659980479258371e-43,4.9768673681746784e-109,4.5572348191219525e-11,5.6664676419578904e-12,5.6901020047175376e-15,5.6903840761714711e-15,1.3343153497708528e-19,5.0699118480868684e-21,1.2063913140137069e-24,3.365178692368896e-46,7.6021380140538983e-43,5.002945373177399e-46,7.0149846441537185e-55,6.8817509062794662e-68,2.935499447798271e-35,2.5409409424737087e-80,5.1049558266990969e-71
2.661068685382971e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503231247,0.099999999931632971,0.099999999995750155,4.1029036228133962e-69,1.7925125903123333e-44,1.8716835956642589e-36,4.7182118101693208e-57,4.6699799033793556e-34,1.3471655514312082e-67,4.163822081651286e-28,0.0,3.845794059064602e-34,9.7634876934851753e-74,2.462792010565296e-47,2.4230215957150975e-57,4.3809500329705753e-64,4.8234859691754726e-43,1.8194699610951321e-108,6.835850347341549e-11,8.4997016119533563e-12,8.5350741608322255e-15,8.5356613778569214e-15,2.730240145228204e-19,1.3723891986563755e-20,2.4976783174275675e-24,1.2349889944201204e-45,4.146259891175192e-42,3.2326324884666677e-45,3.4563891237789567e-54,6.074796639095092e-67,1.0190488819864289e-34,3.7887834541923087e-79,1.0914703996209813e-69
3.5480916118414056e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575029749961,0.099999999908843965,0.099999999994333538,2.0088678234433519e-68,4.8554582637433947e-44,4.0932195253878546e-36,1.9339538423353911e-56,1.021258457622113e-33,6.0360593797324074e-67,7.081529669019471e-28,0.0,6.5407296165018765e-34,3.9893909293549778e-73,6.670977097403697e-47,8.8643163446464731e-57,1.9628866439094337e-63,1.0092341543223093e-42,1.1335132361148243e-107,9.1144645402626099e-11,1.1332935581219429e-11,1.1379993630227641e-14,1.1380997474371225e-14,4.5919215645295802e-19,2.8488096848843007e-20,4.2478939090891353e-24,3.2024531558382688e-45,1.3232583155741756e-41,1.1826174827609139e-44,1.0845308274185549e-53,2.7484028943396515e-66,2.5309756236189852e-34,2.0927830053670472e-78,5.8720320454026036e-69
4.43511453829984e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575027187458,0.099999999886054985,0.099999999992916921,7.9658048807635568e-68,1.0907719466967564e-43,7.6795511037244678e-36,6.317937241861132e-56,1.9159939313345449e-33,2.1404655218227657e-66,1.0818912856949101e-27,0.0,9.9928221691880636e-34,1.2995464314931157e-72,1.4986026961268559e-46,2.5976460246146376e-56,6.9605361970892505e-63,1.83727136222235e-42,4.7343222290807548e-107,1.1393077302507446e-10,1.4166169549704004e-11,1.422485665053125e-14,1.4226398211879294e-14,6.9361433074881856e-19,5.1446469545791113e-20,6.4898177621379444e-24,7.0021659904838914e-45,3.4368190818446764e-41,3.4656046592587957e-44,2.7880451333939205e-53,9.8902668051138421e-66,5.3370324949634356e-34,8.975290824364001e-78,2.5263204053222785e-68
6.209160391216708e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575022062452,0.099999999840477083,0.099999999990083688,1.8101194199231335e-66,4.2299599154481405e-43,2.1013470977810239e-35,7.9417853693822598e-55,5.2423288484171572e-33,2.990658453745333e-65,2.0804098375004933e-27,0.0,1.9216142575744267e-33,1.129134218581332e-71,5.8112665855505548e-46,2.1297020153218732e-55,9.7247638583455752e-62,4.8509320464097104e-42,3.542064000861153e-106,1.5950298445106914e-10,1.9832637484279579e-11,1.9914409804595782e-14,1.9917408145431492e-14,1.2997635550016987e-18,1.3294215114303211e-19,1.2479670142951027e-23,2.6934399477729737e-44,1.8782457754107683e-40,2.8413052260403148e-43,1.5729401547660568e-52,1.9558694290350332e-64,1.9174006469592583e-33,3.4387263721125041e-76,5.3819671971468267e-67
