Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CO2X(24),CHOX(53)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,1.4407989992815548e-73,2.1131030166943585e-42,1.7644428211312899e-24,5.8245114899840029e-53,8.6381647612247563e-37,4.4425498373721394e-85,5.2514978643075095e-14,1.0231218005910754e-71,5.2514978636718391e-14,6.2760070011170614e-49,3.6451394720917752e-49,6.1961685060182149e-71,7.1844418799756336e-72,1.0470039345085114e-35,1.4350149269188782e-56,2.8679871504166266e-12,8.4916002182261989e-14,3.3994879757021148e-16,5.3486475635168085e-26,1.9805808442506384e-25,3.3994568157483179e-16,1.5368391027230307e-21,1.3108704684588634e-23,4.5412936012191639e-27,2.603072286132405e-46,6.8737268187140485e-35,1.1419334744726644e-63,1.0621410150930648e-36,1.0912027372717797e-64,1.2476271531296368e-66,3.6673540967323463e-67
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,6.4640140783489484e-71,3.380854091337983e-41,7.0618863079782535e-24,6.5315012525285583e-51,6.9105385739480817e-36,1.9915718763967226e-82,1.0503000180442975e-13,6.5479891826643874e-70,1.0503000177900293e-13,1.0041621515342628e-47,5.8320100765415669e-48,1.389121157642294e-68,1.6106821997512009e-69,8.3757639998549919e-35,4.5920522816998996e-55,5.7359767306774536e-12,1.6983207634697566e-13,6.7990106780103659e-16,2.139385482617102e-25,7.9223239031535578e-25,6.7988855219665217e-16,6.0957059598490465e-21,1.040193495293086e-22,6.3803989164850266e-26,1.4606419735165588e-44,5.5019771046062381e-34,7.3083811941581793e-62,8.4968398630694501e-36,2.4463692755376941e-62,2.7992167556442868e-64,8.2280616753758862e-65
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,3.0432374484777615e-68,5.4090057779819996e-40,2.8279675854621825e-23,7.6866963210615066e-49,5.5284334817200041e-35,9.3722713827131259e-80,2.1006004812936762e-13,4.1907159645281222e-68,2.100600480276603e-13,1.606660189077124e-46,9.3305184463303674e-47,3.2689249547559371e-66,3.7903081391035175e-67,6.7001758235192853e-34,1.4694572066096408e-53,1.1471955887057029e-11,3.3966422467101411e-13,1.3598154623074516e-15,8.5569454852787568e-25,3.1689269600578444e-24,1.3597649961954397e-15,2.3979175905342087e-20,8.1885484453588046e-22,9.398046985416009e-25,8.5985392826326082e-43,4.4062623930410602e-33,4.6773650637125234e-60,6.7970031595628431e-35,5.7568665193460396e-60,6.5900048500784593e-62,1.9370133398947979e-62
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,1.4581974150517536e-65,8.6532498483640164e-39,1.1336411285819757e-22,9.2075523286503488e-47,4.4227477009239102e-34,4.4901479930790476e-77,4.2012014078815674e-13,2.6820588812632997e-66,4.2012014038132817e-13,2.5706566487446755e-45,1.4926512930275449e-45,7.8308160799058876e-64,9.0797995392281198e-65,5.3594412066741847e-33,4.7022622489482432e-52,2.2943914183247862e-11,6.793285212975362e-13,2.7196856497372918e-15,3.4222994998137562e-24,1.2675680986432464e-23,2.7194806962311871e-15,9.2832944347320711e-20,6.3473251944297838e-21,1.4078199950811189e-23,5.1506776553137073e-41,3.5321705043232381e-32,2.9935125500960014e-58,5.4368496766690514e-34,1.3790717963649595e-57,1.5788917571863681e-59,4.6408226142914813e-60
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,6.9156255184953498e-63,1.3841486953685501e-37,4.552521598817498e-22,1.0917177388567417e-44,3.5381983134122886e-33,2.1296850269818141e-74,8.4024032614138671e-13,1.7165175635464323e-64,8.4024032451407657e-13,4.1130501115422006e-44,2.3875107981276527e-44,1.8570446105369074e-61,2.1532324254512717e-62,4.286433072109195e-32,1.504722782008783e-50,4.5887830709356267e-11,1.3586571144643628e-12,5.4396058450831941e-15,1.3685366684941148e-23,5.0702497028284981e-23,5.4387633525965296e-15,3.48764972434294e-19,4.7791451241932517e-20,2.085974573029502e-22,3.0532543887908946e-39,2.8362465507509645e-31,1.9158458366498639e-56,4.348274429309923e-33,3.270389474440012e-55,3.7439334387674534e-57,1.1003574397137628e-57
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.022821567691695629,3.1497982198363367e-60,2.2134503774091547e-36,1.8331610443176254e-21,1.2432071734183608e-42,2.830558370182706e-32,9.7033893468515448e-72,1.6804806969904319e-12,1.0985707760002608e-62,1.6804806904812255e-12,6.5808771864720974e-43,3.8176793195410217e-43,4.2302137854350785e-59,4.904893340310828e-60,3.4273555053467198e-31,4.8151046329985364e-49,9.1775663496480062e-11,2.7173143004531673e-12,1.0880258273454666e-14,5.4710833747678353e-23,2.0280814862008754e-22,1.0876733755623966e-14,1.2423221074271672e-18,3.4167269314522526e-19,2.9661448170994573e-21,1.7378565533358906e-37,2.2833044870480993e-30,1.2261382695714411e-54,3.4766920297322366e-32,7.4496184531947498e-53,8.5253361781045753e-55,2.5051403551131328e-55
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661097042,0.11866996584303129,0.022821567690336973,1.3297650551364276e-57,3.5377259237758303e-35,7.404783614762772e-21,1.3123791908133905e-40,2.2644460375239203e-31,4.0994756497411733e-69,3.3609614392586901e-12,7.0308460256447493e-61,3.3609614132221378e-12,1.0529392878903841e-41,6.1008166949077628e-42,8.9343145150042265e-57,1.0359191128747361e-57,2.7390230198645325e-30,1.5408280321178737e-47,1.8355132801035547e-10,5.4346286710515397e-12,2.1765325078283181e-14,2.1859864202586204e-22,8.1121783055878743e-22,2.1750295443722637e-14,4.0623937097972336e-18,2.245599315601606e-18,3.905740359832741e-20,9.1663554557242532e-36,1.8438126887027061e-29,7.8472448643185577e-53,2.7782741013948255e-31,1.5733382473372475e-50,1.799278322517749e-52,5.2846704700167524e-53
5.521763422682567e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652590713,0.11866996575891096,0.02282156768911418,1.0064476141724811e-56,1.1109029794779533e-34,1.471357472573426e-20,6.9442676301505866e-40,6.0082846433785665e-31,2.4757127296895717e-68,4.8733941077605387e-12,3.6691936123895196e-60,4.8733940562629516e-12,3.3987539827806824e-41,2.0889400481280066e-41,5.0957691336103845e-56,5.9084351174915684e-57,6.9898713433823954e-30,5.8361244311080961e-47,2.661494252163211e-10,7.880211603476114e-12,3.1565191197826208e-14,4.3208691363583961e-22,1.6044977167672761e-21,3.1534579589559831e-14,7.1851759209943388e-18,5.2531630783819124e-18,1.1463378295527326e-19,4.4112757755703535e-35,4.724504292098757e-29,3.3787231130259554e-52,7.089830294255174e-31,8.9736217587617544e-50,1.3019470362253425e-51,3.8247180252338563e-52
7.235414155720689e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727644084384,0.11866996567479064,0.022821567687891387,4.6730240196144285e-56,2.7228483987161326e-34,2.4466933467239865e-20,2.5544490944574974e-39,1.2587592044771657e-30,1.2091895773632489e-67,6.3858267767497615e-12,1.2146380535766237e-59,6.3858266914434868e-12,8.5387953461639922e-41,5.2331295840850829e-41,2.1733863386043794e-55,2.5199921064052294e-56,1.4234656161619905e-29,1.7286260262428369e-46,3.4874752151567553e-10,1.0325794534721562e-11,4.1368783279665551e-14,7.1528442982994851e-22,2.6578494150057687e-21,4.1316830453728966e-14,1.0724628097572866e-17,9.8070154927620298e-18,2.6102916770483125e-19,1.3740743290792687e-34,9.6579036668211641e-29,1.16409810145628e-51,1.4437758801764355e-30,3.8272950778233584e-49,5.1628789483541817e-51,1.5161411203784996e-51
8.94906488875881e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727635578055,0.11866996559067032,0.022821567686668594,1.7073346686371213e-55,5.5210022810331117e-34,3.6538389564311791e-20,7.4155838844375864e-39,2.2607626369431045e-30,4.2488878425897447e-67,7.8982594461990647e-12,3.4349731315858324e-59,7.8982593191991737e-12,1.7683750258642294e-40,1.1053721274026664e-40,6.9528619965134878e-55,8.0616638397801642e-56,2.4943258801403427e-29,4.0731935902552157e-46,4.3134561695863959e-10,1.2771377464853471e-11,5.1176028841009683e-14,1.0642160195274951e-21,3.9568595928269206e-21,5.1097161038817767e-14,1.4544955948816896e-17,1.5911772139358476e-17,4.9639229926297921e-19,3.6181981128799012e-34,1.6976800686235546e-28,3.086799763441034e-51,2.5298403742529903e-30,1.2243779320818842e-48,1.7555136251222823e-50,5.155539888059883e-51
