Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),CO2X(24),CHOX(53),COX(50)
1.1738430237375515e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,3.8584945882915373e-70,2.0730296377961843e-47,7.0173346843400389e-24,7.1289792461780607e-51,6.6255167356186667e-36,2.1172581217449542e-82,1.0360095559861787e-13,6.0251377187499388e-70,1.0360095557520904e-13,9.4964677201321741e-48,8.7076708732279614e-51,1.4966266558258082e-68,1.7353345402916492e-69,3.4402438159231414e-37,4.2836646205517504e-55,5.6579325944198648e-12,1.6752132818050497e-13,6.7066113160972731e-16,2.0490665260008102e-25,6.7062770126506629e-16,1.5636882310294263e-20,7.1483626481078086e-22,5.3102108935131162e-25,1.1860407800503031e-43,5.3855370871913228e-34,6.7248130858633023e-62,7.708207160250417e-25,1.6927727991702973e-63,2.4068483907821944e-64,2.6356963336767871e-62
2.3476865450148443e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,1.3112114854802731e-67,3.2693115812699109e-46,2.8638184806019281e-23,7.4773557078435856e-49,5.3004159704845976e-35,8.8775625781004297e-80,2.0720195510929288e-13,3.8560908466077622e-68,2.0720195501565761e-13,1.5194355610051458e-46,1.3723372720843421e-49,3.1382698315175084e-66,3.6388139703863327e-67,2.7124808084013924e-36,1.3707731434989814e-53,1.1315867581611683e-11,3.350427273588632e-13,1.3413593475633971e-15,8.0694669074554727e-25,1.3412229892303747e-15,5.9910177151599314e-20,5.4904954012969679e-21,6.9798556808696324e-24,6.2249972505279221e-42,4.3903717124602326e-33,4.3038814561731427e-60,3.0832803809368919e-24,2.8761783911399402e-61,5.0514772386882125e-62,5.5267714939817174e-60
4.69537358756943e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,4.124456366698144e-65,5.085005706784739e-45,1.186025259891097e-22,8.1165142755309429e-47,4.240333762324396e-34,3.8536268505752325e-77,4.1440395413133079e-13,2.4678988161734654e-66,4.1440395375679044e-13,2.4310972880580954e-45,2.1316393336092399e-48,6.8119500836826654e-64,7.8984286800860423e-65,2.109033342899265e-35,4.3864734324480399e-52,2.2631737539874796e-11,6.7008552569473545e-13,2.6828797180579006e-15,3.1306259871905223e-24,2.6823154806941639e-15,2.2086308687135668e-19,4.0661808988615137e-20,9.4821841798169085e-23,3.3796494960661544e-40,3.62943030940458e-32,2.7544832173963662e-58,1.2333095777624961e-23,4.5224815249163715e-59,1.0973526751405367e-59,1.1996411231521827e-57
9.390747672678601e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,1.1337107748720506e-62,7.705234467271527e-44,5.0054457045019654e-22,8.6533811339234236e-45,3.392267329275863e-33,1.6436168479282947e-74,8.2880795217815548e-13,1.5794552126794218e-64,8.2880795067999831e-13,3.8897553647032281e-44,3.2217184055775251e-47,1.4526277412033573e-61,1.6843134745738011e-62,1.5972632321068365e-34,1.4036705209115322e-50,4.5263477391918941e-11,1.340171122283555e-12,5.3664868984399407e-15,1.1807498383742101e-23,5.3641081831472409e-15,7.6225737855726299e-19,2.8287046507291755e-19,1.2636524791175188e-21,1.8012944266162526e-38,3.0558602782565808e-31,1.7628673529892152e-56,4.9332165381103173e-23,6.2127286640653915e-57,2.3408062766118107e-57,2.5581826139951009e-55
1.8781495842896944e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,2.6378442125273609e-60,1.1143663172361396e-42,2.146277617198266e-21,8.6145587457439426e-43,2.713813871307161e-32,6.5482648374696614e-72,1.6576159482827798e-12,1.0108510124482298e-62,1.6576159422901868e-12,6.2236063993321428e-43,4.6368878861180039e-46,2.8931935904637929e-59,3.3546311414961518e-60,1.1541468872703517e-33,4.4917384890337158e-49,9.0526956838078856e-11,2.6803423151324284e-12,1.0736316517971536e-14,4.2342537816931514e-23,1.0726124925169826e-14,2.3805706574571382e-18,1.7885874495029248e-18,1.5708544637453557e-20,8.9600424321416568e-37,2.6149699195967375e-30,1.1282324307113335e-54,1.9732689618792299e-22,7.2228990865945767e-55,4.6619081853722844e-55,5.0950605035283444e-53
2.817224401311529e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727666015674,0.11866996589167238,0.022821567691044028,1.9260444432308408e-59,3.9687103299187309e-42,4.7188575540575052e-21,5.2776421543113316e-42,8.056634802339184e-32,5.2895968648979391e-71,2.486423944398379e-12,5.7393120080684762e-62,2.486423931664148e-12,2.3545162961845323e-42,1.6873704290297302e-45,2.052914162605587e-58,2.380332874969614e-59,3.1189889133226448e-33,2.0953847766004736e-48,1.3579043602631039e-10,4.0205135076550083e-12,1.6108979033735306e-14,8.3657200042638092e-23,1.6086573463183716e-14,4.3254282554641581e-18,4.5144503500602637e-18,5.1935955079069201e-20,4.6399039375721139e-36,7.6924367465082468e-30,6.3091695606201264e-54,4.1931705497129935e-22,4.5712179390664771e-54,3.3264007034676525e-54,3.615273396666457e-52
3.756299218333363e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,9.4313802641197742e-59,9.8582952938548215e-42,8.2457075020021853e-21,2.0787219859809755e-41,1.755498274698821e-31,2.5606818458668752e-70,3.3152319405249116e-12,2.2072226346398801e-61,3.3152319188018873e-12,6.1287915118242349e-42,4.3234836310986983e-45,8.9992538722854435e-58,1.0434527540921672e-58,6.2614359443264014e-33,6.3804594582969544e-48,1.8105391495661358e-10,5.3606846998531771e-12,2.1484611601775395e-14,1.3378740589936761e-22,2.1445454255940314e-14,6.4692920065585849e-18,8.5769613607883026e-18,1.2052311775908295e-19,1.6295270655128066e-35,1.6564776088593153e-29,2.2085150313445364e-53,7.1530147812616847e-22,2.0639686504868802e-53,1.6105989872659882e-53,1.5848029788031987e-51
5.634448852377032e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652031361,0.11866996575337942,0.022821567689033772,1.2717656101828863e-57,3.3772925742022185e-41,1.7585473353946647e-20,1.5355329067334303e-40,5.095669617626279e-31,2.5381769804325665e-69,4.9728479328035429e-12,1.6798693191078019e-60,4.9728478878291078e-12,2.2491793380552486e-41,1.5813777740803698e-44,7.729445473595045e-57,8.9621445342315178e-58,1.5810697795062782e-32,2.9069540671933018e-47,2.7158087221187786e-10,8.0410270834928246e-12,3.2243095672514658e-14,2.4999371512086901e-22,3.2159537861850248e-14,1.1007389477756727e-17,2.0019652267060527e-17,3.6826900977198809e-19,1.0253569577715746e-34,4.6465580446648441e-29,1.2291447194135782e-52,1.4809267231724963e-21,2.5572533121257356e-52,2.1504190054455741e-52,1.3611715556674073e-50
7.5125984864207e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642708474,0.11866996566118411,0.022821567687693601,6.1570012813277033e-57,8.2280939449510613e-41,3.0536992172562804e-20,5.9986633596100632e-40,1.1143654101377377e-30,1.2197286334688704e-68,6.6304639251222089e-12,6.3431799195081219e-60,6.6304638486329728e-12,5.8322889728089101e-41,3.995185726354601e-44,3.3752668314391197e-56,3.9135448150024659e-57,3.0917238816982259e-32,8.7315115261185738e-47,3.6210782851864753e-10,1.0721369465951128e-11,4.3013066539471108e-14,3.8699485008763454e-22,4.2867860118204002e-14,1.5798220868737551e-17,3.6759370969015019e-17,8.2859124414274457e-19,3.4982364854622283e-34,9.9060616246196097e-29,4.201448767315322e-52,2.5186456029627303e-21,1.0420833637278397e-51,1.0200824496852644e-51,5.9438802717411031e-50
9.390748120464367e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727633385592,0.1186699655689888,0.02282156768635343,2.3166586648528876e-56,1.6874910765456553e-40,4.7394481599001862e-20,1.8549963735534077e-39,2.0907010407530948e-30,4.6155519506724215e-68,8.2880799174836314e-12,1.9402498359591857e-59,8.2880798006261219e-12,1.2752161141463637e-40,8.3736809266340011e-44,1.1612675993534353e-55,1.3464585081189183e-56,5.2690771288705871e-32,2.1786496797112832e-46,4.5263478380917314e-10,1.3401711847150456e-11,5.3795586364926179e-14,5.3952852423183673e-22,5.3570012563358203e-14,2.0688860110952105e-17,5.9265502709987484e-17,1.593563042703961e-18,9.6237629530459919e-34,1.8307954409161495e-28,1.1782414760441684e-51,3.8478855998092054e-21,3.6162564994588426e-51,3.8068294019169766e-51,2.0449911162621884e-49
