Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24)
6.61133047174788e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,6.5860263872330146e-75,4.5786255538788677e-46,9.5270058760692339e-28,6.1242720575678946e-53,1.2476726688628293e-42,4.038344522153944e-35,1.3982892374604248e-20,1.9420098272949083e-80,1.3982892142304149e-20,2.2750377639341947e-51,1.0477165821315828e-54,1.6995678945520054e-53,6.3502894933793567e-77,4.0383453168665094e-35,1.0010138768339286e-62,2.6661564623942736e-12,1.2819117204947107e-13,4.9411249215806663e-17,4.9412426971652439e-17,4.8654703073836085e-22,6.8200107224891419e-23,2.2587404528790599e-26,2.7245745476268812e-26,3.0906677837380065e-45,3.2331356317012477e-38,1.6092903042748617e-68
1.3222666547994794e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,1.4889682000574747e-72,3.6629317336872356e-45,6.8288012171297308e-27,5.7997120415388622e-52,9.9811820482618443e-42,1.6153388592606484e-34,2.7965797075259404e-20,6.2144407939230262e-79,2.7965796146067901e-20,1.8200320694548876e-50,1.3486911953997536e-53,1.3596553425643116e-52,1.1920090107024728e-75,1.6153393747710977e-34,1.601623949728143e-61,5.3323151832782673e-12,2.5638245276469475e-13,9.8821430868133412e-17,9.8826358229738909e-17,1.7300333319513865e-21,4.8870763228769446e-22,3.1799412805460328e-25,8.7050460538009495e-26,1.7384153248919261e-43,4.6513687586199099e-37,1.81887518395702e-66
2.6445338700488623e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,3.1356828115971854e-70,2.9303724379426509e-44,4.5156412253379304e-26,1.4048933367116096e-50,7.9846149223194833e-41,6.4613576782020347e-34,5.5931607894308733e-20,1.9886226809457031e-77,5.5931604177611499e-20,1.4560264688494979e-49,1.5418434082330127e-52,1.087724706903563e-51,5.5864742732086003e-74,6.4613606595962707e-34,2.5625998361621532e-60,1.0664632620123156e-11,5.1276501418517319e-13,1.9763846594963389e-16,1.9765945573864697e-16,5.6422621768459532e-21,3.2296226033404156e-21,4.1830478862539789e-24,2.4615820460401238e-25,9.1280085507233485e-42,6.1891120680510222e-36,1.9145984343688614e-64
5.289068300547628e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,5.9391163338067617e-68,2.3443166046868341e-43,2.6736422396991061e-25,9.9478222694082393e-49,6.3871580982529179e-40,2.5845436317943286e-33,1.1186323520298181e-19,6.3635960231940367e-76,1.118632203367714e-19,1.1648216123260779e-48,1.5565014754973986e-51,8.7017997399418198e-51,7.7984390742428649e-72,2.5845451586982947e-33,4.1001613324287965e-59,2.1329267474120533e-11,1.0255301369863621e-12,3.9525922411679737e-16,3.953494254842689e-16,1.6355880068182261e-20,1.909736877331594e-20,4.966157228328557e-23,6.1338600759113622e-25,4.3148126029369133e-40,7.39706781934643e-35,1.8121975136655116e-62
1.0578137161545159e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.118669965987306,0.022821567692028758,9.9278632785347113e-66,1.8754635395626368e-42,1.4005164559386695e-24,8.0817019034279313e-47,5.1088706038673873e-39,1.0338176546340482e-32,2.2372651249946732e-19,2.0363519479847693e-74,2.2372645303958566e-19,9.3185764382644654e-48,1.4210156051825283e-50,6.96144119105534e-50,1.2658260505648573e-69,1.0338183616179608e-32,6.5602606275098075e-58,4.2658537103345684e-11,2.0510603824298297e-12,7.9044749964115291e-16,7.908323176673561e-16,4.1703675718034551e-20,9.9773371986695932e-20,5.2367405975653112e-22,1.383833231858312e-24,1.8008313839489938e-38,7.8408211818371483e-34,1.5135704672523324e-60
2.115627488354022e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464667,0.022821567691003228,1.4711572587993684e-63,1.5003757634427267e-41,6.5953439662029947e-24,5.9744495881836448e-45,4.0857268032996295e-38,4.1352717406975101e-32,4.4745315778468e-19,6.5163318533662453e-73,4.474529199841336e-19,7.4548654307885356e-47,1.2169691099076784e-49,5.569154416612013e-49,1.8726680902274004e-67,4.1352748011443421e-32,1.0496422903397002e-56,8.5317076046717585e-11,4.10212087268125e-12,1.5806111448197992e-15,1.5822242409907581e-15,9.559339763563504e-20,4.6736304597280767e-19,4.9590354902508266e-21,2.939278426191001e-24,6.6642863104071114e-37,7.4722277789521108e-33,1.120575522297725e-58
4.2312550327530345e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932801,0.022821567688952167,1.9622576461107397e-61,1.2003030852806821e-40,2.8851508695492255e-23,3.9857080985523104e-43,3.2663912013312597e-37,1.654109495084926e-31,8.9490681092839263e-19,2.0852294988251243e-71,8.9490586003751533e-19,5.9638986371714711e-46,1.006829017532109e-48,4.4553255646961429e-48,2.5004469184480739e-65,1.6541107695101545e-31,1.6794293847637532e-55,1.7063415267314775e-10,8.2042418506420966e-12,3.1600872704106133e-15,3.1667386517143049e-15,2.0477522388582521e-19,2.022856705970622e-18,4.3330888856895947e-20,6.0532670961306984e-24,2.2202359785777079e-35,6.5987167828817148e-32,7.4675901855322283e-57
6.346882577152047e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400936,0.022821567686901106,1.2957477969344762e-60,3.4321252502774109e-40,6.2985862887687116e-23,2.2282510529002e-42,9.6934042038017792e-37,3.5149838221444295e-31,1.3423608264498533e-18,9.9761171241650677e-71,1.3423588062619771e-18,1.7705334533474568e-45,3.017081681948306e-48,1.2739449779262342e-47,1.6374758818252993e-64,3.514986561905598e-31,6.3536255757835314e-55,2.5595122803926439e-10,1.2306362826060947e-11,4.7387126897041302e-15,4.7529992831013331e-15,3.1406451498791147e-19,4.3842232713387668e-18,1.2648173458005407e-19,9.1674212801301791e-24,1.0347523026369551e-34,1.9373139926893658e-31,4.2159618450172956e-56
8.46251012155106e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756284231054,0.1186699656886907,0.022821567684850046,5.8312388580333172e-60,7.2393614744892357e-40,1.0899406635946674e-22,8.1038263971319532e-42,2.1112881850386611e-36,5.9961506572190883e-31,1.7898152041535579e-18,3.3017532524684491e-70,1.7898117586681519e-18,3.8579016023896513e-45,6.6069519513598157e-48,2.6871195300501417e-47,6.6833621974325053e-64,5.9961553585141267e-31,1.6538459384557668e-54,3.4126830214506749e-10,1.6408483798937802e-11,6.3164878609178481e-15,6.3410203531553251e-15,4.233138727098978e-19,7.5361641043876069e-18,2.6939938457597242e-19,1.2281584884511462e-23,3.3228816839059628e-34,4.1478675910553894e-31,1.7390699503900464e-55
1.2693765210349086e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756266346583,0.11866996551805339,0.022821567680747924,6.6882537736242469e-59,1.9773018057035813e-39,2.2885839218949698e-22,5.2269564446492333e-41,6.1232971383019803e-36,1.2414274422569445e-30,2.6847248089745286e-18,1.9264717808556582e-69,2.6847176780188666e-18,1.11983125056714e-44,1.9272681848879101e-47,7.3393596041794841e-47,5.0630498378956444e-63,1.241428420912432e-30,6.0693873554964835e-54,5.1190244739879503e-10,2.461272573872562e-11,9.4700441436046285e-15,9.5212367050498693e-15,6.416790398620492e-19,1.5648722429849331e-17,7.4087583101533659e-19,1.8509915261293217e-23,1.8059457783964571e-33,1.1505465134957029e-30,1.8153153811141905e-54
