Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),COX(58)
3.14366272846071e-08,0.09977366400000001,0.80000000000000004,0.0,0.28273215173186633,0.096173406601671493,0.098606957424072869,3.7241267860731432e-10,1.2878044025996085e-06,3.1086820855310386e-08,1.2602986469697657e-06,6.6016054539686731e-16,9.4720580586405693e-16,1.0944361497273699e-10,5.8401547924711389e-33,2.8516082476480883e-11,9.1174839899183077e-23,4.042721230874599e-12,6.9549017470282231e-22,3.0141814938316848e-23,6.0251061788167335e-09,7.9672339112909754e-26,0.0038252251865264963,0.0027833164556112008,1.0476854999936637e-09,1.8832909817060218e-07,3.4918500746108772e-10,2.636120459446977e-06,2.55306389548725e-14,3.755954464672554e-10,8.086319593305271e-08,2.5140046586619451e-08,1.8354525783689059e-13,5.210550098479858e-13
3.154371314871728e-08,0.09977366400000001,0.80000000000000004,0.0,0.28271973162544545,0.096170202782553116,0.098602331584300665,3.7683425429754671e-10,1.305163296779869e-06,3.1353793368079465e-08,1.2691443748228115e-06,6.6663685888660388e-16,9.6116364922767831e-16,1.1074955114974536e-10,6.0878208753572106e-33,2.8690613344497113e-11,9.3645438782298291e-23,4.0923951923795528e-12,7.0657054692014052e-22,3.0471232285610116e-23,6.0811547249171819e-09,8.2051366511354151e-26,0.003828420062267252,0.0027925411456809985,1.0510396731020775e-09,1.8894455662083556e-07,3.5188739546691268e-10,2.6359510364738384e-06,2.5611885460220028e-14,3.7552988341777321e-10,8.0850030769841064e-08,2.5241790609651551e-08,1.8489542423476434e-13,5.2468944630887458e-13
3.1650799012827456e-08,0.09977366400000001,0.80000000000000004,0.0,0.28270733908850548,0.096167025042336166,0.098597706368161286,3.8128824931005898e-10,1.3226242260166796e-06,3.1620610602394444e-08,1.2780181202288897e-06,6.7315463598332642e-16,9.7528707818978062e-16,1.120661966738853e-10,6.3452170800985146e-33,2.8864891743187214e-11,9.6175042741245216e-23,4.1423896710194424e-12,7.1778332989290588e-22,3.0802946294428651e-23,6.1373668354107344e-09,8.4494758363552077e-26,0.0038315888308918691,0.0028017644643073426,1.0543930940334576e-09,1.895538110220965e-07,3.54581628163635e-10,2.6356967505772829e-06,2.5693106644757874e-14,3.7545249420205999e-10,8.0836923245387943e-08,2.5343643284291217e-08,1.8624807316718076e-13,5.2833519742503906e-13
3.175788487693763e-08,0.09977366400000001,0.80000000000000004,0.0,0.2826949739114486,0.096163873175879641,0.098593081774673158,3.8577472294104551e-10,1.3401863477512365e-06,3.1887254795698e-08,1.2869198755024107e-06,6.7971399969926051e-16,9.8957743661843459e-16,1.1339357786068064e-10,6.6126919948073441e-33,2.9038911249985418e-11,9.8764836773799742e-23,4.1927040250667399e-12,7.2912946959061081e-22,3.1136964198027558e-23,6.1937404942215511e-09,8.7004049029143649e-26,0.0038347316975491565,0.0028109864142483198,1.0577457670617723e-09,1.901569186346407e-07,3.5726765817976959e-10,2.6353592357013706e-06,2.577430273154689e-14,3.7536351340904639e-10,8.0823872910247528e-08,2.544560461378127e-08,1.8760320314002022e-13,5.3199225917415943e-13
3.186497074104781e-08,0.09977366400000001,0.80000000000000004,0.0,0.28268263588631076,0.096160746979654488,0.098588457802861837,3.902937344623404e-10,1.3578488212932145e-06,3.2153708545207114e-08,1.2958496329801387e-06,6.8631507301186973e-16,1.0040360715064072e-15,1.1473172064461725e-10,6.8906053441515007e-33,2.921266558261982e-11,1.0141602421386189e-22,4.2433376124471826e-12,7.4060991231778095e-22,3.1473293228103944e-23,6.2502737044217032e-09,8.958080361187066e-26,0.003837848865775905,0.00282020699824469,1.0610976964962286e-09,1.9075393786366611e-07,3.5994544582930027e-10,2.634940120310406e-06,2.5855473944585431e-14,3.7526317476550674e-10,8.0810879330147045e-08,2.5547674603683092e-08,1.8896081365617259e-13,5.3566062754262377e-13
3.1972056605157985e-08,0.09977366400000001,0.80000000000000004,0.0,0.28267032480674975,0.096157646251730983,0.098583834451759902,3.9484534314518927e-10,1.3756108082459524e-06,3.241995480798545e-08,1.3048073850221872e-06,6.9295797886498041e-16,1.0186643329225211e-15,1.1608065058293249e-10,7.1793282963283669e-33,2.9386148598448701e-11,1.0412982690856028e-22,4.2942897912433571e-12,7.5222560469660864e-22,3.1811940614800875e-23,6.3069644885712922e-09,9.2226618433829916e-26,0.0038409405375095722,0.0028294262190196396,1.0644488866782492e-09,1.9134492819841718e-07,3.6261495896470775e-10,2.6344410266003775e-06,2.5936620508637545e-14,3.7515171102357419e-10,8.0797942085402039e-08,2.5649853261799786e-08,1.9032090519473234e-13,5.3934029852593767e-13
3.207914246926816e-08,0.09977366400000001,0.80000000000000004,0.0,0.28265804046803411,0.096154570791766217,0.098579211720407081,3.9942960828335544e-10,1.3934714729141196e-06,3.2685976900646915e-08,1.3137931240129639e-06,6.9964284016986537e-16,1.0334635739636819e-15,1.1744039285948517e-10,7.4792437794499675e-33,2.9559354293712857e-11,1.0690748539573032e-22,4.3455599201814159e-12,7.63977493650823e-22,3.215291358671147e-23,6.3638108890314751e-09,9.4943121515927629e-26,0.0038440069131008173,0.0028386440792785368,1.067799341978629e-09,1.9192995015110967e-07,3.6527617285083916e-10,2.6338635697461845e-06,2.6017742649086288e-14,3.7502935385364996e-10,8.0785060770346023e-08,2.5752140598098431e-08,1.9168347919884488e-13,5.4303126812911359e-13
3.218622833337834e-08,0.09977366400000001,0.80000000000000004,0.0,0.28264578266703133,0.096151520400991439,0.098574589607849886,4.0404658921580494e-10,1.411429982700202e-06,3.2951758498837891e-08,1.322806842362084e-06,7.0636977980630055e-16,1.048435150707356e-15,1.1881097228866943e-10,7.7907468042146347e-33,2.9732276802738032e-11,1.097502590816218e-22,4.3971473591068153e-12,7.7586652639032219e-22,3.2496219370883438e-23,6.4208109682606458e-09,9.7731973062341249e-26,0.003847048191325959,0.0028478605817087196,1.0711490667948029e-09,1.9250906519282985e-07,3.6792906990807426e-10,2.6332093571748958e-06,2.6098840591778549e-14,3.748963337410315e-10,8.0772234992769206e-08,2.5854536624632138e-08,1.9304853804949696e-13,5.467335323670378e-13
3.2293314197488515e-08,0.09977366400000001,0.80000000000000004,0.0,0.28263355120219674,0.096148494882199897,0.098569968113141893,4.0869634534923472e-10,1.4294855084971715e-06,3.3217283636653773e-08,1.3318485325052738e-06,7.1313892062361465e-16,1.063580422164189e-15,1.2019241331934232e-10,8.1142447886570904e-33,2.9904910397122141e-11,1.126594264186748e-22,4.4490514694561596e-12,7.8789365039603619e-22,3.2841865192823472e-23,6.47796280910537e-09,1.0059486594624683e-25,0.0038500645693994046,0.0028570757289792643,1.0744980655480224e-09,1.930823356912137e-07,3.7057363946193832e-10,2.6324799878449684e-06,2.6179914562859496e-14,3.7475287988320839e-10,8.0759464373360997e-08,2.5957041355461776e-08,1.9441608503455189e-13,5.5044708726483219e-13
3.240040006159869e-08,0.09977366400000001,0.80000000000000004,0.0,0.28262134587356219,0.09614549403973438,0.098565347235343409,4.1337893617985272e-10,1.4476372250619697e-06,3.3482536705686886e-08,1.3409181869052146e-06,7.1995038544169133e-16,1.0789007502313762e-15,1.2158474003882432e-10,8.4501578934948535e-33,3.0077249484839634e-11,1.1563628508367833e-22,4.5012716147107646e-12,8.0005981340608302e-22,3.3189858276502089e-23,6.5352645150627582e-09,1.035335262022945e-25,0.0038530562429859336,0.0028662895237407835,1.0778463426803886e-09,1.9364982485578678e-07,3.7320987777655137e-10,2.631677051556208e-06,2.6260964788640703e-14,3.745992200918744e-10,8.0746748545170086e-08,2.6059654806577292e-08,1.9578612434780537e-13,5.5417192885821741e-13
