Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),CH2X(27),HOX(22),HX(19),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),CO2X(24)
6.713837832277045e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,2.886848392468566e-75,1.3487606605066674e-42,4.8810861108994668e-30,1.0287242709948584e-54,3.8998151370300512e-40,1.0807704127986831e-92,6.8270098866101767e-19,2.6177250631803613e-84,6.8270098440999724e-19,6.2848447592618041e-57,1.0641472019988448e-47,1.0387620284253175e-76,6.2766806703146028e-78,4.5567924868794149e-36,1.9512776846110133e-66,2.7074946866443379e-12,1.3017875060810603e-13,5.0177891033294073e-17,3.2847379407653316e-23,3.7191906286872216e-26,5.0177957500706136e-17,2.6842005726677767e-25,8.6366438665876235e-29,1.2188453271027804e-47,7.2197127070587495e-37,9.1948797101720553e-67,6.9624202582771966e-69
1.3427681355949762e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,1.465096462783773e-72,2.1580133855338424e-41,2.0379408369975105e-29,1.3052189031080056e-52,3.119851355343007e-39,5.4850943620327324e-90,1.3654025644549703e-18,1.6753445927372153e-82,1.3654025474508902e-18,1.0055750290226745e-55,1.7026352659173609e-46,2.6359346257166925e-74,1.5927536176403941e-75,3.6454340984078906e-35,6.2440881068818872e-65,5.4149916667699906e-12,2.6035761156671212e-13,1.003557584345183e-16,1.3033164595265819e-22,1.4876760626690955e-25,1.0035602536309969e-16,2.1305370662652578e-24,1.3696622941582159e-27,7.7320470864737972e-46,5.7757595504490209e-36,2.3332654607477717e-64,1.7667307511183235e-66
2.6855368403295197e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,7.3855399605796701e-70,3.452805552496235e-40,8.8205961080963196e-29,1.6449228356581488e-50,2.4958761748081458e-38,2.7651813166473901e-87,2.7308057412417816e-18,1.0722188218686412e-80,2.7308056732255064e-18,1.6089170652610533e-54,2.7242109628941194e-45,6.6441340065819348e-72,4.0146930084414485e-73,2.91634420822117e-34,1.9981046027567666e-63,1.082998562194435e-11,5.2071533347346104e-13,2.0071129473203539e-16,5.13051300733087e-22,5.9506970652747836e-25,2.0071237073662146e-16,1.6780906300470392e-23,2.1573230077082005e-26,4.8719562068409649e-44,4.6205855152262141e-35,5.8812137271467046e-62,4.4529786030909694e-64
5.3710742497986066e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830494,0.02282156769253357,3.6712812423509209e-67,5.5244348257368086e-39,4.0401542741492445e-28,2.0442497362536032e-48,1.9966916036955328e-37,1.3747016983849197e-84,5.4616121956106037e-18,6.8621707181290566e-79,5.4616119235460568e-18,2.5742557188632388e-53,4.3587163491299549e-44,1.6515096834110595e-69,9.9791849008242055e-71,2.3330691559191501e-33,6.3939064928673939e-62,2.1659973511985275e-11,1.0414307772451065e-12,4.0142157331050053e-16,1.988865945085065e-21,2.3802719428536333e-24,4.0142594090449646e-16,1.3020970554107219e-22,3.3501613227904402e-25,3.0270031800708988e-42,3.6964309560848897e-34,1.4618668805703953e-59,1.1067355088161123e-61
1.0742149068736782e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664456,0.022821567692012854,1.7765847366502177e-64,8.8389201085691e-38,1.9919888528345924e-27,2.4732488570386714e-46,1.5973377528702302e-36,6.6538607811637689e-82,1.0923225507525824e-17,4.3917488387829859e-77,1.0923224419272446e-17,4.118770440157594e-52,6.9738656792389713e-43,3.9966179360544142e-67,2.4149411482818905e-68,1.8664448688291255e-32,2.0460311667810902e-60,4.3319949210835984e-11,2.082861664620988e-12,8.0283895442629887e-16,7.4903245138316361e-21,9.5210304371326646e-24,8.0285689354513939e-16,9.8221735725472721e-22,5.0631405317701826e-24,1.8307157499766444e-40,2.9570840143723614e-33,3.537655856747521e-57,2.6776775794723931e-59
2.148429870661313e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.1186699659433238,0.022821567690971423,8.1914667521708385e-62,1.4141708136648443e-36,1.0528070208883002e-26,2.8512259321206488e-44,1.2778451177055049e-35,3.0692403140611231e-79,2.1846453744040989e-17,2.8106666423251968e-75,2.1846449391066414e-17,6.5899075253683717e-51,1.1157939735960857e-41,9.2167004881530861e-65,5.5691554416988754e-66,1.4931389587194701e-31,6.5471773619524686e-59,8.6639900283612784e-11,4.1657234387031105e-12,1.6056610126946167e-15,2.6793587212339087e-20,3.8083658555853323e-23,1.6057359885725186e-15,7.0436569323737241e-21,7.2870620015098458e-23,1.0548134079222371e-38,2.3655696871402799e-32,8.1581355429097544e-55,6.1724771695619947e-57
4.2968597982365825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668227,0.022821567688888562,3.4888416676897693e-59,2.2624926620557969e-35,5.7464100365808894e-26,3.03652008865987e-42,1.0222358657056984e-34,1.308183984307164e-76,4.3692916667605238e-17,1.7987590522306146e-73,4.3692899256019508e-17,1.0543450437128487e-49,1.7851918064146084e-40,1.9638387177449844e-62,1.1866416197814445e-63,1.1944839877807723e-30,2.0950182260219714e-57,1.7327980112946804e-10,8.3314469841888064e-12,3.2112543149880869e-15,8.8178437608078323e-20,1.5233091988535981e-22,3.2115738835079082e-15,4.6491607767637021e-20,9.6796340663268788e-22,5.6127619971862911e-37,1.8922995958857061e-31,1.7382260007150341e-52,1.3142292671932765e-54
6.445289725811853e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.11866996577004074,0.0228215676868057,2.8632986676911366e-58,8.3272094271330469e-35,1.4004282627787042e-25,1.8866978024822716e-41,3.0346948156889838e-34,1.0684383030085442e-75,6.5539386041500785e-17,1.0212691188217008e-72,6.5539349042337758e-17,3.9887283307667483e-49,6.8059265058479136e-40,1.4108600642110003e-61,8.5250644111954123e-63,3.4154330069854619e-30,9.7730639299192135e-57,2.5991970067562487e-10,1.2497170526995946e-11,4.8167968046482717e-15,1.6519036568102269e-19,3.2369775016997615e-22,4.8174992826135822e-15,1.1976308881409071e-19,3.2737131280423014e-21,2.9538684012601793e-36,5.4105376762325446e-31,1.2487636656872304e-51,9.4939650243706199e-54
1.0742149580962393e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756274595578,0.11866996559675769,0.022821567682639977,3.7115881939436811e-56,6.4062285118080167e-34,4.7190700561345849e-25,6.4972323851091763e-40,1.4214063193794674e-33,1.1412151740763904e-73,1.0923235058896369e-16,2.7452440034588564e-71,1.0923224830044142e-16,3.1477165417869769e-48,5.5962525901094781e-39,8.5056894579516869e-60,5.1395246311781936e-61,1.5695440843166553e-29,1.3095610507279866e-55,4.3319949456914508e-10,2.0828617601896051e-11,8.0276785463139778e-15,3.5184836890427173e-19,8.948901752760308e-22,8.0297360687545481e-15,4.2533804110815243e-19,1.9651257813271677e-20,5.8856995441978336e-35,2.4861259442796474e-30,7.5279959849226704e-50,6.9530795165169378e-52
1.4609323450597878e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756258249987,0.11866996544080294,0.022821567678890826,2.2719829393843189e-55,1.7642105934138318e-33,9.1482964083749809e-25,2.854482989189606e-39,3.2798856432186927e-33,5.9958704031461176e-73,1.4855603952035289e-16,1.1919851933270184e-70,1.4855585737867149e-16,8.8331931231204126e-48,1.6320919567713664e-38,4.1272330538828057e-59,2.4938609492161313e-60,3.5329505152869683e-29,4.3462126677572934e-55,5.8915130487395567e-10,2.832691996065171e-11,1.0917307956577151e-14,5.3433125970672715e-19,1.5934883639158589e-21,1.0921077455060777e-14,8.3603203163885578e-19,4.8538194959971333e-20,2.2909072222981687e-34,5.595799731274602e-30,3.6527814737267616e-49,3.969415644820471e-51
