Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
1.1738430235117454e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,0.0,3.2128144726576596e-41,6.8633671006508261e-24,5.4940886280915699e-51,6.6820119385603217e-36,1.6291602266879788e-82,1.0360098534955646e-13,6.0765138667685124e-70,1.0360098532120924e-13,9.5774410313785853e-48,5.624525200490586e-46,1.1522041366611621e-68,1.3359771664398552e-69,3.0208716523754816e-33,4.3201887873493584e-55,5.6579325933314769e-12,1.6752132814827651e-13,6.7064630259735583e-16,2.0817061879734208e-25,7.7082103252321186e-25,6.7064182321967598e-16,8.1552308681770165e-36,2.2114980870926955e-21,1.3721873603095139e-23,7.6249197210040716e-27,1.6961053881021733e-45,5.2749422625280816e-34,6.7821548670196313e-62,2.0291361923814581e-62,2.5165505681886433e-65
2.347686544563232e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,0.0,5.1404772227141705e-40,2.7455071601792397e-23,6.8013376020772875e-49,5.3456119089888716e-35,8.0660878144708862e-80,2.0720201462105953e-13,3.8889714328102544e-68,2.0720201450767061e-13,1.5323912287860649e-46,8.9992045752463506e-45,2.8524525947880703e-66,3.3074088019343768e-67,2.4166940720074779e-32,1.3824608202813367e-53,1.1315867579434906e-11,3.3504272729438673e-13,1.3412974478120876e-15,8.3268120932370683e-25,3.083281647054568e-24,1.3412794759834175e-15,6.5241503189730779e-35,8.7916813234461224e-21,1.0908845482705087e-22,1.1805492611434414e-25,1.0500286356843353e-43,4.2201842407785047e-33,4.3405800166960293e-60,5.0234205017951251e-60,6.2309026369187289e-63
4.695373586666205e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,0.0,8.224675669212099e-39,1.0983284262340277e-22,8.4830450654378187e-47,4.2764901281497124e-34,4.0240271389516442e-77,4.1440407319438429e-13,2.4889421774306656e-66,4.144040727408289e-13,2.4518261415741143e-45,1.439860067907919e-43,7.1152952348634021e-64,8.2501537275641505e-65,1.9333489827355454e-31,4.4238736052428078e-52,2.2631737535521231e-11,6.7008552556563419e-13,2.682613732690964e-15,3.3307131231240438e-24,1.2333100843092625e-23,2.6825414175271338e-15,5.2192623527145617e-34,3.4739608590898769e-20,8.6190477492054985e-22,1.840912848512051e-24,6.5486989715228428e-42,3.3765081740758302e-32,2.7779700468777991e-58,1.2530623619720138e-57,1.5541917850294425e-60
9.390747670872151e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,0.0,1.3159195942306673e-37,4.3942837413437288e-22,1.0531487445715803e-44,3.4211917952450173e-33,1.9983510759199788e-74,8.2880819046230386e-13,1.5929226826539902e-64,8.2880818864808715e-13,3.9229208293644232e-44,2.303726535334963e-42,1.7667275213948427e-61,2.0485097624295236e-62,1.5466687171992641e-30,1.41563831983086e-50,4.526347738321176e-11,1.3401711220242375e-12,5.3653044258403568e-15,1.332275561227374e-23,4.9332185650947369e-23,5.3650118457465634e-15,4.1753160817030195e-33,1.3565523757087736e-19,6.72800404857965e-21,2.8565168076490893e-23,4.0648695386537061e-40,2.7017644589243756e-31,1.7778985985427517e-56,3.1113341751087159e-55,3.8581533374093733e-58
1.8781495839284045e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,0.0,2.1053798046188877e-36,1.7584397114271666e-21,1.2832925740302352e-42,2.7369524370849717e-32,9.7413450126284828e-72,1.6576164254832045e-12,1.0194698307027141e-62,1.6576164182263712e-12,6.2766688891603942e-43,3.685815158556171e-41,4.3059581869022817e-59,4.9927172088111852e-60,1.2373180549326067e-29,4.5300337969158991e-49,9.0526956820664352e-11,2.6803423146058766e-12,1.0730934228719061e-14,5.3290241228807381e-23,1.9732697733107422e-22,1.0729738891248355e-14,3.3401023367445651e-32,5.1788423111516493e-19,5.1315142344656906e-20,4.3490352209991161e-22,2.4762025688053512e-38,2.1622487056329618e-30,1.1378520094572568e-54,7.5830085040123522e-53,9.3979389428701926e-56
3.756299217610783e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,0.0,3.3683145538059985e-35,7.0388805670773018e-21,1.503798741865231e-40,2.1895601482733031e-31,4.5672325593799053e-69,3.3152328974650883e-12,6.5245972116730777e-61,3.3152328684380116e-12,1.0042655024844108e-41,5.8968335795099557e-40,1.0093402516183035e-56,1.1703133201940509e-57,9.8982731504784364e-29,1.4496050173722073e-47,1.8105391466385567e-10,5.3606846984268915e-12,2.1463297943179283e-14,2.1315470483429386e-22,7.8929374045216604e-22,2.1458337806779342e-14,2.6718408869152121e-31,1.8970535446544535e-18,3.7501545183422771e-19,6.3643808472285196e-21,1.4503638711362889e-36,1.7309847762788264e-29,7.2822125035709852e-53,1.7774550619168374e-50,2.2003670441457215e-53
5.634448851293161e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652031361,0.11866996575337942,0.022821567689033772,0.0,1.2397262894203504e-34,1.4964411984594122e-20,9.5846009949216203e-40,6.5002535935200994e-31,3.8048473004304889e-68,4.972849371386141e-12,3.7044712183350504e-60,4.9728493097047238e-12,3.7993376325637579e-41,2.2481019415373461e-39,7.4150318544257774e-56,8.5975924461906573e-57,2.8302429564524608e-28,6.7623646959596456e-47,2.7158087147533308e-10,8.0410270809056411e-12,3.2196861775266328e-14,4.5294456416404828e-22,1.6772283751199525e-21,3.2186081615104249e-14,7.6393993357055105e-31,3.7998766289899261e-18,1.0191700625921411e-18,2.2471853595783677e-20,7.8607460487747766e-36,4.951310810472777e-29,4.0722693568419689e-52,1.3057834717747281e-49,1.6242890755902602e-52
7.51259848497554e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642708485,0.11866996566118411,0.022821567687693601,0.0,3.1441611204459904e-34,2.5537310436135829e-20,3.9199998590626644e-39,1.4163703240549392e-30,1.8982540672992553e-67,6.6304658472469456e-12,1.4246636955025798e-59,6.6304657420265133e-12,9.889647344828575e-41,6.048405529784471e-39,3.3613715198247408e-55,3.8974374038902001e-56,5.9697169562942266e-28,2.0591423487871775e-46,3.6210782725509668e-10,1.0721369462042134e-11,4.2931709309463962e-14,7.7265572597491449e-22,2.8611215734155631e-21,4.2912970384491744e-14,1.6112948806326768e-30,6.1487757471879742e-18,2.0551019527029544e-18,5.4943987555078197e-20,2.8808911850840823e-35,1.0446913482000992e-28,1.4254901413232556e-51,5.9193172376091228e-49,8.1295318608451893e-52
1.1268897752340297e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727624062733,0.11866996547679351,0.022821567685013259,0.0,1.0995209932501704e-33,5.2902096484930744e-20,3.119363950799958e-38,4.1112817608938211e-30,2.0014019528963982e-66,9.9456988035216169e-12,1.0842795754273879e-58,9.9456985856769221e-12,3.6293561854285957e-40,2.4461147510239022e-38,3.0891585979923196e-54,3.5817683320138811e-55,1.6304761713757142e-27,9.3814912602750757e-46,5.4316173639325462e-10,1.6082054221164945e-11,6.4404636429939916e-14,1.5996358087936577e-21,5.9234757265018029e-21,6.4364741410974899e-14,4.4006018944543724e-30,1.1696449771176737e-17,5.2205713585971109e-18,1.8099292871920301e-19,1.9680942864182343e-34,2.8546903486082625e-28,7.9335228915560851e-51,5.4398507692533586e-48,1.1731807902237546e-50
1.5025197019705054e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727605416982,0.11866996529240291,0.022821567682332917,0.0,2.7473562909561728e-33,9.0016598572492195e-20,1.2674584147195243e-37,8.9909014500818435e-30,9.9527691195964855e-66,1.3260931766928092e-11,4.0942330826505596e-58,1.3260931396433686e-11,9.4111819776829611e-40,6.6253485278511282e-38,1.3994669076755769e-53,1.6226214213471827e-54,3.4114298228841036e-27,2.8178806344715281e-45,7.2421564173743283e-10,2.144273897535184e-11,8.5882837594255189e-14,2.7204811357434081e-21,1.0074097756142878e-20,8.5813368721334048e-14,9.2068926274708967e-30,1.8393532847119346e-17,1.0253555522420162e-17,4.3081666330913308e-19,7.0010148547213387e-34,5.9752111517057151e-28,2.7118242865658785e-50,2.4643616097613616e-47,5.7546970556907486e-50
