Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),H2X(46),OCX(25),CHOX(50),CO2X(24),CH4OX(57),HOCOX(184),COX(47)
0.0005488673138314321,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1279058984928923,0.037695273180167695,0.0065857020283987353,0.004688879088339361,0.11427376700469775,0.0010831288121826135,1.1373830539506495e-08,4.1602151500557414e-15,6.925715782503794e-19,3.691088552376874e-11,2.4077958045295754e-25,9.566210061272834e-14,2.183365622766584e-20,3.6528052639934925e-08,1.5832285684344224e-22,6.779633875167072e-24,2.5568175679066224e-10,1.4687588869832133e-20,0.00092325683512205312,1.6586595530591421e-07,1.4260700723160762e-10,0.00015902302345498822,2.8954417441513259e-11,0.00022317786647389195,0.00049961145318988412,3.0562413640855812e-09,0.0072070874373582564,7.7727314069869517e-06,0.055969732989426972,4.5663266677412143e-09,1.2778263939010357e-08,3.1226195256722199e-09,9.9089037208204753e-14,9.607004788368234e-12
0.000549564231863698,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.127874424189452,0.037662208293268128,0.0065361421298900874,0.0046928638722963838,0.114334738759194,0.0010876404877940219,1.1382345186624185e-08,4.1606396546490426e-15,6.9470000702190625e-19,3.6751299006661928e-11,2.4101855985618377e-25,9.5861799562552923e-14,2.1833029821969009e-20,3.6533708884349388e-08,1.5877172048445329e-22,6.7912958005310639e-24,2.5473246366506271e-10,1.4720004891570023e-20,0.00092221998628115034,1.6517792193818397e-07,1.4250365975915578e-10,0.0001593164099092279,2.9137653926575144e-11,0.00022412148622328714,0.00050067668861631439,3.0438378511275843e-09,0.0072091585102126788,7.8031870442804527e-06,0.055997841053923289,4.578175238742029e-09,1.278471568703829e-08,3.1223348217659403e-09,9.8760755349685893e-14,9.6118309665607455e-12
0.000550261149895964,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12784298592338122,0.03762918832058644,0.0064866922753254721,0.00469683407477173,0.11439557831144051,0.0010921931552682531,1.139085054362781e-08,4.1610606419003554e-15,6.9683819357179215e-19,3.6591628255684037e-11,2.4125649604809884e-25,9.6062895362853524e-14,2.1832287394128107e-20,3.6539325379933818e-08,1.5922325948505904e-22,6.8029799848318868e-24,2.5378122196188799e-10,1.475241988119769e-20,0.00092118489525615948,1.6448919740681768e-07,1.4240126467349521e-10,0.00015961200523369602,2.9323048169327087e-11,0.00022507445554212276,0.00050175101270495453,3.0314196021166614e-09,0.0072112213899302941,7.8339229715929333e-06,0.056025898589655718,4.5900961984605947e-09,1.2791123936423191e-08,3.1220473631545594e-09,9.8431312728497301e-14,9.6166484729514143e-12
0.00055095806792823,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12781158356297639,0.037596213173487082,0.0064373527304583946,0.0047007896552149452,0.11445628531525677,0.0010967872942643298,1.139934659114545e-08,4.1614781307462311e-15,6.9898622628586327e-19,3.6431871560578974e-11,2.4149338728195388e-25,9.6265400440869039e-14,2.1831428814621893e-20,3.6544902193652917e-08,1.5967749851394449e-22,6.8146866581990835e-24,2.528280178041768e-10,1.4784833666329528e-20,0.00092015155743461173,1.6379977327138456e-07,1.4229983333093339e-10,0.00015990982856686761,2.9510632774866266e-11,0.00022603689455053688,0.00050283452349663045,3.0189864555470623e-09,0.0072132760566567576,7.8649424310387341e-06,0.056053905512261117,4.6020902112910338e-09,1.2797488588209727e-08,3.1217571552568082e-09,9.8100703844368389e-14,9.6214572931342791e-12
0.000551654985960496,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12778021697683395,0.037563282763603732,0.0063881237671369103,0.0047047305728623945,0.11451685941656699,0.0011014233911505406,1.1407833309124411e-08,4.1618921401807508e-15,7.0114419459655319e-19,3.6272027199470994e-11,2.4172923181505115e-25,9.646932735376844e-14,2.1830453952681234e-20,3.6550439392091833e-08,1.6013446249341776e-22,6.8264160537536829e-24,2.5187283720395951e-10,1.4817246074386729e-20,0.00091911996822009322,1.6310964103489522e-07,1.4219937733945779e-10,0.00016020989924704786,2.9700440945098473e-11,0.00022700892528732035,0.00050392732042001641,3.0065382488088923e-09,0.0072153224900488346,7.8962487098330835e-06,0.056081861733997741,4.61415794837672e-09,1.2803809542753828e-08,3.121464203453009e-09,9.7768923144802722e-14,9.6262574121247806e-12
0.000552351903992762,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12774888603385096,0.037530397002838146,0.0063390056633943889,0.0047086567867352718,0.114577300253285,0.0011061019391087243,1.141631067681886e-08,4.1623026892576528e-15,7.0331218899747338e-19,3.6112093438777483e-11,2.4196402790869974e-25,9.6674688790029121e-14,2.1829362676275029e-20,3.6555937041456416e-08,1.6059417660202204e-22,6.8381684076614778e-24,2.5091566606118708e-10,1.484965693259542e-20,0.00091809012303219336,1.6241879214143225e-07,1.4209990856465076e-10,0.00016051223681446243,2.989250649136509e-11,0.00022799067174566958,0.00050502950431479613,2.9940748181436786e-09,0.00721736066926797,7.9278451409875519e-06,0.05610976716368947,4.6263000876787031e-09,1.2810086699713382e-08,3.1211685130852216e-09,9.7435965023337749e-14,9.6310488143502115e-12
0.000553048822025028,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12771759060322602,0.037497555803359249,0.0062899987035419163,0.0047125682556375401,0.11463760745519709,0.0011108234382403144,1.142477867277717e-08,4.1627097970925137e-15,7.0549030105820498e-19,3.5952068533112425e-11,2.421977738281706e-25,9.6881497570844264e-14,2.1828154852095852e-20,3.6561395207573354e-08,1.6105666627717091e-22,6.8499439591875843e-24,2.4995649016273229e-10,1.4882066067984776e-20,0.00091706201730644931,1.6172721797785734e-07,1.4200143913571579e-10,0.00016081686101335107,3.0086863847293116e-11,0.00022898225990956457,0.00050614117745538068,2.981595998676057e-09,0.007219390572973515,7.9597351040171351e-06,0.056137621706668819,4.6385173140440348e-09,1.2816319958047712e-08,3.1208700894573525e-09,9.7101823820768427e-14,9.6358314836399663e-12
0.000553745740057294,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12768633055446005,0.037464759077602008,0.0062411031782622813,0.0047164649381539218,0.11469778064384294,0.0011155883956739661,1.1433237274829088e-08,4.1631134828649764e-15,7.0767862343932058e-19,3.5791950725202311e-11,2.4243046784265236e-25,9.7089766651510967e-14,2.1826830345545702e-20,3.6566813955890203e-08,1.6152195721779635e-22,6.8617429507521923e-24,2.4899529518196334e-10,1.4914473307385135e-20,0.00091603564649428632,1.6103490987423417e-07,1.4190398145166304e-10,0.00016112379179407794,3.0283548081950661e-11,0.00022998381779091136,0.00050726244357500038,2.9691016244215184e-09,0.007221412179315957,7.9919220256578162e-06,0.056165425264718877,4.650810319274739e-09,1.282250921601382e-08,3.1205689378352799e-09,9.6766493825436871e-14,9.6406054032155732e-12
0.00055444265808956,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12765510575735717,0.037432006738266424,0.0061923193847058019,0.0047203467926478383,0.11475781943239441,0.0011203973256750052,1.1441686460072551e-08,4.1635137658210368e-15,7.0987724990763963e-19,3.5631738245803646e-11,2.4266210822520757e-25,9.729950912284164e-14,2.182538902072148e-20,3.657219335147559e-08,1.6199007538701838e-22,6.8735656279876255e-24,2.4803206667761241e-10,1.4946878477426041e-20,0.00091501100606297117,1.6034185909930631e-07,1.4180754818771993e-10,0.00016143304931530444,3.0482594913415574e-11,0.00023099547546764576,0.00050839340789017812,2.9565915282017391e-09,0.0072234254659302192,8.0244093805960693e-06,0.056193177736013775,4.6631798021984992e-09,1.2828654371152466e-08,3.1202650634469918e-09,9.6429969269927084e-14,9.6453705556805676e-12
0.000555139576121826,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.12762391608202567,0.037399298698316451,0.0061436476265880396,0.0047242137772593304,0.11481772342553198,0.0011252507497568633,1.1450126204860266e-08,4.1639106652753717e-15,7.1208627535171557e-19,3.5471429313602542e-11,2.4289269325272857e-25,9.7510738212617816e-14,2.1823830740400478e-20,3.6577533459019024e-08,1.6246104701484417e-22,6.8854122397966944e-24,2.4706679009229384e-10,1.4979281404534301e-20,0.00091398809149555974,1.5964805686223877e-07,1.4171215230185663e-10,0.00016174465394616576,3.0684040722580138e-11,0.00023201736512252352,0.00050953417712585821,2.9440655416769049e-09,0.0072254304099285032,8.0572006922115838e-06,0.056220879015058067,4.675626468739192e-09,1.2834755320287771e-08,3.1199584714826953e-09,9.6092244332315138e-14,9.6501269230100749e-12
