Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),HOCOX(206)
4.591482665564676e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44421021629314439,0.11078301002161151,0.02250570410692336,0.0,7.5706498987726181e-06,0.00011405005970341906,2.9380933558609899e-05,2.0797488716809675e-07,5.0905856418826271e-17,0.00040006561929011004,2.7013436912705717e-15,0.00024478645675578249,7.7872506959959506e-12,2.532898748904059e-08,1.2660849605142756e-12,1.2836999006961861e-14,1.767288791869728e-05,2.5610372402154266e-10,0.0074436922389548967,0.00057632599900868831,6.1041505474835153e-05,5.0761903224135783e-07,2.2396969329103153e-09,5.8362644478902134e-10,2.783675289068075e-13,6.4540132770648702e-09,1.3126482036386776e-05,2.3875065977356396e-07,4.3041981940407254e-10,2.1203512805385697e-06,4.0316269482610404e-10,9.128474187168188e-11,7.5075638873989028e-13,3.4670114171929707e-14
4.607208292129484e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44420390705396207,0.11077682237564196,0.022504650732276279,0.0,7.6548694607141986e-06,0.00011482389334505977,2.9644832952753063e-05,2.1003253586275684e-07,5.1687576060758783e-17,0.00040140056617040862,2.7473094796452916e-15,0.00024525739083754373,7.8679796271306771e-12,2.5726947371494786e-08,1.2801235498810052e-12,1.3006113128447284e-14,1.7818955573987496e-05,2.5965887876922637e-10,0.0074482590161436355,0.00057793456984777953,6.1140568777277366e-05,5.0986597491684297e-07,2.2470662419114146e-09,5.8550065758949709e-10,2.7927564133885869e-13,6.472533051648295e-09,1.3142617369411555e-05,2.4007749274940485e-07,4.3495031073772487e-10,2.1354442739853749e-06,4.0876676307948875e-10,9.2103482291560413e-11,7.5616455848873443e-13,3.5017605471975739e-14
4.622933918694291e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44419764522476846,0.11077067863245836,0.022503597515393492,0.0,7.7396517161008176e-06,0.00011559950631586944,2.9909795080891351e-05,2.1210305864103721e-07,5.2477798777369116e-17,0.00040273515750263109,2.7938902463886102e-15,0.00024572660805519911,7.9492550996578659e-12,2.6129494575995468e-08,1.294245690633219e-12,1.3176703297047113e-14,1.7965564493443781e-05,2.6325078105050987e-10,0.0074527813173342859,0.00057954065316659191,6.1239313238701918e-05,5.1211264178023227e-07,2.254432876714236e-09,5.8737428205337955e-10,2.8018337600988954e-13,6.4909633178585473e-09,1.3158587329557337e-05,2.414052880786415e-07,4.3950897877242362e-10,2.1505743831714485e-06,4.1442883609653023e-10,9.2925512305666052e-11,7.6158541401883474e-13,3.5366930583687861e-14
4.638659545259099e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44419143037680325,0.11076457837242094,0.022502544456132801,0.0,7.8249979326873267e-06,0.00011637689228770435,3.0175817265043788e-05,2.1418648642906353e-07,5.3276577029500417e-17,0.0004040693922455981,2.8410919387037535e-15,0.00024619411460409302,8.0310787538732193e-12,2.6536662089237842e-08,1.3084513240670417e-12,1.3348774943549465e-14,1.8112713745857019e-05,2.6687967878765735e-10,0.0074572595633897436,0.00058114425155869696,6.1337741904815684e-05,5.1435902766998604e-07,2.2617968319114658e-09,5.892473168268461e-10,2.8109073328802802e-13,6.5093050574016496e-09,1.3174394311425626e-05,2.4273405015141119e-07,4.4409587743824878e-10,2.1657414711840497e-06,4.2014930577539021e-10,9.3750823623340151e-11,7.6701895611584821e-13,3.5718091347329525e-14
4.6543851718239065e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44418526208537673,0.11075852117987046,0.022501491554353256,0.0,7.9109093752429991e-06,0.00011715604497219977,3.0442896844987924e-05,2.1628285005969474e-07,5.408396333064713e-17,0.00040540326936161372,2.8889205380684949e-15,0.00024665991665798594,8.1134522271488311e-12,2.6948482980060562e-08,1.3227403903521962e-12,1.3522333480043551e-14,1.8260402399527922e-05,2.705458206423561e-10,0.0074616941711895491,0.0005827453676007392,6.1435857768777553e-05,5.1660512733718722e-07,2.2691581021164068e-09,5.9111976055981835e-10,2.8199771354459235e-13,6.5275592491280035e-09,1.3190040691034183e-05,2.4406378355880578e-07,4.4871106051054979e-10,2.1809454020711176e-06,4.2592856518520374e-10,9.4579408009319449e-11,7.7246518632893317e-13,3.6071089632215606e-14
4.670110798388714e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44417913992983099,0.1107525066430906,0.022500438809915074,0.0,7.997387305532582e-06,0.00011793695812019575,3.0711031178502689e-05,2.1839218027253212e-07,5.4900010246683301e-17,0.0004067367878164734,2.9373820602740369e-15,0.00024712402036909035,8.1963771539279098e-12,2.7364990399029139e-08,1.3371128285675334e-12,1.3697384300038299e-14,1.840862952223887e-05,2.7424945601437702e-10,0.0074660855536676238,0.0005843440038522848,6.1533663772421896e-05,5.188509354432765e-07,2.2765166819628202e-09,5.9299161190588966e-10,2.8290431718079501e-13,6.5457268691370354e-09,1.3205528825582169e-05,2.4539449308565424e-07,4.5335458146925276e-10,2.1961860408264153e-06,4.3176700856396029e-10,9.5411257284489933e-11,7.7792410699296513e-13,3.6425927292125521e-14
4.685836424953522e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44417306349350161,0.11074653435427045,0.022499386222679694,0.0,8.0844329822977554e-06,0.00011871962552117496,3.0980217641599043e-05,2.2051450771393024e-07,5.5724770395618256e-17,0.00040806994657947355,2.9864825554633145e-15,0.00024758643186810855,8.2798551657196368e-12,2.7786217578018517e-08,1.3515685767359509e-12,1.3873932778582187e-14,1.8557394181226568e-05,2.779908350402339e-10,0.0074704341198496456,0.00058594016285567173,6.163116280744196e-05,5.2109644657019516e-07,2.2838725661048226e-09,5.9486286952326274e-10,2.8381054459221122e-13,6.5638088895522791e-09,1.3220861053228823e-05,2.4672618370341921e-07,4.5802649366262661e-10,2.2114632533749547e-06,4.3766503131638364e-10,9.6246363326588501e-11,7.8339572127484202e-13,3.6782606243832835e-14
4.701562051518329e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44416703236367999,0.11074060390946754,0.022498333792509706,0.0,8.1720476612396543e-06,0.00011950404100271317,3.1250453628738394e-05,2.2264986293700799e-07,5.6558296447351415e-17,0.00040940274462341995,3.0362281081687201e-15,0.00024804715726427202,8.3638878910940592e-12,2.821219782979519e-08,1.3661075718586858e-12,1.4051984272384318e-14,1.8706695443155716e-05,2.8177020859183906e-10,0.0074747402748900609,0.00058753384713587436,6.1728357716550489e-05,5.2334165522188139e-07,2.2912257492172721e-09,5.9673353207396459e-10,2.8471639616825546e-13,6.5818062789845494e-09,1.3236039692882483e-05,2.4805886056319534e-07,4.6272685032399759e-10,2.2267769065587087e-06,4.4362303001180564e-10,9.7084718070857272e-11,7.8888003303790584e-13,3.7141128445377443e-14
4.717287678083137e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44416104613157609,0.1107347149085712,0.022497281519268865,0.0,8.2602325950009824e-06,0.00012029019842994157,3.1521736553039201e-05,2.2479827640166053e-07,5.7400641123423547e-17,0.00041073518092463586,3.0866248373492534e-15,0.0002485062026453809,8.4484769556770732e-12,2.8642964547598458e-08,1.3807297499489908e-12,1.4231544119936594e-14,1.8856532374093662e-05,2.8558782827515802e-10,0.0074790044201087612,0.00058912505920038962,6.182525129462107e-05,5.2558655581928609e-07,2.2985762259956891e-09,5.9860359822350286e-10,2.8562187233783145e-13,6.5997200030005592e-09,1.3251067044001521e-05,2.493925289887874e-07,4.6745570435184594e-10,2.2421268681226116e-06,4.4964140238203903e-10,9.7926313510685635e-11,7.9437704685591619e-13,3.7501495816802131e-14
4.7330133046479444e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44415510439228062,0.11072886695526619,0.022496229402822056,0.0,8.348989033148315e-06,0.00012107809170502084,3.1794063846471662e-05,2.2695977847457277e-07,5.8251857196802601e-17,0.00041206725446296997,3.1376788964270951e-15,0.00024896357407784613,8.5336239821454309e-12,2.9078551204721141e-08,1.39543504606519e-12,1.4412617641636966e-14,1.9006904039485861e-05,2.8944394642886086e-10,0.0074832269530274035,0.00059071380153911349,6.1921846289788375e-05,5.2783114271103254e-07,2.3059239911560151e-09,6.0047306664220591e-10,2.8652697352252266e-13,6.6175510225161698e-09,1.326594538640892e-05,2.5072719446990662e-07,4.7221310849665142e-10,2.2575130067008291e-06,4.5572054731924358e-10,9.8771141698205685e-11,7.998867681053572e-13,3.7863710343414878e-14
4.748738931212752e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441492067447293,0.11072305965699675,0.022495177443035298,0.0,8.4383182221557554e-06,0.00012186771476662674,3.2067432960041283e-05,2.2913439942923303e-07,5.9111997491668764e-17,0.00041339896422180433,3.1893964733236074e-15,0.00024941927760673216,8.6193305902218816e-12,2.9518991354089665e-08,1.4102233943431232e-12,1.4595210139913664e-14,1.915780950413221e-05,2.9333881612297217e-10,0.0074874082674053852,0.00059230007662423737,6.2018145404524631e-05,5.3007541017721345e-07,2.3132690394350254e-09,6.0234193600437981e-10,2.8743170012279799e-13,6.6353002942374356e-09,1.3280676980116234e-05,2.5206286265547999e-07,4.7699911545335246e-10,2.2729351918033139e-06,4.618608648737918e-10,9.9619194744834447e-11,8.0540920279641022e-13,3.82277740734453e-14
4.7644645577775596e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44414335279166572,0.11071729262493084,0.022494125639775684,0.0,8.5282214053882388e-06,0.00012265906158944717,3.234184136396066e-05,2.313221694459478e-07,5.9981114883184762e-17,0.00041473030918806142,3.2417837904947618e-15,0.00024987331925580095,8.7055983966703301e-12,2.9964318627843444e-08,1.425094728027972e-12,1.4779326899350312e-14,1.9309247832164487e-05,2.9727269115751849e-10,0.0074915487532754791,0.00059388388691016263,6.2114151296703432e-05,5.3231935242139865e-07,2.3206113655903572e-09,6.0421020498752323e-10,2.8833605259177805e-13,6.6529687716763987e-09,1.3295264065158233e-05,2.5339953934703035e-07,4.8181377754182353e-10,2.288393293802629e-06,4.6806275625212956e-10,1.0047046482180747e-10,8.10944357564456e-13,3.8593688988849919e-14
4.780190184342367e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44413754213960516,0.11071156547392494,0.022493073992911412,0.0,8.6186998230846051e-06,0.00012345212618369034,3.2617286547810588e-05,2.3352311861185761e-07,6.0859262297309822e-17,0.00041606128835221153,3.2948471049659899e-15,0.0002503257050275572,8.7924290152910792e-12,3.0414566736913799e-08,1.4400489795054764e-12,1.496497318681195e-14,1.9461218087024394e-05,3.0124582606117376e-10,0.0074956487969791335,0.00059546523483340987,6.2209866580622541e-05,5.3456296358104146e-07,2.3279509644001394e-09,6.0607787227416917e-10,2.8924003137753819e-13,6.6705574030865849e-09,1.3309708861441614e-05,2.5473723049217826e-07,4.8665714689510579e-10,2.3038871839210377e-06,4.7432662381463324e-10,1.0132494416067606e-10,8.1649223982755939e-13,3.8961457132711044e-14
