Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
3.718043137717042e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32575806759265863,0.11291016447352767,0.019654945053952474,1.2485536275666183e-05,0.0001399742846621731,3.7409892399469802e-06,4.6881709356345656e-05,8.2998992163414891e-12,4.0840852140597232e-21,8.5209985729008462e-07,1.2228409946736058e-22,1.5505775833653064e-08,2.0589418244612457e-17,9.6599808892745675e-11,9.3013291902297275e-16,1.0810407482753064e-17,2.4560631407533733e-06,8.9921893584854811e-17,0.0056852379482357617,0.0061041258134154758,1.5030857960123376e-10,5.1054195925276306e-06,1.0424643468649901e-14,3.476309670913955e-11,1.9092477124689429e-07,6.7487816069366298e-07,7.3984258976711255e-09,1.415211742660907e-05,9.2223182749764445e-10
3.72778607032656e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32574447591274003,0.11291004427353039,0.019647448689202207,1.2595417822364274e-05,0.00014069854207181555,3.7401800854145056e-06,4.7081951596723348e-05,8.4114171450857366e-12,4.1139602519525443e-21,8.5631284550446293e-07,1.2537499217590472e-22,1.5497658258779108e-08,2.0932046409838464e-17,9.7668616260278764e-11,9.3366792799751132e-16,1.088936209382556e-17,2.462525807891563e-06,9.173418147529102e-17,0.0056849926672663765,0.0061179157384941615,1.5064289274661632e-10,5.1003961642712542e-06,1.0447861675450645e-14,3.4741763569747276e-11,1.9091120554519841e-07,6.7575949248508769e-07,7.4334322143276739e-09,1.4203268126647562e-05,9.2768399541349938e-10
3.737529002936078e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32573089483569334,0.112909923141039,0.019639956194967174,1.2705944473946276e-05,0.00014142440082823374,3.7393477045598199e-06,4.728233079200603e-05,8.524038166978903e-12,4.1439504609290835e-21,8.6053017374197432e-07,1.2853273019485899e-22,1.5489549436460759e-08,2.1279093775854387e-17,9.8745479057225391e-11,9.3720209793458992e-16,1.0968653748007387e-17,2.468977986485399e-06,9.3576571976193965e-17,0.005684747525201689,0.0061316948991445245,1.5097694736026451e-10,5.0953899907609158e-06,1.0471062101790804e-14,3.4720534105973464e-11,1.9089768417277941e-07,6.7663897545437414e-07,7.4685047957427329e-09,1.4254425947648651e-05,9.3315040426133875e-10
3.7472719355455957e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3257173243575549,0.11290980107678984,0.01963246756927061,1.2817117876956518e-05,0.00014215185939809842,3.7384923107110991e-06,4.7482845050653717e-05,8.6377688472741087e-12,4.1740558122692288e-21,8.6475179920013051e-07,1.3175850369166395e-22,1.5481449616339764e-08,2.1630599204356786e-17,9.9830425546414186e-11,9.4073540833378931e-16,1.1048282676764881e-17,2.4754196826417885e-06,9.544945256198375e-17,0.0056845025220163634,0.0061454632998615526,1.5131074350570016e-10,5.0904009825084552e-06,1.0494244751621671e-14,3.4699407768911846e-11,1.9088420676819746e-07,6.7751661687515349e-07,7.5036435681350087e-09,1.4305590466705051e-05,9.3863101423039009e-10
3.7570148681551136e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32570376447435623,0.11290967808151899,0.019624982810135968,1.292893967299339e-05,0.0001428809162499969,3.7376141155525269e-06,4.7683492485075321e-05,8.7526157565692647e-12,4.2042762764982051e-21,8.6897767923542814e-07,1.3505351913491408e-22,1.547335904255085e-08,2.1986601705285703e-17,1.0092348391481771e-10,9.4426783878601924e-16,1.1128249108380868e-17,2.4818509026509841e-06,9.7353214106075611e-17,0.0056842576576849645,0.006159220945142361,1.5164428124659274e-10,5.0854290506460741e-06,1.0517409629039436e-14,3.4678383049459223e-11,1.9087077297118925e-07,6.7839242397295549e-07,7.5388484580301315e-09,1.4356761262190863e-05,9.4412578490845723e-10
3.7667578007646315e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32569021518212604,0.11290955415596213,0.019617501915586952,1.3041411498689289e-05,0.00014361156985442412,3.7367133291374507e-06,4.7884271211645147e-05,8.8685854706455331e-12,4.2346118233906057e-21,8.7320777136330586e-07,1.3841899944152918e-22,1.546527795381389e-08,2.2347140435974351e-17,1.0202468227319438e-10,9.4779936897232117e-16,1.1208553267961194e-17,2.4882716529840063e-06,9.9288250893786162e-17,0.0056840129321819666,0.0061729678394862302,1.519775606468848e-10,5.0804741069202613e-06,1.0540556738007829e-14,3.4657460264969176e-11,1.9085738242888638e-07,6.7926640392451158e-07,7.5741193917152226e-09,1.4407937913755102e-05,9.4963467655657876e-10
3.7765007333741494e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32567667647688792,0.11290942930085468,0.019610024883647523,1.3154534985693307e-05,0.00014434381868377305,3.7357901599013784e-06,4.8085179350719536e-05,8.9856845703063724e-12,4.2650624219743971e-21,8.7744203325809122e-07,1.4185618412452294e-22,1.5457206583524005e-08,2.2712254700291402e-17,1.0313404865573802e-10,9.5132997866273603e-16,1.1289195377441314e-17,2.4946819402901157e-06,1.0125496063513688e-16,0.0056837683454817461,0.0061867039873946339,1.5231058177066736e-10,5.075536063688443e-06,1.056368608247242e-14,3.4636638826339215e-11,1.9084403479360298e-07,6.8013856385935334e-07,7.6094562957931649e-09,1.4459120002328883e-05,9.5515764885992045e-10
3.786243665983667e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32566314835466276,0.1129093035169316,0.019602551712341862,1.326831176065293e-05,0.00014507766121232653,3.7348448146748671e-06,4.8286215026654432e-05,9.1039196412170339e-12,4.2956280405348741e-21,8.8168042275294314e-07,1.4536632944112701e-22,1.5449145159840475e-08,2.3081983947779081e-17,1.0425161101973283e-10,9.5485964771517874e-16,1.1370175655592898e-17,2.5010817713943134e-06,1.0325374447759211e-16,0.0056835238975585919,0.0062004293933712439,1.5264334468217393e-10,5.070614833912928e-06,1.0586797666592038e-14,3.4615916978680978e-11,1.9083072971536312e-07,6.8100891086042957e-07,7.644859097205686e-09,1.4510307110134192e-05,9.6069466083768828e-10
3.795986598593185e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32564963081146642,0.11290917680492756,0.019595082399694416,1.3382743445193908e-05,0.00014581309591624867,3.7338774986964066e-06,4.8487376367822099e-05,9.2232972737441437e-12,4.3263086466186207e-21,8.8592289783979178e-07,1.4895070854098438e-22,1.5441093905775349e-08,2.3456367772790123e-17,1.053773972452089e-10,9.5838835607429314e-16,1.145149431803046e-17,2.5074711532948314e-06,1.0528500701878026e-16,0.0056832795883866851,0.0062141440619219801,1.5297584944597182e-10,5.0657103311551992e-06,1.0609891494383674e-14,3.4595295975701512e-11,1.9081746684702138e-07,6.8187745196246049e-07,7.6803277224151274e-09,1.4561498820676639e-05,9.6624567265217058e-10
3.805729531202703e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32563612384331103,0.1129090491655769,0.019587616943729874,1.3497831655904724e-05,0.00014655012127357504,3.7328884156250958e-06,4.8688661506627048e-05,9.3438240627960664e-12,4.3571042070373952e-21,8.9016941666926824e-07,1.5261061161499177e-22,1.5433053039279916e-08,2.3835445913616755e-17,1.0651143513460743e-10,9.6191608377035969e-16,1.1533151577217993e-17,2.5138500931606922e-06,1.0734915631909237e-16,0.0056830354179401247,0.0062278479975550281,1.5330809612669147e-10,5.060822469573022e-06,1.0632967569821683e-14,3.4574774275860301e-11,1.9080424585272631e-07,6.8274419415539048e-07,7.7158620985839744e-09,1.4612694718745051e-05,9.7181064311934393e-10
3.815472463812221e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32562262744620518,0.11290892059961355,0.01958015534247317,1.3613578004317547e-05,0.00014728873576420545,3.7318777675532016e-06,4.889006857952242e-05,9.4655066076638799e-12,4.3880146878719919e-21,8.9441993755062813e-07,1.5634734604463707e-22,1.5425022773329392e-08,2.4219258251613497e-17,1.0765375241245247e-10,9.6544281091825485e-16,1.1615147642475683e-17,2.5202185983292802e-06,1.0944660391418693e-16,0.0056827913861929027,0.0062415412047808656,1.5364008478916626e-10,5.0559511639134034e-06,1.0656025897160227e-14,3.4554350381504504e-11,1.9079106639781406e-07,6.8360914438316979e-07,7.7514621529584465e-09,1.466389439042063e-05,9.7738953091904383e-10
3.824241103160787e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32561048972375456,0.11290880409859902,0.019573443195485148,1.3718313753466218e-05,0.00014795484625988075,3.7309499119894827e-06,4.9071437661829675e-05,9.5760145269879766e-12,4.4159323489584115e-21,8.9824879376857133e-07,1.597771923621431e-22,1.5417804769520185e-08,2.4568770170920391e-17,1.0868893969090905e-10,9.6861599351497455e-16,1.1689233950872633e-17,2.5259413375129726e-06,1.1136311973636907e-16,0.0056825718761867707,0.0062538559222257237,1.5393865403363994e-10,5.0515810741421489e-06,1.0676763220438976e-14,3.4536053463085887e-11,1.9077924012519982e-07,6.8438607315933669e-07,7.7835582963032722e-09,1.4709976980302961e-05,9.8242239587736486e-10
3.833009742509353e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32559836055770147,0.11290868684815704,0.019566734167771407,1.382358506303153e-05,0.00014862224161820952,3.7300048963545403e-06,4.9252902651781475e-05,9.6874687741017071e-12,4.4439430417691064e-21,9.0208082783818698e-07,1.6327132270763689e-22,1.5410595669120077e-08,2.4922178482231999e-17,1.097308757682471e-10,9.7178833524920872e-16,1.1763595007374178e-17,2.5316556362508084e-06,1.1330724827698573e-16,0.0056823524784868672,0.0062661619566075112,1.5423701438365141e-10,5.0472242647577443e-06,1.0697486173904066e-14,3.4517835629336256e-11,1.9076744698594993e-07,6.8516156102872821e-07,7.8157075268913949e-09,1.4756061992656675e-05,9.8746647086160094e-10
3.841778381857919e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32558623994512753,0.1129085688488219,0.019560028257892645,1.3929393097245635e-05,0.00014929092073487737,3.7290428647676866e-06,4.9434462199328291e-05,9.7998741683632378e-12,4.4720467400734398e-21,9.0591600969614327e-07,1.6683072647486444e-22,1.5403395617380209e-08,2.5279512552772449e-17,1.1077958069248161e-10,9.7495982179637315e-16,1.1838230958069804e-17,2.5373615002320512e-06,1.152792968153205e-16,0.0056821331930740357,0.006278459311219225,1.5453516588682996e-10,5.0428806748170112e-06,1.0718194760773613e-14,3.4499694738421737e-11,1.9075568674422865e-07,6.8593561296045858e-07,7.8479097921326897e-09,1.4802149128422068e-05,9.9252172505734216e-10
