Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),H2OX(23)
4.000819878340658e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983089,0.11866996602980398,0.02282156769305041,0.0,1.7002947777271444e-47,1.6562405406068545e-32,0.0,3.8493154767739309e-43,0.0,4.0682630149624899e-20,5.4677410341263136e-91,4.0682611575800334e-20,3.6967209799742661e-61,7.0216646434386512e-53,0.0,0.0,4.067333346578838e-43,6.8394988159564321e-72,1.6134137935140074e-13,7.7574368965713114e-15,2.9901353002549052e-18,1.3205683417646128e-28,2.9901353186966482e-18,3.6299267960994899e-44,2.0387679213473182e-55,8.1111872611178625e-33,1.5276312151145626e-40
8.00169402200987e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996618,0.11866996602964264,0.022821567693046531,0.0,2.7202403139111351e-46,6.6250295561998772e-32,0.0,3.0795010757911815e-42,0.0,8.1365849248009265e-20,3.4994397222602728e-89,8.1365774951955597e-20,5.9148537835239009e-60,1.1233692130462678e-51,0.0,0.0,3.2535769930653081e-42,2.1886779412193203e-70,3.2268494705898415e-13,1.551497901152915e-14,5.9803111204723981e-18,5.2817560767492187e-28,5.9803111942401758e-18,2.9039759008435496e-43,3.2620839431934259e-54,3.2445091758732737e-32,1.2219960348821369e-39
1.6003442309348295e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319932357,0.11866996602931995,0.022821567693038773,0.0,4.3515614591100501e-45,2.6500253015350823e-31,0.0,2.4636202959733984e-41,0.0,1.6273239888889845e-19,2.2396697863759536e-87,1.6273210170317539e-19,9.4638460683426456e-59,1.797031052220816e-50,0.0,0.0,2.602351908459007e-41,7.0038306092580803e-69,6.4537208245612202e-13,3.1030063241407659e-14,1.1960662650227288e-17,2.1122564924546118e-27,1.1960662945300355e-17,2.3231945060918891e-42,5.2193784359980733e-53,1.2978112845974041e-31,9.7740517966099278e-39
3.200693888402515e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319864717,0.11866996602867456,0.022821567693023258,0.0,6.9597997397641735e-44,1.0600128166235794e-30,0.0,1.9709039428533239e-40,0.0,3.2546594394714225e-19,1.4333990408738257e-85,3.2546475520125167e-19,1.5142217214319833e-57,2.8740602078515769e-49,0.0,0.0,2.0810479829401877e-40,2.241235512723959e-67,1.290746353178282e-12,6.2060231701016086e-14,2.3921365267016705e-17,8.4453961854811688e-27,2.3921366447315602e-17,1.858561118641832e-41,8.351040515312018e-52,5.1912664463828349e-31,7.8161072883623822e-38
6.401393203337885e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319729431,0.11866996602738379,0.022821567692992227,0.0,1.1127000965566991e-42,4.2400566600595842e-30,0.0,1.576726127772393e-39,0.0,6.5093481716935676e-19,9.1738037229255124e-84,6.5093006217995127e-19,2.4227596724355816e-56,4.5946632383796841e-48,0.0,0.0,1.6634988730575868e-39,7.1719687164529452e-66,2.5814948943341393e-12,1.2412056861963846e-13,4.7842768729714231e-17,3.3752452808135291e-26,4.7842773450944795e-17,1.4868510997574276e-40,1.3361691930084171e-50,2.0765157037284627e-30,6.2478492528264497e-37
1.2802791833208626e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319458858,0.11866996602480225,0.022821567692930166,0.0,1.7775451449456623e-41,1.6960237439696258e-29,0.0,1.2613819173013509e-38,0.0,1.3018796960356408e-18,5.8712716540657534e-82,1.3018606760675391e-18,3.8764188911699775e-55,7.3391994256003899e-47,0.0,0.0,1.3286579283777436e-38,2.2950320988454273e-64,5.1629919754920011e-12,2.4824124245450553e-13,9.5685568571585108e-17,1.3477706136765438e-25,9.5685587456750616e-17,1.189481760676987e-39,2.1378725864948102e-49,8.3061199738512273e-30,4.99022860251185e-36
2.560558909295011e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318917713,0.11866996601963915,0.022821567692806046,0.0,2.8352295396910903e-40,6.7840971456278037e-29,0.0,1.0091056609729334e-37,0.0,2.6037979834471839e-18,3.757653069589993e-80,2.6037219035634687e-18,6.2022712965021188e-54,1.1703647437939695e-45,0.0,0.0,1.059515253707816e-37,7.3441041553790444e-63,1.0325986133192318e-11,4.9648259011473013e-13,1.9137113992123878e-16,5.3725469861062197e-25,1.9137121546376531e-16,9.5158575918251279e-39,3.420596710080525e-48,3.3224905481846562e-29,3.9793571918856776e-35
5.121118361243307e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317835429,0.11866996600931297,0.022821567692557804,0.0,4.508325908160314e-39,2.7136393000867334e-28,0.0,8.0728413338871581e-37,0.0,5.207748676918929e-18,2.4049454356967462e-78,5.2074443574383464e-18,9.9236296138245067e-53,1.8601968483116567e-44,0.0,0.0,8.4220454511933558e-37,2.3501123207695428e-61,2.0651974430131317e-11,9.9296528539715125e-13,3.8274216928426052e-16,2.1343313246598244e-24,3.8274247146899945e-16,7.6126874487018211e-38,5.472952216019691e-47,1.3290296324715084e-28,3.1631529693056891e-34
1.0242237265139899e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315670861,0.1186699659886606,0.022821567692061322,0.0,7.1252035842144423e-38,1.0854558147103755e-27,0.0,6.458264345683697e-36,0.0,1.0416106537914538e-17,1.5392794431245295e-76,1.0414889260720171e-17,1.5877786799014594e-51,2.9374133780943673e-43,0.0,0.0,6.6526958229062503e-36,7.5203498812481039e-60,4.130395095016279e-11,1.985930675809955e-12,7.6548377466570508e-16,8.4220459648366129e-24,7.6548498351921357e-16,6.0901504653425776e-37,8.7567120016851606e-46,5.3163845677733708e-28,2.4985847492533424e-33
2.0484475072933082e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311341718,0.11866996594735588,0.022821567691068356,0.0,1.1128271790485628e-36,4.3418234986613007e-27,0.0,5.1665965642324835e-35,0.0,2.0834648151790033e-17,9.8525063368987931e-75,2.0829779049412093e-17,2.5404387965292212e-50,4.5799032218113896e-42,0.0,0.0,5.1911113340239085e-35,2.4065053590134027e-58,8.2607903694839635e-11,3.9718614560279782e-12,1.5309651720545206e-15,3.2800021077885173e-23,1.5309700083503202e-15,4.8721205048815178e-36,1.4010699478505899e-44,2.1267664034616729e-27,1.9495947849316002e-32
