Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH3OO(77)
6.184333374004383e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319738601,0.11866996602747132,0.02282156769299433,0.0,1.0427455238254673e-48,3.9573849154921016e-30,0.0,1.4217112917732263e-39,0.0,6.2886241577420563e-19,7.4586399968605638e-84,6.2885797778428376e-19,2.1104933003118538e-56,4.0026827685537386e-48,0.0,0.0,1.5000327283226797e-39,6.0357402245951621e-66,2.493961005502566e-12,1.1991186145461448e-13,4.6220505904236876e-17,3.1504134613896091e-26,4.6220510310716678e-17,1.3406718809593193e-40,1.9380800196810966e-30
1.2368671990537567e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319477205,0.11866996602497731,0.022821567692934374,0.0,1.6657069186083483e-47,1.5829549740939243e-29,0.0,1.1373699558200767e-38,0.0,1.2577342405411827e-18,4.7735591175262336e-82,1.257716488571656e-18,3.3767922760584043e-55,6.3939718772313876e-47,0.0,0.0,1.19816072570562e-38,1.9314386587640466e-64,4.9879241237279602e-12,2.3982382455690061e-13,9.2441042175066666e-17,1.2580663987516248e-25,9.244105980120567e-17,1.0725382990794983e-39,7.752371785233926e-30
2.4737349223603934e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318954412,0.11866996601998929,0.022821567692814463,0.0,2.6565709555735649e-46,6.3318219210584466e-29,0.0,9.0989609067361608e-38,0.0,2.5155045177747845e-18,3.0551087123403793e-80,2.515433509885771e-18,5.4028686398565433e-54,1.0197463069510106e-45,0.0,0.0,9.5555622401914594e-38,6.1806049928990396e-63,9.9758503558710367e-12,4.7964775075259743e-13,1.8488208827157803e-16,5.0155470430028868e-25,1.8488215877781668e-16,8.5803095550100639e-39,3.1009871220317777e-29
4.947470368973667e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317908826,0.11866996601001326,0.022821567692574637,0.0,4.2233668430069094e-45,2.532729180470403e-28,0.0,7.2791653423687384e-37,0.0,5.0311515829800834e-18,1.955306888048377e-78,5.030867551471485e-18,8.6445861477877393e-53,1.6211631103568984e-44,0.0,0.0,7.5973136063441839e-37,1.9777927958311354e-61,1.9951702802926336e-11,9.5929560310849733e-13,3.6976407468406887e-16,1.9929667459738819e-24,3.6976435672222725e-16,6.8642488851572698e-38,1.2404249836950342e-28
9.894941262200214e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315817654,0.11866996599006117,0.02282156769209499,0.0,6.6720775317454736e-44,1.0130917602859064e-27,0.0,5.8233247013581575e-36,0.0,1.0062871755854303e-17,1.251486245983145e-76,1.0061735630472843e-17,1.383132057726711e-51,2.5610810020652512e-43,0.0,0.0,6.003766139786845e-36,6.3289292158120994e-60,3.9903407628113538e-11,1.9185913076783894e-12,7.3952762438740863e-16,7.8677873413947301e-24,7.3952875264347184e-16,5.4913995665044767e-37,4.9619398306743148e-28
1.978988304865331e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311635305,0.11866996595015701,0.022821567691135695,0.0,1.0411933430240937e-42,4.0523672628457961e-27,0.0,4.6586467811768426e-35,0.0,2.0128016267557285e-17,8.0103900772382215e-75,2.0123471771795289e-17,2.2130053297512252e-50,3.9965246326742284e-42,0.0,0.0,4.6885784659256026e-35,2.0252519855366798e-58,7.9806817002794343e-11,3.8371827162510621e-12,1.4790530313114238e-15,3.0668277524822552e-23,1.4790575451327878e-15,4.3931197756253265e-36,1.9849676119882951e-27
3.95797666215595e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756303270607,0.1186699658703487,0.022821567689217104,0.0,1.5872982037912101e-41,1.6209469858840947e-26,0.0,3.7268963116584601e-34,0.0,4.0265121923574384e-17,5.1277701875673373e-73,4.0246943987719095e-17,3.5407890956114826e-49,6.092394222217987e-41,0.0,0.0,3.5798947981752965e-34,6.4807713621020156e-57,1.5961363464938155e-10,7.6743655311317412e-12,2.9580970752600032e-15,1.1668962070035401e-22,2.9581151364817598e-15,3.5144957719814068e-35,7.9414034058870027e-27
5.936965019446569e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629490591,0.11866996579054039,0.022821567687298514,0.0,5.9189578315240193e-41,3.444512448277066e-26,0.0,1.1064187699501166e-33,0.0,6.0409044180984669e-17,2.9113672513526084e-72,6.0370416136921813e-17,1.3395488896201842e-48,2.2729516159864894e-40,0.0,0.0,9.9697401132736254e-34,3.0232588965604282e-56,2.3942045119319436e-10,1.1511548343751327e-11,4.4371343493402997e-15,2.396720573041026e-22,4.4371727376601405e-15,1.0049261216596285e-34,1.6877733628222739e-26
9.894941734027808e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627817652,0.11866996563092376,0.02282156768346133,0.0,4.4645146219535647e-40,9.5230644390742492e-26,0.0,5.1826412094589162e-33,0.0,1.0072415485179157e-16,7.8311453558935027e-71,1.0061736016844291e-16,1.0571744487091061e-47,1.7156515223904651e-39,0.0,0.0,4.250499244327221e-33,4.0513215217514699e-55,3.9903407986972246e-10,1.9185913959968763e-11,7.3951818182776311e-15,6.101705508178179e-22,7.3952880026464925e-15,4.6182667981948792e-34,4.6678018839282308e-26
1.3457120777150921e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756263120069,0.1186699654872688,0.022821567680007867,0.0,1.2458768224215076e-39,1.6957757020917862e-25,0.0,1.1959389515266988e-32,0.0,1.3702977868369121e-16,3.4014063734570092e-70,1.3683960958123439e-16,2.9667606565510555e-47,4.790593675822893e-39,0.0,0.0,9.1839600747040989e-33,1.3445995585294786e-54,5.426863421155064e-10,2.6092843007291594e-11,1.005740266708905e-14,1.0298358885174183e-21,1.0057591806099529e-14,1.0395671854326073e-33,8.3138666548085262e-26
1.7019299820274035e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756248063619,0.11866996534361383,0.022821567676554404,0.0,2.7502375934744478e-39,2.6471299213146211e-25,0.0,2.3026939955462979e-32,0.0,1.7335871449317738e-16,1.0300079953209532e-69,1.7306185876584152e-16,6.7925403870293198e-47,1.0577061233420116e-38,0.0,0.0,1.665534050087348e-32,3.6129383697502009e-54,6.8633860058983127e-10,3.2999772046931417e-11,1.2719600363748961e-14,1.5261786043305185e-21,1.2719895692897238e-14,1.9648495610274288e-33,1.298104691234712e-25
