Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),H2OX(23),C2H4X(65),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
6.0300427548118834e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679700666,0.11866996602700527,0.02282156769301126,0.0,2.2282186114512832e-42,1.8110582362605456e-24,4.7685899396683592e-53,9.209393337966488e-37,3.7306017409831604e-85,5.321990944746394e-14,1.1352975163444095e-71,5.32199092206608e-14,6.7808462097542606e-49,2.4886913171871228e-47,5.1365010372070492e-71,5.9557609521956777e-72,1.7774058377727113e-36,1.5712591861606381e-56,2.9064853448157633e-12,8.6055865294932381e-14,3.4451049286756083e-16,5.4922031156137343e-26,2.0341100479273044e-25,3.4451026151558433e-16,7.1503137901224557e-35,1.2671357710826069e-63,8.7868472551393752e-48,1.1826920388333697e-74,1.1053021014912704e-36,1.4781396160625241e-67,4.011060817136622e-24,8.7317543528312425e-29,2.3619719304342186e-32,1.3375654827429787e-51,9.0458559096360506e-65
1.2060090621358681e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679401345,0.11866996602404523,0.022821567692968232,0.0,3.5644453891849283e-41,7.2442375495873036e-24,5.8975266309526106e-51,7.3675217896250263e-36,1.8457001892691453e-82,1.0643986445135464e-13,7.2659147528093477e-70,1.0643986354414178e-13,1.0849364942818311e-47,3.9810704989975256e-46,1.2705904117808675e-68,1.4732465439876112e-69,1.4216371282761532e-35,5.0280342725650183e-55,5.8129731520737614e-12,1.7211180353854271e-13,6.8902129268786551e-16,2.1964049081313946e-25,8.1364406987601091e-25,6.8902036727948837e-16,5.7202552638422435e-34,8.1096765418856069e-62,1.4058970150720535e-46,1.5138472439144888e-72,8.8406108286330238e-36,9.4597965678494038e-66,1.6043895180925763e-23,6.983375916989926e-28,3.7766927281921247e-31,8.2700502777579177e-50,2.2376264075154738e-62
2.4120186354452273e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678802696,0.11866996601812513,0.022821567692882176,0.0,5.7008530881464595e-40,2.8976959400134997e-23,7.0739923800332772e-49,5.8940200787685991e-35,8.8572266614919132e-80,2.1287977578307157e-13,4.6501885568273569e-68,2.1287977215422144e-13,1.7358991540230675e-46,6.3670296092372067e-45,3.0484911521775634e-66,3.534717865056099e-67,1.1368486416023199e-34,1.608971445769077e-53,1.1625948762335729e-11,3.4422368002022959e-13,1.3780429370528084e-15,8.7818028716551939e-25,3.2545735813414432e-24,1.3780392354190429e-15,4.5762058902892355e-33,5.1901940616437702e-60,2.2494363023344619e-45,1.9377248841902463e-70,7.0695929258590234e-35,6.0538796087646205e-64,6.4172734992254474e-23,5.5834529731043164e-27,6.0381887858580814e-30,4.9586430555459944e-48,5.368665961403072e-60
4.8240377820639456e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677605403,0.11866996600628492,0.022821567692710064,0.0,9.1141373752562556e-39,1.1590785594568106e-22,8.0428668817321282e-47,4.7152168008307077e-34,4.0295227886256664e-77,4.2575960374221736e-13,2.9761212989092963e-66,4.2575958922685152e-13,2.7774388812789514e-45,1.017866277886294e-43,6.9336366152403187e-64,8.0395327835834965e-65,9.0874157849904311e-34,5.1487074609523648e-52,2.3251899965843559e-11,6.8844743296147434e-13,2.7560864046962898e-15,3.5096697804925274e-24,1.3018266532540242e-23,2.7560715981662202e-15,3.6609653623444944e-32,3.3217228033824808e-58,3.5990986737319361e-44,2.4802868202931298e-68,5.6510434721608728e-34,3.8739803643792701e-62,2.5666805450428144e-22,4.4615716621777065e-26,9.6493421387019175e-29,2.8175934106611067e-46,1.2210723553001104e-57
9.648076075301384e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675210819,0.1186699659826045,0.022821567692365839,0.0,1.4559540762921009e-37,4.6363146000508612e-22,8.4091642496718662e-45,3.7721732221800117e-33,1.6861901499362953e-74,8.5151928084321513e-13,1.9047173897138309e-64,8.515192227819948e-13,4.443901195702653e-44,1.6258426249917391e-42,1.450442759636849e-61,1.6817837933397494e-62,7.2581609856508641e-33,1.6475849650695326e-50,4.6503802304794793e-11,1.376894938755432e-12,5.5121740557702318e-15,1.4014324132282814e-23,5.2072831373845569e-23,5.5121148297011032e-15,2.9287725154022169e-31,2.1258999202084212e-56,5.7585574777281655e-43,3.1747631542944624e-66,4.5134415522176394e-33,2.4787033387967445e-60,1.0264889342211509e-21,3.5609772968965362e-25,1.5403571923493879e-27,1.4718149015133481e-44,2.5543398096642208e-55
1.9296152661776257e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670421644,0.11866996593524366,0.022821567691677393,0.0,2.3221749554848389e-36,1.854525908723396e-21,7.8625715182296412e-43,3.0177376685938791e-32,6.3117183965670158e-72,1.7030387197746943e-12,1.2190184515427911e-62,1.7030384875318141e-12,7.1102372546038531e-43,2.5926138885291655e-41,2.7138695517595121e-59,3.1467207748031774e-60,5.7877816397187818e-32,5.2722617022832652e-49,9.3007606710439525e-11,2.7537899499893909e-12,1.102435222211972e-14,5.586339365367422e-23,2.0828942263893067e-22,1.102411531827971e-14,2.3430180473039951e-30,1.3605722424530354e-54,9.2136888530633005e-42,4.0636858053382968e-64,3.5989790328633345e-32,1.5855460028187418e-58,4.1044896924047043e-21,2.8356163361043527e-24,2.4534915832446385e-26,6.8728815411809108e-43,4.7792808864440882e-53
3.859230583472601e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727660843301,0.11866996584052199,0.022821567690300498,0.0,3.6921703937031421e-35,7.4181037423632645e-21,6.5073841235687669e-41,2.4141884564758135e-31,2.0917185443830476e-69,3.4060779365450175e-12,7.8017083083572283e-61,3.4060770075895827e-12,1.1376363570337875e-41,4.1204972180232755e-40,4.4953543244613811e-57,5.2123372572895624e-58,4.6005090521244281e-31,1.6871170526338121e-47,1.8601521443269814e-10,5.5075799710424887e-12,2.2048720020168448e-14,2.2191727400873339e-22,8.3314241843598682e-22,2.2047772408245485e-14,1.8744143634700973e-29,8.7076140010544976e-53,1.4741890744729544e-40,5.2014890419870308e-62,2.8605198502390319e-31,1.0136960745098647e-56,1.6406240870350611e-20,2.2476897778324321e-23,3.8906995033293629e-25,2.8401497347724672e-41,7.9164146098249467e-51
5.788845900767576e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727651264957,0.11866996574580031,0.022821567688923603,0.0,1.3548663622931945e-34,1.576347048484358e-20,3.8043506071656513e-40,7.1671190851398966e-31,1.6295246844393321e-68,5.1091174922120494e-12,4.4295768480603368e-60,5.1091155182054809e-12,4.3039065163159372e-41,1.5661828320450826e-39,3.0617475507314648e-56,3.5500769188311014e-57,1.3106119590590922e-30,7.8703514568252784e-47,2.7902282106592591e-10,8.2613699906845973e-12,3.3073099292066974e-14,4.6933568109402704e-22,1.7704051947484975e-21,3.3071085621791176e-14,5.3596534085974423e-29,4.8693648477206789e-52,5.57715459965222e-40,3.4061372092715536e-61,8.1488629197278111e-31,5.6666647854212324e-56,3.484606474364112e-20,6.3931437043907508e-23,1.4259204910730144e-24,1.3932287198489057e-40,5.3917704310585668e-50
9.648076535357525e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072763210827,0.11866996555635698,0.022821567686169813,0.0,1.0313612084847491e-33,4.3581359395968024e-20,1.0959829053515762e-38,3.3572247672922942e-30,1.4411361874580001e-66,8.5151979590489006e-12,1.1907885396803631e-58,8.515192501669797e-12,3.3966777450191357e-40,1.2717634394667867e-38,1.5357110996217864e-54,1.780639792026564e-55,5.9568615535967605e-30,1.0546708040187953e-45,4.650380299762582e-10,1.3768950024315562e-11,5.5121903802638078e-14,1.2818894149754803e-21,4.8944896126723004e-21,5.5116336629388621e-14,2.4630972977966574e-28,1.1203607812725064e-50,4.4015402114161183e-39,1.3620982676430641e-59,3.7033225308723182e-30,1.3014843978543719e-54,9.6216737052728261e-20,2.892046519952156e-22,1.0806627477698834e-23,2.336925833610104e-39,2.7043019118313869e-48
1.312138410648848e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072761486725,0.11866996538585797,0.022821567683691403,0.0,2.8265778132560136e-33,7.7605488404350578e-20,4.7585494555455321e-38,7.7471301801426272e-30,7.5509481850490115e-66,1.1580671474057049e-11,5.170559554954638e-58,1.1580661756280767e-11,9.5321744989630549e-40,3.6849082938298361e-38,7.397033048013444e-54,8.5767552422566861e-55,1.3327002552818914e-29,3.5003696563749208e-45,6.3245171447687155e-10,1.872577205002511e-11,7.4965865043110846e-14,2.2643835408088376e-21,8.7154469287205536e-21,7.4955951594428168e-14,5.5444069399542309e-28,4.281921441347687e-50,1.2352149023410485e-38,5.8492455721134573e-59,8.2847465775846126e-30,4.9715804919025896e-54,1.711892241146779e-19,6.4533234379620605e-22,2.9557232282495967e-23,8.9552780581936209e-39,1.3025642989286752e-47
