Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),COX(50),CHOX(53),H2X(49)
1.5358058467038077e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31525143499010622,0.11227523038248415,0.012959618827937017,0.00012818130402416275,0.0018369401504153822,1.6119129256476142e-06,0.0007809508860966419,2.0299174102993122e-09,6.1736026305090584e-18,4.7778299555073572e-06,3.6390140628460112e-18,1.2098880465280753e-08,1.4285792330886443e-14,1.0264173852526304e-08,1.2181873189302138e-14,8.0315302892545232e-16,6.0537126297259573e-06,4.3864933566718458e-13,0.0054692184887812764,0.016830916229154988,1.6940078368986949e-09,3.1239362785245188e-06,1.168813413948185e-13,8.8229238027329299e-11,1.8248914645014135e-07,1.170622999582286e-06,1.1405780525624707e-05,8.2560453330972905e-08,2.1540550592674582e-09,6.0664956568573551e-10,9.6453443528165252e-13,2.3558531741098532e-08
1.5398541146386822e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31523087721640258,0.11227179677428287,0.012942643910557007,0.00012920897172223871,0.0018448535898017446,1.6089576130388321e-06,0.00078383821831967855,2.0443832645093168e-09,6.2044150957723433e-18,4.7851564569525588e-06,3.6886645822562698e-18,1.2095635445061389e-08,1.440164031828374e-14,1.0327737584825619e-08,1.2223756558017004e-14,8.0859458416295444e-16,6.0590957304919285e-06,4.4385220832444804e-13,0.0054686901024459632,0.016851963805136178,1.6960480046932343e-09,3.1218871907732767e-06,1.1702153809982905e-13,8.8190336914295379e-11,1.824704803008956e-07,1.1713855045223178e-06,1.1445360109109021e-05,8.2900301315122794e-08,2.1645382297206605e-09,6.0885277108572734e-10,9.6730966254499375e-13,2.3513716448167164e-08
1.5439023825735566e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31521040471513795,0.11226835743840589,0.012925703063262179,0.0001302414769797818,0.0018527760551169147,1.6060223426256252e-06,0.00078672525088461761,2.058893140021891e-09,6.2352975508579927e-18,4.7924501062008564e-06,3.7387933144657004e-18,1.2092409484343719e-08,1.4517933777716154e-14,1.0391452320145241e-08,1.2265630621207513e-14,8.1405603951323208e-16,6.0644546869037175e-06,4.4909718344847503e-13,0.0054681629488001187,0.016872924877100501,1.698079309153854e-09,3.1198502056917202e-06,1.1716112425420332e-13,8.8151673746979743e-11,1.8245186173167481e-07,1.1721444449740166e-06,1.1484929342965041e-05,8.3240496081342369e-08,2.1750303569332995e-09,6.1105561653388926e-10,9.7008348495235827e-13,2.34692066939759e-08
1.547950650508431e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31519001726002405,0.11226491239787102,0.012908796200214748,0.00013127882239478346,0.0018607075060405223,1.6031069687219379e-06,0.00078961196120514191,2.0734469036676783e-09,6.2662499569715442e-18,4.7997110470339439e-06,3.7894026851581086e-18,1.2089202449060587e-08,1.4634671643869822e-14,1.0455317539829389e-08,1.2307495104774882e-14,8.1953739093676816e-16,6.0697896157022708e-06,4.5438442243397468e-13,0.0054676370249395392,0.016893799674572035,1.7001017747877596e-09,3.11782524781649e-06,1.173001015616864e-13,8.8113246874372384e-11,1.824332906305556e-07,1.1728998367034942e-06,1.1524487959207696e-05,8.3581036092958184e-08,2.1855313061624236e-09,6.1325808591298929e-10,9.7285589697222251e-13,2.3425000235813863e-08
1.5519989184433055e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.315169714625266,0.11226146167563006,0.012891923235770184,0.00013232101049728687,0.0018686479023737707,1.6002113467298042e-06,0.00079249832682266972,2.0880444222476578e-09,6.2972722754215639e-18,4.8069394225939799e-06,3.8404951165500486e-18,1.208601420642043e-08,1.4751852846030038e-14,1.0519332726048609e-08,1.2349349736251998e-14,8.2503863423382411e-16,6.075100632768581e-06,4.5971408628819868e-13,0.0054671123279651018,0.016914588426574274,1.7021154260540185e-09,3.1158122423435341e-06,1.1743847172034762e-13,8.8075054609564459e-11,1.8241476688588892e-07,1.1736516953796335e-06,1.1564035691491098e-05,8.3921919819227105e-08,2.1960409432748195e-09,6.1546016320386681e-10,9.7562689131218643e-13,2.3381094848074576e-08
1.55604718637818e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31514949658556168,0.11225800529456927,0.012875084084477014,0.00013336804374961306,0.0018765972040390832,1.5973353331337834e-06,0.00079538432540589342,2.1026855625384808e-09,6.3283644676183905e-18,4.8141353753835411e-06,3.892073027329001e-18,1.2082844624892301e-08,1.4869476308169179e-14,1.0583497361806336e-08,1.2391194244801128e-14,8.3055976504536924e-16,6.0803878531326031e-06,4.6508633562903145e-13,0.0054665888549827613,0.016935291361630772,1.7041202873561045e-09,3.1138111151206229e-06,1.1757623642425736e-13,8.8037095280121145e-11,1.8239629038616527e-07,1.1744000365744004e-06,1.1603572275164814e-05,8.4263145734699333e-08,2.2065591345671019e-09,6.1766183248481737e-10,9.7839646069334498e-13,2.3337488322161847e-08
1.5600954543130544e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31512936291610044,0.11225454327750931,0.012858278661076644,0.0001344199245465882,0.0018845553710797522,1.5944787854953139e-06,0.00079826993475036999,2.1173701912977131e-09,6.3595264950649325e-18,4.8212990472656663e-06,3.9441388325921256e-18,1.2079693574191023e-08,1.4987540949033324e-14,1.0647810930945311e-08,1.2433028361209461e-14,8.3610077885400695e-16,6.0856513909820611e-06,4.7050133068311585e-13,0.0054660666031035561,0.016955908707765827,1.706116383041104e-09,3.1118217926398748e-06,1.177133973635431e-13,8.7999367230800564e-11,1.8237786102009e-07,1.1751448757637118e-06,1.1643097447280387e-05,8.4604712319177866e-08,2.2170857467335785e-09,6.1986307793120178e-10,9.8116459797150379e-13,2.3294178466394658e-08
1.5641437222479289e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31510931339256337,0.11225107564720553,0.012841506880503159,0.00013547665521577174,0.0018925223636595907,1.5916415624471476e-06,0.00080115513277815447,2.132098175269105e-09,6.3907583193550714e-18,4.8284305794638669e-06,3.9966949437850391e-18,1.2076560925262372e-08,1.5106045682227062e-14,1.0712272918154002e-08,1.2474851817881337e-14,8.4166167098489949e-16,6.0908913596712474e-06,4.7595923128397104e-13,0.0054655455694436143,0.016976440692505139,1.7081037374003866e-09,3.1098442020307582e-06,1.1784995622433503e-13,8.7961868820603523e-11,1.8235947867656056e-07,1.1758862283282666e-06,1.1682610946549398e-05,8.4946618057708266e-08,2.2276206468781182e-09,6.2206388381510995e-10,9.8393129602722274e-13,2.3251163105913129e-08
1.5681919901828033e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31508934779112191,0.11224760242634813,0.012824768657883149,0.00013653823801768408,0.0019004981420625794,1.5888235236878054e-06,0.00080403989753740236,2.1468693811878336e-09,6.4220599021771811e-18,4.8355301125621737e-06,4.0497437686409087e-18,1.2073446550268441e-08,1.5224989416297524e-14,1.0776882808973044e-08,1.2516664348831608e-14,8.4724243660669351e-16,6.0961078717297869e-06,4.8146019687012362e-13,0.0054650257511241473,0.016996887542876475,1.7100823746693756e-09,3.1078782710529827e-06,1.1798591468881196e-13,8.7924598424318861e-11,1.8234114324466845e-07,1.1766241095544131e-06,1.172211251333917e-05,8.5288861440553564e-08,2.238163702512717e-09,6.2426423450499022e-10,9.8669654782788253e-13,2.3208440082584766e-08
1.5722402581176777e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31506946588843743,0.11224412363756224,0.012808063908535502,0.00013760467514603575,0.0019084826666925193,1.5860245299759381e-06,0.00080692420720195025,2.1616836757856225e-09,6.4534312053162533e-18,4.8425977865052944e-06,4.1032877111203399e-18,1.2070350322573225e-08,1.5344371054818086e-14,1.0841640089801396e-08,1.255846568968111e-14,8.5284307073243941e-16,6.1013010388712158e-06,4.8700438648328159e-13,0.0054645071452714576,0.017017249485410363,1.7120523190277093e-09,3.1059239280893969e-06,1.1812127443519039e-13,8.7887554431691955e-11,1.8232285461369248e-07,1.1773585346349085e-06,1.1761601889683257e-05,8.5631440963173912e-08,2.2487147815628895e-09,6.2646411446526574e-10,9.8946034640606271e-13,2.3166007254909698e-08
