Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),H2OX(23),CH2X(27),HX(19),CHX(28),CX(26),OCX(25),CO2X(24)
1.2532752010531517e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33395898870357316,0.11530147937560023,0.022701848855937515,6.464400368768283e-12,3.7853277808120083e-10,9.6660695908776903e-10,3.646025712260474e-08,1.8595949519642953e-20,1.1745091147400605e-16,3.1194587430064238e-11,1.371461525299233e-34,1.0961004869085259e-10,1.0876464135542283e-23,1.6576469332257241e-16,4.1964886749685525e-22,3.0244154126929801e-23,4.4474934561064961e-10,4.0033519768747861e-26,0.003368302074702359,0.00023938948086571661,3.5970798904708169e-11,3.7945752357607422e-09,8.9762580377604356e-14,2.4907993223023267e-15,7.3106444719969169e-07,1.3307842310611815e-11,1.4093024868834758e-07,7.1021984846908804e-09,1.7978849776262322e-14
1.2684139475978408e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33393080208901665,0.11527616009986866,0.022700420114261446,6.8063430837311386e-12,4.002122623321799e-10,1.0118576931421592e-09,3.7913104069806477e-08,1.9060752671127906e-20,1.2055551772955889e-16,3.1733426426004145e-11,1.4660962576314759e-34,1.1230167560769058e-10,1.1335899835961205e-23,1.7382991961486173e-16,4.4228309938593452e-22,3.1853670828865946e-23,4.6294142036336041e-10,4.2131334683531166e-26,0.0033936180348415968,0.0002422451686494791,3.6251662259825515e-11,3.9070773874425228e-09,9.4018401132780882e-14,2.5102581010921111e-15,7.4405670964559833e-07,1.3700705525558204e-11,1.4260178066288334e-07,7.2918566459139311e-09,1.8680770844349122e-14
1.2835526941425299e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33390288230143733,0.11525110700695587,0.0226989917029638,7.1615366881094115e-12,4.2290805203805882e-10,1.0587150811003016e-09,3.9402883578487079e-08,1.9532879729435883e-20,1.2371350795613693e-16,3.2280674607728936e-11,1.5664159653428932e-34,1.1503369076138822e-10,1.1811315476309788e-23,1.8219751461824189e-16,4.6583231092917083e-22,3.3526507570360674e-23,4.8166520584211959e-10,4.4317442532395974e-26,0.0034186677866532675,0.00024510015304302524,3.6532437375672431e-11,4.0216519694968591e-09,9.8447131959563771e-14,2.5297112373150756e-15,7.5714308559072907e-07,1.40995556315886e-11,1.4425980765820769e-07,7.4835684599850394e-09,1.9399532528918436e-14
1.298691440687219e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33387522654084517,0.11522631730066223,0.022697563619708108,7.5302961358094534e-12,4.4665768983775171e-10,1.1072188528920437e-09,4.0929921384900759e-08,2.0012388246968388e-20,1.2692571679226703e-16,3.2836568705606178e-11,1.6727291791442165e-34,1.1780634105776704e-10,1.2303241769983183e-23,1.9087558098994682e-16,4.9032104174294398e-22,3.5264245549058307e-23,5.0093026222964752e-10,4.6594911891324856e-26,0.0034434541263463638,0.00024795443836554318,3.6813125854967885e-11,4.1383147173250339e-09,1.0305460506957615e-13,2.5491588518507245e-15,7.703233567218044e-07,1.450435210526158e-11,1.4590402950260426e-07,7.6772984646308661e-09,2.0135228164952441e-14
1.3138301872319081e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33384783203669682,0.11520178821419937,0.02269613586218288,7.9129380653709429e-12,4.7149974502497949e-10,1.1574093085443822e-09,4.2494534400227165e-08,2.0499335920608682e-20,1.3019300227479851e-16,3.3401349490254865e-11,1.7853607243066305e-34,1.2061987208201529e-10,1.2812229857678681e-23,1.998723552803904e-16,5.1577413660176762e-22,3.7068479227474085e-23,5.2074621678528487e-10,4.896691351179751e-26,0.0034679798207184146,0.00025080802889455677,3.709372927779892e-11,4.257081294144974e-09,1.0784680142747551e-13,2.5686010635306308e-15,7.8359730226918194e-07,1.4915052029663277e-11,1.4753415551721707e-07,7.8730107116568961e-09,2.0887945490251194e-14
1.3289689337765972e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33382069604758496,0.11517751700987999,0.02269470842810133,8.3097806959318912e-12,4.9747383180913234e-10,1.2093273199861601e-09,4.4097030636113356e-08,2.099378059873987e-20,1.3351624623285749e-16,3.3975261798672311e-11,1.9046526167815055e-34,1.2347452809278094e-10,1.3338852140248446e-23,2.0919620877511558e-16,5.4221674345264267e-22,3.8940815954067966e-23,5.4112276343113761e-10,5.1436724254287729e-26,0.0034922476074657907,0.00025366092886649512,3.7374249201657896e-11,4.377967290074706e-09,1.1282985408338588e-13,2.5880379892502517e-15,7.9696469895679455e-07,1.5331610303614953e-11,1.4914990455633625e-07,8.0706687982449281e-09,2.1657766654945024e-14
1.3441076803212863e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33379381586093004,0.11515350097881089,0.02269328131520109,8.7211437232842483e-12,5.2462062769575699e-10,1.2630143327796336e-09,4.5737709137702297e-08,2.1495780288425437e-20,1.368963546843846e-16,3.4558554560170647e-11,2.0309650115630744e-34,1.2637055201609113e-10,1.3883703143903216e-23,2.1885564832376799e-16,5.6967431141110415e-22,4.0882875581420418e-23,5.6206966233382893e-10,5.4007731188178419e-26,0.0035162601954905493,0.00025651314247725053,3.7654687159900325e-11,4.5009882197608043e-09,1.180100480239809e-13,2.6074697453062533e-15,8.1042532095375704e-07,1.5753979734651659e-11,1.5075100504030544e-07,8.2702358983040859e-09,2.2444768288065642e-14
1.3592464268659754e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33376718879267736,0.11512973744058923,0.02269185452124399,9.1473482165016744e-12,5.529818919844056e-10,1.3185123677823683e-09,4.7416859923391245e-08,2.2005393162836422e-20,1.4033425823501001e-16,3.5151480822135888e-11,2.1646772046807204e-34,1.2930818543911244e-10,1.4447400417285867e-23,2.28859317161871e-16,5.9817258874446806e-22,4.2896290082189203e-23,5.8359673948152307e-10,5.6683435853706499e-26,0.0035400202652041361,0.00025936467388272067,3.7935044664068088e-11,4.6261595223054305e-09,1.2339382245069428e-13,2.6268964461375887e-15,8.23978939824088e-07,1.6182110766636435e-11,1.523371949822182e-07,8.4716747937023252e-09,2.3249021490684163e-14
1.3743851734106645e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33374081218699475,0.11510622374300228,0.022690428044015734,9.5887165149760791e-12,5.8260048442350704e-10,1.3758640227337663e-09,4.9134763931870732e-08,2.2522677569030265e-20,1.4383091247942189e-16,3.5754297775596161e-11,2.3061886930953548e-34,1.322876686037419e-10,1.5030585462864919e-23,2.3921599573293792e-16,6.2773762084324529e-22,4.4982703162877422e-23,6.0571388625625616e-10,5.9467458700664183e-26,0.0035635304688277588,0.00026221552719933708,3.8215323205893481e-11,4.7534965617756968e-09,1.289877774088757e-13,2.6463182029742639e-15,8.3762532447532969e-07,1.6615951722542903e-11,1.5390822200688488e-07,8.6749479054726483e-09,2.4070591810770765e-14
1.3895239199553536e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33371468341597577,0.11508295726173015,0.022689001881325707,1.0045572125996102e-11,6.1352038396237712e-10,1.4351124737696046e-09,5.0891692975856035e-08,2.3047692035855995e-20,1.4738729840504782e-16,3.6367266780607479e-11,2.4559202947239096e-34,1.3530924040003961e-10,1.5633924702698051e-23,2.4993460249538138e-16,6.5839574818514203e-22,4.7143769875954463e-23,6.2843105900231548e-10,6.2363543702633298e-26,0.0035867934306896853,0.00026506570650458567,3.8495524252753305e-11,4.8830146234501637e-09,1.3479867244113794e-13,2.6657351273499037e-15,8.5136424111132872e-07,1.7055449290434936e-11,1.5546384336309553e-07,8.8800173248311262e-09,2.4909539362464656e-14
1.4046626665000427e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33368879987934458,0.11505993540005154,0.022687576031006653,1.0518239622990834e-11,6.4578670758812468e-10,1.4963014768610986e-09,5.2687909702918076e-08,2.358049528202708e-20,1.5100442279816093e-16,3.699065339144636e-11,2.6143153329226106e-34,1.3837313835949507e-10,1.6258110480784534e-23,2.6102419471219315e-16,6.9017360429298665e-22,4.938115623042343e-23,6.5175827858941637e-10,6.5375563159911029e-26,0.003609811747519307,0.00026791521583751152,3.8775649248863488e-11,5.0147289122843561e-09,1.4083342387967284e-13,2.6851473307246614e-15,8.6519545318405117e-07,1.750054788466088e-11,1.5700382593002978e-07,9.0868448441060634e-09,2.5765918885722899e-14
