Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),CH2X(27),CHX(28),CX(26),H2X(49),C2H4(47),C2H6X(52)
5.533546735464129e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679725313,0.118669966027249,0.022821567693014803,0.0,2.7012567325294851e-52,1.5251016780213993e-24,0.0,7.1167318422033296e-37,0.0,4.8837938152329377e-14,6.7796744381077621e-72,4.8837938121994741e-14,4.8085780067908964e-49,7.6392189945531619e-64,0.0,0.0,1.5103471932524289e-41,1.0225011248954858e-56,2.6671738735133343e-12,7.8970277962098923e-14,3.1614453107440471e-16,3.1614445396993071e-16,1.7129348532523646e-25,2.4818897767362912e-23,3.6436126811218538e-27,9.0916356173559694e-31,5.5255393388185282e-35,7.5669751626033447e-64,6.2311161592602954e-48
1.1067098161777924e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679450633,0.11866996602453267,0.022821567692975317,0.0,4.3220142198120192e-51,6.1004106111162317e-24,0.0,5.6933910683256461e-36,0.0,9.767591775544346e-14,4.3389980646516412e-70,9.7675917634104763e-14,7.6937327528411704e-48,2.4445530310290548e-62,0.0,0.0,1.2082786546035148e-40,3.2720068520954645e-55,5.3343500068257803e-12,1.5794062286655064e-13,6.3228938561255935e-16,6.3228907717984577e-16,6.8517401442011936e-25,9.9261066792582892e-23,2.9137699571933888e-26,1.4498247221019724e-29,4.4204347564260034e-34,4.8428687826516568e-62,9.9697963278443031e-47
2.213420101440551e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678901278,0.11866996601910001,0.022821567692896345,0.0,6.9152255409410386e-50,2.4401650365402695e-23,0.0,4.55471504907568e-35,0.0,1.9535187711262097e-13,2.7769607053687319e-68,1.9535187662726603e-13,1.2309978252697719e-46,7.8225744641130092e-61,0.0,0.0,9.6662328819849757e-40,1.0470425545228903e-53,1.0668702269868331e-11,3.1588131266983205e-13,1.2645792611708053e-15,1.2645780273220589e-15,2.7406940289040109e-24,3.9692774215105494e-22,2.3292226160707221e-25,2.3145582325950506e-28,3.5363491271127928e-33,3.0994368367451082e-60,1.595168228374239e-45
4.4268406719660684e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677802568,0.11866996600823469,0.022821567692738406,0.0,1.1064363196135056e-48,9.7606618285946957e-23,0.0,3.6437728475691821e-34,0.0,3.9070379643077171e-13,1.7772553304426971e-66,3.9070379448935347e-13,1.9695968265456547e-45,2.5032246167188309e-59,0.0,0.0,7.7329878358491758e-39,3.350535738802749e-52,2.1337406781624089e-11,6.317626922489514e-13,2.529159678824579e-15,2.5291547424971601e-15,1.0962754658002756e-23,1.586778777526709e-21,1.8605126339743648e-24,3.6950387172214251e-27,2.829079842980957e-32,1.9836389645247379e-58,2.5522697479790262e-44
8.853681813017104e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675605142,0.11866996598650405,0.022821567692422523,0.0,1.770298329508093e-47,3.9042651463143643e-22,0.0,2.9150184902469831e-33,0.0,7.8140763748225666e-13,1.1374433844737728e-64,7.8140762971658783e-13,3.1513546498023752e-44,8.0103202153152387e-58,0.0,0.0,6.1863909960077071e-38,1.0721707173446809e-50,4.2674815747818184e-11,1.2635254512577709e-12,5.0583231851789239e-15,5.0583034324190392e-15,4.3850836517265494e-23,6.3396683094206805e-21,1.4838407051521181e-23,5.892309175771023e-26,2.2632641107984189e-31,1.2695276255389441e-56,4.0836318383343628e-43
1.7707364095119174e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727671210297,0.11866996594304276,0.022821567691790761,0.0,2.8324776027046311e-46,1.5617062039770559e-21,0.0,2.3320146992643285e-32,0.0,1.5628153292459186e-12,7.2796352395024524e-63,1.562815298183294e-12,5.0421655653522089e-43,2.5633028074902046e-56,0.0,0.0,4.94911327141511e-37,3.4309409890664533e-49,8.5349633450936706e-11,2.5270509683605758e-12,1.0116660921514498e-14,1.0116581850621702e-14,1.7540186825881654e-22,2.5299290965347022e-20,1.1798113857760265e-22,9.3701456311254386e-25,1.8106114147894646e-30,8.1249583180151376e-55,6.5338104162039077e-42
3.5414728659323312e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727662420606,0.11866996585612019,0.022821567690527237,0.0,4.5319647053974691e-45,6.246825602616723e-21,0.0,1.8656114377457632e-31,0.0,3.1256307514157276e-12,4.6589627956605847e-61,3.1256306271656588e-12,8.0674581052945405e-42,8.2025702189559655e-55,0.0,0.0,3.9592910985715344e-36,1.0978976077006945e-47,1.7069926794009512e-10,5.0541019963695883e-12,2.0233379605882832e-14,2.0233062841039962e-14,7.0159560901523536e-22,1.0072519923052344e-19,9.3238897981048679e-22,1.481468796026055e-23,1.4484892319913889e-29,5.1999491199262739e-53,1.0454093947006936e-40
7.08294577877316e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727644841223,0.11866996568227506,0.022821567688000186,0.0,7.2511449719393074e-44,2.4987307887412105e-20,0.0,1.4924885663536084e-30,0.0,6.251261750323018e-12,2.9817311688079942e-59,6.2512612533261955e-12,1.2907910569815416e-40,2.6248231055800723e-53,0.0,0.0,3.1674335307788334e-35,3.5132497082683629e-46,3.4139853325009757e-10,1.0108204007303137e-11,4.0466992387037238e-14,4.0465721442546503e-14,2.8062874447682359e-21,3.9917393671363801e-19,7.2806583291173202e-21,2.3153586724113628e-22,1.1587915025394347e-28,3.3279362829667079e-51,1.6726540783990402e-39
1.0624418691613989e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727627261841,0.11866996550842993,0.022821567685473134,0.0,2.6689031148538246e-43,5.3098036989172371e-20,0.0,4.4308244268603362e-30,0.0,9.376892903795711e-12,1.6929376921577829e-58,9.3768918476825403e-12,4.8833207645689964e-40,1.2279507904437863e-52,0.0,0.0,9.0568812767099074e-35,1.6389190595387372e-45,5.1209779489178567e-10,1.5162305946088089e-11,6.0700783160844183e-14,6.0698076669342081e-14,5.9632212835348604e-21,8.4282917823244019e-19,2.0531063367743863e-20,8.4267103282892404e-22,3.313419627837973e-28,1.8610052001563951e-50,6.3279883950008477e-39
1.4165891604454817e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727609682458,0.11866996533458482,0.022821567682946083,0.0,6.7689166725631762e-43,9.0579016207571021e-20,0.0,9.6545308826130962e-30,0.0,1.2502524211831538e-11,6.5106911298782253e-58,1.2502522410234695e-11,1.2711246576637566e-39,3.9614585917205504e-52,0.0,0.0,1.9103587569736523e-34,4.9905098633331283e-45,6.8279705286515951e-10,2.0216407785660326e-11,8.0934754552642456e-14,8.0930128526044136e-14,1.0172334777809574e-20,1.4293391844773021e-18,4.2765635969478417e-20,2.1156407335560428e-21,6.9889619415551799e-28,6.5144056794082047e-50,1.6471713388117088e-38
