Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20)
1.4720092791803464e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33385646416314574,0.1149588773734093,0.022821561760120197,0.0,2.3338272756554132e-24,1.6088141915605166e-11,0.0,1.7032807350652258e-18,0.0,1.4855708508761906e-09,1.5182205571327689e-35,1.4533945704513244e-09,2.2548726538064559e-26,4.8629347106446534e-31,0.0,0.0,2.1305591187803332e-22,6.1721507552726458e-27,0.003711087170985171,1.1865868211229365e-08
1.4879811509446824e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3338335126568463,0.11493592585021746,0.022821561760528079,0.0,2.4354547801088211e-24,1.6433162020334708e-11,0.0,1.7592043061213306e-18,0.0,1.5016475015512119e-09,1.6164559494232705e-35,1.4687811810287267e-09,2.348926149452252e-26,5.1304961741052569e-31,0.0,0.0,2.1997433759830111e-22,6.5015278802840713e-27,0.0037340386781003244,1.1865052455335232e-08
1.5039530227090182e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33381081520646838,0.11491322838295576,0.022821561760931443,0.0,2.540343313547493e-24,1.6781745487041707e-11,0.0,1.8163382395368378e-18,0.0,1.5177245918597739e-09,1.7198664554464878e-35,1.4841611045181355e-09,2.445788081355223e-26,5.4096708069651064e-31,0.0,0.0,2.2703922646945243e-22,6.8445647566971355e-27,0.003756736129284973,1.1864245729254318e-08
1.519924894473354e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33378836899816555,0.11489078215777759,0.02282156176133034,0.0,2.648560878754352e-24,1.7133890073316992e-11,0.0,1.8746955284319079e-18,0.0,1.533802154136362e-09,1.828663348325115e-35,1.49953437773888e-09,2.5455089422066234e-26,5.7008305215311349e-31,0.0,0.0,2.3425204840745462e-22,7.2016668915563382e-27,0.0037791823383855564,1.1863447932949744e-08
1.53589676623769e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33376617124929298,0.11486858439203793,0.022821561761724823,0.0,2.7601761463817236e-24,1.7489593561598347e-11,0.0,1.9342891695129983e-18,0.0,1.5498802203573465e-09,1.9430640435251683e-35,1.5149010371024811e-09,2.6481395094587925e-26,6.0043549928375125e-31,0.0,0.0,2.4161427169767135e-22,7.5732470380084935e-27,0.0038013800880471443,1.1862658967533484e-08
1.551868638002026e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33374421920806019,0.11484663233394628,0.022821561762114938,0.0,2.875258454261982e-24,1.7848853758791163e-11,0.0,1.9951321631487554e-18,0.0,1.5659588221448495e-09,2.0632922050921604e-35,1.5302611186172771e-09,2.7537308423024872e-26,6.3206317357768646e-31,0.0,0.0,2.4912736300619644e-22,7.9597252358362322e-27,0.0038233321300602079,1.1861878735219355e-08
1.567840509766362e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33372251015318843,0.11482492326222381,0.022821561762500733,0.0,2.9938778067264949e-24,1.8211668495894714e-11,0.0,2.0572375134447851e-18,0.0,1.582037990770571e-09,2.1895778524319571e-35,1.545614657892994e-09,2.8623342786924422e-26,6.6500561821735483e-31,0.0,0.0,2.5679278739101739e-22,8.3615288515624268e-27,0.0038450411857035172,1.1861107139248741e-08
1.583812381530698e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33370104139357187,0.11480345448576434,0.022821561762882265,0.0,3.1161048739326299e-24,1.8578035627633858e-11,0.0,2.1206182283173084e-18,0.0,1.5981177571595706e-09,2.3221574676308256e-35,1.5609616901452689e-09,2.9740014324203485e-26,6.9930317577999025e-31,0.0,0.0,2.6461200831301134e-22,8.7790926181323478e-27,0.0038665099460832163,1.1860344083983504e-08
1.599784253295034e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33367981026794158,0.11478222334329904,0.022821561763259571,0.0,3.2420109911986242e-24,1.894795303209616e-11,0.0,2.1852873195657293e-18,0.0,1.6141981518940154e-09,2.4612741033092981e-35,1.5763022502001191e-09,3.0887841902345643e-26,7.3499699593363442e-31,0.0,0.0,2.7258648764677352e-22,9.2128586741802882e-27,0.0038877410724681045,1.1859589474873805e-08
1.61575612505937e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33365881414453469,0.11476122720306491,0.022821561763632703,0.0,3.3716681583461046e-24,1.9321418610374295e-11,0.0,2.2512578029441234e-18,0.0,1.6302792052168791e-09,2.6071774910046001e-35,1.5916363724983591e-09,3.2067347090057823e-26,7.7212904312761782e-31,0.0,0.0,2.8071768569128488e-22,9.6632766028873541e-27,0.0039087371966211835,1.1858843218329075e-08
