Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),C2H4(47),H2X(49),C2H4X(65),CH4OX(60)
7.20453035217457e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631969548,0.1186699660270599,0.022821567692984442,0.0,1.7883618851422654e-42,5.3707366820174675e-30,1.6799099131447935e-54,2.2477593602707459e-39,2.0322845087672942e-92,7.3259882283554258e-19,1.8643819011987641e-83,7.3259737373581562e-19,3.8871845579810987e-56,5.5927417194225301e-47,1.8202631019839683e-76,1.099887164533493e-77,4.2228948750303948e-37,1.2950737611474775e-65,2.9053766467307249e-12,1.3969309110423623e-13,5.3845263474581823e-17,4.282660738574125e-26,5.3845265136384022e-17,8.9211370920463593e-37,2.1438094146875445e-50,2.6302399978022953e-30,1.2776296096165229e-25,3.751633308579943e-30,1.2917849193525651e-33,2.08224175479476e-52,1.6112544051901362e-66,1.0741830775361907e-76,2.1196338635698881e-40,1.21785980357604e-76,5.0005928643999175e-58
1.4409066811710366e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319390963,0.11866996602415446,0.022821567692914595,0.0,2.8613474456213674e-41,2.1482960450640813e-29,2.132513828871048e-52,1.7982091708990555e-38,1.0319554019840808e-89,1.4652011647871954e-18,1.1932077752790693e-81,1.4651953683847427e-18,6.2195015607289463e-55,8.9483018900167624e-46,4.6214374332724703e-74,2.7924862439563916e-75,3.3782838852178442e-36,4.1442403619179192e-64,5.8107557544331111e-12,2.7938630062385738e-13,1.0769056952336301e-16,1.7130466296756496e-25,1.0769057617059269e-16,7.1368277361378255e-36,3.4300985097307477e-49,1.0520984334354887e-29,5.1103714537938229e-25,3.0001938196390172e-29,2.0661062721246694e-32,1.321578107463759e-50,4.0907837904743295e-64,6.8747788561542656e-75,1.695708349353481e-39,7.7940740896102763e-75,1.6001740679504288e-56
2.881813973078196e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318781928,0.11866996601834359,0.022821567692774901,0.0,4.5780494321829098e-40,8.59318696321153e-29,2.6851980150266769e-50,1.4385678949061585e-37,5.1978805966790134e-87,2.9304145429449187e-18,7.6365554835942426e-80,2.9303913573288859e-18,9.9512067376278717e-54,1.4316987095114616e-44,1.1638727388637574e-71,7.0326572768029654e-73,2.7025728790650583e-35,1.3261575064796769e-62,1.16215139639917e-11,5.5877271965105112e-13,2.1538117240781817e-16,6.8520386623738992e-25,2.1538119899687902e-16,5.7093247405701325e-35,5.4881599203171127e-48,4.2084091948333738e-29,2.0440290540971807e-24,2.3983736513117914e-28,3.3033892397577904e-31,8.3199214573597932e-49,1.0302293963654691e-61,4.3998602895852555e-73,1.3565671837356008e-38,4.9879064432756775e-73,5.1204478582790254e-55
5.763628556892514e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317563857,0.11866996600672186,0.022821567692495513,0.0,7.3245340072757247e-39,3.4372753726242306e-28,3.3284979728899337e-48,1.1508543553815076e-36,2.57750325033568e-84,5.8608760762720746e-18,4.887422907913987e-78,5.8607833338023277e-18,1.5921931696067158e-52,2.2906212932203314e-43,2.8855911974289117e-69,1.7436075771960395e-70,2.1619703390979012e-34,4.2437043159842313e-61,2.3243030359724153e-11,1.1175455576572451e-12,4.3076234132430606e-16,2.7406958802671485e-24,4.3076244768163683e-16,4.5672373477419079e-34,8.781056269144061e-47,1.6833752441188007e-28,8.1751562560072571e-24,1.9158533250387959e-27,5.2778317003510457e-30,5.1559208377025551e-47,2.5542372415089449e-59,2.8159105672631127e-71,1.0852539500543184e-37,3.1918722833483642e-71,1.6384720153191594e-53
1.1527257724521151e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315127712,0.1186699659834784,0.022821567691936741,0.0,1.1718146782626077e-37,1.3749102911103931e-27,4.006332883760049e-46,9.2068320597879045e-36,1.2411849136654747e-81,1.17219382509258e-17,3.1280139380007661e-76,1.1721567281089833e-17,2.5475083521576581e-51,3.6646830714215005e-42,6.9472984881736625e-67,4.1978785829259246e-68,1.729435064281592e-33,1.357985012472475e-59,4.6486063057650173e-11,2.2350912334768587e-12,8.6152453174764404e-16,1.0961824347400114e-23,8.6152495718563542e-16,3.6534329939936861e-33,1.4049685717023001e-45,6.7335919005464052e-28,3.2692940071619697e-23,1.5281474992063259e-26,8.4203448243640053e-29,3.1021981968465779e-45,6.1494795171422135e-57,1.8021819879879011e-69,8.6820324344983046e-37,2.0423011538820792e-69,5.2426515762163376e-52
2.3054516059778425e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310255426,0.11866996593699146,0.022821567690819194,0.0,1.8745488500079442e-36,5.4996416452094456e-27,4.5773917940027269e-44,7.3654598287849857e-35,5.6743024321184885e-79,2.3444619031849523e-17,2.0019904645167404e-74,2.3443135153027329e-17,4.0760102521417553e-50,5.8624970443584493e-41,1.5878656776941102e-64,9.5946164598560189e-66,1.3833219814585441e-32,4.345548788440013e-58,9.297212807934658e-11,4.4701825843449976e-12,1.7230483229561832e-15,4.3839620655824807e-23,1.7230500247776387e-15,2.9221751139081896e-32,2.2479478877432893e-44,2.6935091783332107e-27,1.3071030550322969e-22,1.2153193461175976e-25,1.3395771176196119e-27,1.7713972422482043e-43,1.4054911192233627e-54,1.1533952396189314e-67,6.9456263159954925e-36,1.3064366303622304e-67,1.6773546160127871e-50
4.610903273029298e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756300510848,0.11866996584401758,0.022821567688584104,0.0,2.9981436508684821e-35,2.1998569114015048e-26,4.8089289048029902e-42,5.8923580062423642e-34,2.3859024831751625e-76,4.6892206317113192e-17,1.2813523036691763e-72,4.6886270806352277e-17,6.5216057993873263e-49,9.3768090602521789e-40,3.3376507200565488e-62,2.0167619055665948e-63,1.1062959679213603e-31,1.3905733886172506e-56,1.85944256626117e-10,8.9403652829969563e-12,3.4460935468240335e-15,1.7529708841645757e-22,3.4461003546723968e-15,2.3368263261973281e-31,3.5967104167614102e-43,1.0774615415010569e-26,5.2235019851533195e-22,9.6091911575471432e-25,2.1191353878193241e-26,9.297805629895972e-42,2.9541946988916764e-52,7.3817129851515085e-66,5.5565012554401457e-35,8.3530631906432749e-66,5.3656542269306562e-49
6.916354940080754e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756290766271,0.1186699657510437,0.022821567686349013,0.0,1.1033223431256884e-34,4.6746962904348667e-26,2.9729837269432801e-41,1.7492921044173946e-33,1.9411210612871368e-75,7.0342019322749139e-17,7.2751185094915274e-72,7.0329406369127189e-17,2.4672539948447345e-48,3.5743573865733872e-39,2.3873564900376263e-61,1.4425503653238812e-62,3.1627212628385897e-31,6.4869900127752131e-56,2.7891638367626507e-10,1.3410547978564594e-11,5.1691364121459605e-15,3.7241617734988694e-22,5.169150879656753e-15,6.6803624055104425e-31,1.3607074711218249e-42,2.2896907542863742e-26,1.1092737534471678e-21,2.7292332005151023e-24,7.7575003368373046e-26,4.8646278138763179e-41,2.1130563212967101e-51,4.1279154189875832e-65,1.5888121033667481e-34,4.6695524906039387e-65,2.517951519873022e-48
1.1527258274183664e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756271277122,0.11866996556509596,0.022821567681878832,0.0,8.4836538970375947e-34,1.2924162673687648e-25,1.0250507760031432e-39,8.1940254730335311e-33,2.0732457188871387e-73,1.1725054819108998e-16,1.9560722244834946e-70,1.1721567713247685e-16,1.9471756977158523e-47,2.9374216238216201e-38,1.439984262209706e-59,8.7010393981211483e-61,1.4526453157936357e-30,8.6929608461737591e-55,4.6486063179007184e-10,2.2350913357363153e-11,8.6152127086327235e-15,1.0289791731206198e-21,8.6152527131232155e-15,3.0679646334067483e-30,1.0738805463047713e-41,6.330927239897129e-26,3.0616919432635267e-21,1.229391790631385e-23,5.8553887683590437e-25,9.7144652045028221e-40,1.2744510901525732e-49,9.4977074622399119e-64,7.3015903074464491e-34,1.0725949316924821e-63,3.5083265935192221e-47
1.557972304431183e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756254148351,0.11866996540166884,0.022821567677950044,0.0,2.2673350588936471e-33,2.271282260732072e-25,4.3780101168803883e-39,1.8521331391839054e-32,1.0273621065991477e-72,1.5848471078467679e-16,8.1161565730021506e-70,1.5842342872015095e-16,5.3048290900271621e-47,8.3237168546370159e-38,6.6954099028139861e-59,4.0456691594052153e-60,3.2010941972776796e-30,2.7727339219539676e-54,6.282846810176257e-10,3.020848768947564e-11,1.1643918433568129e-14,1.8076000482066491e-21,1.1643988744053852e-14,6.7602641141308686e-30,2.9256488579868477e-41,1.1126600253641892e-25,5.3748550541007256e-21,2.6814756503411773e-23,1.5525312149037446e-24,3.7259763546494606e-39,5.9256796082886514e-49,3.4486991570587248e-63,1.609483107857254e-33,3.8930109297907921e-63,1.1568218840063894e-46
