Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),C2H6X(52),CH4OX(60),C2H4X(205),C2H4X(65),CH2X(27),CHX(28),CX(26),OCX(25),CH2OH(40),CH2OX(54),COX(50),CH2(T)(34),CH2O2(181),O(29),C3H6O(210),acetyl(43),C2H3(46),C2H2(334),C2H2(358),C2H2X(360),C4H6(374),C3H5(367)
5.172275044591312e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44452134312138808,0.10496222072181051,0.021570659241637501,0.0,0.001412717545313649,0.0011692843319184958,6.0678316703925967e-05,0.00021125276113778598,4.6145413045848819e-05,0.0053382678965104647,4.752329137883179e-10,0.00030674065399142271,1.5730801503807031e-08,0.00020417050806895002,2.8977816952690857e-09,9.172101086986782e-11,0.00065564222169379658,6.3089300131119322e-06,0.0075710084061304597,0.00010060119938349849,7.4153990098595876e-05,5.4639214054236572e-07,2.8647021658250137e-08,1.3706032618753969e-07,6.377672583188568e-08,2.3449076746287418e-05,9.9797611983319164e-06,5.8259638327373632e-07,2.2711472227040385e-09,6.1847687408375447e-07,1.7870871315540951e-12,1.2738471580467542e-08,5.7277612734485574e-06,8.9498950586994037e-06,1.4834108083679528e-13,1.8580468408801703e-08,7.9529867579064736e-08,1.8870660248687458e-10,1.4860417612916167e-05,3.9502371030364871e-13,2.1090674272708773e-05,6.3395885053779144e-17,8.1059481830521961e-13,5.8928516432237045e-11,6.7936566422885681e-08,1.3231146553577421e-11,3.1734293017191195e-10,3.9355712635987776e-20,4.1834387639975907e-14
5.192421058044345e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44452279251211935,0.10493950854637062,0.021564605264845098,0.0,0.0014215136155266539,0.001172677783484326,6.1119889612929257e-05,0.00021303395035045112,4.6657093835880144e-05,0.0053558207414027481,4.8213685018259555e-10,0.00030661783383276431,1.5871918184306946e-08,0.0002058231271046083,2.9331696474981761e-09,9.3398703336119584e-11,0.00065632415606961298,6.3958837911833634e-06,0.0075693922730456324,0.00010054900024741971,7.4248512553719449e-05,5.4680529183170539e-07,2.8733151392419775e-08,1.3751295026898998e-07,6.4173542049013981e-08,2.3517556137876008e-05,1.0117329963243337e-05,5.8752323257761377e-07,2.2895382633111106e-09,6.2746634972098125e-07,1.8117238419226392e-12,1.2799029131854406e-08,5.7477394205020655e-06,8.9697076520946865e-06,1.4932567346068396e-13,1.8732896627200713e-08,8.0413350393804469e-08,1.900805087966245e-10,1.4946324566984929e-05,3.9719584943829028e-13,2.1164874687569813e-05,6.4982434928589011e-17,8.1917870995348572e-13,5.9797789606690179e-11,6.9249433357297181e-08,1.3486838388745699e-11,3.2349790855856976e-10,4.0669251201490654e-20,4.2783066824886881e-14
5.212567071497378e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44452424179423977,0.1049168056483285,0.021558544899569151,0.0,0.0014303205077899398,0.0011760615602110576,6.1562572517153698e-05,0.00021482031795764693,4.7171750003807512e-05,0.0053733415329121461,4.891017836253626e-10,0.00030649567885988779,1.6013512646279333e-08,0.0002074794481778667,2.9687902916346448e-09,9.5097422825218344e-11,0.00065700027821538707,6.4836070226644977e-06,0.0075677767724086006,0.00010049690266670361,7.4342685549000828e-05,5.4721556246477507e-07,2.8819047796979252e-08,1.3796476300555955e-07,6.4570847652415471e-08,2.3585840642916262e-05,1.0256116289800312e-05,5.9246449918933443e-07,2.3079706056088603e-09,6.3654070296923853e-07,1.8365786717561808e-12,1.2859487050071892e-08,5.7676494044438348e-06,8.9894060834846773e-06,1.5031243396718167e-13,1.8885682335617716e-08,8.1301984752009698e-08,1.9145787615522038e-10,1.5032196229145742e-05,3.9936565152747792e-13,2.1238950333568091e-05,6.6600472014237945e-17,8.278113878299058e-13,6.06755694678639e-11,7.0581453500963466e-08,1.3746260492521118e-11,3.2974303845894514e-10,4.2020147467803477e-20,4.3748674116116124e-14
5.232713084950411e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44452569096107009,0.10489411205871366,0.021552478171219986,0.0,0.0014391381459661614,0.0011794357068851062,6.2006362372916398e-05,0.00021661182778278271,4.768937931557542e-05,0.0053908303386549982,4.9612781485777065e-10,0.00030637418618618804,1.6155582217982458e-08,0.00020913943403786016,3.0046435591648489e-09,9.6817293325933062e-11,0.0006576706577550624,6.5721021885622309e-06,0.0075661619067604238,0.00010044490618564366,7.4436511562132109e-05,5.4762297709231545e-07,2.8904711329995262e-08,1.3841576601281207e-07,6.4968639220596184e-08,2.3653931162635126e-05,1.0396124105067907e-05,5.9742008292822052e-07,2.3264438355663241e-09,6.4570024176367722e-07,1.8616523259256236e-12,1.291984507139277e-08,5.7874914513562609e-06,9.0089911144585762e-06,1.5130135761813606e-13,1.9038822209013157e-08,8.2195766864577066e-08,1.9283869512622611e-10,1.5118031716531941e-05,4.0153309236073686e-13,2.1312899873082386e-05,6.8250448219721825e-17,8.3649286090493975e-13,6.1561892614549195e-11,7.1932810469487187e-08,1.4009448626000523e-11,3.3607918822082074e-10,4.3409273973211318e-20,4.4731425625387744e-14
5.252859098403445e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44452714000600796,0.10487142780798665,0.021546405105125802,0.0,0.0014479664547657428,0.001182800268121328,6.2451256177964003e-05,0.00021840844376004573,4.8209979487883053e-05,0.0054082872265138957,5.032150420277891e-10,0.0003062533529202915,1.6298124235075996e-08,0.00021080304763535998,3.0407293773831751e-09,9.8558438296364528e-11,0.00065833536340863719,6.6613717545260626e-06,0.0075645476785963887,0.00010039301035016547,7.4529993047414188e-05,5.4802756009367539e-07,2.899014245118988e-08,1.3886596091449929e-07,6.5366913370158977e-08,2.3721828594824886e-05,1.0537357311805322e-05,6.0238988391665988e-07,2.3449575413893846e-09,6.5494527223163034e-07,1.8869455049592798e-12,1.2980102943436894e-08,5.8072657885660588e-06,9.0284635017564043e-06,1.5229243975094905e-13,1.9192312941134285e-08,8.3094692856797264e-08,1.9422295640187821e-10,1.5203830163694579e-05,4.0369814822734163e-13,2.1386721993821579e-05,6.9932819165564931e-17,8.4522313798645773e-13,6.2456795530565059e-11,7.3303688613101729e-08,1.427643869335921e-11,3.4250722969470398e-10,4.4837518994818594e-20,4.5731539021971965e-14
5.273005111856478e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44452858892252628,0.10484875292604803,0.0215403257265326,0.0,0.0014568053597362489,0.0011861552883628921,6.2897250971099227e-05,0.00022021012993598619,4.8733548188882514e-05,0.0054257122646248273,5.1036356070712343e-10,0.00030613317616673072,1.6441136040736794e-08,0.00021247025212291497,3.0770476694524102e-09,1.0032098066004385e-10,0.00065899446300252107,6.7514181708928268e-06,0.0075629340903667049,0.00010034121470779987,7.4623132436045251e-05,5.4842933558008111e-07,2.9075341621864707e-08,1.3931534934221597e-07,6.5765666755325578e-08,2.3789533833840243e-05,1.0679819788536673e-05,6.0737380258456872e-07,2.3635113135223837e-09,6.6427609869636098e-07,1.9124589050554471e-12,1.3040260424936056e-08,5.8269726445725161e-06,9.0478239972559544e-06,1.5328567577779196e-13,1.9346151244500026e-08,8.3998758769565305e-08,1.9561065080192649e-10,1.5289590722303713e-05,4.0586079590774748e-13,2.1460415408683564e-05,7.1648044184037554e-17,8.5400222772746315e-13,6.3360314584838137e-11,7.4694273013681135e-08,1.454726674126859e-11,3.4902803821969348e-10,4.6305786742258209e-20,4.6749233533047345e-14
5.293151125309511e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44453003770417249,0.10482608744224677,0.021534240060604205,0.0,0.0014656547872518755,0.0011895008118811786,6.3344343831808696e-05,0.00022201685047105039,4.9260083038867462e-05,0.0054431055213645914,5.1757346390825604e-10,0.00030601365302659422,1.6584614985770408e-08,0.00021414101085495254,3.1135983544629095e-09,1.0210504280214231e-10,0.00065964802347982614,6.8422438727320391e-06,0.0075613211444771917,0.00010028951880765714,7.4715932136405015e-05,5.4882832739786407e-07,2.9160309304826631e-08,1.397639329350619e-07,6.6164896067463902e-08,2.3857047770595868e-05,1.0823515389622703e-05,6.1237173967371077e-07,2.3821047446492938e-09,6.7369302368092386e-07,1.9381932180951701e-12,1.3100317285503041e-08,5.8466122489775264e-06,9.0670733479616017e-06,1.5428106118482706e-13,1.9500333850382439e-08,8.4907960560574539e-08,1.9700176927247906e-10,1.5375312560854105e-05,4.0802101266515091e-13,2.1533978855607097e-05,7.3396586319180617e-17,8.6283013863364603e-13,6.427248603148711e-11,7.6104749481753306e-08,1.4821968958314472e-11,3.5564249260935846e-10,4.7814997552496033e-20,4.7784729944016832e-14
5.313297138762544e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44453148634456796,0.10480343138538879,0.021528148132422271,0.0,0.0014745146645030553,0.0011928368827756985,6.3792531879892114e-05,0.00022382856964106365,4.9789581610952535e-05,0.0054604670653384518,5.2484484210160503e-10,0.00030589478059815417,1.6728558428718439e-08,0.00021581528738783885,3.1503813474905562e-09,1.0391074656579154e-10,0.00066029611091058431,6.9338512798918365e-06,0.0075597088432899475,0.0001002379222004025,7.480839453433453e-05,5.4922455913165233e-07,2.924504596431511e-08,1.4021171333931073e-07,6.6564598034620829e-08,2.3924371292564328e-05,1.0968447945333465e-05,6.173835962418744e-07,2.4007374296944251e-09,6.8319634791213448e-07,1.9641491316551674e-12,1.3160273305404612e-08,5.8661848324175465e-06,9.0862122959946189e-06,1.5527859153143535e-13,1.9654857508784769e-08,8.5822294105494718e-08,1.9839630288485152e-10,1.5460994864375225e-05,4.1017877623717641e-13,2.1607411097417011e-05,7.5178912326640329e-17,8.7170687907076354e-13,6.5193346009911461e-11,7.7535304553516275e-08,1.5100581674415935e-11,3.623514751376336e-10,4.9366088085727281e-20,4.883825059877665e-14
5.333443152215577e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44453293483740697,0.10478078478374514,0.021522049966986225,0.0,0.0014833849194861761,0.0011961635449740278,6.4241812275092535e-05,0.00022564525183866395,5.0322041431743511e-05,0.0054777969653680772,5.3217778323279239e-10,0.0003057765559774691,1.6872963735961755e-08,0.00021749304547990074,3.187396559653568e-09,1.0573821324851058e-10,0.0006609387905018979,7.02624279704545e-06,0.0075580971891240157,0.00010018642443823328,7.4900521993411689e-05,5.4961805410752072e-07,2.9329552065930932e-08,1.4065869220808551e-07,6.6964769421059867e-08,2.3991505283774454e-05,1.1114621261921835e-05,6.2240927366691365e-07,2.4194089658227191e-09,6.927863703246445e-07,1.9903273290209057e-12,1.3220128275338488e-08,5.8856906264972193e-06,9.1052415785852713e-06,1.5627826244944939e-13,1.9809718988416318e-08,8.6741755199134039e-08,1.9979424283441934e-10,1.5546636834145635e-05,4.1233406482768684e-13,2.1680710921662968e-05,7.6995492673312573e-17,8.8063245727185195e-13,6.6122930544884018e-11,7.8986125487857818e-08,1.5383141360244882e-11,3.6915587152472905e-10,5.0960011522357163e-20,4.9910019399939689e-14
5.353589165668611e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44453438317645566,0.10475814766506036,0.021515945589213301,0.0,0.0014922654809934252,0.0011994808422317691,6.4692182216728289e-05,0.00022746686157468644,5.0857459981998527e-05,0.0054950952904797368,5.395723727400139e-10,0.00030565897625896684,1.7017828281819762e-08,0.00021917424909140959,3.2246438981681528e-09,1.0758756359873965e-10,0.00066157612660801615,7.1194208137382536e-06,0.0075564861842560404,0.00010013502507485711,7.4992316855222876e-05,5.5000883539610648e-07,2.9413828076566586e-08,1.4110487120104134e-07,6.7365407026804466e-08,2.4058450624810093e-05,1.1262039121697935e-05,6.2744867365065151e-07,2.4381189524396112e-09,7.0246338806511895e-07,2.0167284891998452e-12,1.3279881996214313e-08,5.9051298637249137e-06,9.1241619280662767e-06,1.5728006964239207e-13,1.9964915076664098e-08,8.766633955658552e-08,2.0119558043947521e-10,1.5632237687411608e-05,4.1448685709872026e-13,2.1753877140452258e-05,7.884680153680119e-17,8.8960688134427506e-13,6.7061275546648361e-11,8.0457400263378806e-08,1.5669684626646281e-11,3.7605657092305624e-10,5.2597737761062675e-20,5.1000261809013058e-14
5.373735179121644e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44453583135555158,0.10473552005656045,0.021509835023938547,0.0,0.0015011562786027362,0.0012027888181325261,6.5143638943325775e-05,0.00022929336347950074,5.1395834697280199e-05,0.0055123621098927354,5.4702869357150592e-10,0.00030554203853600496,1.7163149448645742e-08,0.00022085886238452855,3.2621232664030392e-09,1.0945891781247721e-10,0.00066220818274033964,7.2133877044353018e-06,0.0075548758309209128,0.00010008372366547142,7.5083781439630438e-05,5.503969258156864e-07,2.9497874464338065e-08,1.415502519840544e-07,6.7766507687186076e-08,2.4125208192809353e-05,1.1410705283104341e-05,6.3250169822265193e-07,2.456866991190485e-09,7.1222769649650946e-07,2.0433532869348164e-12,1.3339534278938429e-08,5.9245027774497855e-06,9.1429740718679598e-06,1.5828400888472146e-13,2.0120442579561485e-08,8.859604281435774e-08,2.0260030714008974e-10,1.5717796657109973e-05,4.1663713216254707e-13,2.1826908590276818e-05,8.0733316804688127e-17,8.9863015927660354e-13,6.800841681101909e-11,8.1949317575419696e-08,1.5960248224059056e-11,3.8305446590316839e-10,5.4280253617926625e-20,5.2109204846530319e-14
5.393881192574677e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44453727936860249,0.10471290198496096,0.021503718295914798,0.0,0.0015100572426678589,0.0012060875160879009,6.5596179732254606e-05,0.00023112472230430066,5.1937162968599039e-05,0.0055295974930081116,5.5454682620309949e-10,0.00030542573990141109,1.7308924626918358e-08,0.00022254684972322395,3.2998345639328883e-09,1.1135239553001904e-10,0.00066283502157735098,7.308145828569363e-06,0.0075532661313124153,0.00010003251976674414,7.5174918045035847e-05,5.5078234793521512e-07,2.9581691698518151e-08,1.4199483622891736e-07,6.8168068272397617e-08,2.4191778861464082e-05,1.1560623480792076e-05,6.3756824974385868e-07,2.4756526859597327e-09,7.2207958920242648e-07,2.0702023927175431e-12,1.3399084944202415e-08,5.9438096018007106e-06,9.1616787325146591e-06,1.5929007602108122e-13,2.0276298321753947e-08,8.9530860531490508e-08,2.0400841449697826e-10,1.580331299159514e-05,4.1878486957384937e-13,2.1899804131834838e-05,8.2655520073621518e-17,9.0770229894534681e-13,6.8964390019486321e-11,8.3462066833090968e-08,1.6254869041937726e-11,3.9015045243972008e-10,5.6008563026642608e-20,5.3237077092139002e-14
