Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20)
4.579516393610084e-09,0.09977366400000001,0.80000000000000004,0.0,0.28771554657259585,0.098778028125442049,0.09979694642356525,4.4539824849824406e-53,1.7827122400915829e-22,2.3879948487633084e-17,4.4666296940822693e-31,4.6941772402078167e-29,6.4820973599196936e-20,2.3570810149261502e-14,7.8390202317114399e-45,2.3523114894988706e-14,1.5938053881613338e-30,6.0681862835949462e-35,1.0563548982550443e-31,7.1910027803733637e-47,6.4642702383957483e-20,4.3940365390276188e-34,0.0012219718745343894,0.00040610715286962284
4.6620491244029396e-09,0.09977366400000001,0.80000000000000004,0.0,0.28769023419790402,0.098759585357605192,0.099793511620137554,4.9569811033735049e-53,1.8803694237784606e-22,2.4742975113643151e-17,4.7122057349753578e-31,4.9519010838357818e-29,6.7172732480655128e-20,2.3993536401984072e-14,8.5696456781217665e-45,2.3944117436452423e-14,1.6813012993455422e-30,6.516418407429275e-35,1.114462743655819e-31,7.8594409986499882e-47,6.6984695547527978e-20,4.7189109932223898e-34,0.0012404146423708219,0.00041297675972499142
4.744581855195795e-09,0.09977366400000001,0.80000000000000004,0.0,0.28766505616142285,0.098741254981745893,0.099790087789826371,5.5064206581384672e-53,1.9815138037141273e-22,2.5621145463182812e-17,4.966611817823417e-31,5.2188674503504644e-29,6.9566208292263392e-20,2.4416199223783574e-14,9.353703215064615e-45,2.4365026300914224e-14,1.771934380669196e-30,6.9889945168852989e-35,1.1746620384994653e-31,8.5766589638581993e-47,6.9368056921640859e-20,5.0614568573944431e-34,0.0012587450182296876,0.00041982442034735345
4.82711458598865e-09,0.09977366400000001,0.80000000000000004,0.0,0.2876400120423554,0.098723036313855678,0.099786675064237537,6.1056660278937939e-53,2.0862055466569329e-22,2.6514451454683802e-17,5.2300032349835033e-31,5.495237747298004e-29,7.2001392181868926e-20,2.4838799085184533e-14,1.0194065556693951e-44,2.4785841975046902e-14,1.8657593855573348e-30,7.4867770403535266e-35,1.2369896751258892e-31,9.3452762115798815e-47,7.1792771637467821e-20,5.4223020462097347e-34,0.0012769636861194918,0.00042664987152499808
4.909647316781505e-09,0.09977366400000001,0.80000000000000004,0.0,0.28761510141999097,0.098704928674062928,0.099783273572951511,6.7582613322969129e-53,2.1945047746892922e-22,2.7422885071905971e-17,5.5025352478343627e-31,5.781173319916724e-29,7.4478275361455019e-20,2.5261336453864013e-14,1.1093706113906232e-44,2.5206564942545204e-14,1.9628310451583134e-30,8.0106431968999386e-35,1.3014825422970488e-31,1.016800419809372e-46,7.4258824894784204e-20,5.8020853363798973e-34,0.001295071325911808,0.00043345285409707813
4.99218004757436e-09,0.09977366400000001,0.80000000000000004,0.0,0.28759032387365252,0.098686931386608168,0.099779883443509437,7.4679361551522819e-53,2.3064715656559234e-22,2.8346438363409513e-17,5.7843630870146297e-31,6.07683545180462e-29,7.6996849107017334e-20,2.5683811794668694e-14,1.2055700700391565e-44,2.562719568414395e-14,2.0632040685709567e-30,8.5614849863698795e-35,1.3681775252497262e-31,1.104764787222102e-46,7.6766201961801502e-20,6.2014563622646356e-34,0.0013130686133661588,0.00044023311298123624
5.0747127783672155e-09,0.09977366400000001,0.80000000000000004,0.0,0.28756567898264546,0.098669043779819152,0.099776504801400198,8.2386118717023244e-53,2.4221659535980143e-22,2.9285103442031307e-17,6.0756419526605752e-31,6.3823853655815324e-29,7.9557104758437181e-20,2.6106225569631884e-14,1.3083229237533857e-44,2.604773467763611e-14,2.1669331430699095e-30,9.1402091795804554e-35,1.437111505748223e-31,1.1987107246664638e-46,7.9314888174997155e-20,6.6210756115190135e-34,0.0013309562201547452,0.00044699039719972914
5.157245509160071e-09,0.09977366400000001,0.80000000000000004,0.0,0.28754116632620885,0.098651265186086426,0.099773137770048023,9.0744080800165195e-53,2.5416479291833496e-22,3.0238872484365386e-17,6.376527014643378e-31,6.6979842235460326e-29,8.2159033719351918e-20,2.6528578237990379e-14,1.4179577458177343e-44,2.6468182397890702e-14,2.2740729343291839e-30,9.7477373086007821e-35,1.5083213621369752e-31,1.2989378968850935e-46,8.1904868938942118e-20,7.061614420785269e-34,0.0013487348138870249,0.00045372445990405377
5.239778239952926e-09,0.09977366400000001,0.80000000000000004,0.0,0.28751678548346776,0.098633594941838931,0.099769782470801011,9.9796491363927822e-53,2.6649774401324427e-22,3.1207737730247544e-17,6.6871734128059008e-31,7.0237931283270368e-29,8.4802627457022609e-20,2.6950870256201265e-14,1.5348138609276765e-44,2.6888539316870627e-14,2.3846780866439159e-30,1.0385005657119465e-34,1.5818439693930832e-31,1.4057557891284724e-46,8.4536129726125651e-20,7.5237549714288218e-34,0.0013664050581341318,0.00046043505839807688
5.322310970745781e-09,0.09977366400000001,0.80000000000000004,0.0,0.28749253603338709,0.098616032387519509,0.09976643902292022,1.0958870794686239e-52,2.7922143916406867e-22,3.2191691482243858e-17,7.0077362571989786e-31,7.3599731235302509e-29,8.748787750219841e-20,2.7373102077958603e-14,1.6592415153448068e-44,2.7308805903650321e-14,2.4988032231503543e-30,1.1052965250898668e-34,1.6577161991787612e-31,1.5194838641426886e-46,8.7208656076777665e-20,8.0081902853180872e-34,0.0013839676124531475,0.00046712195415967296
5.404843701538636e-09,0.09977366400000001,0.80000000000000004,0.0,0.2874684175547278,0.098598576867561002,0.099763107543569596,1.2016826949481394e-52,2.9234186467965761e-22,3.3190726105143396e-17,7.3383706283172078e-31,7.7066851943794158e-29,9.0214775448978147e-20,2.7795274154209992e-14,1.7916020469436536e-44,2.7728982624433438e-14,2.6165029460440833e-30,1.17525818483142e-34,1.7359749198936915e-31,1.6404517191104481e-46,8.9922433598688441e-20,8.5156242206477871e-34,0.0014014231324112226,0.0004737849128608771
5.4873764323314914e-09,0.09977366400000001,0.80000000000000004,0.0,0.28744442962600369,0.098581227730362264,0.099759788147806769,1.3158496483024489e-52,3.0586500269960197e-22,3.4204834025454727e-17,7.6792315773342081e-31,8.0640902683524523e-29,9.2983312954668995e-20,2.8217386933173089e-14,1.9322680551519046e-44,2.8149069942570288e-14,2.73783183679651e-30,1.2484835930980908e-34,1.8166569967272933e-31,1.7689992425462956e-46,9.2677447967025907e-20,9.046771467805374e-34,0.0014187722696095463,0.00048042370438655451
5.569909163124347e-09,0.09977366400000001,0.80000000000000004,0.0,0.28742057182544112,0.098563984328264215,0.099756480948574242,1.4389090215833917e-52,3.197968312352789e-22,3.5234007730906552e-17,8.030474126337347e-31,8.4323492158124922e-29,9.579348173964203e-20,2.8639440860351985e-14,2.081623570785678e-44,2.856906831857525e-14,2.8628444563696069e-30,1.3250722694462865e-34,1.8997992917108945e-31,1.9054767711469952e-46,9.547368492414998e-20,9.6023575452802243e-34,0.0014360156717071698,0.00048703810285159776
5.652441893917202e-09,0.09977366400000001,0.80000000000000004,0.0,0.28739684373093854,0.098546846017526266,0.099753186056691701,1.5714057960907169e-52,3.3414332421051103e-22,3.6278239769952134e-17,8.3922532685619494e-31,8.8116228506338925e-29,9.8645273587184753e-20,2.9061436378553496e-14,2.2400642257814821e-44,2.8988978210144025e-14,2.9915953454289462e-30,1.4051252039067633e-34,1.9854386637698058e-31,2.050245246598024e-46,9.8311130279424728e-20,1.018311879561532e-33,0.0014531539824446807,0.00049362788661665602
