Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),COX(57),H2OX(23),CHOX(60)
6.814803465220287e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,1.6305078227672422e-98,1.4295586187606821e-42,8.0759489737029948e-32,6.727594164175148e-53,1.9023596302663448e-39,4.2907455997718692e-35,1.4413253364851035e-20,2.2598283727936173e-80,1.4413235313711745e-20,2.4916287170105665e-51,1.9771193035365004e-50,1.8613686964538767e-53,6.9650374366646463e-73,4.2909462838319812e-35,1.1300541194683888e-62,2.7482111771926485e-12,1.3213643565786127e-13,5.093251352066282e-17,3.8248513098455809e-26,5.0932529934408573e-17,8.1924474431475081e-24,1.6342108836073286e-26,5.3260702327653427e-30,7.7444824358803434e-49,3.0069623997943034e-42,6.4784624044568711e-65,7.5374036172118418e-37,2.2806932055115433e-48
1.3629612707425947e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,1.2645265114639277e-96,2.2830991154701083e-41,3.3570679739816368e-31,6.7538695241967646e-52,1.521888752547363e-38,1.7163011739537597e-34,2.8826555058783013e-20,7.2314897587480901e-79,2.8826482854189929e-20,1.993311019320632e-50,3.1577745539002881e-49,1.4890977252332126e-52,2.2286434320083884e-71,1.7164614462566629e-34,1.80809383924886e-61,5.4964246823311568e-12,2.6427298332566894e-13,1.0186505383758501e-16,1.5271331552658507e-25,1.0186511955808643e-16,3.2704658974313678e-23,1.3045187612968338e-25,8.5011982481053935e-29,4.9441638149125611e-47,2.493869408182086e-41,1.2854624426562814e-63,6.0195849383791568e-36,1.8244864035130516e-47
2.7259231191837268e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,3.0621020432302007e-94,3.6405532939180237e-40,1.4436144445136564e-30,2.2883679547417011e-50,1.2175108732028042e-37,6.8652216210142077e-34,5.7653266779046178e-20,2.3140965933630004e-77,5.7652977960661659e-20,1.5946593229664455e-49,5.0345490666663972e-48,1.1912812836308544e-51,7.1316025843099116e-70,6.866499420704444e-34,2.8929687385357636e-60,1.0992851687377378e-11,5.2854607865050704e-13,2.0373008533202396e-16,6.0861829319770543e-25,2.0373034873555521e-16,1.3030035566825421e-22,1.0390790586394095e-24,1.3542682474024466e-27,3.1505052103901473e-45,2.1356141334221647e-40,8.4004089359248516e-62,4.7992038946980429e-35,1.4594784539090994e-46
5.4518468160659916e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,2.4833252502671455e-91,5.7863300931933996e-39,6.571869066577722e-30,2.4013058978993405e-48,9.7400776995897422e-37,2.7461008791244469e-33,1.1530712354875118e-19,7.4052281627674021e-76,1.1530596827566697e-19,1.2757433241554733e-48,7.998596609937085e-47,9.5302946214081202e-51,2.2834077955116516e-68,2.7471161813701018e-33,4.6288058095354443e-59,2.198570567654664e-11,1.0570922692570861e-12,4.0745995176347141e-16,2.4167743066234685e-24,4.0746100951141307e-16,5.1710061741100792e-22,8.2408468295571175e-24,2.1485591030979622e-26,1.9994297762575966e-43,1.9309227310623876e-39,1.7444137815326629e-59,3.8132780621928698e-34,1.1674050836345886e-45
1.090369420983052e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,3.8837258962301884e-88,9.1377119459952711e-38,3.2528100433098074e-29,2.9834776802058455e-46,7.7920444121959034e-36,1.0984498743238689e-32,2.3061657040152997e-19,2.3697592399966841e-74,2.3061194931392458e-19,1.0206196661925579e-47,1.2619951864681583e-45,7.6243045370125535e-50,7.3465760388353482e-67,1.0992512318693441e-32,7.4062650024353293e-58,4.3971413571192472e-11,2.1141846502979442e-12,8.1491889839816541e-16,9.5283507023199958e-24,8.1492316186902858e-16,2.0363085794046894e-21,6.4802984521320117e-23,3.3808518143068827e-25,1.258624252830162e-41,1.8931413709657259e-38,4.331190247775952e-57,3.0096976219732898e-33,9.3363964903353537e-45
2.180738899735958e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202087,0.022821567690940101,3.8512299043522175e-85,1.4249869089476934e-36,1.7792481701200627e-28,3.6941614088202396e-44,6.2336059779951261e-35,4.3938751546824386e-32,4.6124239733380472e-19,7.5837442621139497e-73,4.6122391302343883e-19,8.1653559280784163e-47,1.964491752742387e-44,6.0995529149446541e-49,2.4531478908054065e-65,4.4001184764799263e-32,1.1850583916285933e-56,8.7942829025713317e-11,4.2283694116911472e-12,1.6298336467669451e-15,3.7046956568794954e-23,1.6298509514342754e-15,7.8993458735366539e-21,5.0119923027356691e-22,5.235288884510272e-24,7.7978091998051892e-40,2.0491270961081146e-37,1.0725742266908313e-54,2.3447635328293972e-32,7.4645695959658862e-44
4.3614778572417698e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407641,0.022821567688825917,3.709518107129454e-82,2.1699071274045527e-35,1.0634652264530206e-27,4.441826533530427e-42,4.9868370376841946e-34,1.7576104826550851e-31,9.225217838911459e-19,2.4271269015187833e-71,9.2244784697454049e-19,6.5329219035273992e-46,2.9810225462943916e-43,4.8798168165957236e-48,1.0322946772569395e-63,1.7623564734453426e-31,1.8962724127162708e-55,1.7588565859567185e-10,8.4567389317284741e-12,3.2596505639996111e-15,1.4029393188195411e-22,3.259721656879451e-15,2.9788317194798652e-20,3.7560221182907042e-21,7.8634624636732418e-23,4.6870973671584314e-38,2.4281509280587346e-36,2.579527740194951e-52,1.7823120817326511e-31,5.9643922925602032e-43
6.542216814747581e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613195,0.022821567686711734,2.6900932396772895e-81,7.8020433157119065e-35,2.7423694125894163e-27,2.8505575441514221e-41,1.4804591756833444e-33,3.7350109887216984e-31,1.3838289029271431e-18,1.1612284838490059e-70,1.3836717874578101e-18,1.9395678257734803e-45,1.1099171384714641e-42,1.3953512671619551e-47,5.6042543549557382e-63,3.7481958298526804e-31,7.1743071094696317e-55,2.6382848682654722e-10,1.2685108449021378e-11,4.8894549018250767e-15,2.8724347010136684e-22,4.8896085797800818e-15,6.0818723514050938e-20,1.0349006592281169e-20,2.8087211172962968e-22,2.5605520607228612e-37,8.1612393866595744e-36,1.9064728867090901e-51,4.9512654056431189e-31,1.7042520056445924e-42
1.0903694729759205e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024304,0.022821567682483362,1.1360403962352624e-78,5.5508355225045284e-34,1.0572328756348737e-26,1.1529578914317665e-39,6.9346532610818027e-33,1.0326839173837403e-30,2.3065540692015551e-18,1.7515727936364279e-69,2.3061196945536929e-18,9.0870228712888668e-45,8.3152956944008853e-42,6.4129135132567807e-47,2.00950562703961e-61,1.0382685516836081e-30,5.6630295569916846e-54,4.3971413793196545e-10,2.1141847472658496e-11,8.1490132606265367e-15,7.2606090025426894e-22,8.1494547555423938e-15,1.5276609928975686e-19,4.281258802384706e-20,1.9541318419741471e-21,5.9824886770822234e-36,5.2365414064410459e-35,1.3525295002243182e-49,2.0969570733623176e-30,7.8156165361281078e-42
1.4829024853269665e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194301,0.02282156767867783,9.9351725230910382e-78,1.4757114415663019e-33,2.2011244279653006e-26,5.3040539990532095e-39,1.6002233305041783e-32,1.8389787292181141e-30,3.1370963205656602e-18,6.3907316095466052e-69,3.1363228320467165e-18,2.0971535271884262e-44,2.3133076481265561e-41,1.4435900390188123e-46,9.3892663485403697e-61,1.8510032745924338e-30,1.589369292494958e-53,5.9801121960023099e-10,2.8752912585106386e-11,1.1082575140359604e-14,1.2198824770667205e-21,1.1083379421419231e-14,2.5565052514591372e-19,9.095401877387443e-20,5.141049542307004e-21,2.4594202663349054e-35,1.3488022885387372e-34,6.8213706507102236e-49,4.5147789195111189e-30,1.7572315943617283e-41
