Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),H2OX(23),CO2X(24)
6.9142949098972176e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,2.1851783871454534e-76,1.5143188122505448e-42,4.9500512770669819e-30,1.2683767936646568e-54,1.9869016815690109e-39,1.4138060608360995e-92,7.0308461187729608e-19,1.4567584117480437e-83,7.0308459325362343e-19,3.2976453778084959e-56,2.0950763193060053e-50,1.3189747951976225e-76,7.9698173472402096e-78,2.0959741219018062e-39,1.0544002976406104e-65,2.7883331706739879e-12,1.3406553676033224e-13,5.1676093075145171e-17,3.9372412439179391e-26,5.1676109971925285e-17,8.4331565453341337e-24,1.706781543479464e-26,5.6437531501672099e-30,8.4468088779619019e-49,1.8748196961933708e-40,1.1675201164972177e-66,7.1188534852347758e-70,7.8721719156938444e-37,5.1174086619366269e-70
1.3828595681119822e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,1.1161051179037962e-73,2.4188317258116893e-41,1.9813448250987569e-29,1.6195987926064854e-52,1.5895224332133977e-38,7.223968674706558e-90,1.4061698569060799e-18,9.3232653294707187e-82,1.406169782411351e-18,5.276236638768104e-55,3.346084050343681e-49,3.3684417251108091e-74,2.0353486353112156e-75,1.6738659283678263e-38,3.3740836672927015e-64,5.5766687032544157e-12,2.6813118716582582e-13,1.0335221309515403e-16,1.5719645737029587e-25,1.0335228075070264e-16,3.3664606159982129e-23,1.3624054091346234e-25,9.0080287876796182e-29,5.3928610233187255e-47,1.5007924729674349e-39,2.9816340171901965e-64,1.8179501266352921e-67,6.2867832472838797e-36,1.3068858594366232e-67
2.7657197223565033e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,5.6894531389551927e-71,3.8571399732974805e-40,7.935906694374235e-29,2.064027293591365e-50,1.2716178008665624e-37,3.6853478008334816e-87,2.8123404583799439e-18,5.96689103162581e-80,2.8123401604010197e-18,8.4419781135419731e-54,5.3345024353841851e-48,8.585677392817932e-72,5.1877631357458549e-73,1.3344533146437838e-37,1.0797067376802633e-62,1.1153339763030628e-11,5.3626248796571894e-13,2.0670440255055702e-16,6.2645188421757567e-25,2.0670467371738374e-16,1.3411719896528462e-22,1.0851184007543983e-24,1.4349231574960524e-27,3.4362954676481503e-45,1.2021232360696466e-38,7.5996694636849609e-62,4.6332360133369343e-65,5.011982327145134e-35,3.3309753116058054e-65
5.531440030845545e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,2.8883224196090285e-68,6.1302587007155892e-39,3.1826889708318926e-28,2.6196063160903137e-48,1.0172932529925872e-36,1.8738203680555948e-84,5.6246821069924451e-18,3.8188075054050332e-78,5.6246809150772113e-18,1.3507152619986048e-52,8.4742796618805531e-47,2.1794182860228177e-69,1.316854425309416e-70,1.0602131719450712e-36,3.4550584937528299e-61,2.2306681861044497e-11,1.072525089521147e-12,4.1340857912310257e-16,2.4873276270808438e-24,4.1340966810744194e-16,5.3218712901438788e-22,8.6049011268947171e-24,2.2762449307434481e-26,2.1805544266947657e-43,9.6405509956401757e-38,1.9290807792395219e-59,1.1758812439317703e-62,3.9819517869657631e-34,8.4549888375916432e-63
1.106288064782363e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,1.4542568398121396e-65,9.6792406913890815e-38,1.279589488989242e-27,3.2974822867385579e-46,8.138327202483107e-36,9.4638662087399164e-82,1.1249367186872977e-17,2.4440322084510854e-76,1.1249362419217012e-17,2.1611396047103223e-51,1.3367792122270065e-45,5.487164463007041e-67,3.315342277186026e-68,8.366432001908828e-36,1.1056163012617083e-59,4.4613365970917977e-11,2.1450502924546255e-12,8.2681612291675325e-16,9.8044834720857797e-24,8.2682051275686731e-16,2.0952497343136512e-21,6.7649095880688973e-23,3.5809188915784176e-25,1.37231836463305e-41,7.7493384583441472e-37,4.8566541838002921e-57,2.9593559050667972e-60,3.1422185947939542e-33,2.1284889121433114e-60
2.2125761881779797e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,7.2051643253267399e-63,1.5089085192144536e-36,5.168233058754328e-27,4.0845772104778281e-44,6.5106304404940725e-35,4.7178749803008747e-79,2.2498744477228297e-17,1.564174092695762e-74,2.2498725406646291e-17,3.4578072742474081e-50,2.0801017941734664e-44,1.3595780734032435e-64,8.2139303893351319e-66,6.5158052890667138e-35,3.5379559706219863e-58,8.9226733846047949e-11,4.290100697612838e-12,1.6536279731110142e-15,3.8105381288125129e-23,1.6536457941313244e-15,8.1245034873933078e-21,5.2296263893616522e-22,5.542544297908852e-24,8.498321439157577e-40,6.2560548941604444e-36,1.2032396983915499e-54,7.3266651271665872e-58,2.447094850894332e-32,5.2726645568358735e-58
4.425152434969213e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,3.4622720246542236e-60,2.2961727652341189e-35,2.1039452696071523e-26,4.9073537675561571e-42,5.2084537556021191e-34,2.2948426062621007e-76,4.4997527580092314e-17,1.001062929446466e-72,4.4997451298103648e-17,5.5324395911918824e-49,3.1541913412563453e-43,3.2678024459451203e-62,1.9739481824046565e-63,4.9497007148722874e-34,1.1321354307003943e-56,1.7845346821783985e-10,8.5802015050994693e-12,3.307238724029245e-15,1.4419513484352388e-22,3.307311961824706e-15,3.061306919780093e-20,3.9156332104254645e-21,8.3178070544689969e-23,5.1038015797110691e-38,5.0882439488992101e-35,2.8914889117245251e-52,1.7581976621370707e-55,1.858809028968494e-31,1.2667477995632256e-55
6.637728681760446e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,2.9120345292219401e-59,8.253480725047564e-35,4.5211115653494897e-26,3.1485643247937825e-41,1.5462511569518888e-33,1.9273329563848336e-75,6.7496339204886268e-17,5.6837208109476392e-72,6.7496177106159786e-17,2.0930247847162503e-48,1.1740220804263554e-42,2.4147847266466046e-61,1.4586123765492884e-62,1.374549527561023e-33,5.2813668555288869e-56,2.6768020121116376e-10,1.2870302309758729e-11,4.9608365255790044e-15,2.9508499729993793e-22,4.9609948697994866e-15,6.2469632620274714e-20,1.0783405425611873e-20,2.9698090266017831e-22,2.7874261396150247e-37,1.4677887543541612e-34,2.1365919456229696e-51,1.3052738355284412e-54,5.1617911834286277e-31,9.4071429488123546e-55
1.1062881175342914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627323993,0.11866996558382328,0.022821567682329034,4.4645679896704168e-57,5.8662956059152344e-34,1.2810293573594164e-25,1.2717582850957603e-39,7.2428290402355374e-33,2.5337527416680955e-73,1.1249407654040446e-16,1.5279143149006741e-70,1.1249362838866859e-16,1.6518066967036782e-47,8.785336629781446e-42,1.7115936918167638e-59,1.0334402492549305e-60,5.8162051783049811e-33,7.0772500106817201e-55,4.4613366168393997e-10,2.145050390781237e-11,8.2679803320199003e-15,7.4505261496947059e-22,8.268435397409761e-15,1.567285731858842e-19,4.455039626343827e-20,2.0635799345799607e-21,6.5037450946120758e-36,6.9021219284468403e-34,1.5137009866469482e-49,1.1259449819849402e-52,2.1838989582673804e-30,8.13094763553731e-53
1.5032542412918275e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756256461151,0.11866996542373545,0.022821567678480523,2.8186186850925819e-56,1.5529480029084757e-33,2.3098132295347222e-25,5.8042408457015278e-39,1.6665510138516388e-32,1.4068571771371325e-72,1.5286018347186746e-16,6.5927988368476349e-70,1.5285938690669226e-16,4.6164805806701606e-47,2.4337192753050647e-41,8.5505246883322455e-59,5.1616744445942895e-60,1.2483542070826765e-32,2.3360115949228688e-54,6.0621848728032847e-10,2.9147525355964798e-11,1.1234670562334268e-14,1.2489797778242983e-21,1.1235498118188806e-14,2.6168753334852186e-19,9.433711244004709e-20,5.4056003770329698e-21,2.6566124372746974e-35,1.5669108027751947e-33,7.5603305316566095e-49,6.6788590315181338e-52,4.6870913731070462e-30,4.8244773905336599e-52
