Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),CH2X(27),HX(19),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24),COX(47),CHOX(50),CH4OX(57),CH3OX(56),CH2OX(181),CHOX(183),CH3OX(55),C2H6X(49)
2.02186433965072e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18806110137154769,0.097312484105252187,0.098926298437641072,9.3627742097255611e-11,1.5293035277334067e-07,4.1776741189584574e-14,3.6093626234874575e-11,1.1270256367118935e-14,4.6304632620157681e-34,2.1634820240073261e-14,3.24206342002966e-41,3.974342735558682e-19,1.0403418893165408e-27,9.5126119081628365e-12,1.0880122393221942e-30,8.9148532937064611e-32,3.8953741805147737e-13,9.4380024974313398e-33,0.0026873856889253569,0.002147017486025294,9.5470125282848249e-10,1.6034654906920443e-08,1.8422457614390873e-15,3.4887677877612464e-09,8.8315467147799998e-12,8.9269018106603013e-09,9.626353471533756e-08,1.2017515139005838e-07,7.9116702127240028e-13,4.0926304124910639e-14,2.1416034144108484e-17,1.240231873810806e-13,1.1137061005748509e-17,1.9589276823879563e-17,4.2365793135882994e-17,3.2106987743816327e-17,4.3633423497777613e-17
2.0411098516518287e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18803126542120896,0.097301626947335212,0.098916806485182085,9.6598375758271421e-11,1.5596562538574111e-07,4.1898460217094473e-14,3.7080524867689135e-11,1.1410381771371788e-14,4.7254497174579319e-34,2.1893712992634894e-14,3.4311964790349327e-41,3.9941453975237982e-19,1.0775240656472271e-27,9.6498937158626474e-12,1.1147863659124259e-30,9.1441617925434585e-32,3.9459231709824231e-13,9.8720787530044158e-33,0.0026982408059429645,0.0021659952141949998,9.5570037493679537e-10,1.6093100268512964e-08,1.8553330262960298e-15,3.4774860226915272e-09,8.7872226265120697e-12,8.9079916569407295e-09,9.7284718577133307e-08,1.2222989004613415e-07,8.0775794410984781e-13,4.2080792163576082e-14,2.1715203860254056e-17,1.2695011240824116e-13,1.1204624127840352e-17,1.9791444005460887e-17,4.3868082400489337e-17,3.2852995984523872e-17,4.4246755129184228e-17
2.0603553636529375e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18800161859625569,0.097290926626923582,0.098907330656188369,9.9630976295244339e-11,1.5902816967980656e-07,4.2019170763871197e-14,3.808308815763964e-11,1.1550797970240604e-14,4.8214480142484969e-34,2.21533383366058e-14,3.6293882843563161e-41,4.0138231644633523e-19,1.115652244621434e-27,9.7877920430589169e-12,1.1419403987338297e-30,9.37690069177967e-32,3.9966343630048391e-13,1.0321591214065063e-32,0.0027089390713225764,0.002184940653585194,9.5668428133063715e-10,1.6151263433975294e-08,1.8683970104857879e-15,3.4664121360860641e-09,8.7438997884573547e-12,8.8894830067389241e-09,9.8306954327226112e-08,1.2429829563140968e-07,8.2452758403211823e-13,4.3254077877587811e-14,2.2015818099559861e-17,1.2991544070506164e-13,1.1271716270196264e-17,1.9990320207236046e-17,4.5399011291292284e-17,3.3608821608263752e-17,4.4861606035570427e-17
2.0796008756540463e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18797215880993845,0.097280380935873531,0.098897871011386237,1.0272620783876907e-10,1.6211793418562891e-07,4.2138893677563607e-14,3.9101392752182707e-11,1.1691500847439939e-14,4.9184617507678383e-34,2.2413694436322327e-14,3.8369801995887722e-41,4.0333778943205838e-19,1.1547408468519397e-27,9.9263031703396556e-12,1.169476441042231e-30,9.6130883151607649e-32,4.047506742416013e-13,1.0786930646824877e-32,0.0027194826932351846,0.0022038536828075527,9.5765329380594162e-10,1.6209147134628115e-08,1.8814376665173054e-15,3.4555404434938795e-09,8.7015446694049863e-12,8.8713622534549475e-09,9.9330239813684992e-08,1.2638035340676498e-07,8.4147627726456014e-13,4.4446251796283079e-14,2.2317880286363449e-17,1.3291926600476287e-13,1.1338355605661112e-17,2.0185994514234022e-17,4.6958573794109664e-17,3.4374496284984362e-17,4.5477950466077777e-17
2.098846387655155e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18794288400572465,0.097269987697012908,0.098888427611125124,1.0588473574348423e-10,1.6523486754209956e-07,4.2257649162123287e-14,4.0135514942863345e-11,1.1832486366306622e-14,5.0164945553817457e-34,2.2674779518717849e-14,4.0543230424940476e-41,4.0528113974257507e-19,1.1948043629448463e-27,1.0065423419125046e-11,1.1973966043129287e-30,9.8527429965718489e-32,4.0985393045313408e-13,1.1268493743578866e-32,0.00272987384888035,0.0022227341812282122,9.5860772532883093e-10,1.6266754052541444e-08,1.8944549464230969e-15,3.4448654694601503e-09,8.6601252652717642e-12,8.8536164369484816e-09,1.003545726429051e-07,1.2847604796032281e-07,8.5860435115638253e-13,4.5657404043192102e-14,2.2621393571308907e-17,1.3596168053248372e-13,1.1404559278863651e-17,2.0378556647051839e-17,4.8546763611472313e-17,3.5150051431678825e-17,4.6095763248268507e-17
2.1180918996562638e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18791379215685439,0.097259744763705705,0.098879000515372961,1.0910722655537793e-10,1.6837891848765079e-07,4.2375456804028292e-14,4.1185530660456163e-11,1.1973750567827734e-14,5.1155500846446722e-34,2.2936591871391302e-14,4.2817772546707362e-41,4.0721254381977932e-19,1.2358573529250228e-27,1.0205149150920965e-11,1.2257030078937475e-30,1.0095883077963614e-31,4.1497310539816656e-13,1.1766683151281342e-32,0.0027401146849214465,0.0022415820289772375,9.5954788032980138e-10,1.6324086821520747e-08,1.9074488017942161e-15,3.4343819378621342e-09,8.6196110125416349e-12,8.8362332065331622e-09,1.0137995019153002e-07,1.3058536324364524e-07,8.7591212435458734e-13,4.6887624328409681e-14,2.2926360843194806e-17,1.3904277502363315e-13,1.1470343472365011e-17,2.0568096609334513e-17,5.0163574456983869e-17,3.5935518215634471e-17,4.6715019771916506e-17
2.1373374116573726e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18788488126590167,0.097249650019423081,0.098869589783711423,1.1239434797972606e-10,1.715500358514571e-07,4.2492335597181835e-14,4.2251515470440373e-11,1.2115289568726822e-14,5.2156320216107734e-34,2.319912984074128e-14,4.5197130726735031e-41,4.0913217367685019e-19,1.277914445667697e-27,1.0345476766588175e-11,1.2543977786760849e-30,1.0342526907390677e-31,4.2010810045506604e-13,1.2281907499887261e-32,0.0027502073179147533,0.0022603971069578982,9.6047405498643327e-10,1.6381148028083646e-08,1.9204191838031875e-15,3.4240847627771358e-09,8.5799727059413942e-12,8.8192007859353709e-09,1.024063696177335e-07,1.3270828260600542e-07,8.9339990696775392e-13,4.8137001941439176e-14,2.3232784744781574e-17,1.4216263874192584e-13,1.1535723469371053e-17,2.0754704364792043e-17,5.1809000323425636e-17,3.6730927557612731e-17,4.7335695973325293e-17
2.1565829236584813e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18785614936434214,0.097239701377320215,0.098860195475331453,1.157467688496356e-10,1.7474816854507277e-07,4.2608303966568085e-14,4.3333544568790222e-11,1.2257099559606229e-14,5.3167440742403391e-34,2.34623918301631e-14,4.7685107005799792e-41,4.1104019705335882e-19,1.3209903383360434e-27,1.0486402705626893e-11,1.2834830507828383e-30,1.0592692837159042e-31,4.2525881790155334e-13,1.2814581430461797e-32,0.0027601538347325114,0.0022791792968557666,9.6138653749505538e-10,1.6437940212411076e-08,1.9333660432403196e-15,3.4139690398528386e-09,8.5411824248273733e-12,8.8025079402141463e-09,1.0343382787190477e-07,1.3484478882673188e-07,9.1106800072433509e-13,4.9405625744494131e-14,2.3540667687881954e-17,1.4532135949710631e-13,1.1600713713010931e-17,2.0938469542758978e-17,5.3483035725602646e-17,3.753631013496156e-17,4.7957768320153207e-17
2.17582843565959e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18782759451212747,0.097229896779819316,0.098850817649028713,1.1916515909516503e-10,1.7797326555448048e-07,4.2723379790740582e-14,4.4431692778062101e-11,1.2399176803143725e-14,5.4188899739006851e-34,2.3726376298306271e-14,5.0285604840047786e-41,4.1293677756347233e-19,1.3650997958246512e-27,1.062792344547643e-11,1.3129609652720421e-30,1.0846399222070256e-31,4.3042516089909613e-13,1.336512562306068e-32,0.0027699562929800066,0.0022979284811476329,9.6228560833191593e-10,1.6494465869285622e-08,1.9462893305489971e-15,3.4040300381560999e-09,8.5032134619670546e-12,8.7861439446133755e-09,1.0446232170676699e-07,1.3699486414565991e-07,9.2891669912648107e-13,5.069358416623979e-14,2.3850011861408336e-17,1.4851902366237059e-13,1.1665327862220273e-17,2.1119481171224781e-17,5.5185675918967604e-17,3.8351696384662353e-17,4.8581213796727568e-17
2.195073947660699e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18779921479726527,0.097220234198198391,0.098841456363199229,1.2265018971299984e-10,1.8122527593253187e-07,4.283758042321163e-14,4.5546034543760726e-11,1.2541517632341498e-14,5.5220734739555879e-34,2.3991081757389945e-14,5.3002630855610518e-41,4.1482207483762554e-19,1.4102576502087532e-27,1.0770035500829496e-11,1.3428336698552404e-30,1.1103664417756131e-31,4.3560703347761834e-13,1.3933966824383687e-32,0.0027796167214067854,0.0023166445431102413,9.631715405044035e-10,1.6550727449031623e-08,1.9591889958425322e-15,3.3942631924638184e-09,8.4660402544737283e-12,8.7700985552841233e-09,1.0549184768695929e-07,1.3915849029175064e-07,9.469462875956163e-13,5.200096519595485e-14,2.4160819244601408e-17,1.5175571619149008e-13,1.1729578844297335e-17,2.1297827436199369e-17,5.6916917095093606e-17,3.9177116506313115e-17,4.9206009889830595e-17
2.2143194596618076e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18777100833540492,0.097210711632185795,0.098832111675835055,1.2620253273665702e-10,1.8450414879175809e-07,4.2950922712805475e-14,4.6676643930966978e-11,1.2684118448825914e-14,5.6262983484290481e-34,2.4256506771574372e-14,5.5840296617701847e-41,4.1669624465800557e-19,1.456478800199096e-27,1.0912735422961014e-11,1.3731033186297707e-30,1.1364506779105842e-31,4.4080434052052314e-13,1.4521537875203467e-32,0.0027891371203120643,0.0023353273668288497,9.6404459979273825e-10,1.660672735844996e-08,1.972064988937816e-15,3.3846640959612901e-09,8.4296383241566109e-12,8.7543619817952517e-09,1.0652240219811748e-07,1.4133564850995215e-07,9.6515704360984015e-13,5.3327856378093035e-14,2.4473091621456294e-17,1.5503152063564466e-13,1.1793478904222469e-17,2.1473595466225143e-17,5.8676756555097148e-17,4.0012600465049819e-17,4.9832134574941072e-17
2.2335649716629164e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18774297326942974,0.097201327109560504,0.098822783644520185,1.2982286120719009e-10,1.8780983329753302e-07,4.3063423023034565e-14,4.7823594621211363e-11,1.2826975721196353e-14,5.7315683907467955e-34,2.4522649955385958e-14,5.8802820414200497e-41,4.1855943908817383e-19,1.5037782106023482e-27,1.1056019799071299e-11,1.4037720718239823e-30,1.1628944658771821e-31,4.4601698775003254e-13,1.5128277737571993e-32,0.0027985194619444382,0.0023539768372056063,9.6490504498250522e-10,1.6662467961737799e-08,1.9849172593931463e-15,3.3752284933294642e-09,8.3939842195973181e-12,8.738924861361696e-09,1.0755398145548873e-07,1.4352631958637892e-07,9.8354923683561155e-13,5.4674344807224334e-14,2.4786830585134263e-17,1.5834651915997133e-13,1.1857039650845558e-17,2.164687114080017e-17,6.0465192862145176e-17,4.0858177994407302e-17,5.0459566302915541e-17
2.2528104836640252e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18771510776905448,0.09719207868575809,0.098813472326426302,1.3351184914437216e-10,1.9114227866156982e-07,4.3175097250554269e-14,4.8986959909577417e-11,1.2970085983421491e-14,5.8378874125532239e-34,2.4789509972194146e-14,6.1894529053716945e-41,4.2041180659712911e-19,1.5521709117869254e-27,1.1199885251643366e-11,1.4348420955545658e-30,1.1896996405747241e-31,4.5124488171283577e-13,1.5754631521806854e-32,0.0028077656908959379,0.0023725928399677579,9.6575312808841557e-10,1.6717951581393163e-08,1.9977457565185475e-15,3.3659522741966201e-09,8.3590554575042277e-12,8.7237782347101443e-09,1.0858658151211032e-07,1.4573048387189305e-07,1.0021231292538799e-12,5.6040517123336221e-14,2.5102037548529941e-17,1.6170079255983395e-13,1.1920272100057516e-17,2.1817738921446595e-17,6.2282225974199428e-17,4.1713878599121756e-17,5.1088283987093812e-17
2.272055995665134e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1876874100304291,0.097182964443482289,0.098804177778308785,1.3727017151833472e-10,1.9450143413573453e-07,4.328596084274887e-14,5.0166812702020116e-11,1.3113445833281456e-14,5.9452592425840695e-34,2.5057085532737923e-14,6.5119859678145622e-41,4.2225349217810534e-19,1.6016719991541341e-27,1.1344328437814021e-11,1.4663155615953655e-30,1.2168680364023383e-31,4.5648792976604305e-13,1.6401050513259748e-32,0.0028168777244905502,0.0023911752616756743,9.6658909456969348e-10,1.6773180499101927e-08,2.0105504294053703e-15,3.3568314669271758e-09,8.32483047461558e-12,8.7089135234860408e-09,1.0962019826657591e-07,1.4794812130416909e-07,1.0208789752791242e-12,5.7426459507474689e-14,2.5418713759254777e-17,1.650944202768207e-13,1.1983186715071856e-17,2.1986281704142596e-17,6.4127857358156989e-17,4.2579731557876276e-17,5.1718266990813387e-17
2.2913015076662427e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18765987827574748,0.097173982492321828,0.098794900056502918,1.4109850422163821e-10,1.9788724900616119e-07,4.3396028814497817e-14,5.1363225512885375e-11,1.3257051930854424e-14,6.0536877256021238e-34,2.5325375393700183e-14,6.8483361589703023e-41,4.2408463746237404e-19,1.6522966326145215e-27,1.1489346048758471e-11,1.4981946471567886e-30,1.2444014871311264e-31,4.6174604006343571e-13,1.7067992198869171e-32,0.00282585745316725,0.0024097239897307105,9.6741318353746785e-10,1.6828156956611912e-08,2.0233312269692535e-15,3.3478622327354464e-09,8.2912885814584561e-12,8.6943225091226195e-09,1.1065482747041249e-07,1.5017921142833112e-07,1.0398170218713909e-12,5.8832257677705889e-14,2.5736860300584544e-17,1.6852748041447491e-13,1.2045793443950163e-17,2.2152580691834426e-17,6.6002090086539378e-17,4.3455765925991074e-17,5.2349495115318782e-17
2.3105470196673515e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18763251075286239,0.097165130968372801,0.098785639216919768,1.4499752404175058e-10,2.012996725876535e-07,4.3505315764167047e-14,5.2576270462617618e-11,1.3400900997046079e-14,6.1631767214003533e-34,2.5594378356328164e-14,7.1989698092454981e-41,4.2590538082830645e-19,1.704060036069334e-27,1.1634934809088201e-11,1.5304815346750902e-30,1.2723018257816381e-31,4.6701912154201069e-13,1.7755920293499576e-32,0.0028347067408576484,0.0024282389123828894,9.6822562795449882e-10,1.6882883156600009e-08,2.0360880979535763e-15,3.3390408601017376e-09,8.258409911498727e-12,8.679997313087031e-09,1.1169046473509175e-07,1.5242373341625179e-07,1.0589375086437396e-12,6.0257996885378865e-14,2.6056478098874561e-17,1.7200004975376521e-13,1.2108101754510289e-17,2.2316715285751987e-17,6.7904928917871256e-17,4.4342010538059884e-17,5.2981948588051941e-17
2.3297925316684602e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18760530573490561,0.097156408033866493,0.09877639531504262,1.4896790863391566e-10,2.0473865421835811e-07,4.3613835888868482e-14,5.3806019275642729e-11,1.354498981216068e-14,6.2737301038443735e-34,2.5864093265098201e-14,7.5643648348335563e-41,4.2771585750593355e-19,1.7569774968969843e-27,1.1781091476261873e-11,1.5631784116111939e-30,1.3005708845084634e-31,4.7230708390881503e-13,1.8465304766068917e-32,0.002843427425358308,0.0024467199187384139,9.6902665482755993e-10,1.6937361263520308e-08,2.0488209909526583e-15,3.3303637594638603e-09,8.2261753822648108e-12,8.6659303784006555e-09,1.1272710553870021e-07,1.5468166608459907e-07,1.0782406679649978e-12,6.170376191167167e-14,2.6377567940575106e-17,1.7551220376830005e-13,1.2170120666758317e-17,2.2478762994265593e-17,6.9836380361872958e-17,4.5238494010534037e-17,5.3615608051310277e-17
2.349038043669569e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1875782615199133,0.097147811876802131,0.098767168405923284,1.5301033649439061e-10,2.0820414325469817e-07,4.3721602999026991e-14,5.5052543278415398e-11,1.3689315214512349e-14,6.3853517599645569e-34,2.6134519006423179e-14,7.9450109247659379e-41,4.2951619967722705e-19,1.8110643654444326e-27,1.1927812840009033e-11,1.5962874702582469e-30,1.3292104944902477e-31,4.7760983762806318e-13,1.9196621865466737e-32,0.0028520213186978205,0.0024651668987670126,9.6981648539277226e-10,1.6991593404431713e-08,2.0615298544632616e-15,3.3218274581792234e-09,8.1945666597569984e-12,8.6521144523605232e-09,1.1376474523228678e-07,1.5695298791171161e-07,1.0977267250556204e-12,6.3169637064403115e-14,2.6700130470057832e-17,1.7906401663929291e-13,1.2231858782985097e-17,2.2638799358043068e-17,7.1796452730569302e-17,4.6145244744255671e-17,5.425045455126001e-17
2.3682835556706778e-08,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18755137643045722,0.097139340710584998,0.098757958544178376,1.5712548693403453e-10,2.1169608906655302e-07,4.3828630532292341e-14,5.6315913397619638e-11,1.3833874099075262e-14,6.4980455891133884e-34,2.6405654507401129e-14,8.3414097294129792e-41,4.3130653657231526e-19,1.8663360545233898e-27,1.2075095721766296e-11,1.6298109075572076e-30,1.3582224858231541e-31,4.8292729390853685e-13,1.9950354146264665e-32,0.0028604902074987073,0.0024835797433091149,9.7059533529419872e-10,1.7045581669817059e-08,2.0742146368815127e-15,3.3134285957422034e-09,8.1635661130056132e-12,8.6385425703920231e-09,1.1480337904590703e-07,1.5923767705338479e-07,1.1173958980793485e-12,6.4655706175094155e-14,2.7024166192761829e-17,1.8265556127028309e-13,1.2293324315667057e-17,2.2796897890294063e-17,7.3785156176391607e-17,4.7062290926941394e-17,5.4886469527291987e-17
