Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),OCX(25),COX(50),CH4OX(60),CHOX(53),C2H4X(209),C2H4X(65)
6.108870188783538e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679696753,0.11866996602696658,0.022821567693010695,0.0,2.6641282358605846e-42,1.8587205298604484e-24,5.6168583833734769e-53,9.5753032017413896e-37,4.5104342288709307e-85,5.3915623846978628e-14,1.227305596586084e-71,5.3915623836652602e-14,7.1424286771065009e-49,1.0818123805429825e-46,6.129823864873528e-71,7.1075153985761519e-72,1.599978241528333e-32,1.6766806495111052e-56,2.9444802299048605e-12,8.7180826313479481e-14,3.4901430771220633e-16,3.4901385605368794e-16,2.2205194496614685e-22,2.6447926941877301e-25,7.5292999004180734e-29,2.087639236681942e-25,7.4344225570324744e-35,5.6379593658732392e-26,1.3698284396551647e-63,1.1494512387734581e-36,4.5347068400184168e-48,1.0795188084725313e-64,9.8029026620694867e-58,4.9376655895863459e-68,1.2952547869933082e-74,1.597932024562369e-67
1.2217745556124889e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679393518,0.11866996602396783,0.022821567692967105,0.0,4.2625999991878395e-41,7.4348982850554228e-24,7.0401723641001094e-51,7.6602499081145934e-36,2.2611066377964616e-82,1.0783129340687109e-13,7.8547672504557435e-70,1.0783129336556695e-13,1.1427897394102674e-47,1.7309003620160042e-45,1.5365135812214174e-68,1.7815832957846755e-69,1.2799831877988709e-31,5.3653832382871598e-55,5.8889629544233306e-12,1.7436172652923028e-13,6.9802936457260378e-16,6.9802755688111828e-16,8.8715198222071909e-22,2.1129085115127411e-24,1.1801811432272128e-27,8.3505573749904749e-25,5.9475509875486641e-34,2.2551845103794617e-25,8.7669101597853653e-62,9.1955954024144971e-36,2.8423138336613771e-46,2.7059406885301573e-62,3.136927542162353e-56,1.2378279190323062e-65,1.6579276834666328e-72,1.0226439502315671e-65
2.443549629080759e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678787047,0.11866996601797034,0.022821567692879925,0.0,6.8201352974625326e-40,2.9739693799024661e-23,8.8981628301020052e-49,6.1282025901034989e-35,1.1430797208293269e-79,2.1566263255075928e-13,5.0270543068264212e-68,2.1566263238554277e-13,1.8284643602268149e-46,2.7694376330215933e-44,3.8839093969593963e-66,4.5033805645231414e-67,1.0239863622715112e-30,1.7169231186165455e-53,1.1777928399094294e-11,3.4872352695505048e-13,1.3960608444577359e-15,1.3960536052707438e-15,3.5401862271556992e-21,1.6856596840041284e-23,1.8649773134159956e-26,3.3402201071242106e-24,4.7580561592617897e-33,9.0207355510908517e-25,5.6108235650637116e-60,7.3564449248328857e-35,1.7963383402035355e-44,6.8399080551474751e-60,1.0038142088350727e-54,3.1289295421137673e-63,2.1221478486682209e-70,6.5444938177620059e-64
4.8870997760172994e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677574101,0.11866996600597535,0.022821567692705564,0.0,1.0912130929183559e-38,1.1895951891319626e-22,1.127235803018088e-46,4.902562697405193e-34,5.7922246511201951e-77,4.313253109349487e-13,3.2173153001503619e-66,4.3132531027408283e-13,2.9255431382969901e-45,4.431087012504426e-43,9.8403342900629887e-64,1.1409827320096249e-64,8.1918833344171861e-30,5.4941525548035107e-52,2.3555859270972327e-11,6.9744712778396054e-13,2.7921293128573398e-15,2.7921002890101962e-15,1.4093810302771705e-20,1.3411097473643497e-22,2.9535426794483394e-25,1.336085131464411e-23,3.8064672609940813e-32,3.6082905079984874e-24,3.5909254455255295e-58,5.8851024318455142e-34,1.13783821106486e-42,1.7329643696688576e-57,3.2121859726165275e-53,7.9266870892818039e-61,2.7163480210162289e-68,4.1879255023771672e-62
9.77420006989038e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675148213,0.11866996598198537,0.022821567692356839,0.0,1.7459130553876465e-37,4.7584383580625412e-22,1.4240598530881679e-44,3.9220497038661903e-33,2.9270279564886979e-74,8.6265066808897459e-13,2.0590813249213857e-64,8.626506654455168e-13,4.6808676794656658e-44,7.0896842996438316e-42,2.4863297478324358e-61,2.8828846566986626e-62,6.5534927453541172e-29,1.7581271837861821e-50,4.7111720944872791e-11,1.394894329350822e-12,5.5842886310344516e-15,5.5841720044983813e-15,5.5846777784766558e-20,1.0611768247295435e-21,4.6642404993034521e-24,5.3443159607432501e-23,3.0452082552108737e-31,1.4433128897962915e-23,2.2981892320381753e-56,4.7079950270708692e-33,7.1871120995647688e-41,4.3786045400763166e-55,1.0278852250354621e-51,2.0022934559537884e-58,3.4769208680014287e-66,2.6795667872461386e-60
1.954840065763654e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670296433,0.11866996593400542,0.022821567691659394,0.0,2.7933712212040405e-36,1.9034200149201973e-21,1.782714492812081e-42,3.1376384547967292e-32,1.4657702053888545e-71,1.7253013839395942e-12,1.3178110770416687e-62,1.7253013733657996e-12,7.4893825054180295e-43,1.1343331236808476e-40,6.2252872140495324e-59,7.2181612031191798e-60,5.2427711997699856e-28,5.6259953771467898e-49,9.4223444013251327e-11,2.7897887321204087e-12,1.1168699501721828e-14,1.1168228828861046e-14,2.1926853056634457e-19,8.3069510538806522e-21,7.2985255987344259e-23,2.1377064776282461e-22,2.4362200111202299e-30,5.7732243736225838e-23,1.4708368937240867e-54,3.7662564408384582e-32,4.4982774070323224e-39,1.0963035539600703e-52,3.2891445088514891e-50,5.0105769908670401e-56,4.4504460021331643e-64,1.714020009935098e-58
3.9096801833128864e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727660592879,0.1186699658380455,0.022821567690264499,0.0,4.4691067378246071e-35,7.6140191259588823e-21,2.1885928270664421e-40,2.5101084379281342e-31,7.1988653846624136e-69,3.4506028218109149e-12,8.4339772738234658e-61,3.4506027795160259e-12,1.1982992317203799e-41,1.8148805967390594e-39,1.5286550653258718e-56,1.772449920264726e-57,4.1941798984065597e-27,1.8003109049699965e-47,1.8844688903231879e-10,5.5795775362006193e-12,2.233791083285393e-14,2.2335996061923357e-14,8.4577324127931768e-19,6.3684567565738599e-20,1.119936601556256e-21,8.5506661516698261e-22,1.9490571887014273e-29,2.3092678783681916e-22,9.4133011894596261e-53,3.0127816527612027e-31,2.760771951724469e-37,2.6919673953513532e-50,1.0524698019791598e-48,1.2289992488457584e-53,5.6965377494331295e-62,1.0958190013901122e-56
5.864520300862119e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727650889324,0.11866996574208558,0.022821567688869605,0.0,1.6448945318505254e-34,1.6180268005118284e-20,1.4129053021089791e-39,7.4518804348859416e-31,6.0573917455679805e-68,5.1759042658523173e-12,4.7885599223809097e-60,5.1759041759759134e-12,4.5334058296067283e-41,6.9191603533760941e-39,1.1357131486322884e-55,1.3168381039541547e-56,1.199267253425363e-26,8.3983965483447248e-47,2.8267033293369669e-10,8.3693663388186428e-12,3.3507531422186476e-14,3.3503416890113834e-14,1.7531880430019578e-18,1.7772474114930165e-19,4.0412284794508143e-21,1.8169930788107497e-21,5.5732137275910034e-29,4.9071622995720209e-22,5.2639900408843918e-52,8.6143056379192875e-31,1.5185834148487407e-36,1.9999814796863072e-49,4.9395258687838252e-48,9.1732393102447581e-53,3.7303140261663871e-61,6.1257115162385793e-56
9.774200535960583e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727631482209,0.11866996555016575,0.022821567686079815,0.0,1.2654824914134185e-33,4.4736797657904087e-20,5.915559255520041e-38,3.4906112242787081e-30,7.9032054769781472e-66,8.6265071786127947e-12,1.2872917359910105e-58,8.6265069301343496e-12,3.5777988709930891e-40,5.6895255917800922e-38,8.3436924236581005e-54,9.6741924918517085e-55,5.5113024352740889e-26,1.1254312258896167e-45,4.7111721626569441e-10,1.3948943938186601e-11,5.5848553636480366e-14,5.5836873013335504e-14,4.5593081988393846e-18,7.6104574601133461e-19,2.9055843978614915e-20,5.0232840378233221e-21,2.5614060956573434e-28,1.3566632366787719e-21,1.2111569125349575e-50,3.9583053371314804e-30,3.6718470711734151e-35,1.4692425978737402e-47,6.886212278367634e-47,8.2157383943592365e-51,1.4917342666390742e-59,1.4068819880541863e-54
1.3292912747549202e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727614015809,0.1186699653774379,0.022821567683569004,0.0,3.4850794868231277e-33,7.9666428237493987e-20,2.7504977973983893e-37,8.0549304828862979e-30,4.3201963853683144e-65,1.1732049820030069e-11,5.5895870157804667e-58,1.1732049377567233e-11,1.0040456603120948e-39,1.6593192930784367e-37,4.2457493281883899e-53,4.9227404208579641e-54,1.240578157885876e-25,3.7352171926890363e-45,6.407194076532097e-10,1.8970563772857996e-11,7.5957007704813924e-14,7.5935864413169196e-14,7.8004625236495785e-18,1.6474665325421976e-18,7.758540158685878e-20,8.9447829385819172e-21,5.7658933830618302e-28,2.4157884837915209e-21,4.6289355556959668e-50,8.9094695162284389e-30,1.5288096750893422e-34,7.4762395389068737e-47,2.3603758905226105e-46,4.968951411841261e-50,6.4059393154938268e-59,5.3741547581630842e-54
