Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH3OO(84),H2X(56)
6.184333374004776e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319738601,0.11866996602747132,0.02282156769299433,8.9948517053931693e-99,3.7524947519633559e-46,6.3889857213253015e-32,4.9477171804950691e-53,1.421710268128453e-39,3.5378227966484357e-35,1.3098244059977473e-20,1.3958869436841648e-80,1.3079797917937074e-20,1.866996093896827e-51,1.2233466431369139e-48,1.3926445911763912e-53,4.8027415120072049e-77,3.5378338343643405e-35,7.6835531296841814e-63,2.4939610055027243e-12,1.1991186145462274e-13,4.622049189604737e-17,3.0867904867876091e-26,4.622051031132142e-17,4.0359167451404384e-32,2.1644428455168907e-42
1.2368671990538352e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319477205,0.11866996602497731,0.022821567692934374,5.7678523956544745e-97,3.0059683424568741e-45,2.5555960819353079e-31,3.9626373492282558e-52,1.1373684934499586e-38,1.4168385751096089e-34,2.6233391520643032e-20,4.4830885343174437e-79,2.6159606930769827e-20,1.4975278015848613e-50,1.9167629617482734e-47,1.1153720534063557e-52,7.6927746689737042e-76,1.4168472286263063e-34,1.2324999501620562e-61,4.9879241237282768e-12,2.3982382455692086e-13,9.2440986142291014e-17,1.2082640104122702e-25,9.2441059806054107e-17,1.616316806633185e-31,1.7315556638959031e-41
2.4737349223605506e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318954412,0.11866996601998929,0.022821567692814463,3.7057020723264763e-95,2.4110716989022628e-44,1.022238892615876e-30,3.1772481213227209e-51,9.0989389125290723e-38,5.6810245471936871e-34,5.2614363229172355e-20,1.4450198198311193e-77,5.2319224977447973e-20,1.204320988205174e-49,2.9443186781462439e-46,8.9430685905748783e-52,1.2335267230405052e-74,5.681091107046185e-34,1.9820347380952392e-60,9.97585035587167e-12,4.7964775075266609e-13,1.8488186414058315e-16,4.6336768328399547e-25,1.8488215881546467e-16,6.4808619287018588e-31,1.3852452098382675e-40
4.947470368973981e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317908826,0.11866996601001326,0.022821567692574637,2.3899651573302504e-93,1.9387734824412219e-43,4.0889572994321018e-30,2.5532182553576176e-50,7.2791312746728079e-37,2.2833449170190321e-33,1.0581901273679993e-19,4.6912614316652493e-76,1.046384611548548e-19,9.735693824280753e-49,4.3605146342276256e-45,7.1865983120941605e-51,1.9822264699237977e-73,2.2833943413875743e-33,3.2034752113438055e-59,1.9951702802927606e-11,9.5929560310883701e-13,3.6976317816143994e-16,1.7111683500365833e-24,3.6976435700184555e-16,2.6048192781332675e-30,1.1081966373246728e-39
9.894941262200843e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315817654,0.11866996599006117,0.02282156769209499,2.0648086710816487e-91,1.5664887482594011e-42,1.6355839129945749e-29,2.0608455868554495e-49,5.8232710916928364e-36,9.2208579618502604e-33,2.1399912764630297e-19,1.5531298320300653e-74,2.0927693384587053e-19,7.9519612431094361e-48,6.0651575513434438e-44,5.8007063778283901e-50,3.1990293497006779e-72,9.2212034306485466e-33,5.2296646819275446e-58,3.9903407628116078e-11,1.9185913076804545e-12,7.3952403830871821e-16,5.9223967566061968e-24,7.3952875458009736e-16,1.051907030701062e-29,8.8655781438599937e-39
1.9789883048654568e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311635305,0.11866996595015704,0.022821567691135695,1.3752413292210439e-89,1.2771232865472182e-41,6.542342817845932e-29,1.6779095999406629e-48,4.6585617252793688e-35,3.7583248530389751e-32,4.374425533086669e-19,5.287140534842803e-73,4.1855388057271052e-19,6.6270628141109894e-47,7.6668581628273647e-43,4.7228482242060642e-49,5.206340745777503e-71,3.7585450583689806e-32,8.7056907557793212e-57,7.9806817002799436e-11,3.8371827162634011e-12,1.4790386870932678e-15,1.857062816705248e-23,1.4790575571952854e-15,4.2874615488601199e-29,7.092469601106949e-38
3.9579766621562013e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756303270607,0.11866996587034874,0.022821567689217104,9.4432977121804822e-88,1.0587014237448281e-40,2.6169427038514572e-28,1.3890999060409656e-47,3.7267607999774136e-34,1.5593143329972e-31,9.1266164613640882e-19,1.9075261658495853e-71,8.3710777940562401e-19,5.7398852939761491e-46,8.5812125357684199e-42,3.90992937166293e-48,8.6114060074996186e-70,1.5594390994147283e-31,1.5045143882073188e-55,1.5961363464939168e-10,7.6743655311975312e-12,2.9580396991642049e-15,5.1386501516551405e-23,2.9581152016440856e-15,1.7788502420771946e-28,5.6739866239549339e-37
5.936965019446946e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629490591,0.11866996579054044,0.022821567687298514,4.7327711297002582e-87,3.0878298269886123e-40,5.5610125978466057e-28,4.0487836758439503e-47,1.1063671550653066e-33,3.3957689713214046e-31,1.4162124385203745e-18,9.4232057892151079e-71,1.2556616836177716e-18,1.7786489523189708e-45,2.8297193148599949e-41,1.1396198466602149e-47,3.2193519772381359e-69,3.396068785449734e-31,5.8968656875614248e-55,2.3942045119320956e-10,1.1511548343904095e-11,4.4370124262788463e-15,8.7547417308834734e-23,4.4371728894856238e-15,3.873858134501725e-28,1.6224075644437356e-36
9.894941734028435e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627817652,0.11866996563092384,0.02282156768346133,1.7334656134596276e-85,1.501366616952555e-39,1.5374627278334923e-27,1.9673481011887221e-46,5.1822173835253228e-33,9.9744682053490409e-31,2.5366364873195096e-18,1.822587106158534e-69,2.0927695135590048e-18,9.623094227261821e-45,1.5276258430766199e-40,5.5375370073588822e-47,2.6137355871826779e-68,9.9754226210054501e-31,5.3425086900423214e-54,3.9903407986974805e-10,1.9185913960416364e-11,7.3948447450175569e-15,1.6369669877863616e-22,7.3952884482927013e-15,1.1378760732305653e-27,7.4560093936462773e-36
1.3457120777151775e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756263120069,0.11866996548726892,0.022821567680007867,8.4636526506584524e-85,3.4822062543167065e-39,2.7377736953769551e-27,4.5617371132296137e-46,1.1958153923159036e-32,1.8453481364222656e-30,3.6365519454631381e-18,7.4566256446541734e-69,2.8461665778865561e-18,2.41351976613942e-44,3.6949095041512839e-40,1.2840019561092853e-46,7.3706335638441749e-68,1.8455274306580575e-30,1.6032232088302835e-53,5.4268634211554124e-10,2.6092843008089865e-11,1.0056802449097008e-14,2.3318559882800927e-22,1.0057592601275634e-14,2.1051512003927727e-27,1.6783438262345793e-35
1.7019299820275116e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756248063619,0.11866996534361401,0.022821567676554404,2.5087845946177288e-84,6.7841584556003098e-39,4.2737162959045564e-27,8.8862380530763455e-46,2.3024113396951693e-32,2.9895861745886355e-30,4.8333503030668888e-18,2.1391542740819404e-68,3.5995636606109507e-18,4.9854685285575563e-44,7.3329140754661977e-40,2.5012285380187897e-46,1.7033484324725979e-67,2.9898758333583906e-30,3.9088097859428354e-53,6.8633860058987542e-10,3.2999772048156193e-11,1.2718663430137878e-14,3.0296288398480324e-22,1.271989691381234e-14,3.4104825203516842e-27,3.1721863113637481e-35
2.0581478863398456e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756233007168,0.11866996519995909,0.022821567673100941,7.0157552714990574e-84,1.1654509434088842e-38,6.1267015207875662e-27,1.526462047387113e-45,3.9145624751801349e-32,4.4346891177008303e-30,6.1216617387160035e-18,5.3910244641851383e-68,4.3529607607131149e-18,9.1039914744160287e-44,1.2726572365024244e-39,4.296565560454478e-46,3.3497638567483506e-67,4.435114211336995e-30,8.0874496198139468e-53,8.2999085550166677e-10,3.9906701081036962e-11,1.5380433049106239e-14,3.7283953648719295e-22,1.5382201377237555e-14,5.0590353495072477e-27,5.3022005983816288e-35
2.7705836949645138e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756202894267,0.11866996491264926,0.022821567666194011,3.7415868600765146e-83,2.5971544444850778e-38,1.0555692610703525e-26,3.4012702260248175e-45,8.65470840802064e-32,8.0715045250199975e-30,8.906969582690054e-18,2.4239913079478924e-67,5.8597550005471303e-18,2.2953363132052037e-43,2.8832509027366795e-39,9.5736284859381522e-46,8.974608284390624e-67,8.0722576868285424e-30,2.3835906209451503e-52,1.1172953572009363e-09,5.372055913041207e-11,2.0703763946435597e-14,5.12644350058151e-22,2.0706810648361535e-14,9.2078592200472422e-27,1.1319635348421904e-34
3.483019503589182e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756172781366,0.11866996462533945,0.022821567659287081,1.2456351763014871e-82,4.9095321312293706e-38,1.6156630457652299e-26,6.4293032574667185e-45,1.6213730624661859e-31,1.2997000520774937e-29,1.2030520974255694e-17,7.4782465470911455e-67,7.3665493046164669e-18,4.8182682433417464e-43,5.4871057453117203e-39,1.8096698239214067e-45,1.9607023469032079e-66,1.2998174468906028e-29,5.6721473922357255e-52,1.4045998457315982e-09,6.7534417153226687e-11,2.6026757158395085e-14,6.524783007373253e-22,2.6031420477569006e-14,1.4826784413022804e-26,2.0583602857182517e-34
4.1954553122138496e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756142668465,0.11866996433802965,0.022821567652380151,3.5540980700837986e-82,8.4349499468888903e-38,2.3009024999164041e-26,1.1046362451521007e-44,2.7438902949880535e-31,1.9443598397502712e-29,1.5515236815563326e-17,2.0012906402576442e-66,8.8733436772780657e-18,9.1090778676198331e-43,9.3893251804463444e-39,3.1092434165946408e-45,3.8244828503570155e-66,1.9445292138410532e-29,1.2003096023278786e-51,1.6919043202004562e-09,8.1348275147679296e-11,3.1349389801942317e-14,7.9231168245640441e-22,3.135603090274517e-14,2.2180949767672806e-26,3.4049426004288818e-34
5.620326929463186e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756082442679,0.11866996376341009,0.022821567638566295,2.638980478413875e-81,2.1259444454892585e-37,4.0538825838506275e-26,2.7849531579077991e-44,6.5245740760155377e-31,3.7916494381466314e-29,2.3588375893406766e-17,1.3675891910327708e-65,1.1886932632243226e-17,2.7660771792438564e-42,2.2666567913653162e-38,7.8388676324225226e-45,1.258845803106308e-65,3.7919530263971917e-29,4.7997403898617043e-51,2.2665132261603947e-09,1.0897599104990037e-10,4.1993553203339138e-14,1.0719732143437202e-21,4.2005253574589381e-14,4.3254460761714739e-26,7.8541984741019574e-34
7.045198546712522e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756022216894,0.11866996318879058,0.022821567624752438,1.0881113534124717e-80,4.4086892954588685e-37,6.3152860571771307e-26,5.7772601460667273e-44,1.2740915454877308e-30,6.4694359896019075e-29,3.312840616200736e-17,5.3656635223393569e-65,1.4900521865859661e-17,6.5959572214540719e-42,4.4648664950196568e-38,1.6261378617591503e-44,3.1668149289780798e-65,6.4699140021478998e-29,1.3818094830241927e-50,2.8411220749952715e-09,1.3660370683690281e-10,5.2636252134902299e-14,1.3516328094974965e-21,5.2654478667513275e-14,7.3802047458693043e-26,1.5088185193472676e-33
9.894941781211194e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675590176534,0.11866996203955175,0.022821567597124722,1.2984997526516394e-79,1.4207291817990895e-36,1.2364470688568917e-25,1.8632264309952758e-43,3.5620836814433817e-30,1.5025115581237046e-28,5.6611024399598998e-17,5.9510817045343246e-64,2.0927701169602729e-17,2.7245239124129045e-41,1.2611524877866097e-37,5.2444636278122596e-44,1.4520644949193785e-64,1.5026063106488497e-28,8.2614528780043994e-50,3.990339601175893e-09,1.9185913806502206e-10,7.391725470922241e-14,1.9109530236642399e-21,7.3952936121423734e-14,1.7140291483570777e-25,4.1501550158098691e-33
1.559442825020854e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755660862303,0.11866995974107478,0.02282156754186929,4.0855876908545403e-78,7.5050946018725647e-36,3.0569173799282155e-25,9.8553309119194454e-43,1.4328133103174919e-29,4.947734540028894e-28,1.2118044593234777e-16,1.781148174539951e-62,3.2982063123255773e-17,2.0710361644391101e-40,5.1203089243086109e-37,2.7740013013197032e-43,1.2912284069364609e-63,4.9479714201504869e-28,1.0878833285766746e-48,6.2887739675554643e-09,3.0236999913766717e-10,1.164616847494025e-13,3.0295981474932875e-21,1.1654988010256698e-13,5.6442116077425929e-25,1.6515025017562069e-32
2.699340118820323e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755179056513,0.11866995514412357,0.022821567431358433,3.0225382921218805e-76,6.1041190385492798e-35,9.1409698752721416e-25,8.0271766294193473e-42,7.6847717776652717e-29,2.2442238407088299e-27,3.2068468277207548e-16,1.1873162659014818e-60,5.7090800415771813e-17,2.672566961539369e-39,2.7651326473094939e-36,2.2594268465421714e-42,1.9674505887335901e-62,2.2442951930242688e-27,2.6715931966965836e-47,1.0885639956282504e-08,5.2339171574837075e-10,2.0148029574648203e-13,5.2669071538422413e-21,2.0174388436266542e-13,2.5600928869564339e-24,8.8202793504776905e-32
4.979134706419261e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756754215446055,0.11866994595023213,0.022821567210336725,3.7811992559572059e-74,6.6788296472193326e-34,3.1085416839837309e-24,8.7931449348850428e-41,4.947623742793267e-28,1.2905392050191913e-26,1.0007251573449434e-15,1.3822598713572393e-58,1.0530832854203404e-16,5.026116373590234e-38,1.7887678334463836e-35,2.4750258047379933e-41,4.2319038220666247e-61,1.2905634986429897e-26,9.8654095781900568e-46,2.0079360957574062e-08,9.6543512683135908e-10,3.7123695098027122e-13,9.7415996922475394e-21,3.7213235807599247e-13,1.4721286084354813e-23,5.6803777299803806e-31
