Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
6.814803465219854e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,2.4222536887529069e-75,6.5569336677644718e-51,5.0323345924385588e-30,1.1418473317587118e-54,4.0784155910460466e-40,1.2364318123031535e-92,6.9296774510989626e-19,2.8629842240850355e-84,6.9296774073005712e-19,6.6715155294215724e-57,2.028361124029273e-53,1.1703337039451425e-76,7.0716639449689962e-78,8.6430400534596399e-42,2.102478256616033e-66,2.7482111771924732e-12,1.3213643565786238e-13,5.093248762377983e-17,5.0932556119076291e-17,3.3838625943848909e-23,2.8067962324863398e-25,9.1666134253892628e-29,2.8728674515699217e-26,1.3328310112165686e-47,1.8730142905134468e-40,1.0359472098622112e-66,2.6255080390571233e-69,5.7536305048821929e-69
1.3629612707425081e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,9.7065160321628716e-73,8.4029545042647033e-50,2.1023257572214432e-29,1.4486035429809917e-52,3.2627316236227735e-39,6.2768350582184304e-90,1.3859360863105102e-18,1.8323104750091495e-82,1.3859360687911519e-18,1.067442324974234e-55,2.5988493202453793e-52,2.9695292922633835e-74,1.7943098695898201e-75,5.5813615050293619e-41,6.7279297811777694e-65,5.4964246823308054e-12,2.6427298332571342e-13,1.0186495025006729e-16,1.0186522536187133e-16,1.3424855943452501e-22,2.2275844065884686e-24,1.4535710897325054e-27,9.1345348241322218e-26,8.4543037853813952e-46,1.5607512600670204e-39,2.6285302781189721e-64,6.6613935589855359e-67,1.1525412756828676e-66
2.7259231191835536e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,3.4432204981208656e-70,9.5565933518173718e-49,9.108296211257791e-29,1.8252213884181812e-50,2.6101800679701422e-38,3.1659878491103988e-87,2.7718727946742401e-18,1.1726767840688193e-80,2.7718727245968632e-18,1.7079044941704727e-54,2.9546651570693171e-51,7.4834099706241426e-72,4.5217363067077768e-73,3.210760750727385e-40,2.1529335843173372e-63,1.0992851687376673e-11,5.2854607865082511e-13,2.0372967098242424e-16,2.0373078020227332e-16,5.283457847274408e-22,1.7541262147666944e-23,2.2889988476059487e-26,2.5683905359886198e-25,5.3258648014547618e-44,1.3461654619278236e-38,6.6239923864705976e-62,1.6784877040012216e-64,2.0435584745108554e-64
5.451846816065645e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,1.0743594722003589e-67,9.6030010654326727e-48,4.1779749992797595e-28,2.2673203671942222e-48,2.0881341360619064e-37,1.5756231009261508e-84,5.5437463152512909e-18,7.5050983579410847e-79,5.5437460349423726e-18,2.7326346964922765e-53,2.9677793583932281e-50,1.8593444324350564e-69,1.1234591029194436e-70,1.636333817223293e-39,6.8893565600290726e-62,2.1985705676545238e-11,1.0570922692587985e-12,4.0745829436955181e-16,4.0746279804289813e-16,2.047230167912776e-21,1.3604960160844513e-22,3.5531443614187773e-25,6.3674586691967428e-25,3.3075603504448962e-42,1.2264052865955946e-37,1.6457731354196721e-59,4.1692540752581602e-62,3.1869390849680866e-62
1.0903694209829827e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,2.9782511535543456e-65,8.7402990823383463e-47,2.0633443136525593e-27,2.7408714817634969e-46,1.6704908201847425e-36,7.6428290442620848e-82,1.1087493771800362e-17,4.8032180627511456e-77,1.1087492650569749e-17,4.3721737961057835e-52,2.7000403797860377e-49,4.4960434069990084e-67,2.7165104416182456e-68,7.5505494300321027e-39,2.2045734119430619e-60,4.3971413571189667e-11,2.1141846503059054e-12,8.1491226885979055e-16,8.1493077371081666e-16,7.7037032157524361e-21,1.0254320461602865e-21,5.3656835244016315e-24,1.431602385685523e-24,1.9987399762512087e-40,1.2010270905173182e-36,3.9794247575175641e-57,1.007614089589335e-59,4.4155020568485677e-60
2.1807388997358194e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,7.3979498511965145e-63,7.4738124718779716e-46,1.0918316499518815e-26,3.1551920073010974e-44,1.3363660270188134e-35,3.5412636390014957e-79,2.2174990346451661e-17,3.0740011464289668e-75,2.2174985861569972e-17,6.9953431881399678e-51,2.3080187742604334e-48,1.0354302765460656e-64,6.255596313212082e-66,3.2627686284896622e-38,7.0545010740707738e-59,8.7942829025707707e-11,4.2283694117248887e-12,1.6298071289146415e-15,1.6298845031178628e-15,2.7517397909066576e-20,7.3431671172839386e-21,7.7119471799997089e-23,3.0351012334708105e-24,1.1499575953760717e-38,1.2613727607920981e-35,9.1636832211721207e-55,2.3180600736446813e-57,5.4817312843613767e-58
4.3614778572414927e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,1.6362994040601381e-60,6.1804051287129183e-45,5.9599058739983429e-26,3.3525887991849822e-42,1.0690501176837591e-34,1.5236776934531821e-76,4.4349990141752552e-17,1.9672856882740518e-73,4.4349972202552706e-17,1.1192116373072696e-49,1.9081140166894229e-47,2.2015517114866044e-62,1.3298751188838555e-63,1.3582393516526581e-37,2.2573544552494404e-57,1.7588565859566063e-10,8.4567389318619846e-12,3.259544495005515e-15,3.2598744098999944e-15,9.0363441280118543e-20,4.8362500071938989e-20,1.0222341082017466e-21,6.2449512863349167e-24,6.1050450682375193e-37,1.3720915557084381e-34,1.9480364443923567e-52,4.9187987155630047e-55,6.0593086782351328e-56
6.542216814747166e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,1.1879997036005822e-59,1.8508292022775708e-44,1.452016191792702e-25,2.0818423335264652e-41,3.1736704477888339e-34,1.2475665867286103e-75,6.6524996582839713e-17,1.1169521198157715e-72,6.6524958462517739e-17,4.2341261630055444e-49,5.7172534562069526e-47,1.5808806961487233e-61,9.5490970991764481e-63,2.9206462927291006e-37,1.0530344811907076e-56,2.6382848682653032e-10,1.2685108449298212e-11,4.8892295087609986e-15,4.8899548108848831e-15,1.6906377944170915e-19,1.2444321020767727e-19,3.454117226049354e-21,9.4549495028225451e-24,3.2107354109971449e-36,4.4076188631820455e-34,1.3987637939953992e-51,3.5503626158693425e-54,3.8105267693326578e-55
1.0903694729758513e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,8.8108421663631344e-58,8.75087515786254e-44,4.8877165536600926e-25,7.1494853577985953e-40,1.4864987485866319e-33,1.3873969717420209e-73,1.1087503604643077e-16,3.0024433147115415e-71,1.1087493065838387e-16,3.3413693101445006e-48,2.7035057769927082e-46,9.5078390981688951e-60,5.7407990846280675e-61,8.1672458672948501e-37,1.4110328957855567e-55,4.3971413793193717e-10,2.1141847473367193e-11,8.1483901403996604e-15,8.1505145305791666e-15,3.5933668525913182e-19,4.4095813621243223e-19,2.0688443576652251e-20,1.5874963658072588e-23,6.3800791668073832e-35,2.4843747884404163e-33,8.4086808666191858e-50,2.587778288402976e-52,1.6166652247422189e-53
1.4829024853268724e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,5.0347091929862415e-57,2.0249776696162811e-43,9.4694937186746558e-25,3.1386722304744206e-39,3.4300835744115033e-33,7.531247521072185e-73,1.5079009303374027e-16,1.3036605536281744e-70,1.507899053728995e-16,9.3766206699523998e-48,6.2578566565142382e-46,4.6114937523494338e-59,2.7838616967543072e-60,1.4603073455011386e-36,4.6829785479064195e-55,5.9801121960019253e-10,2.8752912586302705e-11,1.1081465577722954e-14,1.1085357403649406e-14,5.4508007018613594e-19,8.6576330778885608e-19,5.1052874919576129e-20,2.1652979078201054e-23,2.4811062544805708e-34,6.0373326144376293e-33,4.0775390185235627e-49,1.4757633228147701e-51,8.4778946584870999e-53
