Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),COX(50),CHOX(53),CO2X(24)
2.347686544563232e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,3.5254824245239807e-69,3.2692364615530766e-46,2.7455071601828984e-23,6.8013064420748125e-49,5.3456119089888716e-35,8.0660509721395283e-80,2.0720201462105953e-13,3.8889714328102544e-68,2.0720201450767061e-13,1.5323912287860649e-46,1.0085276584010887e-48,2.8524395528590243e-66,3.3073936798633155e-67,2.7124386903994324e-36,1.3824608202813367e-53,1.1315867579434906e-11,3.3504272729441278e-13,1.3412974478565062e-15,8.069466506131199e-25,1.3412794759834175e-15,8.7916813234462292e-21,1.0908845482696825e-22,1.1805492611314548e-25,1.050023805441965e-43,4.2201842407861584e-33,4.3405800166960293e-60,3.083281647054568e-24,5.0233975338082427e-60,6.2308740338511321e-63,7.7403200460605534e-63
4.695373586666205e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,1.7393576894963513e-66,5.0847295561864938e-45,1.098328426319746e-22,8.4829673406038785e-47,4.2764901281497124e-34,4.0239903802711607e-77,4.1440407319438429e-13,2.4889421774306656e-66,4.144040727408289e-13,2.4518261415741143e-45,1.5666115486698966e-47,7.1152301727982783e-64,8.2500782883842774e-65,2.1089675391197472e-35,4.4238736052428078e-52,2.2631737535521231e-11,6.7008552556583321e-13,2.6826137329097495e-15,3.1306256850815938e-24,2.6825414175271338e-15,3.4739608595166311e-20,8.6190477508000425e-22,1.8409128487556796e-24,6.5486387274282237e-42,3.3765081743065376e-32,2.7779700468777991e-58,1.2333100843092625e-23,1.2530509040040198e-57,1.5541775170160145e-60,1.9094178358041128e-60
9.390747670872151e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,8.4495622673584565e-64,7.7043574958890111e-44,4.3942837414294985e-22,1.0531294457375479e-44,3.4211917952450173e-33,1.9983145670792601e-74,8.2880819046230386e-13,1.5929226826539902e-64,8.2880818864808715e-13,3.9229208293644232e-44,2.367935613707393e-46,1.7666952116335869e-61,2.0484722994591198e-62,1.5971688366211829e-34,1.41563831983086e-50,4.526347738321176e-11,1.3401711220257517e-12,5.365304427374315e-15,1.1807496222493844e-23,5.3650118457465634e-15,1.356552375749325e-19,6.728004048886945e-21,2.8565168077952385e-23,4.0647947479323126e-40,2.7017644589935906e-31,1.7778985985427517e-56,4.9332185650947369e-23,3.1112772752963007e-55,3.8580824988655408e-58,4.6376986285115666e-58
1.8781495839284045e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,3.9465916613569955e-61,1.1140977208625329e-42,1.7584397114357528e-21,1.2832455400196488e-42,2.7369524370849717e-32,9.7409890819430138e-72,1.6576164254832045e-12,1.0194698307027141e-62,1.6576164182263712e-12,6.2766688891603942e-43,3.408624583851233e-45,4.3058006934709986e-59,4.9925345966913798e-60,1.1540247088963022e-33,4.5300337969158991e-49,9.0526956820664352e-11,2.6803423146168234e-12,1.0730934239685488e-14,4.2342523739576277e-23,1.0729738891248357e-14,5.1788423111881014e-19,5.1315142344865442e-20,4.3490352210302836e-22,2.4761114379082549e-38,2.1622487056491223e-30,1.1378520094572568e-54,1.9732697733107422e-22,7.5827311501735496e-53,9.3975938051102752e-56,1.0829904430513204e-55
3.756299217610783e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,1.7073710355897234e-58,1.4931941049730527e-41,7.0388805670859128e-21,1.5036885018993292e-40,2.1895601482733027e-31,4.5668988185939291e-69,3.3152328974650883e-12,6.5245972116730763e-61,3.3152328684380116e-12,1.0042655024844107e-41,4.5321073880497129e-44,1.0092664174118071e-56,1.1702277106561319e-57,7.7244689109018608e-33,1.4496050173722071e-47,1.8105391466385567e-10,5.36068469850016e-12,2.1463298016467235e-14,1.3988553532864028e-22,2.1458337806779351e-14,1.8970535446592698e-18,3.7501545182928813e-19,6.3643808471536912e-21,1.4502570907542858e-36,1.7309847762822958e-29,7.2822125035709834e-53,7.8929374045216604e-22,1.7773250393750516e-50,2.2002054054946245e-53,2.342211564283292e-53
5.634448851293161e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652031361,0.11866996575337942,0.022821567689033772,1.4027301390348281e-57,5.1469774583808325e-41,1.4964411984489827e-20,9.5837911444098914e-40,6.5002535935200994e-31,3.804536196830041e-68,4.972849371386141e-12,3.7044712183350493e-60,4.9728493097047238e-12,3.7993376325637579e-41,1.595851515387676e-43,7.4144167716666844e-56,8.5968792689736523e-57,2.0062627075487053e-32,6.7623646959596456e-47,2.7158087147533308e-10,8.0410270810962561e-12,3.219686192900967e-14,2.6265896178328135e-22,3.2186081615104261e-14,3.7998766289996366e-18,1.0191700614747532e-18,2.2471853584912771e-20,7.8600654900058849e-36,4.9513108104538023e-29,4.0722693568419689e-52,1.6772283751199525e-21,1.3056751559187697e-49,1.6241540859744184e-52,1.6939925601645459e-52
7.51259848497554e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642708485,0.11866996566118411,0.022821567687693601,7.4851329933763377e-57,1.2417305610861086e-40,2.5537310435918605e-20,3.9196327465516407e-39,1.4163703240549392e-30,1.8980843987724819e-67,6.6304658472469456e-12,1.4246636955025796e-59,6.6304657420265133e-12,9.889647344828575e-41,3.9576435169177938e-43,3.3610646579540297e-55,3.8970816041029498e-56,3.8989324826753742e-32,2.0591423487871775e-46,3.6210782725509668e-10,1.0721369462412466e-11,4.2931709611548736e-14,4.0288570772234633e-22,4.2912970384491776e-14,6.1487757472134851e-18,2.0551019506354586e-18,5.4943987519936295e-20,2.8806128494399075e-35,1.044691348193527e-28,1.4254901413232556e-51,2.8611215734155631e-21,5.9187768584716737e-49,8.1287871987698054e-52,8.3633144721635703e-52
1.1268897752340297e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727624062733,0.11866996547679351,0.022821567685013259,1.152029108955649e-55,4.0518998974737514e-40,5.2902096484654301e-20,3.1190265831194983e-38,4.1112817608938211e-30,2.0011979424017027e-66,9.9456988035216169e-12,1.0842795754273879e-58,9.9456985856769221e-12,3.6293561854285957e-40,1.3633528328060473e-42,3.0888350740938608e-54,3.5813932175763766e-55,9.3925886024905253e-32,9.3814912602750757e-46,5.4316173639325462e-10,1.6082054222056297e-11,6.4404637237419302e-14,7.0896629343205695e-22,6.4364741410974988e-14,1.1696449771285639e-17,5.2205713559857972e-18,1.8099292861876939e-19,1.967872807018461e-34,2.8546903485914177e-28,7.9335228915560851e-51,5.9234757265018029e-21,5.439281059188885e-48,1.1730563091780982e-50,1.1888506661264497e-50
1.5025197019705054e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727605416982,0.11866996529240291,0.022821567682332917,6.2941672648830029e-55,9.5281993743309953e-40,9.0016598572161525e-20,1.2673055834872974e-37,8.9909014500818435e-30,9.9516674326555519e-66,1.3260931766928092e-11,4.0942330826505596e-58,1.3260931396433686e-11,9.4111819776829611e-40,3.307551535748954e-42,1.3993060270124396e-53,1.6224348869696904e-54,1.7682275231978645e-31,2.8178806344715281e-45,7.2421564173743283e-10,2.1442738977028997e-11,8.5882839188758368e-14,1.0439262499284159e-21,8.5813368721334237e-14,1.8393532847411049e-17,1.0253555519635202e-17,4.3081666313927093e-19,7.0001149686714833e-34,5.9752111516768272e-28,2.7118242865658785e-50,1.0074097756142878e-20,2.4640783094473518e-47,5.7540338530703687e-50,5.6725897946873184e-50
1.8781496287069813e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072758677123,0.11866996510801231,0.022821567679652575,2.6074705130812335e-54,1.8926406059641544e-39,1.3758616209812006e-19,4.064317923610137e-37,1.6868139196520839e-29,3.8840726148938867e-65,1.6576164737974681e-11,1.2523418860915825e-57,1.6576164171947279e-11,2.0577307798948223e-39,6.6857698154893259e-42,4.976884194743797e-53,5.7704425776757738e-54,2.9132527877047088e-31,7.0310470435955197e-45,9.0526954301663281e-10,2.6803423727012516e-11,1.073670539655131e-13,1.3942817741416743e-21,1.0725862822058892e-13,2.60173760324932e-17,1.753381804606172e-17,8.7118114187261907e-19,2.007881258058668e-33,1.0881442601565238e-27,7.6049468096282793e-50,1.5390658873025207e-20,8.763828637266347e-47,2.2195025525250022e-49,2.1436056046911834e-49
