Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),H2X(49),C2H4X(65),CH4OX(60)
1.0742149068736782e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664456,0.022821567692012854,0.0,8.8374152007699963e-38,1.1940013970846245e-27,0.0,7.4508321964057067e-36,0.0,1.0924567013570764e-17,2.0487922216228694e-76,1.0923228008745686e-17,1.9212119347175949e-51,2.7637725996635102e-42,0.0,0.0,1.3996043845351492e-33,9.5437641785979074e-60,4.3319949210835893e-11,2.0828616646209893e-12,8.0284609411415479e-16,9.5195925960769622e-24,8.0284742359758398e-16,2.9566672123621034e-33,5.8480515461668093e-28,1.0595620021498873e-45,1.1802901340653705e-69,7.0261440576483722e-37,1.3375932387374422e-69,3.68453103822986e-52
2.148429870661313e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.1186699659433238,0.022821567690971423,0.0,1.413737194125184e-36,4.7760058557531249e-27,0.0,5.9606476952464381e-35,0.0,2.1851812581920595e-17,1.3113830707190582e-74,2.1846456570012982e-17,3.0739300863218273e-50,4.4213309791221634e-41,0.0,0.0,1.1195130133003208e-32,3.0539957375732607e-58,8.6639900283612487e-11,4.1657234387031226e-12,1.6056895711481101e-15,3.807215769039022e-23,1.6056948890806473e-15,2.3649029277186685e-32,2.3394658610316235e-27,1.6952941567283952e-44,7.5538329673957332e-68,5.6209153938550648e-36,8.5566955287072734e-68,1.178856066246141e-50
4.2968597982365825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668227,0.022821567688888562,0.0,2.2611821387404561e-35,1.9104024423641023e-26,0.0,4.768488815253836e-34,0.0,4.3714337601124117e-17,8.3948430753145811e-73,4.3692913613911978e-17,4.9182588201902716e-49,7.0718733428435206e-40,0.0,0.0,8.9533767808317368e-32,9.7727290401019467e-57,1.7327980112946682e-10,8.3314469841888985e-12,3.2113685464118849e-15,1.5223894284647986e-22,3.2113898181313052e-15,1.8912331777949117e-31,9.3598248177494348e-27,2.7124542319348164e-43,4.8344220150714211e-66,4.496732238765095e-35,5.4712977843264417e-66,3.7710988806493322e-49
6.445289725811853e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.11866996577004074,0.0228215676868057,0.0,8.3212946562050906e-35,4.0596053201288532e-26,0.0,1.4156401533350746e-33,0.0,6.5584896462904145e-17,4.7662920919725479e-72,6.5539370579175394e-17,1.8606718627611357e-48,2.6957623432659246e-39,0.0,0.0,2.5596583378165218e-31,4.5589456449417737e-56,2.5991970067562228e-10,1.249717052699618e-11,4.8170395429114268e-15,3.2343480235342608e-22,4.8170847452993448e-15,5.4066132514938815e-31,1.9892508337044477e-26,1.0261735374390508e-42,2.7034450941346947e-65,1.2857843556127667e-34,3.0586445344526349e-65,1.7696865127767501e-48
1.0742149580962393e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756274595578,0.11866996559675769,0.022821567682639977,0.0,6.3986833127932921e-34,1.1223615485621676e-25,0.0,6.6310769923993313e-33,0.0,1.0935814923733743e-16,1.2821261205679217e-70,1.092322841951598e-16,1.4684443372179897e-47,2.2154743820602267e-38,0.0,0.0,1.1757024531996693e-30,6.109214910344374e-55,4.331994945691381e-10,2.0828617601897224e-11,8.0283496211731344e-15,8.9368244752428868e-22,8.0284745923636955e-15,2.4831083909093917e-30,5.501746965532207e-26,8.0985718699802475e-42,6.2201677631705507e-64,5.9089867812873097e-34,7.0264415824138946e-64,2.4658480423694508e-47
1.4609323450597878e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756258249987,0.11866996544080294,0.022821567678890826,0.0,1.7617555423145441e-33,1.9985934802292711e-25,0.0,1.5301770547849446e-32,0.0,1.487800337926099e-16,5.5689727852123505e-70,1.4855590619547217e-16,4.120910122259789e-47,6.4594787065519038e-38,0.0,0.0,2.64571857599496e-30,2.0275963285715658e-54,5.8915130487394326e-10,2.8326919960654417e-11,1.0918502912509937e-14,1.5907706333560409e-21,1.091872544903533e-14,5.587491704116686e-30,9.7994052279054391e-26,2.2727102134889163e-41,2.3772912349403905e-63,1.3301069447050009e-33,2.6842217021066901e-63,8.4502498868422179e-47
1.8476497320233363e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756241904395,0.11866996528484822,0.022821567675141676,0.0,3.96678982231126e-33,3.1198327793815699e-25,0.0,2.9462437574356831e-32,0.0,1.8822939308502681e-16,1.6863951075642326e-69,1.8787952792685295e-16,9.4350164839979846e-47,1.4776646846002149e-37,0.0,0.0,4.9990425673736024e-30,5.4481481691264038e-54,7.4510311073381295e-10,3.5825222310251739e-11,1.3808628917476198e-14,2.4822505445928023e-21,1.3808976299910264e-14,1.0556837598019239e-29,1.5300827475714719e-25,5.2034759291599315e-41,7.4143600684890423e-63,2.5139885867598623e-33,8.3664427420901733e-63,2.2819146514706808e-46
2.234367118986885e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756225558804,0.11866996512889348,0.022821567671392526,0.0,7.6219661883991726e-33,4.4725075401217304e-25,0.0,5.0093045825320737e-32,0.0,2.2770470495105214e-16,4.3792303677205747e-69,2.2720314940419924e-16,1.8398757002671921e-46,2.9213496291639996e-37,0.0,0.0,8.3533158113597105e-30,1.2052548319181045e-53,9.0105491239497e-10,4.3323524651197043e-11,1.6698729147801001e-14,3.5571691174038375e-21,1.6699227145498169e-14,1.7639304289004927e-29,2.1940066154342765e-25,1.0147039216597321e-40,1.8432734195604219e-62,4.2020363413326166e-33,2.0788375636807833e-62,5.098752233493361e-46
3.007801892913982e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756192867632,0.11866996481698404,0.022821567663894222,0.0,1.9701720282000061e-32,7.7056415113652928e-25,0.0,1.1075481755020011e-31,0.0,3.0671451239332509e-16,1.9384208277957006e-68,3.0585039177957091e-16,4.884748826189707e-46,8.1669175916009651e-37,0.0,0.0,1.782509525829292e-29,3.7920805642723547e-53,1.2129585061421976e-09,5.8320129313357628e-11,2.2478870830511294e-14,6.1248012731719236e-21,2.2479728825153613e-14,3.763697947333324e-29,3.7815432429709152e-25,2.6939717869777295e-40,6.7934879504545184e-62,8.9708674741600154e-33,7.655203537376209e-62,1.6623661425925736e-45
3.7812366668410796e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756160176454,0.11866996450507458,0.022821567656395918,0.0,4.1707044400007235e-32,1.1794255489664408e-24,0.0,2.0749518295009212e-31,0.0,3.8582024919294291e-16,5.835539426652638e-68,3.8449763321592777e-16,1.0595586125529605e-45,1.8278646814758353e-36,0.0,0.0,3.2398797407157555e-29,9.379702344923396e-53,1.5248620843692753e-09,7.3316733943538267e-11,2.8258917241573853e-14,9.3689409710551481e-21,2.8260230486820675e-14,6.8402876338888873e-29,5.7902817514907621e-25,5.8435363201866746e-40,1.8925659705361102e-61,1.6312547088842922e-32,2.1311321995786815e-61,4.2315776125305305e-45
4.554671440768177e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756127485288,0.11866996419316515,0.022821567648897621,0.0,7.8873250611720725e-32,1.6796374962865493e-24,0.0,3.5116163864473482e-31,0.0,4.6502842044357784e-16,1.5113763492466986e-67,4.6314487364957868e-16,2.0477048577010813e-45,3.6098142766400549e-36,0.0,0.0,5.3570069547040546e-29,2.0401095766112299e-52,1.8367656460235074e-09,8.8313338539571172e-11,3.4038861920505889e-14,1.33341978767081e-20,3.4040732130556537e-14,1.1309141361524035e-28,8.2492994026186579e-25,1.1293227504541142e-39,4.5817511575965056e-61,2.6984134543761773e-32,5.1556742270725335e-61,9.4139085885371056e-45
6.101540988622371e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756062102949,0.11866996356934638,0.022821567633901016,0.0,2.3877461748987799e-31,2.9592607084611288e-24,0.0,8.3508147591970181e-31,0.0,6.2375782827519133e-16,9.3654983085948196e-67,6.2043935145226117e-16,6.4433409060797588e-45,1.1504068256169381e-35,0.0,0.0,1.2343184630379943e-28,8.5471899268939579e-52,2.4605727186795737e-09,1.1830654762727779e-10,4.5598440359575883e-14,2.3460532243882224e-20,4.560173537138999e-14,2.6051911713563813e-28,1.4546806151701933e-24,3.5535439607441186e-39,2.586050947972262e-60,6.2243830132584287e-32,2.9019427813885259e-60,4.0518387666174228e-44
7.648410536476565e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755996720617,0.11866996294552766,0.022821567618904411,0.0,5.6102358882382816e-31,4.6099893067644211e-24,0.0,1.6308381243122201e-30,0.0,7.8290334561468047e-16,3.3924889386943928e-66,7.7773382518152283e-16,1.5477818426735638e-44,2.7715568779015831e-35,0.0,0.0,2.3686737180284076e-28,2.501723931634414e-51,3.0843797240096543e-09,1.4829975657628035e-10,5.7157605542263909e-14,3.6497733390457788e-20,5.7162738557998696e-14,4.9983690602601373e-28,2.2680988174962141e-24,8.536114125306916e-39,9.1427917694682462e-60,1.1957143596918205e-31,1.0238820811219702e-59,1.1959526165025336e-43
1.0742149632184954e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755865955973,0.11866996169789042,0.022821567588911202,0.0,2.1969501897357157e-30,9.0255041887960146e-24,0.0,4.5602577956053944e-30,0.0,1.1024434621892864e-15,2.9810027886296016e-65,1.0923227604116575e-15,6.2285884720154621e-44,1.1020851739628285e-34,0.0,0.0,6.4993236351411824e-28,1.4777672078875189e-50,4.3319935325575608e-09,2.0828617405795746e-10,8.0274695390812183e-14,7.1249053517720002e-20,8.0284744829918443e-14,1.3708281794616065e-27,4.4487820117849422e-24,3.4351032622515685e-38,8.1119056939206495e-59,3.2888609514758966e-31,9.0246142086985481e-59,7.0268638176564502e-43
1.692962782360173e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755604426758,0.11866995920261673,0.022821567528924783,0.0,1.4511197023228998e-29,2.2312936157524992e-23,0.0,1.834990033162802e-29,0.0,1.7465197135933658e-15,5.8098746398001625e-64,1.721500581956572e-15,4.2139035043203071e-43,7.1958271379170228e-34,0.0,0.0,2.5722314302975419e-27,1.7471029146649186e-49,6.8272203411747501e-09,3.2825900735633355e-10,1.2650391333117356e-13,1.7507055474995045e-19,1.2652875735861034e-13,5.4194995006347425e-27,1.1041533701066959e-23,2.3239887901570797e-37,1.736365236144946e-57,1.3086996081376936e-30,1.9008941265017841e-57,8.0353325447919807e-42
