Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),H2OX(23),CHOX(60),COX(57)
6.914294909897655e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,1.0412566424621656e-72,1.5172266689926576e-42,1.0840167296561742e-27,7.0240973707486078e-53,1.4271754382105446e-42,4.4169407754844077e-35,1.4623663698244521e-20,2.429668467280266e-80,1.462366344416634e-20,2.6023517320190437e-51,3.89677275840146e-51,1.9440873169605589e-53,2.213751568816932e-76,4.4197399882466831e-35,1.1975024015053247e-62,2.7883331706741652e-12,1.3406553676034064e-13,5.1675494764467377e-17,5.1676785934861798e-17,5.2915276835206681e-22,7.7599625202612798e-23,2.6832944625064449e-26,3.944046421366229e-26,4.0226075745132167e-45,3.8480141736019602e-38,2.4379974087550505e-66,7.8848703779219019e-37,2.3820453497939299e-48,6.8629186971427459e-65
1.3828595681120699e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438856,0.022821567692920222,4.6793645941090228e-70,2.4268340129988696e-41,7.7372613073226511e-27,6.8428096422671265e-52,1.1417164565085927e-41,1.7667774602406264e-34,2.9247340310036244e-20,7.7749508045984565e-79,2.9247339293731793e-20,2.0818835143372822e-50,6.2339372865595187e-50,1.5552710317130007e-52,6.1153422473519472e-75,1.7690165392891969e-34,1.9160059348017435e-61,5.5766687032547695e-12,2.6813118716584222e-13,1.0334981987533791e-16,1.0335522835112808e-16,1.8730106520187601e-21,5.5370681351934736e-22,3.7655742668313475e-25,1.577398545797512e-25,2.2592696553101853e-43,5.5133516910192741e-37,5.4777645525196919e-64,6.3070640202935227e-36,1.9055621194333258e-47,1.3234375161646479e-63
2.7657197223566784e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881179,0.022821567692786156,1.9619856456296621e-67,3.8816040196708345e-40,5.0840769736774771e-26,1.8231501404752687e-50,9.1333358142558053e-41,7.0671123016097052e-34,5.8494695084258168e-20,2.4879863029371993e-77,5.8494691019130379e-20,1.665507746653451e-49,9.9714065813068933e-49,1.2442173260599354e-51,2.2434970113814382e-73,7.0850202572586042e-34,3.0656113186809038e-60,1.1153339763031338e-11,5.3626248796574843e-13,2.0669482986360517e-16,2.0671789131411388e-16,6.0672985782510442e-21,3.6359599236782816e-21,4.9252723734088596e-24,6.3078286757509731e-25,1.1835732554309914e-41,7.2911732586390802e-36,1.1481873128182259e-61,5.044314457990385e-35,1.5243293565610278e-46,6.8187755946609126e-62
5.531440030845896e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765824,0.022821567692518023,7.4192437902168139e-65,6.2071122757866627e-39,2.9866806169951737e-25,1.3414799668017863e-48,7.3060299469239239e-40,2.8268455412077688e-33,1.1698941083485491e-19,7.961560542723507e-76,1.1698939457500789e-19,1.3324067052987213e-48,1.5944986251518533e-47,9.9537410821040145e-51,1.5751979229173711e-71,2.8411644206502777e-33,4.9049800453223323e-59,2.2306681861045902e-11,1.0725250895211727e-12,4.1337028993207044e-16,4.1346939608687412e-16,1.744234291586686e-20,2.1330796676664887e-20,5.8038531070084132e-23,2.5217189692583824e-24,5.5906730079773183e-40,8.6478580133543851e-35,2.1703691452640064e-59,4.0333121325833795e-34,1.2192703089123743e-45,9.907942424053942e-60
1.106288064782433e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535114,0.022821567691981761,2.4935158724697078e-62,9.9209821670366091e-38,1.5525730152047838e-24,1.1008010665974926e-46,5.8438000674723919e-39,1.1307384433295975e-32,2.3397886714106989e-19,2.5477009493915938e-74,2.3397880210731856e-19,1.0659257816428592e-47,2.5481737248279854e-46,7.9629946083894768e-50,1.9552216809719454e-69,1.1421815857261502e-32,7.8479711471581616e-58,4.4613365970920743e-11,2.1450502924544821e-12,8.2666297864172062e-16,8.2708538390827246e-16,4.4125711236996609e-20,1.1057910735084587e-19,6.0740252893939641e-22,1.0075591166877211e-23,2.3467286935459105e-38,9.0976198057106734e-34,3.6459605672852443e-57,3.2232309055733521e-33,9.7510703606583326e-45,1.6247686449517379e-57
2.21257618817812e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073694,0.022821567690909237,7.5360187125731482e-60,1.5840909089250551e-36,7.2690076549025281e-24,8.3036237070739226e-45,4.6734015605784871e-38,4.5229550486650164e-32,4.6795787894569099e-19,8.1526503570257303e-73,4.6795761885523935e-19,8.5274113492246373e-47,4.0675245597807514e-45,6.3703975885961432e-49,2.7702921062797326e-67,4.614309375654917e-32,1.2556761177982095e-56,8.9226733846053313e-11,4.2901006976109962e-12,1.6530154959743963e-15,1.6547840226344252e-15,1.0058263264942549e-19,5.1484921940172944e-19,5.7170498002211034e-21,4.0212364470809577e-23,8.8594268585850376e-37,8.6188398158653439e-33,5.507652868186775e-55,2.573130841518487e-32,7.7959123803479677e-44,2.4524657880702791e-55
4.425152434969494e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.11866996585150855,0.022821567688764186,2.1033015434822584e-57,2.5241961886874499e-35,3.1683566540734888e-23,5.7978037787552476e-43,3.7361012507568519e-37,1.8091829315121482e-31,9.3591629909987595e-19,2.6088524340008632e-71,9.3591525909413511e-19,6.821936597113671e-46,6.4776666940846902e-44,5.0963207580082174e-48,3.8182213669941181e-65,1.8819629289311006e-31,2.0090839375263265e-55,1.7845346821785001e-10,8.5802015050840695e-12,3.3047896149769789e-15,3.3120757315352452e-15,2.1479142498465726e-19,2.219261993551738e-18,4.9742540272019729e-20,1.6013393168690209e-22,3.0902625038793189e-35,7.5822252779932285e-32,7.6838108116651634e-53,2.0498309329800284e-31,6.2288337604590687e-43,3.4264640908068418e-53
6.637728681760867e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228016,0.022821567686619134,1.6124797110508792e-56,9.2724976430724358e-35,6.9089397540625389e-23,3.2925632661961616e-42,1.1087131048881743e-36,3.8445150381927324e-31,1.4038751155760819e-18,1.248122472060648e-70,1.4038729060798039e-18,2.0252636770298973e-45,2.4644946345632794e-43,1.457229647300974e-47,2.5316140672726661e-64,4.0521241931552834e-31,7.6007764801412134e-55,2.6768020121117829e-10,1.2870302309717188e-11,4.9556333427055584e-15,4.9712794594061612e-15,3.2908452232991457e-19,4.8028031886432546e-18,1.4500462383080149e-19,3.3923907267177638e-22,1.4669607395412089e-34,2.223664577156424e-31,5.1407716159388408e-52,5.8470541664447341e-31,1.7797619729906484e-42,2.2745790504399086e-52
8.850304928552241e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756282591943,0.11866996567305177,0.022821567684474083,7.99807507664267e-56,2.3475427244930243e-34,1.19481031513907e-22,1.2130039134212709e-41,2.4148064969985812e-36,6.5582923990393786e-31,1.871834328149966e-18,4.1308582578973011e-70,1.871830559828451e-18,4.4129458215951355e-45,6.6154713194854304e-43,3.0737201826692179e-47,1.0446714297150624e-63,6.9952544142630507e-31,1.9784788133263248e-54,3.5690693282603804e-10,1.716040311151128e-11,6.6055472032525815e-15,6.6324113801400108e-15,4.4332950380227463e-19,8.2479972255161454e-18,3.0858719596880944e-19,5.770669571142828e-22,4.778969537562374e-34,4.7579538504214537e-31,2.3411830249818841e-51,1.2306096874393672e-30,3.7515581308187825e-42,9.3918860053549144e-52
1.3275457422134988e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756263887916,0.11866996549459499,0.022821567680183983,1.0288892687386647e-54,8.1850105293056806e-34,2.5071897781768456e-22,7.9838825025314795e-41,7.0033129051313146e-36,1.3578118374398568e-30,2.807753682220573e-18,2.4102293700105505e-69,2.8077458832388057e-18,1.2809437446280979e-44,2.6620828262961275e-42,8.395286805444736e-47,8.0573171129147781e-63,1.4767315404271544e-30,7.2607457347780618e-54,5.3536039282057689e-10,2.5740604708438538e-11,9.9031942076028362e-15,9.9592490259810523e-15,6.7167223590604219e-19,1.7107381519315195e-17,8.4775627829332577e-19,1.1891259436330886e-21,2.6563259993679152e-33,1.3188881048838865e-30,2.7422226865643718e-50,3.3489384642260979e-30,1.0235425171557734e-41,7.2483270876185308e-51
1.7700609915717734e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756245183889,0.11866996531613824,0.022821567675893883,5.2827390903690731e-54,2.0401832909084572e-33,4.2965045592352709e-22,2.9457451402193785e-40,1.5304141582852744e-35,2.3092834285996435e-30,3.7436744910282014e-18,8.019135341439521e-69,3.7436612316037502e-18,2.8012826473524774e-44,7.1851691288100318e-42,1.7565755025155082e-46,3.3294981455725086e-62,2.5573120784681145e-30,1.8827673557662116e-53,7.1381384774599583e-10,3.4320806294929481e-11,1.3197426108094815e-14,1.3293305700060085e-14,8.9977815661129786e-19,2.8994070865957013e-17,1.7751743866320691e-18,2.0133530573533924e-21,8.5481441068489246e-33,2.7836229984556586e-30,1.2373429198764594e-49,6.9844866620810739e-30,2.1395093813775588e-41,2.9962438734657907e-50
