Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),CO2X(24),CHOX(61)
1.868375724125076e-06,0.09977366400000001,0.80000000000000004,0.0,0.20280020961384376,0.094813935229143345,0.056662244546916977,0.00038990448059062751,0.0020217949313178114,0.0022395053075184444,0.00048548479023293991,2.4478977949828512e-16,1.5714147399154471e-12,2.3118103085211748e-09,9.9379950347293048e-25,9.5184084098623395e-09,5.3525862923899019e-18,1.368473936740273e-13,1.2940319433013351e-14,8.6904128717183907e-19,1.2989903935131841e-09,5.5514551729932394e-19,0.0030150928402833221,0.082093153232431132,1.0656961254483846e-09,8.2178691439039386e-07,0.00011710385230860601,3.2831557852845989e-14,1.2402040099861626e-08,1.1979977960602586e-06,0.001294365621982356,2.1589770279044504e-05,7.4157721957529244e-08,2.8650026278179152e-09,3.9366776885322315e-10
1.8734751510348636e-06,0.09977366400000001,0.80000000000000004,0.0,0.20269378980255262,0.094807136456337829,0.056597184586611948,0.00039305659423404129,0.0020356303966581183,0.0022428806996388087,0.00048722486975241578,2.4670880723403647e-16,1.5794257840848926e-12,2.3172821408412523e-09,1.0082208189208412e-24,9.5215164681964876e-09,5.3970423236308359e-18,1.3774170759558345e-13,1.3006727478851405e-14,8.7507992375446132e-19,1.302157336759499e-09,5.617349532653473e-19,0.0030132833207068819,0.082197676781445322,1.0669755282655281e-09,8.2303108785530042e-07,0.00011707057282396387,3.2872853856957461e-14,1.2417331686278777e-08,1.1991863660426968e-06,0.0012980804959872834,2.161104357023218e-05,7.4607857138421991e-08,2.8783700813967906e-09,3.9489263160924478e-10
1.878574577944651e-06,0.09977366400000001,0.80000000000000004,0.0,0.20258771518570701,0.094800326831262535,0.056532267381156347,0.0003962229985675765,0.0020495029743009432,0.0022462309719898559,0.00048896342854616473,2.4863593988701764e-16,1.5874464676752844e-12,2.322737221455518e-09,1.0227959886452051e-24,9.5245774023600358e-09,5.4416843726859958e-18,1.3863844153109138e-13,1.3073142306222311e-14,8.8113979941986497e-19,1.3053130083069831e-09,5.6837900590295125e-19,0.0030114788593030312,0.082301857623281557,1.0682501646547585e-09,8.2426885276016461e-07,0.00011703696901263159,3.2913949051476403e-14,1.2432516167710235e-08,1.2003690806302635e-06,0.0013017884001098239,2.1632077184202276e-05,7.5058814977210844e-08,2.8917399721952756e-09,3.9611424487965792e-10
1.8836740048544386e-06,0.09977366400000001,0.80000000000000004,0.0,0.20248198443764787,0.094793506407204242,0.056467492354725569,0.00039940369231691956,0.0020634124962601898,0.0022495562200297182,0.00049070045007525143,2.5057116978730356e-16,1.595476709397404e-12,2.3281755548695911e-09,1.0375259717664625e-24,9.5275915951893656e-09,5.4865120316577134e-18,1.3953758772372078e-13,1.3139562600809639e-14,8.8722089123760685e-19,1.3084574253688422e-09,5.7507790301888936e-19,0.0030096794372903388,0.082405697113356116,1.0695200533166204e-09,8.2550023681263259e-07,0.00011700304524640255,3.2954844262437066e-14,1.2447594028764521e-08,1.2015459624467984e-06,0.0013054893176349513,2.165287244374394e-05,7.5510589733094547e-08,2.9051121045455605e-09,3.97332602112977e-10
1.888773431764226e-06,0.09977366400000001,0.80000000000000004,0.0,0.2023765962389629,0.094786675237159862,0.056402858934736552,0.00040259867398796147,0.002077358794662035,0.0022528565395386066,0.00049243591793437006,2.5251448911854779e-16,1.6035164282394042e-12,2.3335971461149091e-09,1.0524117272411131e-24,9.530559427089488e-09,5.5315248881455914e-18,1.4043913841973885e-13,1.3205987055959729e-14,8.9332317606876419e-19,1.3115906055221434e-09,5.8183187191707207e-19,0.0030078850359706935,0.082509196600503126,1.0707852128638206e-09,8.2672526769897924e-07,0.00011696880585735471,3.2995540314724489e-14,1.246256575361129e-08,1.2027170340350965e-06,0.0013091832321404258,2.1673430670223111e-05,7.5963175687496253e-08,2.9184862837725258e-09,3.9854769696013888e-10
1.8938728586740135e-06,0.09977366400000001,0.80000000000000004,0.0,0.20227154927645352,0.09477983337383826,0.056338366551825225,0.00040580794186798004,0.0020913417017539115,0.0022561320266069611,0.00049416981585136501,2.544658899192536e-16,1.6115655434673668e-12,2.3390020007433058e-09,1.0674542138220111e-24,9.5334812760436778e-09,5.576722525293588e-18,1.4134308586883547e-13,1.3272414372698446e-14,8.9944663056773768e-19,1.3147125667015108e-09,5.8864113939307868e-19,0.0030060956367288934,0.082612357427010952,1.0720456618220985e-09,8.279439730850744e-07,0.00011693425513812305,3.3036038032113824e-14,1.247743182604537e-08,1.2038823178626573e-06,0.0013128701274946763,2.1693753183492595e-05,7.6416567144387836e-08,2.9318623161891779e-09,3.9975952327290429e-10
1.898972285583801e-06,0.09977366400000001,0.80000000000000004,0.0,0.20216684224310028,0.094772980869662113,0.056274014639824038,0.00040903149402682034,0.002105361049913366,0.0022593827776237517,0.00049590212768675494,2.5642536408404261e-16,1.6196239746258381e-12,2.344390124821619e-09,1.0826543900188325e-24,9.5363575176231144e-09,5.6221045218370616e-18,1.4224942232444417e-13,1.3338843259746992e-14,9.0559123118404872e-19,1.3178233271928874e-09,5.9550593172872031e-19,0.0030043112210322372,0.082715180928658247,1.073301418630911e-09,8.2915638061205848e-07,0.00011689939734218359,3.3076338237364497e-14,1.2492192729605769e-08,1.2050418363311192e-06,0.0013165499878546917,2.1713841301803566e-05,7.6870758430302567e-08,2.945240009099548e-09,4.0096807510048582e-10
1.9040717124935885e-06,0.09977366400000001,0.80000000000000004,0.0,0.20206247383802928,0.094766117776769576,0.056209802635739783,0.00041226932831807937,0.002119416671656708,0.0022626088892649522,0.00049763283743325167,2.5839290336492496e-16,1.6276916415383465e-12,2.3497615249263218e-09,1.0980132140587336e-24,9.5391885249966594e-09,5.6676704521497567e-18,1.431581400440556e-13,1.3405272433536781e-14,9.1175695416412788e-19,1.3209229056273454e-09,6.0242647468666576e-19,0.0030025317704301061,0.082817668434750177,1.0745525016428861e-09,8.3036251789123717e-07,0.00011686423668423531,3.3116441751941589e-14,1.2506848947285105e-08,1.2061956117623422e-06,0.0013202227976639406,2.1733696341719082e-05,7.7325743894135809e-08,2.9586191708081101e-09,4.0217334668789087e-10
1.909171139403376e-06,0.09977366400000001,0.80000000000000004,0.0,0.20195844276647895,0.094759244147016253,0.056145729979731579,0.00041552144238028797,0.002133508399647592,0.0022658104584821503,0.0004993619292152819,2.603684993725677e-16,1.6357684643078977e-12,2.3551162081381772e-09,1.1135316438471862e-24,9.5419746689406242e-09,5.7134198862907367e-18,1.4406923128952882e-13,1.3471700618223613e-14,9.1794377555309999e-19,1.3240113209749764e-09,6.094029935051225e-19,0.0030007572665535663,0.082919821268153934,1.0757989291245475e-09,8.3156241251029874e-07,0.00011682877734047022,3.3156349395934061e-14,1.2521400961515272e-08,1.2073436664039952e-06,0.0013238885416502889,2.1753319618029105e-05,7.7781517907717428e-08,2.9719996106093722e-09,4.0337533247670427e-10
1.9142705663131635e-06,0.09977366400000001,0.80000000000000004,0.0,0.20185474773976689,0.094752360031976776,0.056081796115088942,0.0004187878336380928,0.0021476360667055153,0.0022689875824913261,0.000501089387288505,2.6235214357756292e-16,1.643854363317452e-12,2.3604541820369116e-09,1.1292106369290091e-24,9.5447163178485651e-09,5.7593523900512553e-18,1.4498268832739982e-13,1.3538126545700766e-14,9.2415167119655934e-19,1.3270885925388542e-09,6.1643571289257565e-19,0.0029989876911149581,0.083021640745334233,1.077040719258527e-09,8.3275609203212411e-07,0.00011679302344872872,3.3196061988465877e-14,1.2535849254507919e-08,1.2084860224378223e-06,0.001327547204823927,2.1772712443667284e-05,7.8238074866158997e-08,2.9853811387788676e-09,4.0457402710008876e-10
1.919369993222951e-06,0.09977366400000001,0.80000000000000004,0.0,0.20175138747525648,0.094745465482946711,0.056018000488210144,0.00042206849930343963,0.0021617995058140385,0.0022721403587617748,0.00050281519603933048,2.6434382731169488e-16,1.6519492592303806e-12,2.3657754546959278e-09,1.1450511504495864e-24,9.5474138377411699e-09,5.8054675250015698e-18,1.4589850342918041e-13,1.3604548955611134e-14,9.3038061674233799e-19,1.330154739949019e-09,6.2352485702258391e-19,0.0029972230259074964,0.083123128176388672,1.0782778901421657e-09,8.3394358397697245e-07,0.00011675697910897102,3.3235580347445796e-14,1.2550194307963718e-08,1.2096227019673189e-06,0.0013311987724753209,2.179187612962928e-05,7.8695409186842027e-08,2.9987635666022527e-09,4.0576942537740587e-10
1.9244694201327385e-06,0.09977366400000001,0.80000000000000004,0.0,0.201648360696324,0.094738560550944192,0.055954342548580671,0.00042536343637675857,0.0021759985501288628,0.002275268885005195,0.00050453933998443636,2.6634354176920651e-16,1.6600530729909014e-12,2.371080034677026e-09,1.1610541411162826e-24,9.5500675922762568e-09,5.8517648485376686e-18,1.4681666887165234e-13,1.3670966595358858e-14,9.3663058764226902e-19,1.3332097831565343e-09,6.3067064952863389e-19,0.0029954632528048715,0.083224284865082696,1.0795104597857659e-09,8.3512491583300642e-07,0.00011672064838372182,3.3274905288830049e-14,1.2564436602622344e-08,1.2107537270232386e-06,0.0013348432301731627,2.1810811984892724e-05,7.9153515309938563e-08,3.0121467063734886e-09,4.069615223218461e-10
1.9290589043515474e-06,0.09977366400000001,0.80000000000000004,0.0,0.20155592067514486,0.09473233727664486,0.05589716767298307,0.00042834107914790226,0.0021888079947120316,0.0022780639057966962,0.00050608963343376761,2.6815014366166104e-16,1.6673540650221077e-12,2.3758398918861505e-09,1.1755965410115551e-24,9.5524188506441938e-09,5.8935878418218711e-18,1.4764502093241175e-13,1.3730737363635208e-14,9.4227351768439355e-19,1.3359498446936875e-09,6.3715048153943278e-19,0.002993883624845282,0.083315044172676059,1.080615853225582e-09,8.3618287034085024e-07,0.00011668770919874489,3.3310133037669257e-14,1.2577167206255884e-08,1.2117668331537473e-06,0.0013381171513860495,2.1827660539564339e-05,7.9566466136777288e-08,3.0241919865038463e-09,4.080315829643928e-10
1.933648388570356e-06,0.09977366400000001,0.80000000000000004,0.0,0.20146374882580936,0.094726105670044344,0.055840103483604339,0.0004313302766772511,0.0022016460231442667,0.0022808394349516457,0.00050763855484927431,2.6996323658644835e-16,1.6746621594673251e-12,2.3805862422713934e-09,1.1902720186861192e-24,9.5547352135278575e-09,5.9355577175650398e-18,1.4847526489564027e-13,1.3790502357584999e-14,9.4793344005391188e-19,1.3386809432269871e-09,6.4367654169394141e-19,0.0029923079317716308,0.083405537571502472,1.0817175471977814e-09,8.372358774177841e-07,0.00011665454421057501,3.3345205371923402e-14,1.2589815314584989e-08,1.2127753929108695e-06,0.0013413852919382592,2.1844326561185736e-05,7.9980033619741959e-08,3.0362375565949517e-09,4.0909896226063155e-10
