Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(46),CHOX(50),H2OX(23),CO2X(24)
9.954150048735394e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039625298,0.099999999997407371,0.09999999999944062,5.1843909643067825e-73,5.4035373793018868e-46,6.9503393442015853e-26,1.8769276493989636e-58,1.8394434395490315e-39,8.7821224150530035e-96,4.8874364740508455e-31,6.5778932139229063e-107,3.2987665654851835e-31,6.2584619334682094e-68,2.115229483312785e-54,2.4246276007066322e-87,3.397361801784309e-92,4.0654686264780134e-48,6.8490637055052903e-82,2.5570611065946367e-12,1.1187859020348619e-12,3.5579665528466063e-14,3.5584272567946239e-14,2.2158971387578393e-20,1.5198766569875657e-18,7.7297393673115112e-22,3.129433309346816e-26,2.4701230305297681e-39,2.8581997038612408e-36,1.3341789683165291e-61,5.2742760936385301e-37,5.3511091963374697e-66
1.4931229292225442e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039437948,0.099999999996111047,0.099999999999160927,3.4393107826857358e-72,1.9860152251307334e-45,1.4832092983896223e-25,1.0549359619555081e-57,5.46072515985455e-39,7.5657706291143023e-95,8.3300712930358614e-31,3.712833739501448e-106,4.954190626879652e-31,2.3676598821892958e-67,8.0498837644325107e-54,1.8445637755818001e-86,2.2346641993825482e-91,1.1599426791774493e-47,3.195024222651829e-81,3.8355927429307458e-12,1.6781793272352375e-12,5.3368549158560386e-14,5.3378353319137922e-14,3.3346035082789456e-20,3.2428620003902993e-18,2.219356466839176e-21,6.6314140713468621e-26,1.1591373241736899e-38,8.2077472984399508e-36,8.8503634816274771e-61,1.5048346213081215e-36,3.0381298407111778e-65
2.4885387779205538e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039063245,0.099999999993518399,0.099999999998601527,1.8077424573646156e-70,1.51950027913224e-44,4.1171723870958283e-25,2.6532395774174976e-56,2.557719240237363e-38,1.5357611338881353e-92,1.7612541364273292e-30,1.4339794922129281e-104,8.2795356446057963e-31,1.8684431938819223e-66,6.5702866567211106e-53,1.7021978183326997e-84,9.7611462586448604e-90,5.2958966518292373e-47,4.2812307531633565e-80,6.3926560137167856e-12,2.7969661775862191e-12,8.8944002490914234e-14,8.8971147793748524e-14,5.5718707361045298e-20,8.9976264180015042e-18,1.0245431924426727e-20,1.8202399569634539e-25,1.702629360321563e-37,3.79068728211123e-35,4.6516508791988027e-59,6.8705538372497977e-36,9.2227015691776377e-64
3.369065403900749e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503873179,0.099999999991224997,0.099999999998106701,9.2499416918134353e-70,4.0862103629707934e-44,7.2715428176416535e-25,1.0479669699565708e-55,5.813475019583109e-38,1.0872065379913653e-91,2.7692275882429932e-30,6.9443864135456144e-104,1.1232377266042039e-30,5.1311063343605203e-66,1.8697493870418342e-52,9.3321384664392761e-84,4.2644821102014589e-89,1.1699011545676803e-46,1.3802942628325817e-79,8.654587341939557e-12,3.7866245317107463e-12,1.2041159312641904e-13,1.2045949463453177e-13,7.5508029119456652e-20,1.5886508551710133e-17,2.2741640383574784e-20,3.195440624792338e-25,5.9424787540352228e-37,8.4160611480953257e-35,2.3802619575665351e-58,1.5177541011963985e-35,4.324820842295123e-63
4.249592029880945e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038400336,0.099999999988931595,0.099999999997611874,3.1435371736458136e-69,9.1184939189148021e-44,1.1307347378014966e-24,3.2405218997811925e-55,1.1120395290704604e-37,4.5386316699828125e-91,3.9769882493040282e-30,2.1406838467222891e-103,1.419730533987321e-30,1.16711266869542e-65,4.2334698565854337e-52,3.7190202956740476e-83,1.5317354003960124e-88,2.1898270847978963e-46,3.6876528343641297e-79,1.0916518668590155e-11,4.7762828857937885e-12,1.5187725529078615e-13,1.5195170597200165e-13,9.5296138101970051e-20,2.4696337480302962e-17,4.2761501310470828e-20,4.9412176364178852e-25,1.5596516238653832e-36,1.5828721204691607e-34,8.0888544333153345e-58,2.8409400436605295e-35,1.224832398036668e-62
5.130118655861141e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038068882,0.099999999986638194,0.099999999997117048,9.1259389681655901e-69,1.7388759141977472e-43,1.6167264172059685e-24,8.1307186329405518e-55,1.8819460347846229e-37,1.628271633036063e-90,5.3715434482261169e-30,6.104842723676704e-103,1.7173535752824032e-30,2.2634510444944626e-65,8.2956143931613227e-52,1.1742120624179125e-82,4.2709133307605064e-88,3.6315060521403456e-46,8.1091360367666491e-79,1.3178449993770744e-11,5.7659412398380469e-12,1.8334111439740999e-13,1.8344753182859777e-13,1.1508311317848138e-19,3.5300811316887772e-17,7.1193574566098609e-20,7.0292911175495651e-25,3.5124429846887654e-36,2.6359134684473174e-34,2.3483186513520898e-57,4.7112811002036722e-35,3.3054845808540821e-62
6.891171907821532e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037405968,0.099999999982051377,0.099999999996127395,5.2530693941558337e-68,4.4427874673824351e-43,2.775939046894103e-24,3.1828936752779937e-54,4.1343722811676631e-37,1.5446087610168096e-89,8.5850305622476991e-30,3.339641097047107e-102,2.3151679705995042e-30,5.9565436637027439e-65,2.2837192199998216e-51,7.1986476133138399e-82,1.9014751691275544e-87,7.6622008173421756e-46,2.5228106386407526e-78,1.770231264079198e-11,7.745257947838435e-12,2.4626473626109237e-13,2.464473992543878e-13,1.5465448722135272e-19,6.0583045665456371e-17,1.5111921270227025e-19,1.1971281249299665e-24,1.2133355562189556e-35,5.5971396702437752e-34,1.3519129554066036e-56,9.9404438131084544e-35,1.8231640208609751e-61
8.652225159781924e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036743051,0.09999999997746456,0.099999999995137742,1.8341111861006951e-67,9.3365332110965686e-43,4.2402540472516447e-24,9.293757402374672e-54,7.717977467791884e-37,6.9800577953104145e-89,1.249006734570817e-29,1.1308239092288804e-101,2.9171683277458757e-30,1.2863992219428964e-64,5.0625707800874738e-51,2.8164238126015582e-81,6.1565656757618037e-87,1.3811544612844656e-45,6.209244202126732e-78,2.2226175282370254e-11,9.7245746556952119e-12,3.0918168285471122e-13,3.0946066005762313e-13,1.9422166332391952e-19,9.249769965394693e-17,2.7389295463320743e-19,1.8145686510541434e-24,3.1442331451539167e-35,1.0147869344643222e-33,4.7204081263994056e-56,1.7918204751614513e-34,5.3596950739000986e-61
1.0413278411742315e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036080137,0.099999999972877743,0.099999999994148089,5.410562652944272e-67,1.7548093264676882e-42,6.0300042052485698e-24,2.3331263838359261e-53,1.3029298481755968e-36,2.5995119828319607e-88,1.7132740385302175e-29,3.2993297868413748e-101,3.523634939838917e-30,2.4785739061841294e-64,9.9167208573704802e-51,9.1016125619433571e-81,1.7066182315271754e-86,2.2669659791242691e-45,1.345966006851152e-77,2.6750037918142246e-11,1.1703891363398794e-11,3.7209150932169854e-13,3.7248821641065572e-13,2.3378436172501314e-19,1.3147715825327733e-16,4.5198624909214932e-19,2.5606556046696176e-24,7.0839747418752174e-35,1.6752088308120728e-33,1.3925990965468353e-55,2.9410150483814345e-34,1.4682298294309565e-60
1.3935384915663098e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034754297,0.099999999963704123,0.09999999999216877,4.8703422002601613e-66,5.2289639188247454e-42,1.0603809189386535e-23,1.3693002105274396e-52,3.0863584210629866e-36,5.7862260355111684e-87,2.8671792373141276e-29,2.6538741819745899e-100,4.7502224220393579e-30,7.7506650144564465e-64,3.0983259726729276e-50,1.189296301430269e-79,1.4084104162974987e-85,5.1409395003855374e-45,5.5871226762691033e-77,3.5797763171942618e-11,1.5662524778337824e-11,4.9788940807625361e-13,4.9858706747453326e-13,3.1289607777035478e-19,2.3096017662320672e-16,1.0382435418601903e-18,4.4287040149339281e-24,3.0280599295252991e-34,3.8513588515018558e-33,1.2537459187536564e-54,6.6695224119049631e-34,9.1859216922343849e-60
1.7457491419583881e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575033428455,0.099999999954530502,0.09999999999018945,2.108669582536991e-65,1.2138663877185212e-41,1.6499502638987133e-23,4.8784533918406891e-52,6.0138551356839426e-36,3.5169953748228366e-86,4.3207056525395632e-29,1.121211017054065e-99,5.9949708709332031e-30,1.8557871043310373e-63,7.3546036459386994e-50,6.1899967026124664e-79,6.0910469319676255e-85,9.7332719159683453e-45,1.6282800000183007e-76,4.4845488402150009e-11,1.9621158192654393e-11,6.2365838551646882e-13,6.2474412562898228e-13,3.919896057948299e-19,3.5899995899206539e-16,1.9890411308040404e-18,6.7806601034091737e-24,8.8688994466553874e-34,7.3842574371660055e-33,5.4287895993450889e-54,1.2627317451115724e-33,3.2571178556822747e-59
2.4501704427425445e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575030776757,0.099999999936183262,0.099999999986230811,2.7366096483791489e-64,4.6282697609636946e-41,3.2258202671648769e-23,4.2278012195539762e-51,1.6771294023916132e-35,1.1237768049146525e-84,8.1269955283033925e-29,1.3591338655622034e-98,8.539038264336238e-30,7.439360037534748e-63,2.8321955966779589e-49,1.285505089224808e-77,8.5045912090663584e-84,2.5963599258859357e-44,9.5679581154176735e-76,6.2940938791728443e-11,2.7538425019418777e-11,8.751095404113352e-13,8.7723339956886647e-13,5.5012207511476803e-19,7.0032160799182797e-16,5.448507415997394e-18,1.2818944703443568e-23,5.0784450831414079e-33,2.026522809623639e-32,7.0474057843505296e-53,3.3683494253492823e-33,2.7088054014565874e-58
