Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),COX(47),CH4OX(57),C2H6X(49),CH3OO(75),SX(187),CH3OX(55),DME(215),DMEX(217),CH3OX(56),CH2OX(181),CHOX(183),C2H5X(48),C3H8X(54),C2H6O(121),SX(246)
6.833257094099196e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031477933303707822,0.091068058815732184,0.0087570898868509946,0.0045571472464562349,0.0092591359544389549,3.4448555925160437e-13,1.2799609127496807e-05,0.00025026556591117968,7.7589329123627633e-24,3.7679295864695689e-07,2.4400544714917306e-07,2.9365451885658649e-13,2.3574110988378168e-10,0.0032255987228096165,5.4868589479937823e-19,3.7374671723951719e-21,1.4876200170448984e-11,3.1578088177012351e-11,0.00054893142190076444,0.16065062614418482,1.0735684891374177e-06,8.0159483807396545e-07,5.9310187556750569e-10,0.00014422298492496982,7.1486869422720083e-13,8.1975403908665141e-11,5.4217342809737114e-10,3.3641170807254485e-08,5.4991360341434718e-09,2.6607025096954622e-09,6.7795297033958828e-05,1.9178448979218398e-07,1.1195563257109275e-07,7.573389535451568e-10,2.8415855056583067e-07,5.4170780400184612e-06,3.5491034265461486e-12,2.5821557610189083e-11,3.5263550294770289e-12,3.8459403183471165e-06,2.7863534411484822e-10,1.1189511938817967e-10,7.2547343688732564e-07,1.8203461232445998e-12
6.849721792429522e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031474552745954031,0.091052046780431897,0.0087355801962101,0.0045651391843742166,0.0092751348746308426,3.447618774331951e-13,1.2782393374730436e-05,0.00025051502113933045,7.7791199130624675e-24,3.7672040568153831e-07,2.4432548304526988e-07,2.9376879012608925e-13,2.358055937662655e-10,0.0032331052467303831,5.4816408213081597e-19,3.7467245763363646e-21,1.4890986276149091e-11,3.1662319673521459e-11,0.00054877582193223965,0.16065376476708859,1.0728752143692822e-06,8.0224693033546667e-07,5.9325897957009633e-10,0.00014445551048657384,7.1440754140047392e-13,8.1951207512412557e-11,5.4181704181329482e-10,3.3592324244341071e-08,5.5024423433933132e-09,2.6568384122284141e-09,6.7945832493774926e-05,1.9195503421935278e-07,1.1166479316713371e-07,7.5537175079111666e-10,2.8423919600008963e-07,5.4262839287111004e-06,3.5547530404270239e-12,2.5875586718512093e-11,3.535153126532521e-12,3.8602554476866134e-06,2.7868331564638472e-10,1.1202984681099105e-10,7.2744446515529095e-07,1.8250957690491928e-12
6.866186490759848e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031471265720032053,0.09103603753087014,0.0087141279943126412,0.0045731260187070327,0.0092911231495222141,3.4503759846041139e-13,1.2765204185535796e-05,0.00025076414971172311,7.7992937910237343e-24,3.7664749167377223e-07,2.4464536806525313e-07,2.9388246721197147e-13,2.3587027563298551e-10,0.0032406128234318903,5.4764170647666994e-19,3.7559713818436825e-21,1.4905753748777201e-11,3.174657396548026e-11,0.00054862189074421938,0.16065680775238378,1.0721852228834211e-06,8.0289886720784832e-07,5.9341806311347272e-10,0.0001446882474608003,7.1394856058999148e-13,8.1927274276956275e-11,5.4146249792361038e-10,3.3543656958149087e-08,5.5057600813108502e-09,2.6529884888588258e-09,6.8096558468369755e-05,1.9212585831112078e-07,1.1137454754365687e-07,7.5340856394064644e-10,2.8432104893040803e-07,5.4354864902263753e-06,3.5604097611793912e-12,2.5929766489891131e-11,3.5439766685517714e-12,3.8746008163710459e-06,2.7873233747684323e-10,1.1216480688693489e-10,7.2941743789741129e-07,1.8298546689709574e-12
6.882651189090173e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.03146807175544121,0.091020031036713828,0.00869273298986728,0.0045811077716311705,0.0093071008244166552,3.4531272405628646e-13,1.2748041479319796e-05,0.00025101295336227259,7.8194545300709046e-24,3.7657421801278431e-07,2.4496510431652846e-07,2.9399555312774036e-13,2.3593515533349853e-10,0.0032481214660762979,5.47118775945316e-19,3.765207574051787e-21,1.492050267294747e-11,3.1830851121977011e-11,0.00054846961908115624,0.16065975557831169,1.0714984946577377e-06,8.0355065134429851e-07,5.9357911936269357e-10,0.00014492119664659002,7.1349173856293175e-13,8.1903602374803027e-11,5.4110978502523757e-10,3.3495167811469118e-08,5.5090892229751684e-09,2.6491526498626315e-09,6.8247475614726191e-05,1.9229696230067151e-07,1.1108489428157038e-07,7.5144938339535458e-10,2.8440411059133918e-07,5.4446857883794837e-06,3.5660736311806132e-12,2.5984097283561279e-11,3.5528257224848494e-12,3.8889765005577587e-06,2.7878240583364266e-10,1.123000002308101e-10,7.3139236271859113e-07,1.8346228570526596e-12
6.899115887420499e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031464970385842457,0.091004027267765963,0.0086713948940022358,0.0045890844651897151,0.0093230679443431826,3.4558725595486901e-13,1.273090517603993e-05,0.00025126143381261194,7.8396021142506687e-24,3.7650058607766331e-07,2.4528469389444928e-07,2.9410805086559658e-13,2.3600023271683869e-10,0.0032556311877689472,5.4659529857828176e-19,3.7744331382962751e-21,1.4935233132568912e-11,3.1915151212049886e-11,0.00054831899776707513,0.16066260871887666,1.0708150098338352e-06,8.0420228537578923e-07,5.9374214155063151e-10,0.00014515435883968988,7.1303706219459827e-13,8.1880190375917463e-11,5.4075889179985394e-10,3.3446855676772686e-08,5.5124297439161731e-09,2.6453308061178736e-09,6.8398584588518087e-05,1.9246834641777868e-07,1.1079583196949061e-07,7.4949419960900812e-10,2.8448838222937116e-07,5.4538818868032618e-06,3.5717446933598995e-12,2.6038579461728484e-11,3.5617003556954575e-12,3.9033825765981163e-06,2.7883351698093668e-10,1.1243542745540208e-10,7.3336924722146511e-07,1.839400367593604e-12
6.915580585750824e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031461961149013687,0.090988026193964802,0.0086501134202401804,0.0045970561212934098,0.0093390245540584411,3.4586119590113542e-13,1.2713795196200127e-05,0.00025150959277219713,7.8597365278298518e-24,3.7642659723756186e-07,2.4560413888242914e-07,2.9421996339663749e-13,2.3606550763154952e-10,0.0032631420015587437,5.4607128235089606e-19,3.7836480601121394e-21,1.4949945210852168e-11,3.1999474304686795e-11,0.0005481700177046773,0.1606653676438915,1.0701347487154459e-06,8.0485377191163163e-07,5.9390712297931913e-10,0.00014538773483264235,7.1258451846741731e-13,8.1857037493998405e-11,5.4040980702162007e-10,3.3398719436359313e-08,5.5157816200861847e-09,2.6415228689409726e-09,6.8549886044131048e-05,1.9264001089851605e-07,1.1050735920368685e-07,7.4754300308712625e-10,2.8457386510289503e-07,5.4630748489503926e-06,3.5774229910614754e-12,2.6093213389522246e-11,3.5706006359648123e-12,3.9178191210378914e-06,2.7888566721926089e-10,1.1257108917923105e-10,7.3534809900651481e-07,1.8441872350992388e-12
6.93204528408115e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031459043586805145,0.090972027785382881,0.0086288882844734009,0.004605022761721699,0.0093549706980485085,3.4613454565090604e-13,1.269671146084238e-05,0.00025175743193842786,7.8798577552932346e-24,3.7635225285179509e-07,2.4592344135207074e-07,2.9433129367105737e-13,2.361309799257163e-10,0.0032706539204385445,5.4554673517292865e-19,3.792852325232224e-21,1.4964638990315898e-11,3.2083820468825119e-11,0.0005480226698745044,0.16066803281902239,1.0694576917675046e-06,8.0550511353960761e-07,5.9407405702480183e-10,0.00014562132541519161,7.1213409446959963e-13,8.1834141849870238e-11,5.4006251957937613e-10,3.3350757982382675e-08,5.5191448273155862e-09,2.6377287509568848e-09,6.8701380634682442e-05,1.9281195597616941e-07,1.1021947458802613e-07,7.4559578438659742e-10,2.8466056048217406e-07,5.4722647380955816e-06,3.5831085663504386e-12,2.6147999429629012e-11,3.5795266308985654e-12,3.9322862106176719e-06,2.7893885288531885e-10,1.1270698601466808e-10,7.3732892567218398e-07,1.8489834936261506e-12
6.948509982411476e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031456217245096112,0.090956032012226323,0.0086077192049392962,0.004612984408123761,0.0093709064205312765,3.4640730697076027e-13,1.2679653891542187e-05,0.00025200495299676322,7.8999657813414115e-24,3.7627755426993966e-07,2.4624260336328098e-07,2.9444204461834585e-13,2.3619664944699661e-10,0.0032781669573455335,5.4502166488922182e-19,3.8020459195857102e-21,1.4979314552793505e-11,3.2168189773351529e-11,0.00054787694533413311,0.16067060470583361,1.0687838196135347e-06,8.0615631282610237e-07,5.9424293712836379e-10,0.0001458551313740535,7.1168577739409763e-13,8.1811501856658092e-11,5.3971701844165049e-10,3.3302970216315374e-08,5.5225193418724119e-09,2.63394836542686e-09,6.8853069012041117e-05,1.9298418187830252e-07,1.0993217673391863e-07,7.4365253411534412e-10,2.8474846964931281e-07,5.4814516173377147e-06,3.588801461853889e-12,2.6202937947609718e-11,3.588478408503455e-12,3.9467839222732528e-06,2.78993070351478e-10,1.1284311857002736e-10,7.3931173481499251e-07,1.8537891774908123e-12
6.964974680741801e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.03145348167375208,0.090940038844833967,0.0085866059021961899,0.0046209410820195179,0.0093868317654587554,3.4667948163794998e-13,1.2662622410405574e-05,0.00025225215762081696,7.9200605908886697e-24,3.7620250283193148e-07,2.4656162696437361e-07,2.9455221914748392e-13,2.3626251604265165e-10,0.0032856811251615985,5.4449607928031991e-19,3.8112288292966091e-21,1.4993971979439618e-11,3.2252582287101837e-11,0.00054773283521731859,0.16067308376183087,1.0681131130340353e-06,8.0680737231650223e-07,5.94413756796877e-10,0.00014608915349276875,7.1123955453778364e-13,8.1789117066336987e-11,5.3937329266084662e-10,3.325535504913249e-08,5.5259051405680802e-09,2.6301816258188805e-09,6.900495182684761e-05,1.9315668884023772e-07,1.096454642602634e-07,7.4171324293194682e-10,2.8483759389822725e-07,5.4906355496019919e-06,3.5945017210290038e-12,2.625802931320088e-11,3.5974560373430013e-12,3.9613123331360337e-06,2.7904831602541054e-10,1.1297948746183147e-10,7.4129653402964978e-07,1.8586043213764193e-12
6.981439379072127e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031450836426581773,0.090924048253676643,0.0085655480990994431,0.0046288928048006652,0.0094027467765186844,3.4695107144031726e-13,1.2645616940059703e-05,0.00025249904747247614,7.9401421690608739e-24,3.7612709986816047e-07,2.468805141921974e-07,2.9466182014713715e-13,2.3632857955957547e-10,0.0032931964367137086,5.4396998606308428e-19,3.8204010406822575e-21,1.5008611350736317e-11,3.2336998078860744e-11,0.00054759033073317352,0.16067547044050504,1.067445552965784e-06,8.0745829453519248e-07,5.9458650961099823e-10,0.00014632339255220013,7.1079541329991923e-13,8.1766985585361809e-11,5.3903133140885162e-10,3.320791140139021e-08,5.5293021999659315e-09,2.6264284470120118e-09,6.9157029728533331e-05,1.933294770960546e-07,1.0935933579339482e-07,7.3977790154525781e-10,2.8492793453461461e-07,5.4998165976420444e-06,3.6002093856511436e-12,2.631327389261405e-11,3.6064595856896742e-12,3.975871520533427e-06,2.7910458634989745e-10,1.1311609330084986e-10,7.4328333090916962e-07,1.8634289593625904e-12
6.997904077402453e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031448281061295449,0.090908060209356267,0.0085445455207778572,0.0046368395977316604,0.0094186514971368041,3.4722207817621259e-13,1.2628637403648705e-05,0.000252745624202016,7.9602105011933912e-24,3.7605134669956546e-07,2.4719926707224945e-07,2.9477085048584749e-13,2.3639483984432414e-10,0.0033007129047742767,5.4344339289130442e-19,3.8295625402518524e-21,1.5023232746499566e-11,3.2421437217361764e-11,0.00054744942316539919,0.16067776519137436,1.0667811204993007e-06,8.0810908198595414e-07,5.9476118921434949e-10,0.00014655784933037273,7.1035334118123505e-13,8.1745105524774716e-11,5.3869112393320313e-10,3.3160638202618551e-08,5.5327104970192565e-09,2.622688744623435e-09,6.9309303365339668e-05,1.9350254687113297e-07,1.090737899670288e-07,7.3784650071405799e-10,2.8501949287592424e-07,5.5089948240420399e-06,3.60592449796394e-12,2.6368672054506237e-11,3.6154891221671102e-12,3.9904615619892684e-06,2.7916187780235373e-10,1.1325293669077198e-10,7.4527213304498201e-07,1.8682631257518617e-12
7.014368775732778e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031445815139463824,0.090892074682605142,0.0085235978946104091,0.0046447814819507195,0.0094345459704792377,3.4749250365440776e-13,1.2611683724832099e-05,0.0002529918894481887,7.9802655728290472e-24,3.7597524463772969e-07,2.4751788761876947e-07,2.9487931301222201e-13,2.3646129674314475e-10,0.0033082305420615299,5.4291630735630416e-19,3.838713314704969e-21,1.5037836245885481e-11,3.2505899771286975e-11,0.00054731010387147497,0.16067996846002688,1.0661197968771611e-06,8.087597371522305e-07,5.9493778931184487e-10,0.00014679252460215848,7.099133257834242e-13,8.1723476865745808e-11,5.383526595536987e-10,3.3113534391535201e-08,5.5361300094012526e-09,2.6189624341756744e-09,6.9461773384337384e-05,1.9367589839972604e-07,1.0878882542221011e-07,7.3591903124670997e-10,2.8511227025132782e-07,5.5181702912187453e-06,3.6116471016442353e-12,2.6424224173462627e-11,3.6245447161495856e-12,4.0050825352242179e-06,2.7922018689446905e-10,1.1339001824616569e-10,7.4726294802704278e-07,1.8731068554465518e-12
7.029187004230072e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031443671924685439,0.090877689836965453,0.0085047917916252751,0.0046519249981689416,0.0094488422705354749,3.4773539111273465e-13,1.2596447459452306e-05,0.00025321326319669791,7.9983037877930322e-24,3.7590645555491287e-07,2.4780453462126475e-07,2.9497644614486946e-13,2.3652127592981095e-10,0.0033149974257771085,5.4244151562861851e-19,3.8469398308976549e-21,1.5050964158825763e-11,3.2581936146731616e-11,0.00054718606739685629,0.16068187354966315,1.0655272482982278e-06,8.0934521573464304e-07,5.9509836628000802e-10,0.00014700391979717898,7.0951906025426598e-13,8.1704224272377388e-11,5.3804952323818209e-10,3.3071284918413171e-08,5.5392171408062851e-09,2.6156201363880066e-09,6.9599164842084355e-05,1.9383215586898247e-07,1.0853285321028401e-07,7.3418766248495804e-10,2.8519681327132622e-07,5.5264259039960605e-06,3.6168038841830913e-12,2.6474353018855539e-11,3.632717086819939e-12,4.0182679222018721e-06,2.7927353230366509e-10,1.1351359578086812e-10,7.4905640876644105e-07,1.8774744169136728e-12
7.044005232727365e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.031441600492810189,0.090863306985800751,0.0084860297852480445,0.0046590645705849101,0.0094631303361597339,3.4797781055891931e-13,1.2581232022353381e-05,0.00025343438714047856,8.016331239959451e-24,3.758373858666002e-07,2.4809107750888848e-07,2.9507312368983559e-13,2.3658141413664246e-10,0.0033217652760204643,5.4196633663288141e-19,3.8551576396948979e-21,1.5064077696075072e-11,3.2657991594257206e-11,0.00054706330428464487,0.16068370521586239,1.0649371893500233e-06,8.0993059094358207e-07,5.9526048931624659e-10,0.00014721549315878927,7.0912644180724829e-13,8.1685172117799989e-11,5.3774778263889565e-10,3.3029171036229593e-08,5.5423133218591244e-09,2.6122885590209942e-09,6.9736716362704194e-05,1.9398864191302192e-07,1.0827734976108928e-07,7.3245946409094098e-10,2.8528234578046437e-07,5.5346793774964e-06,3.6219667987575912e-12,2.6524607139660505e-11,3.6409106703538869e-12,4.0314784839705992e-06,2.7932769670780441e-10,1.1363736716103932e-10,7.5085151158929591e-07,1.8818497772412357e-12
