Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CHOX(50),COX(47),CO2X(24),C2H6X(49),CH4OX(57)
1.0236266643661108e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039621995,0.09999999999737047,0.099999999999424771,1.1168865055729634e-80,6.0537021597235721e-46,2.2584630777283912e-41,5.8228770707254352e-61,2.2647499203869383e-41,6.4649382058786569e-107,5.0726002691161036e-31,7.9820818388481392e-109,3.3823233829766624e-31,7.9238765811776718e-70,2.0638217953299286e-50,3.9074145691349082e-93,1.0796122832103352e-94,3.8560964183536757e-44,8.9173982031361096e-84,2.629532323978918e-12,1.1504940908389105e-12,1.7072737262062975e-18,3.3364056960141409e-26,1.7072736999567908e-18,3.5421182057887043e-27,1.0041734330641954e-29,4.9130337157045475e-33,1.6348312778544266e-50,5.7793294007455338e-37,9.2971791896695083e-73,5.8165704710782911e-72,1.1274963778839227e-73,2.319922633476306e-52,1.9819193133759679e-61
2.047254196472032e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039243992,0.099999999994740935,0.099999999998849523,5.7013816101041532e-78,9.6859226368214631e-45,1.7989032828581648e-40,7.4310442088164351e-59,1.8118017870630416e-40,6.5999558077505188e-104,1.3525762530024907e-30,6.4140635546675117e-107,6.7646505860313203e-31,1.2678216362998379e-68,3.3021155588410142e-49,1.0921271687306088e-90,2.7555772390046472e-92,3.0848766203072516e-43,2.8535706378815716e-82,5.2590668743850315e-12,2.3009891568955603e-12,3.4145489591621795e-18,1.3345618278864298e-25,3.4145488542042503e-18,1.4128507080100186e-26,8.0083206866903137e-29,7.8371167765730222e-32,1.0431578893491654e-48,4.6234627447323699e-36,2.3728324966690806e-70,1.4846078556601262e-69,2.8777625241545222e-71,3.7118802556620554e-51,6.3421434537520387e-60
4.094509260683875e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038487985,0.099999999989481864,0.099999999997699027,2.9017469583188613e-75,1.5497455094791312e-43,1.430613897936604e-39,9.4552245288225067e-57,1.4494422406196587e-39,6.7174035400679595e-101,4.0573765030542169e-30,5.7760752784000927e-105,1.3529307850675387e-30,2.0285158204400761e-67,5.2833780928096603e-48,3.2617121138921587e-88,7.0124486075671663e-90,2.4678977274157659e-42,9.1314316058345422e-81,1.0518135967226664e-11,4.6019792888018245e-12,6.829099603497478e-18,5.3382386164610683e-25,6.829099183984884e-18,5.6196762335920483e-26,6.3668565920366137e-28,1.2463998290013828e-30,6.6363891941111573e-47,3.6987648390888368e-35,6.0376251108325141e-68,3.7780597050593438e-67,7.323216022243506e-69,5.9390119039823444e-50,2.0294833904125014e-58
8.18901938910756e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036975973,0.099999999978963722,0.099999999995398034,1.4681853588209095e-72,2.4795845751535754e-42,1.1326594771573747e-38,1.1960200174823247e-54,1.1595542299514702e-38,6.7960207042447988e-98,1.3523648618150433e-29,5.8356624195353139e-103,2.7058633814102668e-30,3.2456265808666023e-66,8.4533759863320598e-47,1.0692028064119208e-85,1.7740935344165872e-87,1.97431137350558e-41,2.9220592755691251e-79,2.1036274121027549e-11,9.2039595517862101e-12,1.3658201605862211e-17,2.135287472369895e-24,1.365819993033338e-17,2.2228833246535513e-25,5.0307899864842313e-27,1.970482371362466e-29,4.197088737959153e-45,2.9590016544789044e-34,1.5270624568195932e-65,9.5581863200402887e-65,1.8526276847712669e-66,9.5024226782831826e-49,6.4943250405491096e-57
1.637803964595493e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575033951947,0.099999999957927438,0.099999999990796049,7.343151775430666e-70,3.967307768297561e-41,8.8837495532296397e-38,1.4955141126243609e-52,9.2764373985228372e-38,6.7950113328031266e-95,4.8682882696416985e-29,8.8865246053644624e-101,5.4117331477514987e-30,5.1930045239935896e-65,1.352530363876726e-45,3.893606314269554e-83,4.4368943018159895e-85,1.579437766107647e-40,9.3505932772726149e-78,4.2072550301099793e-11,1.8407920074442406e-11,2.7316408465368141e-17,8.5410840601047239e-24,2.7316401782927807e-17,8.697738814466903e-25,3.9273706025166835e-26,3.0790238909872024e-28,2.6237957925986727e-43,2.3671843184442316e-33,3.8170441290071389e-63,2.3904381068844722e-62,4.6328663455819953e-64,1.5203881865894091e-47,2.0781692152104429e-55
3.275608015964967e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575027903894,0.099999999915854856,0.099999999981592091,3.5917859590070921e-67,6.3476033174314946e-40,6.8415092453553164e-37,1.8288538278477341e-50,7.421154236923965e-37,6.6413488578532381e-92,1.8390813735006971e-28,1.076085680837499e-98,1.082349097505806e-29,8.3088119703226064e-64,2.1640167070774965e-44,1.5481008528560672e-80,1.0852725870381326e-82,1.263531905225255e-39,2.9921915355056853e-76,8.4145102151126187e-11,3.6815841106504478e-11,5.4632833603485235e-17,3.4163805544265175e-23,5.4632807023647063e-17,3.3331786227346236e-24,2.9954028508904334e-25,4.7040640756925534e-27,1.6040198167602061e-41,1.8937199837344585e-32,9.326598465829743e-61,5.8470267063961664e-60,1.1329953337120134e-61,2.4326224010301537e-46,6.6500451076807747e-54
6.551216118703916e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575015807789,0.099999999831709693,0.099999999963184164,1.685460692628796e-64,1.0155879404221001e-38,5.0943504116577234e-36,2.1456888706256143e-48,5.9369297480491729e-36,6.2217490170756581e-89,7.1398600948441645e-28,1.3365811408849935e-96,2.1647079808176482e-29,1.3294112974060591e-62,3.4623243593265628e-43,6.4209620565826995e-78,2.5470668778556539e-80,1.0107961628708028e-38,9.5750227261084073e-75,1.682902038107066e-10,7.3631683117627414e-11,1.0926572955613578e-16,1.3665096864812126e-22,1.0926562433064282e-16,1.2293228443514004e-23,2.1875558878331893e-24,6.891478866515767e-26,9.4062373123478692e-40,1.5149319298664456e-31,2.1842391273938608e-58,1.3722334957231196e-57,2.6580834535174894e-59,3.8921996229532787e-45,2.1279525126229759e-52
9.826824221442864e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575003711684,0.09999999974756453,0.099999999944776263,1.4104015184388388e-63,3.7384910461095929e-38,1.4026148089075102e-35,1.367543792861709e-47,1.7625270764804121e-35,5.8293100881418284e-88,1.5036914612843435e-27,7.4563414094762067e-96,3.2470741819809922e-29,5.0294354512711876e-62,1.3199933335808348e-42,5.2859149935396666e-77,1.8711630340108627e-79,2.8901970376282211e-38,4.4667289068268727e-74,2.5243530342981477e-10,1.1044752507574915e-10,1.6389867118519792e-16,2.9037706007999511e-22,1.6389844907348991e-16,2.4733799009928461e-23,5.9410220276277093e-24,2.4329996947096112e-25,5.0978442683078343e-39,4.3316861006677027e-31,1.6120394754842968e-57,1.0080826882084518e-56,1.9626710548222562e-58,1.4724988558859288e-44,9.9871323365556901e-52
1.3102432324181813e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957499161558,0.099999999663419395,0.099999999926368349,7.6258027664147624e-63,9.4837545417069934e-38,2.8620029384583471e-35,5.5923244502980227e-47,3.8404561626192337e-35,3.7331744843332687e-87,2.5530247095883692e-27,3.8275588111399075e-95,4.3294477009968826e-29,1.309159844058857e-61,3.5514883848129754e-42,2.803660521529283e-76,8.4814793346531574e-79,6.0961703018678225e-38,1.3601230458201354e-73,3.3658040100845069e-10,1.4726336698086964e-10,2.1853165849066688e-16,4.9533928818475905e-22,2.1853128179874073e-16,4.0177916556730287e-23,1.1970121001889517e-23,5.9465562918886038e-25,1.8679742090466996e-38,9.1366420149603996e-31,8.0655688613743354e-57,4.5693051443387621e-56,9.8230338576291722e-58,3.8329079593086349e-44,3.1132531414777519e-51
1.965364852965971e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957496742337,0.099999999495129097,0.099999999889552507,1.191015316044043e-61,3.3185919737310743e-37,7.4204167533002757e-35,4.4471867696622281e-46,1.1147674027192408e-34,1.0260942437844938e-85,5.2610224216540054e-27,5.0392721682631285e-94,6.4942119135840568e-29,4.8044368529081841e-61,1.4364154493111924e-41,4.1987107542604057e-75,7.7910519890278432e-78,1.6650111917647817e-37,6.1967678443043225e-73,5.0487059137685917e-10,2.2089505066672004e-10,3.2779774030132049e-16,1.0255031647481729e-21,3.2779696746708101e-16,7.6884513826531399e-23,3.035569255349334e-23,1.9568959826245164e-24,1.2750631507044252e-37,2.4954372973936082e-30,1.1627581854298645e-55,4.1969525186504806e-55,1.4166250394672138e-56,1.4066245194565299e-43,1.5338944735125867e-50
2.6204864735137608e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574943231161,0.099999999326838798,0.099999999852736665,6.6405601694736932e-61,8.295444128509517e-37,1.4841037445727349e-34,1.8060688557890317e-45,2.4378732596375934e-34,6.8203751231532842e-85,8.9237659408205343e-27,2.3063532617183312e-93,8.659003036534597e-29,1.2458274980057228e-60,3.8907700676633676e-41,2.3132459096433813e-74,3.5282521413428269e-77,3.4836824346448285e-37,1.8613031774029599e-72,6.7316077424172386e-10,2.9452673415766611e-10,4.3706399008037346e-16,1.7440574086701711e-21,4.3706268627919141e-16,1.2155281441016966e-22,5.9510064753826463e-23,4.6528808042003258e-24,4.5329914948426373e-37,5.2211726175334538e-30,5.6988649834090967e-55,1.9005050948847035e-54,6.9475349311878772e-56,3.647485627688602e-43,4.812871766004684e-50
3.2756080940615505e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574919038951,0.099999999158548514,0.099999999815920823,2.8053891025377624e-60,1.7604743784780468e-36,2.5829623813281548e-34,5.7885283150742067e-45,4.5737871592226357e-34,3.4602062237861709e-84,1.3609452845549289e-26,8.535138778508297e-93,1.0823822992025608e-28,2.7239752221829553e-60,8.7402960972733402e-41,9.6907800308336764e-74,1.2543567271774e-76,6.3417664774176549e-37,4.6442515479550663e-72,8.414509490670777e-10,3.6815841743978614e-10,5.4633041982553697e-16,2.6644398190961122e-21,5.4632844319387045e-16,1.727971786399862e-22,1.0153846210578516e-22,9.3962163051289469e-24,1.2991438685324331e-36,9.5047287402549037e-30,2.1962415276079257e-54,6.7560408236889729e-54,2.6788114188353958e-55,7.9751491169679351e-43,1.2372336599286257e-49
