Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CO2X(24),H2X(49),CH4OX(60)
1.3828595681119822e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,6.4763705675686388e-75,2.4275169904086517e-41,1.9787307438545857e-29,1.6235893668538939e-52,1.5895231633933598e-38,7.2362015158042295e-90,1.4061700915794136e-18,9.3232705103404648e-82,1.406169782411351e-18,5.2762389843310088e-55,7.591333255152727e-46,3.3766878913328636e-74,2.0403510009786815e-75,3.9818086869847474e-35,3.3740851434403931e-64,5.5766687032544157e-12,2.6813118716582521e-13,1.0335223852924278e-16,1.5778381762986402e-25,6.3087046332663943e-36,1.0335225495285589e-16,8.1242606256522059e-24,7.9087110641872232e-27,5.2274743326682289e-30,3.1293136602988955e-48,2.9889621099910471e-64,7.5834283804991405e-69,1.4989440193607171e-39,1.302827039774609e-56
2.7657197223565033e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,3.3106372478825312e-72,3.8840087590718658e-40,7.9150733424910516e-29,2.0748985543655447e-50,1.2716189691545762e-37,3.6990755928090147e-87,2.8123413970735785e-18,5.966897663142136e-80,2.8123401604010197e-18,8.4419856193439433e-54,1.2146120826572398e-44,8.6306370090126841e-72,5.2150299786765859e-73,3.1854434600731129e-34,1.0797076824148835e-62,1.1153339763030628e-11,5.362624879657142e-13,2.0670450428690925e-16,6.3113447962822242e-25,5.0469387620636523e-35,2.0670457001304902e-16,3.2465452290864518e-23,6.3170560044069082e-26,8.350982021771624e-29,1.9995728777370745e-46,7.6396132678108678e-62,1.9382726597673736e-66,1.1991765635513672e-38,4.1690384421377979e-55
5.531440030845545e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,1.6897635233504281e-69,6.2143513490272973e-39,3.1661477995569441e-28,2.6476032445746495e-48,1.0172951222520637e-36,1.888048538058066e-84,5.6246858617675451e-18,3.8188159937429026e-78,5.6246809150772113e-18,1.3507176638535638e-52,1.9433737153609145e-43,2.2025790515894365e-69,1.3309000725139837e-70,2.5483477671878679e-33,3.4550645400502657e-61,2.2306681861044497e-11,1.072525089521103e-12,4.1340898606829322e-16,2.5245303876209849e-24,4.0375088527482062e-34,4.1340924922585207e-16,1.2960971255093222e-22,5.0378359153104925e-25,1.3320885864448334e-27,1.275727838272711e-44,1.9496564691355268e-59,4.9464987367372028e-64,9.5937478607657973e-38,1.3340859531870273e-53
1.106288064782363e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,8.5981037977619932e-67,9.9427586704889887e-38,1.2665530767308007e-27,3.3680026678747299e-46,8.1383571105715029e-36,9.6072827159895139e-82,1.1249382205974483e-17,2.4440440615956674e-76,1.1249362419217006e-17,2.1611472906302656e-51,3.1093783838627441e-42,5.6038474592920977e-67,3.3861034466681835e-68,2.0386664453889731e-32,1.1056201708841338e-59,4.4613365970917977e-11,2.145050292454325e-12,8.2681775069536413e-16,1.0098058896321848e-23,3.2299387343901263e-33,8.2681880534739542e-16,5.164328799692364e-22,4.005146513837143e-24,2.1184658921536689e-26,8.1140370446698213e-43,4.9603124209047154e-57,1.258467573939932e-61,7.6755299188595127e-37,4.2690321936076742e-52
2.2125761881779797e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,4.3482486835610532e-64,1.5907760372133144e-36,5.0669552783008024e-27,4.258242575012403e-44,6.5106782932336728e-35,4.8588595233213853e-79,2.2498804553635797e-17,1.5641892745565342e-74,2.2498725406646266e-17,3.4578318690890231e-50,4.9749421564739512e-41,1.4170489099538983e-64,8.5624628898460211e-66,1.6309141004339861e-31,3.5379807361034079e-58,8.9226733846047949e-11,4.2901006976105447e-12,1.6536344842074965e-15,4.039172954583829e-23,2.5838412770630082e-32,1.6536387189385768e-15,2.0498562135322013e-21,3.1644674804218676e-23,3.3489380079561529e-25,5.1291312020470904e-41,1.2542954215096645e-54,3.1821339759558827e-59,6.1412648404726394e-36,1.3660626752994537e-50
4.425152434969213e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,2.1725100402543478e-61,2.545032370047168e-35,2.0273637495919505e-26,5.3190044998202533e-42,5.2085303193326227e-34,2.4278721530542877e-76,4.4997767885719652e-17,1.0010823622087438e-72,4.4997451298103469e-17,5.5325182940239484e-49,7.9597042250716392e-40,3.540265775643513e-62,2.1391912757253915e-63,1.3047007012673669e-30,1.1321512804764266e-56,1.7845346821783985e-10,8.5802015050820953e-12,3.3072647682699649e-15,1.6156286038204296e-22,2.0668973585498419e-31,3.3072818353694106e-15,8.0751189061442367e-21,2.4698340823601263e-22,5.2318183883832794e-24,3.2031081149415224e-39,3.1335411656871633e-52,7.9492359760236369e-57,4.914329330463414e-35,4.3712233086110274e-49
6.637728681760446e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,1.8427755359663713e-60,9.3670991788128411e-35,4.308987284704531e-26,3.4505053963056516e-41,1.5462803467733162e-33,2.0506364491912703e-75,6.7496849854335848e-17,5.6838441047427867e-72,6.7496177106159551e-17,2.0930617226753076e-48,3.0346025494726435e-39,2.6414493014229532e-61,1.5960849472788494e-62,3.7305783361163259e-30,5.2814559314518848e-56,2.6768020121116376e-10,1.2870302309712756e-11,4.9608918693768761e-15,3.4331511915069117e-22,5.9097461087557964e-31,4.9609283242616714e-15,1.6980247967672009e-20,6.9628666850157583e-22,1.9037043231816784e-23,1.7717701625307615e-38,2.3379635428900921e-51,5.9597388624264099e-56,1.4054040146500091e-34,2.0515399319516743e-48
1.1062881175342914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627323993,0.11866996558382328,0.022821567682329034,3.0226771900194416e-58,7.2061993040807864e-34,1.1918843658695709e-25,1.4867224696643294e-39,7.24306907450768e-33,2.7548615924197006e-73,1.1249548833587199e-16,1.5279798753695165e-70,1.1249362838866625e-16,1.6518581964672653e-47,2.4953406748675538e-38,1.997583810103635e-59,1.2070309918340612e-60,1.7143654064883886e-29,7.0774631054762041e-55,4.4613366168393997e-10,2.145050390761056e-11,8.2681333398184096e-15,9.4912283134545415e-22,2.7154990943492393e-30,8.2682354459281679e-15,4.571407834605062e-20,3.0681751770388568e-21,1.407019384655587e-22,4.4079201274914767e-37,1.7679630120932215e-49,5.507312180377501e-54,6.4615697442651095e-34,2.8601400931058843e-47
1.5032840032893276e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756256459891,0.11866996542372345,0.022821567678480235,1.9429753786234016e-57,1.9765447308483563e-33,2.1192660512709795e-25,6.9220095011193253e-39,1.6667304030555486e-32,1.4979799830781696e-72,1.5286571938069226e-16,6.5940947722581775e-70,1.52862413274741e-16,4.6170909872552892e-47,7.2495733386198827e-38,1.0145134202286459e-58,6.1301487368669191e-60,3.8479969566515689e-29,2.3363892081612527e-54,6.0623048942296811e-10,2.9148102429286046e-11,1.1235164956652208e-14,1.6870436132385306e-21,6.0947431706381963e-30,1.1235347985826714e-14,7.9854046162153179e-20,6.728860605437768e-21,3.7895625456390955e-22,1.8438910463936657e-36,8.9788642149700316e-49,3.3357187130335049e-53,1.4507160850953288e-33,9.752882801566723e-47
1.900279889044364e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756239679853,0.11866996526362361,0.022821567674631435,8.4410870752072077e-57,4.4463342847039801e-33,3.3063286041790249e-25,2.3950600316138996e-38,3.2053316123167635e-32,6.8492615804787786e-72,1.9323635425294241e-16,1.9940370957130572e-69,1.9323119787692274e-16,1.0558390368494971e-46,1.656571790433454e-37,4.056989861354456e-58,2.4514166173675214e-59,7.2648214282615166e-29,6.2712890904407575e-54,7.6632731246977063e-10,3.6845700941291354e-11,1.420218573901145e-14,2.6311264448346825e-21,1.1505848826319893e-29,1.420247359506975e-14,1.2239477849735227e-19,1.2400087918233576e-20,8.3541025240178208e-22,5.4342023971384313e-36,3.5905257172776359e-48,1.2407123869565632e-52,2.7396119528527277e-33,2.6311761645322663e-46
