Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(49),CO2X(24),CH4OX(57),COX(47),CH3OO(75),SX(187),CH3OX(55),DME(215),DMEX(217),CH3OX(56),CH2OX(181),CHOX(183),C2H5X(48),C3H8X(54),C2H6O(121),SX(246)
8.508463872005327e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.057772616367930872,0.097781797878438548,0.032375200020915179,0.00012253456706034995,0.00055053816936748937,6.4631935043751485e-14,6.6108013187552089e-06,0.0002753425272005402,1.3707279829570266e-24,7.17616703285052e-06,3.9936275251303352e-08,5.9166077731638336e-13,8.9980003589388599e-10,0.000375789236446157,5.3992142731237452e-19,3.684708981809027e-21,3.5064761172557336e-12,1.2238272474968748e-11,0.001082559667840789,0.13400501272628323,4.0555747479820743e-06,2.445716917886022e-07,3.4351140717716733e-10,1.5955125239612808e-05,2.6850258379968754e-12,1.0455408575175335e-10,1.8779406503924077e-10,2.1809506360229743e-10,3.872388808196826e-07,8.7511887440036181e-10,1.4420511981106018e-05,2.5222303658907405e-09,5.9552154816584655e-06,4.0267877019294885e-08,2.9872474673155618e-07,2.346392710215909e-05,2.8214348717042084e-11,1.272978164283448e-10,1.3027840148853073e-12,1.5500311982867087e-07,1.7500263566846905e-10,3.3608694323775794e-11,4.6408936707343551e-08,2.1372215992200898e-13
8.55217530721211e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.057638665071823386,0.097779234745068291,0.032303996173656854,0.00012314866393804889,0.00055280813254114235,6.5067411736416044e-14,6.6082023756555615e-06,0.00027629595226646677,1.390476588264715e-24,7.1837710277661487e-06,4.0137806991416955e-08,5.946473366783892e-13,9.0213569235661056e-10,0.00037808150987636335,5.4262279110461019e-19,3.73093517326877e-21,3.5183468231308316e-12,1.2351811420468542e-11,0.0010800174339457679,0.13414142878680366,4.0485634486970531e-06,2.449009145529879e-07,3.4277345201155411e-10,1.5982678715260074e-05,2.6804689029641924e-12,1.0432991174295356e-10,1.8735646457012515e-10,2.1750700901259505e-10,3.8767909417643118e-07,8.7452862588765191e-10,1.4475499071691548e-05,2.5153924876051046e-09,5.9562169271914023e-06,4.0274731162629934e-08,2.9860642061720653e-07,2.3581378890525166e-05,2.8289834307777619e-11,1.2739840258907917e-10,1.304634913219005e-12,1.5629459588701759e-07,1.7492796966592009e-10,3.3700011946678385e-11,4.6708605935969939e-08,2.1460346162942754e-13
8.595886742418893e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.057505656533806369,0.09777666269546971,0.032233276427948127,0.00012376193061361103,0.00055507311293230012,6.5504654125754608e-14,6.605630697498837e-06,0.00027724609634629361,1.4103748963604589e-24,7.1913283146861137e-06,4.0338905729274133e-08,5.9762796843118951e-13,9.0445705459737481e-10,0.00038037307082230916,5.4531832385102589e-19,3.7774408680227839e-21,3.530178922584967e-12,1.2465675191458686e-11,0.0010774929517532259,0.13427688468506768,4.0415898250909589e-06,2.4522790769972895e-07,3.4204039763466464e-10,1.6010052535966311e-05,2.6759359576545243e-12,1.0410726752487316e-10,1.8692201797109479e-10,2.1692374130084442e-10,3.8811485591264241e-07,8.739405227606448e-10,1.4530285861168466e-05,2.5086106975939433e-09,5.9571774229509621e-06,4.0281307161722793e-08,2.9848740463001424e-07,2.3698581283161937e-05,2.8364831506099743e-11,1.2749762938437423e-10,1.3064748717900153e-12,1.5758839555990445e-07,1.7485248452932987e-10,3.3790734068915943e-11,4.7008178549748209e-08,2.154814536198753e-13
8.639598177625676e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.057373579906999081,0.097774081890541126,0.032163035245590076,0.00012437437056707235,0.00055733313932294969,6.5943658221977651e-14,6.6030858293121347e-06,0.00027819298264456052,1.4304228877769107e-24,7.1988394202773337e-06,4.0539572690878996e-08,6.0060269470392022e-13,9.0676426152609015e-10,0.0003826639077197121,5.4800804976904417e-19,3.8242257527041149e-21,3.5419727086034103e-12,1.2579861963409815e-11,0.0010749860181656992,0.13441139146802666,4.0346535535078183e-06,2.4555269612494907e-07,3.4131219062302775e-10,1.603724864434928e-05,2.6714268018168059e-12,1.0388613551979398e-10,1.8649068733852872e-10,2.1634519570495365e-10,3.8854622232420501e-07,8.7335455790516834e-10,1.4584873671127006e-05,2.5018842303986833e-09,5.9580976910197858e-06,4.0287609922032812e-08,2.9836772090302879e-07,2.3815535262727013e-05,2.843934507937146e-11,1.2759551575899167e-10,1.3083040532457141e-12,1.588844979746593e-07,1.7477619986683151e-10,3.3880866114727462e-11,4.7307652263502392e-08,2.1635615515000572e-13
8.683309612832459e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.057242424518093069,0.097771492488218578,0.032093267176817653,0.00012498598725643799,0.00055958824024690361,6.6384420048664479e-14,6.6005673258916706e-06,0.00027913663412519694,1.4506205407207369e-24,7.2063048625419961e-06,4.073980911092336e-08,6.0357153764574969e-13,9.0905745030400208e-10,0.00038495400925972099,5.5069199302163912e-19,3.8712895134043264e-21,3.5537284708761015e-12,1.2694369928423374e-11,0.0010724964333204993,0.13454496000586194,4.0277543138720937e-06,2.4587530434417113e-07,3.4058877837185239e-10,1.6064268954632702e-05,2.6669412373081921e-12,1.0366649843787755e-10,1.8606243540748444e-10,2.1577130868501585e-10,3.8897324880533373e-07,8.7277072413049814e-10,1.4639263812421762e-05,2.495212335140714e-09,5.9589784383435921e-06,4.0293644246165035e-08,2.9824739098410656e-07,2.3932241811162877e-05,2.8513379735081508e-11,1.2769208034222262e-10,1.3101226174347707e-12,1.6018288249281348e-07,1.7469913486570139e-10,3.3970413446965072e-11,4.7607024841212585e-08,2.1722758537604149e-13
8.727021048039242e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.057112179863799718,0.097768894643540688,0.032023966858491633,0.00012559678411783905,0.00056183844399233438,6.6826935642832169e-14,6.5980747515455222e-06,0.0002800770735146869,1.4709678311207121e-24,7.2137251510003578e-06,4.0939616232311866e-08,6.0653451942069234e-13,9.113367563694947e-10,0.00038724336438355632,5.5337017771456575e-19,3.9186318357068839e-21,3.5654464958450301e-12,1.2809197295035747e-11,0.0010700240005237717,0.13467760099560291,4.020891789646512e-06,2.4619575649969288e-07,3.3987010907867637e-10,1.6091115353169232e-05,2.6624790680720991e-12,1.0344833926943132e-10,1.8563722553786841e-10,2.1520201789380793e-10,3.8939598986625857e-07,8.7218901417335635e-10,1.4693457585244342e-05,2.4885942751662332e-09,5.9598203571047917e-06,4.0299414836409171e-08,2.9812643585258929e-07,2.4048701909516655e-05,2.858694012171456e-11,1.2778734145416888e-10,1.3119307214639867e-12,1.6148352870688997e-07,1.7462130830242529e-10,3.4059381367871124e-11,4.7906294095011871e-08,2.1809576335297152e-13
8.770732483246025e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.056982835607386255,0.097766288508711788,0.031955129012335472,0.0001262067645656885,0.00056408377860428581,6.7271201054998276e-14,6.5956076798442204e-06,0.00028101432330518531,1.4914647326748659e-24,7.2211007868689028e-06,4.1138995305702565e-08,6.0949166220262999e-13,9.1360231346349299e-10,0.00038953196227727732,5.5604262789367773e-19,3.9662524047196437e-21,3.5771270667508134e-12,1.2924342288025065e-11,0.0010675685261861937,0.13480932496465475,4.0140656677901313e-06,2.4651407636781714e-07,3.391561317276935e-10,1.6117789698951903e-05,2.6580401001162608e-12,1.032316412798941e-10,1.852150217009437e-10,2.1463726214811677e-10,3.89814499150508e-07,8.7160942070201883e-10,1.4747456279196817e-05,2.4820293277015427e-09,5.960624125085565e-06,4.0304926297206853e-08,2.9800487593545937e-07,2.4164916537767754e-05,2.8660030829608639e-11,1.2788131711187854e-10,1.3137285197539376e-12,1.6278641643724427e-07,1.7454273855249005e-10,3.4147775119846213e-11,4.820545788420621e-08,2.1896070803381606e-13
8.814443918452808e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.056854381575297493,0.097763674233163483,0.031886748443215818,0.00012681593199283744,0.00056632427188716577,6.7717212349236887e-14,6.5931656933789649e-06,0.00028194840575758895,1.5121112168966978e-24,7.2284322632340123e-06,4.1337947589062805e-08,6.1244298817053255e-13,9.1585425365446989e-10,0.00039181979236667164,5.5870936754233097e-19,4.0141509051064195e-21,3.5887704636784958e-12,1.3039803148220549e-11,0.0010651298197602531,0.13494014227423859,4.0072756387168225e-06,2.4683028736587406e-07,3.3844679607405721e-10,1.6144293824114219e-05,2.6536241414908857e-12,1.0301638800526938e-10,1.8479578846623293e-10,2.1407698140094833e-10,3.90228829451787e-07,8.7103193631992877e-10,1.4801261173365916e-05,2.4755167835184325e-09,5.9613904060207298e-06,4.0310183137549552e-08,2.9788273112298688e-07,2.428088667466312e-05,2.8732656391799854e-11,1.2797402503533844e-10,1.3155161640931584e-12,1.6409152572895527e-07,1.7446344359991071e-10,3.4235599886208242e-11,4.850451411431652e-08,2.1982243826895496e-13
8.85815535365959e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.056726807753861068,0.097761051963614412,0.031818820037465535,0.00012742428977072996,0.00056855995140721327,6.816496560322981e-14,6.5907483835271545e-06,0.00028287934290456107,1.5329072531604734e-24,7.2357200652212419e-06,4.1536474347239788e-08,6.1538851950387205e-13,9.1809270736306335e-10,0.00039410684431226488,5.6137042057887228e-19,4.0623270211176887e-21,3.6003769636025864e-12,1.3155578132314468e-11,0.0010627076936790762,0.13507006312274725,4.000521396253889e-06,2.4714441255913406e-07,3.3774205262915526e-10,1.6170629534419317e-05,2.6492310022667723e-12,1.0280256324411579e-10,1.843794909887144e-10,2.1352111671447374e-10,3.9063903273046929e-07,8.7045655356966293e-10,1.4854873536397848e-05,2.4690559466092954e-09,5.9621198499407008e-06,4.0315189773309302e-08,2.9776002078388956e-07,2.4396613297559728e-05,2.8804821284854654e-11,1.2806548265332924e-10,1.3172938036911922e-12,1.653988368487659e-07,1.7438344104649857e-10,3.432286079194281e-11,4.8803460736142151e-08,2.206809728055191e-13
8.901866788866374e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.056600104286073462,0.097758421844128751,0.031751338761247694,0.0001280318412495574,0.0005707908444949494,6.8614456908310933e-14,6.5883553502250697e-06,0.00028380715655351035,1.5538528087456306e-24,7.242964670160378e-06,4.1734576851545211e-08,6.1832827837822275e-13,9.2031780338630962e-10,0.00039639310800444668,5.64025810854218e-19,4.1107804366204303e-21,3.6119468404313338e-12,1.3271665512676544e-11,0.0010603019632967497,0.1351990975490181,3.9938026376012951e-06,2.4745647466748403e-07,3.3704185264536695e-10,1.6196798609738448e-05,2.6448604945136656e-12,1.0259015105239643e-10,1.8396609499641483e-10,2.1296961023385015e-10,3.9104516012970919e-07,8.698832649360648e-10,1.4908294626573737e-05,2.4626461338717089e-09,5.9628130935048908e-06,4.0319950529504214e-08,2.9763676378001858e-07,2.4512097382274142e-05,2.8876529929689724e-11,1.2815570710914473e-10,1.3190615852303107e-12,1.6670833028207377e-07,1.7430274812088187e-10,3.4409562904444439e-11,4.9102295744845486e-08,2.2153633028683922e-13
8.945578224073157e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.056474261468464744,0.097755784016173075,0.031684299658959705,0.00012863858975841253,0.0005730169782476002,6.9065682369506712e-14,6.585986201747324e-06,0.00028473186828952652,1.5749478488803011e-24,7.2501665477463558e-06,4.1932256379353655e-08,6.2126228696103915e-13,9.2252966892149348e-10,0.0003986785735587101,5.6667556214951515e-19,4.1595108351271265e-21,3.623480365050279e-12,1.3388063577170928e-11,0.001057912446830094,0.13532725543552593,3.9871190632908369e-06,2.4776649607205884e-07,3.36346148102479e-10,1.6222802804518875e-05,2.6405124322784521e-12,1.0237913574135483e-10,1.8355556677823788e-10,2.1242240516165287e-10,3.9144726199118455e-07,8.6931206285025351e-10,1.496152569188555e-05,2.4562866748020373e-09,5.9634707603258074e-06,4.0324469642501005e-08,2.9751297848059064e-07,2.4627339902938735e-05,2.8947786692379521e-11,1.2824471526618098e-10,1.3208196529160401e-12,1.6801998672996841e-07,1.7422138168728104e-10,3.4495711234249003e-11,4.9401017179057156e-08,2.2238852925195281e-13
8.98928965927994e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.056349269748039534,0.097753138618671923,0.031617697851676278,0.000129244538605442,0.0005752383795315022,6.9518638105569906e-14,6.5836405544931031e-06,0.00028565349947827083,1.5961923367839744e-24,7.2573261601961931e-06,4.2129514213714325e-08,6.2419056740760765e-13,9.2472842958962754e-10,0.00040096323131100128,5.6931969817389033e-19,4.2085178998239602e-21,3.6349778053650594e-12,1.3504770628975558e-11,0.001055538965301856,0.13545454651149863,3.9804703771462545e-06,2.4807449882155984e-07,3.3565489169249311e-10,1.6248643848241849e-05,2.6361866315638215e-12,1.0216950186846485e-10,1.8314787317223701e-10,2.11879445733247e-10,3.9184538787048131e-07,8.6874293969206962e-10,1.5014567970112476e-05,2.4499769111979684e-09,5.9640934612841695e-06,4.032875126215636e-08,2.9738868277597633e-07,2.4742341831864468e-05,2.9018595884951805e-11,1.2833252371339618e-10,1.3225681485266437e-12,1.6933378710631668e-07,1.7413935825405388e-10,3.4581310735757333e-11,4.969962312000112e-08,2.2323758813516458e-13
9.033001094486723e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.056225119719292123,0.097750485788061697,0.031551528535630029,0.00012984969107799902,0.00057745507498448243,6.9973320249010457e-14,6.5813180327785979e-06,0.00028657207126882447,1.6175862337093151e-24,7.2644439624020267e-06,4.2326351642975511e-08,6.2711314185716462e-13,9.2691420945855921e-10,0.00040324707181317674,5.7195824256228291e-19,4.2578013135982094e-21,3.6464394263435251e-12,1.3621784986403991e-11,0.0010531813424852707,0.13558098035595659,3.9738562862428166e-06,2.483805046386661e-07,3.3496803680770388e-10,1.6274323445870301e-05,2.6318829103064696e-12,1.0196123423162562e-10,1.827429815539964e-10,2.1134067719254303e-10,3.9223958655212758e-07,8.6817588779451893e-10,1.5067422688897686e-05,2.4437161968693616e-09,5.9646817948353071e-06,4.0332799453899122e-08,2.9726389409106721e-07,2.4857104139409836e-05,2.9088961766171045e-11,1.2841914877064805e-10,1.324307211461079e-12,1.7064971253489455e-07,1.7405669398200694e-10,3.4666366307949898e-11,4.9998111690639247e-08,2.2408352526565789e-13
9.076712529693506e-06,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.056101802121293662,0.097747825658343543,0.031485786980728653,0.00013045405044279478,0.00057966709101821951,7.0429724946119262e-14,6.5790182686359496e-06,0.00028748760459649327,1.6391294989831563e-24,7.2715204020803841e-06,4.2522769960421554e-08,6.3003003242917334e-13,9.2908713106571497e-10,0.00040553008582856515,5.7459121887336112e-19,4.3073607590648632e-21,3.6578654900571265e-12,1.3739104982729599e-11,0.0010508394048499507,0.13570656640067932,3.9672765008686094e-06,2.4868453492594514e-07,3.3428553752463821e-10,1.6299843278287417e-05,2.6276010883562649e-12,1.01754317869776e-10,1.8234085982558467e-10,2.1080604576890797e-10,3.9262990606428648e-07,8.6761089944492535e-10,1.5120091065825448e-05,2.4375038973576074e-09,5.9652363473071137e-06,4.0336618200754991e-08,2.9713862939822632e-07,2.497162779385588e-05,2.9158888542310108e-11,1.2850460649390658e-10,1.3260369787866728e-12,1.7196774434656381e-07,1.7397340469249492e-10,3.4750882795092824e-11,5.0296481054834935e-08,2.2492635886715657e-13
