Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),C2H6X(52)
5.533546735464129e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679725313,0.118669966027249,0.022821567693014803,0.0,2.7012567243647657e-52,1.5251016729178176e-24,0.0,7.1167318247813755e-37,0.0,4.8837938195623421e-14,6.7796744263012818e-72,4.8837938121994741e-14,4.8085779953990919e-49,7.6392189760966698e-64,0.0,0.0,1.5103471885351507e-41,1.0225011225115708e-56,2.6671738735133343e-12,7.8970277962098923e-14,3.1614451540545569e-16,3.1614442634172439e-16,1.7129348545539256e-25,5.5255393215605752e-35,7.5669751451001979e-64,9.1562408298463537e-24,4.958596234657617e-28,1.2326630971210777e-31,6.2311161444984147e-48
1.1067098161777924e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679450633,0.11866996602453267,0.022821567692975317,0.0,4.322014193687793e-51,6.1004105702921989e-24,0.0,5.6933910404504842e-36,0.0,9.7675917928619507e-14,4.3389980495393239e-70,9.7675917634104763e-14,7.6937327163873522e-48,2.4445530192185602e-62,0.0,0.0,1.2082786470567083e-40,3.2720068368383891e-55,5.3343500068257803e-12,1.5794062286655064e-13,6.3228932292405493e-16,6.3228896666698798e-16,6.851740154613695e-25,4.420434728816296e-34,4.8428687602476022e-62,3.6622995225633429e-23,3.9656951668480989e-27,1.9695355786784214e-30,9.9697962806062226e-47
2.213420101440551e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678901278,0.11866996601910001,0.022821567692896345,0.0,6.9152254573676364e-50,2.4401650038913415e-23,0.0,4.5547150044754777e-35,0.0,1.9535187780532498e-13,2.776960686024988e-68,1.9535187662726603e-13,1.2309978136045637e-46,7.8225743885538426e-61,0.0,0.0,9.6662327612716082e-40,1.0470425447583749e-53,1.0668702269868331e-11,3.1588131266983205e-13,1.2645790103151282e-15,1.2645775852707954e-15,2.7406940372339929e-24,3.5363490829504529e-33,3.0994368080679579e-60,1.4647609884765658e-22,3.1706630991729992e-26,3.1477128451396818e-29,1.5951682132580713e-45
4.4268406719660684e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677802568,0.11866996600823469,0.022821567692738406,0.0,1.1064362928814502e-48,9.7606615675148178e-23,0.0,3.6437727762090269e-34,0.0,3.9070379920158544e-13,1.7772553056827797e-66,3.9070379448935347e-13,1.9695967892170783e-45,2.5032245683873991e-59,0.0,0.0,7.7329876427912215e-39,3.3505356763100178e-52,2.1337406781624089e-11,6.317626922489514e-13,2.5291586745943449e-15,2.5291529742942586e-15,1.0962754724642418e-23,2.8290797723510921e-32,1.9836389278180911e-58,5.8577709814986067e-22,2.5335047195477898e-25,5.0291486518182717e-28,2.552269699607403e-44
8.853681813017104e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675605142,0.11866996598650405,0.022821567692422523,0.0,1.7702982440647626e-47,3.9042649377096716e-22,0.0,2.9150183760714275e-33,0.0,7.8140764856549348e-13,1.137443357666585e-64,7.8140762971658783e-13,3.1513545303516617e-44,8.0103199335415683e-58,0.0,0.0,6.1863906874806626e-38,1.0721706773495981e-50,4.2674815747818184e-11,1.2635254512577709e-12,5.0583191618105216e-15,5.0582963596263908e-15,4.3850837050379888e-23,2.2632639979251033e-31,1.2695275785547637e-56,2.3420900736206172e-21,2.0219763722230549e-24,8.0269906199500807e-27,4.0836316835460909e-43
1.7707364095119174e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727671210297,0.11866996594304276,0.022821567691790761,0.0,2.8324773298796731e-46,1.5617060374724873e-21,0.0,2.3320145165855293e-32,0.0,1.5628153735786926e-12,7.2796348968643542e-63,1.562815298183294e-12,5.04216518311436e-43,2.563302627976144e-56,0.0,0.0,4.949112778859857e-37,3.4309407331011754e-49,8.5349633450936706e-11,2.5270509683605758e-12,1.0116644776249951e-14,1.0116553559606034e-14,1.7540187252368258e-22,1.8106112345902785e-30,8.1249577166256832e-55,9.3602224966144704e-21,1.6099027296969757e-23,1.278330941907497e-25,6.5338099208870479e-42
3.5414728659323312e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727662420606,0.11866996585612019,0.022821567690527237,0.0,4.5319638361010012e-45,6.2468242765743521e-21,0.0,1.8656111454663579e-31,0.0,3.1256309287453979e-12,4.6589623571026451e-61,3.1256306271656588e-12,8.067456882161721e-42,8.2025690770347497e-55,0.0,0.0,3.9592903139161982e-36,1.0978974438870613e-47,1.7069926794009512e-10,5.0541019963695883e-12,2.0233314608638607e-14,2.0232949678223332e-14,7.015956431333687e-22,1.4484889449286845e-29,5.1999483501683082e-53,3.73759428842509e-20,1.2757810359134999e-22,2.0265995840129929e-24,1.045409236202875e-40
7.08294577877316e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727644841223,0.11866996568227506,0.022821567688000186,0.0,7.2511422138349268e-44,2.4987297373730782e-20,0.0,1.4924880987279202e-30,0.0,6.2512624596302455e-12,2.9817306074891796e-59,6.2512612533261947e-12,1.2907906655971573e-40,2.6248223835197071e-53,0.0,0.0,3.167432286172697e-35,3.5132486599141857e-46,3.4139853325009757e-10,1.0108204007303137e-11,4.0466729042712986e-14,4.0465268801261486e-14,2.8062877177005561e-21,1.1587910472057997e-28,3.3279352977291096e-51,1.4898669678162401e-19,1.0016488682283982e-21,3.184154187836646e-23,1.6726535712289156e-39
1.0624418691613989e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727627261841,0.11866996550842993,0.022821567685473134,0.0,2.6689018602233865e-43,5.3098007089450688e-20,0.0,4.4308226440694002e-30,0.0,9.3768944110564189e-12,1.692937284313445e-58,9.3768918476825371e-12,4.8833189276904395e-40,1.2279503714809252e-52,0.0,0.0,9.0568767159997307e-35,1.6389184703699467e-45,5.1209779489178567e-10,1.5162305946088089e-11,6.0700218609072697e-14,6.0697114821277571e-14,5.9632220639508472e-21,3.313417959168177e-28,1.8610045522615348e-50,3.1584029614728981e-19,2.8334762746973716e-21,1.1618205801463516e-22,6.3279860147057024e-39
1.4165891604454817e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727609682458,0.11866996533458482,0.022821567682946083,0.0,6.7689129447931501e-43,9.0578953431555944e-20,0.0,9.6545260860028435e-30,0.0,1.2502526783014441e-11,6.5106894548804686e-58,1.2502522410234689e-11,1.2711240850649882e-39,3.9614570851800041e-52,0.0,0.0,1.9103576046399336e-34,4.9905077643843779e-45,6.8279705286515951e-10,2.0216407785660326e-11,8.0933783676176211e-14,8.0928487749439522e-14,1.0172336423890435e-20,6.988957725485192e-28,6.5144030743479753e-50,5.3760230224442782e-19,5.9188704524311539e-21,2.9236120977053624e-22,1.6471705968167647e-38
2.1248837430136475e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727574523694,0.1186699649868946,0.02282156767789198,0.0,2.367121618728954e-42,1.8753221777997409e-19,0.0,2.8024091317153101e-29,0.0,1.8753792513863074e-11,4.9551396198543243e-57,1.8753783460696506e-11,4.6648390633389777e-39,2.1805715997435534e-51,0.0,0.0,5.2177791017927024e-34,2.2736812922356946e-44,1.0241955602025986e-09,3.0324611125911518e-11,1.2140109217527972e-13,1.2139012332279399e-13,2.1059774104154128e-20,1.9089009381133111e-27,3.6255640322197574e-49,1.1089634333780175e-18,1.5908398382217448e-20,1.009033284928108e-21,6.044879524368047e-38
2.8331783255818132e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727539364929,0.11866996463920436,0.022821567672837877,0.0,5.914792361900519e-42,3.1894318412986156e-19,0.0,6.1285490693339588e-29,0.0,2.500505979107596e-11,1.8710577087790358e-56,2.5005044394202974e-11,1.20962621251945e-38,6.9980359831998266e-51,0.0,0.0,1.0917339201736125e-33,6.8293568771898079e-44,1.3655940540503383e-09,4.0432813832416968e-11,1.6186868147541575e-13,1.6185001926146416e-13,3.5815935832206591e-20,3.9940589569993179e-27,1.2392827280868648e-48,1.8794932846450797e-18,3.2815205414462479e-20,2.4941091734914687e-21,1.5674816297854652e-37
3.541472908149979e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727504206164,0.11866996429151415,0.022821567667783774,0.0,1.2548876648926909e-41,4.8727311690183044e-19,0.0,1.149798512294372e-28,0.0,3.1256328725042228e-11,5.7231816206027713e-56,3.1256305202400139e-11,2.6448163040237373e-38,1.8285644881922512e-50,0.0,0.0,1.9874598799303173e-33,1.7040279503809805e-43,1.7069925334448295e-09,5.0541015674326714e-11,2.023365742382002e-13,2.0230805138049273e-13,5.4716742980364719e-20,7.2710310955060632e-27,3.4753965986707727e-48,2.8612276145127329e-18,5.8883753055353529e-20,5.2338911708602787e-21,3.4272602114135909e-37
