Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),COX(50),CHOX(53),H2OX(23),CO2X(24)
1.3082412789257506e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30537908252103307,0.095992131134276446,0.00024617586270899935,9.5275639656746324e-05,0.00024396627379101644,0.035312459338667765,0.018039094203937373,2.7034518637170323e-10,1.5774414486894215e-11,4.0694082706848669e-07,5.1707416989201131e-20,8.4561457103818607e-07,1.7406917947475648e-16,9.1085195357155987e-12,1.9690303690144007e-11,1.7946321676307003e-13,2.8575207004111857e-10,6.7444730145784532e-14,0.0045285590383161069,0.026662837837758555,9.3812884145103583e-09,0.00048295298406361297,4.8834277521153147e-12,6.3625837511326653e-08,2.2856148039218663e-07,1.2645137331739984e-07,1.4182385776734416e-05,0.00049949566813920344,1.3574138166388001e-08,7.9560399875491942e-10,1.021212328753603e-08,1.5818494576165552e-10
1.3092955161459142e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30539072358179142,0.095979378048181477,0.00024527521354887085,9.5387973513236414e-05,0.00024426392498135701,0.035338051603890953,0.018052153409593059,2.7063840556783626e-10,1.581329232713478e-11,4.0696755875675393e-07,5.1840324005064882e-20,8.459231741095668e-07,1.7431704450860664e-16,9.1170229791734505e-12,1.9711754385018428e-11,1.7975147067703533e-13,2.8574250818017344e-10,6.7609027542207053e-14,0.0045281296746990541,0.026651046855292133,9.3759287342468187e-09,0.00048314025666826597,4.8876240393570625e-12,6.3672214105397816e-08,2.2864820717634305e-07,1.2643964388965524e-07,1.4193129568525877e-05,0.00049987679699022383,1.3584482840672222e-08,7.9648508400142491e-10,1.0224910193928081e-08,1.5823149223600845e-10
1.3103497533660778e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30540236394648868,0.095966631739745373,0.00024437779118072309,9.5500254319538306e-05,0.00024456147461794924,0.035363630124588971,0.018065205631308992,2.7093159688044637e-10,1.5852226322898225e-11,4.0699418626173817e-07,5.1973428030245818e-20,8.4623151695400783e-07,1.7456497010262295e-16,9.1255203289006234e-12,1.9733201785895801e-11,1.8003988972722085e-13,2.8573280325585989e-10,6.7773558420713797e-14,0.0045277005751447851,0.026639256615633922,9.370571072596215e-09,0.00048332739116228586,4.891822469276032e-12,6.3718608131819394e-08,2.2873500687109018e-07,1.2642783968087494e-07,1.4203868645182557e-05,0.00050025775784765479,1.359482297746068e-08,7.9736607873520447e-10,1.0237693748572605e-08,1.5827788295124499e-10
1.3114039905862415e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30541400359446286,0.095953892207090621,0.00024348358430040107,9.5612481917199945e-05,0.0002448589223660886,0.035389194905483805,0.018078250871476277,2.7122476021152779e-10,1.5891216485462906e-11,4.0702070986370211e-07,5.210672909881146e-20,8.4653959988695693e-07,1.7481295607562615e-16,9.1340115824447643e-12,1.9754645881249705e-11,1.8032847374683862e-13,2.8572295568489433e-10,6.7938322837239508e-14,0.0045272717392976962,0.026627467139652295,9.3652154356897587e-09,0.00048351438768622095,4.8960230437814457e-12,6.3765019612329837e-08,2.2882187946848666e-07,1.2641596089532542e-07,1.4214603006963067e-05,0.00050063855071968099,1.3605158576975242e-08,7.9824698245241526e-10,1.0250473936406844e-08,1.583241181315526e-10
1.3124582278064051e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30542564250513815,0.09594115944833044,0.00024259258164252413,9.5724656148230428e-05,0.00024515626789219617,0.035414745951312311,0.018091289132493648,2.7151789546345445e-10,1.593026282604646e-11,4.0704712984212852e-07,5.2240227244645386e-20,8.4684742322334582e-07,1.7506100224678891e-16,9.142496737382155e-12,1.9776086659589117e-11,1.8061722256922486e-13,2.8571296588289657e-10,6.8103320847547389e-14,0.004526843166803185,0.026615678448128399,9.3598618296130557e-09,0.00048370124638041293,4.9002257647889214e-12,6.3811448569272896e-08,2.2890882496247658e-07,1.2640400773823516e-07,1.4225332654113548e-05,0.000501019175614753,1.361548963942103e-08,7.9912779464185883e-10,1.0263250742414385e-08,1.5837019800425806e-10
1.3135124650265687e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30543728065802472,0.095928433461569124,0.00024170477198035513,9.5836776855099111e-05,0.00024545351086381688,0.035440283266826106,0.018104320416767402,2.7181100253897891e-10,1.5969365355805882e-11,4.0707344647572183e-07,5.237392250144756e-20,8.4715498727759165e-07,1.7530910843563555e-16,9.1509757913176181e-12,1.9797524109458372e-11,1.8090613602784007e-13,2.8570283426439208e-10,6.8268552507229299e-14,0.0045264148573076445,0.026603890561756483,9.3545102604228466e-09,0.00048388796738500122,4.9044306342564692e-12,6.3857895025230112e-08,2.2899584334781323e-07,1.2639198041359329e-07,1.4236057586894885e-05,0.00050139963254158836,1.3625816165022946e-08,8.0000851479805421e-10,1.0276024151621544e-08,1.5841612279478078e-10
1.3145667022467324e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30544891803271795,0.095915714244902028,0.00024082014412566915,9.5948843880735334e-05,0.00024575065094961668,0.035465806856791557,0.018117344726711355,2.7210408134123143e-10,1.600852408583762e-11,4.0709966004241123e-07,5.2507814902734797e-20,8.4746229236359709e-07,1.755572744620411e-16,9.1594487418844056e-12,1.981895821943705e-11,1.8119521395626885e-13,2.8569256124281499e-10,6.8434017871706227e-14,0.0045259868104584591,0.026592103501144194,9.3491607341489388e-09,0.00048407455083992459,4.9086376540804055e-12,6.3904359001677979e-08,2.2908293461627599e-07,1.2637987912397379e-07,1.4246777805592334e-05,0.0005017799215091685,1.3636138154030187e-08,8.0088914242323151e-10,1.0288794149097017e-08,1.5846189272615787e-10
1.315620939466896e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30546055460889876,0.095903001796415463,0.00023993868692862315,9.6060857068527638e-05,0.0002460476878193805,0.035491316725989604,0.018130362064746802,2.7239713177371826e-10,1.6047739027177651e-11,4.0712577081935263e-07,5.2641904481841201e-20,8.4776933879475334e-07,1.7580550014623094e-16,9.1679155867441006e-12,1.984038897813985e-11,1.814844561882202e-13,2.8568214723051091e-10,6.8599716996228412e-14,0.0045255590259040031,0.026580317286812885,9.3438132567723907e-09,0.00048426099688491666,4.9128468261504727e-12,6.395084052070153e-08,2.2917009876148213e-07,1.2636770407339805e-07,1.4257493310472952e-05,0.00050216004252673981,1.3646455606666932e-08,8.0176967700934135e-10,1.0301560719956378e-08,1.5850750802569077e-10
1.3166751766870596e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30547219036633289,0.09589029611418691,0.0002390603892776256,9.6172816262323155e-05,0.00024634462114401053,0.035516812879215758,0.018143372433302503,2.726901537403207e-10,1.6087010190801563e-11,4.071517790829307e-07,5.2776191271918616e-20,8.4807612688393879e-07,1.7605378530878035e-16,9.1763763235864925e-12,1.9861816374216594e-11,1.8177386255752755e-13,2.8567159263873858e-10,6.8765649935875864e-14,0.0045251315032936298,0.026568531939197924,9.338467834245045e-09,0.00048444730565950909,4.9170581524402666e-12,6.3997339605124996e-08,2.2925733577916755e-07,1.2635545546473196e-07,1.4268204101815177e-05,0.00050253999560381042,1.3656768523175262e-08,8.0265011805325817e-10,1.031432384935787e-08,1.5855296891898157e-10
1.3177294139072232e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30548382528487067,0.095877597196284983,0.00023818524009920739,9.6284721306427119e-05,0.00024664145059552338,0.035542295321279976,0.018156375834814602,2.7298314714529372e-10,1.6126337587624608e-11,4.0717768510876114e-07,5.2910675305936959e-20,8.4838265694352321e-07,1.7630212977061358e-16,9.1848309501295082e-12,1.9883240396352101e-11,1.8206343289814881e-13,2.8566089787767329e-10,6.8931816745558655e-14,0.0045247042422776771,0.026556747478648977,9.3331244724972736e-09,0.00048463347730303606,4.9212716348377606e-12,6.4043856276190254e-08,2.2934464566093637e-07,1.2634313349876544e-07,1.4278910179931757e-05,0.00050291978075015138,1.3667076903833195e-08,8.0353046506387894e-10,1.032708352250082e-08,1.5859827562766909e-10
1.3187836511273869e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30549545934444677,0.095864905040769485,0.00023731322835789182,9.6396572045602283e-05,0.00024693817584704817,0.035567764057006616,0.018169372271726617,2.7327611189326464e-10,1.6165721228501858e-11,4.0720348917169347e-07,5.3045356616684801e-20,8.4868892928536518e-07,1.7655053335300332e-16,9.1932794641190722e-12,1.9904661033266099e-11,1.8235316704416621e-13,2.8565006335640952e-10,6.9098217480017143e-14,0.0045242772425074587,0.026544963925430338,9.3277831774070666e-09,0.00048481951195462696,4.9254872751901856e-12,6.4090390555538495e-08,2.2943202839963126e-07,1.2633073837829129e-07,1.4289611545111439e-05,0.00050329939797579427,1.3677380748884379e-08,8.0441071753654397e-10,1.0339839724632107e-08,1.5864342837894578e-10
1.3198378883475505e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30550709252508013,0.095852219645691475,0.0002364443430560668,9.6508368325068177e-05,0.00024723479657282413,0.035593219091234377,0.01818236174648941,2.7356904788923223e-10,1.6205161124228175e-11,4.0722919154581252e-07,5.318023523676963e-20,8.4899494422081675e-07,1.7679899587757018e-16,9.2017218633290203e-12,1.9926078273713134e-11,1.8264306482978668e-13,2.8563908948296201e-10,6.9264852193822427e-14,0.0045238505036352622,0.026533181299721226,9.322443954821486e-09,0.00048500540975321085,4.9297050754972248e-12,6.4136942466380909e-08,2.2951948399226046e-07,1.2631827030520845e-07,1.430030819764767e-05,0.00050367884729103174,1.3687680058585069e-08,8.0529087496943349e-10,1.0352592441041475e-08,1.5868842739895647e-10
1.3208921255677141e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3055187248068732,0.09583954100909324,0.00023557857323385569,9.6620109990500547e-05,0.00024753131244819888,0.035618660428816083,0.018195344261561081,2.7386195503856528e-10,1.6244657285538379e-11,4.0725479250444096e-07,5.3315311198618418e-20,8.4930070206072154e-07,1.7704751716628195e-16,9.2101581455609972e-12,1.9947492106482504e-11,1.8293312608934181e-13,2.8562797666427033e-10,6.9431720941376666e-14,0.0045234240253143486,0.026521399621616065,9.3171068105735132e-09,0.00048519117083752088,4.9339250376518714e-12,6.4183512029839215e-08,2.2960701243056579e-07,1.2630572947841619e-07,1.4311000137881511e-05,0.00050405812870641504,1.3697974833243886e-08,8.0617093687878375e-10,1.0365341657058052e-08,1.5873327290765668e-10
1.3219463627878778e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30553035617001184,0.095826869129008507,0.00023471590796899004,9.6731796888030978e-05,0.00024782772314962568,0.035644088074618802,0.018208319819407005,2.7415483324700137e-10,1.6284209723107321e-11,4.0728029232014169e-07,5.3450584534477942e-20,8.4960620311541813e-07,1.772960970414534e-16,9.2185883086443517e-12,1.996890252039819e-11,1.8322335065728773e-13,2.8561672530620105e-10,6.9598823776913315e-14,0.0045229978071989422,0.026509618911124792,9.31177175043986e-09,0.00048537679534608693,4.938147163430839e-12,6.4230099266808286e-08,2.2969461370593186e-07,1.2629311609941658e-07,1.4321687366124965e-05,0.00050443724223275268,1.370826507312514e-08,8.0705090276388515e-10,1.0378087358059251e-08,1.5877796513193841e-10
1.3230006000080414e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.30554198659476522,0.095814204003462244,0.00023385633637668186,9.6843428864246004e-05,0.00024812402835466151,0.035669502033523634,0.018221288422499784,2.7444768242064586e-10,1.6323818447549888e-11,4.0730569126471992e-07,5.3586055276415293e-20,8.4991144769473888e-07,1.7754473532574533e-16,9.2270123504360316e-12,1.9990309504318743e-11,1.835137383682054e-13,2.8560533581354791e-10,6.9766160754497518e-14,0.0045225718489442339,0.026497839188173177,9.306438780162495e-09,0.00048556228341723893,4.9423714548689669e-12,6.4276704201021114e-08,2.2978228781686478e-07,1.2628043036935432e-07,1.4332369882683223e-05,0.00050481618788111198,1.3718550778495183e-08,8.0793077212277183e-10,1.0390829529466e-08,1.5882250429899684e-10
