Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CHOX(61),CO2X(24),COX(58),H2OX(23)
8.395334715735027e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559658827,0.099999999997358674,0.0999999999996148,5.3058540616619519e-74,5.1970271961977143e-42,1.3714595477315714e-32,1.1133425927004501e-54,8.0325560611818358e-41,2.9195748062937532e-37,4.3447794377700927e-23,7.2674064428185996e-88,4.3447614668192628e-23,1.6980870249895352e-56,2.799164135742768e-51,1.4909846745927161e-57,2.4653050477435337e-77,2.9217204348548714e-37,1.8279287668981823e-68,2.6413172576903377e-12,7.7043355303170935e-13,1.7460199968253287e-17,1.3222527377012843e-25,1.7460215856792792e-17,7.8219026526978083e-24,1.2552602846938579e-25,5.0403252693302761e-29,6.1415753846628007e-47,5.4557894245661061e-43,9.7227272927065956e-51,5.6236448343741273e-68,7.8919717189765231e-67,2.5328004584305892e-36
1.6790676548289505e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255931765,0.099999999994717342,0.09999999999922958,2.6772517008492039e-71,8.2642992281145864e-41,1.0769877226404734e-31,1.3970463318425442e-52,6.4260458352436957e-40,1.1678348069529938e-36,8.6895985145169412e-23,2.3256621781397217e-86,8.689526630695498e-23,1.3585193874952401e-55,4.4492787924713905e-50,1.1927926503914841e-56,7.9146184414165829e-76,1.169540447661617e-36,2.9247900165655932e-67,5.2826367522666756e-12,1.5408677591401432e-12,3.4920399107497789e-17,5.2531560689032176e-25,3.492046315353597e-17,3.0799933150912178e-23,9.8919652566790571e-25,7.946759681961716e-28,3.8736503624477455e-45,8.5703901975679919e-42,7.777838681244166e-50,1.4187822980575711e-65,1.9799980951810588e-64,2.0134140546624454e-35
3.358136021339846e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255863529,0.099999999989434665,0.099999999998459141,1.3323599891622888e-68,1.3062759876324853e-39,8.3555082233942256e-31,1.7377138359771335e-50,5.1408306198777107e-39,4.6713738483557338e-36,1.7379344535466211e-22,7.4426922227469398e-85,1.7379057000309938e-22,1.086893525754235e-54,7.0265422626667403e-49,9.5424091574557237e-56,2.5970161457601206e-74,4.6848483209046051e-36,4.6799893550604062e-66,1.0565275734854509e-11,3.0817361712716849e-12,6.984075049539107e-17,2.0731147716805769e-24,6.9841010452411391e-17,1.194640200006723e-22,7.683264516114115e-24,1.2355743445502562e-26,2.4096651768830486e-43,1.3308689978018385e-40,6.2217150547015471e-49,3.5302555480544082e-63,4.9257856171464451e-62,1.5905800575400636e-34
6.716272754361637e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557270576,0.099999999978869311,0.099999999996918276,6.459294926904365e-66,2.0405921479204297e-38,6.3189740082290719e-30,2.1064720825970565e-48,4.112651768075794e-38,1.8685763447391296e-35,3.4759268046028067e-22,2.382025790552881e-83,3.4758117906986788e-22,8.6963900069487145e-54,1.095774403643632e-47,7.6340318053832648e-55,9.8684002597905463e-73,1.879092560859977e-35,7.4890180673014476e-65,2.1130553673770806e-11,6.1634729951936633e-12,1.3968126570930747e-16,8.0755296917276198e-24,1.3968233336440344e-16,4.5038155142143372e-22,5.8069205280289333e-23,1.8710460293127323e-25,1.4602277412047925e-41,2.0164351233334515e-39,4.9764800994257736e-48,8.5569006044506321e-61,1.1943336532792598e-59,1.2413655522718908e-33
1.343254622040522e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362554541143,0.099999999957738617,0.099999999993836533,2.9878224958405834e-63,3.1172759331347542e-37,4.5601747212823964e-29,2.4368469444798561e-46,3.2900998298814862e-37,7.474518039257253e-35,6.9520840932535337e-22,7.624930167470594e-82,6.9516240390137942e-22,6.9590962999474462e-53,1.6684108381931836e-46,6.1073909103417366e-54,6.7393765338130686e-71,7.5547198490263878e-35,1.1985736452576722e-63,4.2261109446565912e-11,1.232694664167433e-11,2.793615458937613e-16,3.068831213383422e-23,2.7936600766524745e-16,1.6139245686531683e-21,4.1791842749236057e-22,2.7023661330471437e-24,8.4428825930410682e-40,2.9199318762109783e-38,3.9797566590062151e-47,1.9788506093068014e-58,2.7638108814658182e-57,9.4671050084185608e-33
2.6865093152492386e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549082282,0.099999999915477228,0.099999999987673061,1.2796298925320794e-60,4.5731097409583623e-36,3.04812369732475e-28,2.6110405158761037e-44,2.6320448409826256e-36,2.9899769860928783e-34,1.390508900929217e-21,2.4415063021989589e-80,1.3903248803567861e-21,5.5704508614535127e-52,2.4324273212975926e-45,4.8861767870112335e-53,9.7376737787198458e-69,3.0486375523691242e-34,1.9187758601194967e-62,8.452222057200621e-11,2.4653893929189012e-11,5.5871910532193078e-16,1.1150568398549482e-22,5.5873811859373595e-16,5.3259195754877087e-21,2.7760940341367522e-21,3.6118206256757556e-23,4.5200618879571473e-38,3.9259235928862571e-37,3.1815235621691617e-46,4.2367933189083612e-56,5.9246395316313468e-55,6.9241249257777791e-32
5.373018701666671e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436253816456,0.09999999983095445,0.099999999975346116,4.9091011290950909e-58,6.2708857879138395e-35,1.8297962315492978e-27,2.5076669374526343e-42,2.1055796424785473e-35,1.1961265371377949e-33,2.7813860136990016e-21,7.8226003117335496e-79,2.7806499404415762e-21,4.4614383229608965e-51,3.2988846585532086e-44,3.9093636280490218e-52,1.7391424525093393e-66,1.2361429374960642e-33,3.0734267157823332e-61,1.6904444114228715e-10,4.9307788482471295e-11,1.1174222206775879e-15,3.7598030148087704e-22,1.1175042656932255e-15,1.5668295126984507e-20,1.6451659277066583e-20,4.3217386029245777e-22,2.1681892806260824e-36,4.7555068506052166e-36,2.5415759907642018e-45,8.1246858767072327e-54,1.1385705457443725e-52,4.723105958546821e-31
8.059528088084104e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362527246837,0.099999999746431673,0.09999999996301917,3.9511081115069297e-57,2.1515417920048713e-34,4.5109436673431202e-27,1.5191713647711918e-41,6.250844621552207e-35,2.5419682406098056e-33,4.1725392500981637e-21,3.7440991831255649e-78,4.1709751077051755e-21,1.3253230202796649e-50,1.1710164266141845e-43,1.117903000570225e-51,1.2158204676628747e-65,2.6469047540836121e-33,1.1633409213124141e-60,2.5356666003196846e-10,7.3961683014025989e-11,1.6761133327949043e-15,7.1474196686536171e-22,1.6762939900594509e-15,2.7548066304595191e-20,4.022409588111103e-20,1.4005238061693838e-21,1.108232425557272e-35,1.5511272957134343e-35,7.2613453903000035e-45,5.7416812851785277e-53,8.0001425015468448e-52,1.2385071508572369e-30
1.0746037474501537e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362516329115,0.099999999661908895,0.099999999950692225,2.0526261457620882e-56,5.1368132079919078e-34,8.4270576211544283e-27,5.9161163305820703e-41,1.3620041896486814e-34,4.336611869960172e-33,5.5639686041941396e-21,1.239823149379555e-77,5.5613003821525096e-21,2.889514437909201e-50,2.9269883038636082e-43,2.3581138479389075e-51,5.2629927403541746e-65,4.542112368528493e-33,3.0296174920687184e-60,3.3808887724105021e-10,9.8615577523885293e-11,2.2347924419360683e-15,1.1071653678101418e-21,2.2351082938728744e-15,4.0237666918452791e-20,7.4566254222770434e-20,3.1956216012453792e-21,3.8417053329392968e-35,3.5604508920529184e-35,1.5304866816468056e-44,2.7503989021772044e-52,3.4720814428978772e-51,2.4253154509431458e-30
1.6119056247336403e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362494493671,0.09999999949286334,0.099999999926038335,2.9117294041923418e-55,1.6330384455701354e-33,1.927038010082401e-26,4.2684991092119764e-40,3.9533461390009599e-34,8.9794860340952693e-33,8.3474753253128152e-21,7.2431544731711776e-77,8.3419511826166858e-21,8.3959563766983364e-50,1.0223877404451232e-42,6.4413436712478273e-51,4.4141743903860772e-64,9.479892290536055e-33,1.1127643396124144e-59,5.0713330771494948e-10,1.4792336649273281e-10,3.352122490781661e-15,1.9751130244135461e-21,3.3527964679130584e-15,6.6476487956499434e-20,1.6829961526882184e-19,9.5237759871158003e-21,2.3544441619844317e-34,1.0718928592780523e-34,4.175051045740832e-44,3.5747516966729767e-51,2.9196812655528442e-50,5.9054089600531238e-30
