Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57)
2.7259231191837268e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,5.0334988883188492e-68,3.2119482854371975e-44,4.8930288439954105e-26,1.6774645879035126e-50,8.7447271584452625e-41,6.8651925453271338e-34,5.765298190964569e-20,2.3140606511436873e-77,5.7652977960675177e-20,1.594640095677959e-49,4.8339485369204884e-51,1.1912760343939071e-51,2.0694851350186062e-73,6.8652809121215706e-34,2.8929349823322214e-60,1.0992851687377378e-11,5.2854607865055773e-13,2.0372078614679433e-16,2.0374315585496366e-16,5.9267432559526119e-21,3.4993956226907325e-21,4.6720168017076964e-24,5.5795231417078661e-25,1.090555164403247e-41,6.9150854598522517e-36,2.9847850169019753e-62,1.4594726847593891e-46,6.1872740883590143e-62
5.4518468160659916e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,1.1159623384429765e-65,2.5713699603872942e-43,2.8817678900651778e-25,1.2227887851742237e-48,6.9951790217848774e-40,2.746077618571135e-33,1.1530598407100774e-19,7.4049981316280524e-76,1.1530596827575046e-19,1.2757125604449126e-48,7.1089285677087218e-50,9.5302106348763217e-51,1.4303108637517015e-71,2.7461427954379563e-33,4.6286977895133948e-59,2.198570567654664e-11,1.057092269257462e-12,4.0742275651294634e-16,4.0751889009559995e-16,1.7084245746337008e-20,2.058231950249448e-20,5.5187696049072775e-23,2.0456328613011283e-24,5.1635012713466391e-40,8.2221465632660109e-35,3.306012523170832e-60,1.1673958543902977e-45,8.9019694771040019e-60
1.090369420983052e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,2.0538827291396664e-63,2.0593816757717996e-42,1.5017344034270013e-24,1.0045193987209106e-46,5.5951770044765537e-39,1.098431265879208e-32,2.3061201249009241e-19,2.3696008528257277e-74,2.3061194931433736e-19,1.0205704440649916e-47,9.7752794540340104e-49,7.6241701626220737e-50,1.7631947403115982e-69,1.0984763269982825e-32,7.4059193370505558e-58,4.3971413571192472e-11,2.1141846503004803e-12,8.1477012935368744e-16,8.1517999419931473e-16,4.3329337523609929e-20,1.0696673791898758e-19,5.7897658821436721e-22,6.9972972759030328e-24,2.1725232359544871e-38,8.6708814537446512e-34,3.0394692839747701e-58,9.3362488670891797e-45,1.461314876835422e-57
2.180738899735958e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202087,0.022821567690940101,3.2604364273140341e-61,1.6499355206367931e-41,7.0441155586085573e-24,7.5901841849581079e-45,4.4745953886777798e-38,4.393726287116812e-32,4.6122416568716815e-19,7.5827294484158187e-73,4.6122391302668296e-19,8.1645683688458371e-47,1.2160043245249463e-47,6.099337928936602e-49,2.4972248634121853e-67,4.3940091421465595e-32,1.1849477779859545e-56,8.7942829025713317e-11,4.2283694117066148e-12,1.6292386662995082e-15,1.6309553606315721e-15,9.8943827275348984e-20,4.9900049876297496e-19,5.4601534304339083e-21,2.1584987459641047e-23,8.2165603138021659e-37,8.2301629579265939e-33,2.410402371913008e-56,7.4643335416038453e-44,2.2094714047468359e-55
4.3614778572417698e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407641,0.022821567688825917,4.6698810443350328e-59,1.321993060617737e-40,3.0738869230400576e-23,5.305272345651291e-43,3.5772038381077036e-37,1.757491388598966e-31,9.2244885730264478e-19,2.4264773851009603e-71,9.2244784700149388e-19,6.5316617923590054e-46,1.3365266721374609e-46,4.8794728805914105e-48,3.4439953372839652e-65,1.7576488970168931e-31,1.8959184445260556e-55,1.7588565859567185e-10,8.4567389318101242e-12,3.2572714076151492e-15,3.2643459152950216e-15,2.1150216630942862e-19,2.1537779987355542e-18,4.7572119935920543e-20,5.8649319496785601e-23,2.8690659713672965e-35,7.2491623358288723e-32,1.7250086405332623e-54,5.9640150618683465e-43,3.0902449966079651e-53
6.542216814747581e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613195,0.022821567686711734,3.1364822292213106e-58,3.7831950326952582e-40,6.7053885607239717e-23,3.0133364502950553e-42,1.0615653181377186e-36,3.734670454150963e-31,1.3836739339246516e-18,1.1608709226555115e-70,1.3836717875372614e-18,1.9390882742380844e-45,4.3787673936880275e-46,1.3952246832284723e-47,2.2837268247048052e-64,3.7350461671296039e-31,7.1726481651867685e-55,2.6382848682654722e-10,1.2685108449209476e-11,4.8844003184488377e-15,4.8995932417415775e-15,3.2415218982822191e-19,4.6632980330020367e-18,1.3873674732178444e-19,9.9035108905640943e-23,1.3622017379239281e-34,2.1267180881891364e-31,9.9301826240559443e-54,1.7041132403573504e-42,2.0516795645456592e-52
8.722955772253392e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756283130213,0.11866996567818749,0.02282156768459755,1.4312872781066148e-57,7.9851561289668662e-40,1.1598407256908615e-22,1.1102835703358439e-41,2.3121314253564413e-36,6.3709103750876045e-31,1.8448993953397386e-18,3.8420854424813851e-70,1.8448957346422797e-18,4.2251739935907249e-45,1.0181014649831119e-45,2.9429337098414455e-47,9.4247569759158781e-64,6.3715963546659206e-31,1.867037185479197e-54,3.517713137183394e-10,1.6913477963906537e-11,6.5106259006034571e-15,6.5367128422538111e-15,4.3675676036343373e-19,8.0108200174550775e-18,2.9532993130260406e-19,1.4081932281547053e-22,4.4383587915522425e-34,4.5514348468458889e-31,4.1574768128278576e-53,3.5921322630804982e-42,8.4725429155220301e-52
1.3084433687265016e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675626469532,0.11866996550229858,0.022821567680369179,1.6801266637993051e-56,2.183228339419146e-39,2.4343026153083235e-22,7.3094502423227415e-41,6.7056235712098903e-36,1.3190167397841972e-30,2.7673512205930434e-18,2.2417391962739571e-69,2.7673436442980518e-18,1.2264392794932921e-44,3.1779364872349194e-45,8.0380681779935183e-47,7.2705102202166456e-63,1.3191693383130285e-30,6.8517701506860737e-54,5.2765696435917774e-10,2.5370216986960723e-11,9.7609585633407883e-15,9.8153926076620867e-15,6.618232099423027e-19,1.6621546584652112e-17,8.1161024063404166e-19,2.2554087974448169e-22,2.4675897974540998e-33,1.261912134770324e-30,4.4449662077126679e-52,9.8006158269863228e-42,6.5402096695928987e-51
1.7445911602276639e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756246260428,0.11866996532640967,0.022821567676140807,7.6059269463511923e-56,4.5713820049550671e-39,4.1720965862181911e-22,2.6971014936876467e-40,1.4653765202784125e-35,2.2433030806428069e-30,3.6898044590912422e-18,7.4585472615699964e-69,3.6897915781921068e-18,2.6820873521931781e-44,7.2405031239864467e-45,1.6818333783744451e-46,3.0045874672375972e-62,2.2435742207865642e-30,1.77671681123404e-53,7.0354261007572971e-10,3.3826956000081983e-11,1.3007973528885396e-14,1.3101080528704356e-14,8.8665960890872968e-19,2.8178405332852531e-17,1.6998929232013223e-18,3.1111589476407902e-22,7.9411550564724839e-33,2.6637158165916631e-30,1.6804728025151661e-51,2.0486498483050852e-41,2.703756645677554e-50
2.1807389517288263e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756227825535,0.11866996515052078,0.022821567671912436,2.7164838029148168e-55,8.3263930272758504e-39,6.4058500430879874e-22,7.9543491612122898e-40,2.7471951510631383e-35,3.4272619010238327e-30,4.6122592103522206e-18,2.011099646549293e-68,4.6122395381216254e-18,5.0319665945654363e-44,1.3947677062481261e-44,3.0617145875773599e-46,9.8766913071268608e-62,3.4276887182791333e-30,3.8847533971905423e-53,8.794282505162613e-10,4.2283695002561638e-11,1.6251437166798634e-14,1.6394372873300332e-14,1.1112513415495216e-18,4.2786102321963548e-17,3.0891317827870559e-18,3.9680785728614387e-22,2.0756797152473177e-32,4.8790121414940422e-30,5.5620901929628732e-51,3.7258522948003292e-41,8.8900384513893265e-50
