Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),H2X(46),CHOX(50),CO2X(24)
9.954150048735394e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039625298,0.099999999997407371,0.09999999999944062,1.1585522169893016e-69,1.0083416783159751e-45,6.9503393442016347e-26,1.8769276506035274e-58,1.8394434395490315e-39,8.7821224206537991e-96,4.8874364740508455e-31,6.5778932139229063e-107,3.2987665654851839e-31,6.2584619334682094e-68,1.9834312980205962e-52,2.4246276022513966e-87,3.3973618039562439e-92,3.811091781533553e-46,6.8490637055052903e-82,2.5570611065946367e-12,1.1187859020348617e-12,3.5579665528466063e-14,3.5584272567945987e-14,2.2158971387578408e-20,1.5198766569875666e-18,7.7297393673115366e-22,3.1548400559610301e-26,2.4701230321273956e-39,5.3142295863112781e-37,2.8581997038612732e-36,1.3341789691681906e-61,1.1997496602925566e-62
1.4931229292225442e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039437948,0.099999999996111047,0.099999999999160927,8.5208051187525376e-69,3.7731834072646582e-45,1.483209298389628e-25,1.0549359633015784e-57,5.46072515985455e-39,7.5657706370914623e-95,8.3300712930358614e-31,3.712833739501448e-106,4.9541906268796511e-31,2.3676598821892958e-67,7.5616866726448717e-52,1.8445637776261895e-86,2.234664202017561e-91,1.0897171717301152e-45,3.195024222651829e-81,3.8355927429307458e-12,1.6781793272352365e-12,5.3368549158560386e-14,5.3378353319134735e-14,3.3346035082789486e-20,3.2428620057439712e-18,2.219356469226895e-21,6.7039018635103872e-26,1.1591373258118174e-38,1.5195139778762308e-36,8.2077472984400029e-36,8.8503634920674483e-61,7.6578099411094732e-62
2.4885387779205538e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039063245,0.099999999993518399,0.099999999998601527,6.4546371284392445e-67,2.9977576226298982e-44,4.117172387095838e-25,2.6532395827012663e-56,2.557719240237363e-38,1.5357611369400093e-92,1.7612541364273292e-30,1.4339794922129281e-104,8.2795356446057928e-31,1.8684431938819223e-66,6.2176184104980671e-51,1.7021978217064946e-84,9.7611462779020824e-90,5.0076939465376812e-45,4.2812307531633565e-80,6.3926560137167856e-12,2.7969661775862159e-12,8.8944002490914234e-14,8.897114779374273e-14,5.5718707361045382e-20,8.9976264233504249e-18,1.0245431931585642e-20,1.8533330163032653e-25,1.7026293637626882e-37,6.982785202705844e-36,3.7906872821112428e-35,4.6516508884630038e-59,3.3125646427674781e-60
3.369065404031335e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503873179,0.099999999991224997,0.099999999998106701,3.4527196614031642e-66,8.3163809998254269e-44,7.2715428182392097e-25,1.0479669722582245e-55,5.813475020331196e-38,1.0872065408600807e-91,2.7692275884218879e-30,6.9443864155973012e-104,1.1232377266481731e-30,5.1311063353068681e-66,1.7759834112712922e-50,9.3321384894288581e-84,4.2644821194924988e-89,1.110085683602762e-44,1.3802942631743066e-79,8.654587342275011e-12,3.7866245318575095e-12,1.2041159313108553e-13,1.2045949463919163e-13,7.5508029122391457e-20,1.5886508553170867e-17,2.2741640388657551e-20,3.2685427550645528e-25,5.9424787674063572e-37,1.5479160596110429e-35,8.4160611491954902e-35,2.3802619634763427e-58,1.6409231541510828e-59
4.249592030142117e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038400336,0.099999999988931595,0.099999999997611874,1.2869189569766385e-65,1.8753729471329282e-43,1.1307347379402299e-24,3.2405219080877162e-55,1.1120395292757431e-37,4.538631682153385e-91,3.9769882497053664e-30,2.140683847519756e-103,1.4197305340755233e-30,1.1671126689762157e-65,4.033978649924295e-50,3.7190203054004907e-83,1.5317354042514947e-88,2.0856357693458085e-44,3.6876528354575494e-79,1.0916518669261063e-11,4.7762828860873181e-12,1.5187725530011876e-13,1.5195170598133306e-13,9.5296138107839383e-20,2.4696337526363984e-17,4.2761501359323431e-20,5.0780449478241787e-25,1.5596516279797908e-36,2.908234155154004e-35,1.5828721207569629e-34,8.0888544543621872e-58,5.1673650387604149e-59
5.130118656252899e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038068882,0.099999999986638194,0.099999999997117048,3.8986464013024605e-65,3.6374595591392521e-43,1.6167264174489441e-24,8.1307186583354216e-55,1.8819460352067948e-37,1.6282716378056058e-90,5.3715434489071655e-30,6.104842726378703e-103,1.7173535754151847e-30,2.2634510451457925e-65,7.9318484632376444e-50,1.1742120658958191e-82,4.2709133434870694e-88,3.470687528970768e-44,8.1091360395901437e-79,1.3178449994777106e-11,5.7659412402783372e-12,1.8334111441140815e-13,1.8344753184259837e-13,1.1508311318728487e-19,3.5300811402325914e-17,7.1193574687214963e-20,7.2561904036095189e-25,3.5124429964817697e-36,4.8395660244782079e-35,2.6359134690264055e-34,2.3483186584622768e-57,1.441523839544095e-58
6.891171908474463e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037405968,0.099999999982051377,0.099999999996127395,2.3067344473328242e-64,9.7163460130203937e-43,2.7759390474086537e-24,3.1828936876565384e-54,4.134372282319765e-37,1.5446087671847488e-89,8.5850305636311926e-30,3.3396410990860625e-102,2.315167970822309e-30,5.9565436658638869e-65,2.1981173338545475e-49,7.1986476414678076e-82,1.9014751762154639e-87,7.3636106712156211e-44,2.5228106397612397e-78,1.7702312642469257e-11,7.7452579485722427e-12,2.4626473628442019e-13,2.464473992777143e-13,1.5465448723602378e-19,6.0583045779153599e-17,1.5111921298887725e-19,1.244999195131999e-24,1.2133355611870062e-35,1.0267902165375281e-34,5.5971396717697314e-34,1.3519129608946123e-56,8.0721265270741513e-58
8.652225160696026e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036743051,0.09999999997746456,0.099999999995137742,8.5873006160943084e-64,2.1115538271905225e-42,4.2402540481265615e-24,9.2937574424726069e-54,7.7179774701752284e-37,6.9800578258934532e-89,1.2490067347995348e-29,1.1308239099856319e-101,2.9171683280599207e-30,1.2863992224574062e-64,4.8994810385207791e-49,2.8164238247295129e-81,6.1565657013298557e-87,1.3343166394573238e-43,6.2092442051467977e-78,2.2226175284718435e-11,9.7245746567225234e-12,3.0918168288736683e-13,3.0946066009026748e-13,1.9422166334445698e-19,9.2497699804986405e-17,2.7389295513875672e-19,1.9008538672227143e-24,3.144233159318105e-35,1.8605862413349464e-34,1.0147869347711263e-33,4.7204081471640478e-56,2.6261695690159037e-57
1.041327841291759e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036080137,0.099999999972877743,0.099999999994148089,2.6416522553629599e-63,4.080093082567501e-42,6.0300042065815517e-24,2.333126394644129e-53,1.3029298486051707e-36,2.5995119948694575e-88,1.7132740388714483e-29,3.2993297891623924e-101,3.5236349402455416e-30,2.4785739072392253e-64,9.6511106111553144e-49,9.1016126037361389e-81,1.7066182391721437e-86,2.2017777298034652e-43,1.3459660075446619e-77,2.6750037921161342e-11,1.1703891364719593e-11,3.7209150936367973e-13,3.7248821645260419e-13,2.3378436175141571e-19,1.3147715843575624e-16,4.519862498821627e-19,2.7022718709920775e-24,7.0839747759270267e-35,3.0701838126822243e-34,1.6752088313536412e-33,1.3925991030704787e-55,7.356409604390116e-57
1.3935384917360717e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034754297,0.099999999963704123,0.09999999999216877,2.7461550636786312e-62,1.2658783880713142e-41,1.0603809191934958e-23,1.3693002181299394e-52,3.0863584221799831e-36,5.7862260695667965e-87,2.8671792379482258e-29,2.6538741841628394e-100,4.7502224226352356e-30,7.7506650181608905e-64,3.0617632397340788e-48,1.1892963082327997e-79,1.4084104240678864e-85,5.0588467817525107e-43,5.5871226795841758e-77,3.5797763176303534e-11,1.5662524780245522e-11,4.9788940813687943e-13,4.9858706753502993e-13,3.1289607780848381e-19,2.3096017684869083e-16,1.0382435433645199e-18,4.7498082240680279e-24,3.0280599466488174e-34,7.0541132562328663e-34,3.8513588528743038e-33,1.2537459258941551e-54,5.294953792751329e-56
