Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49)
2.6855368403295197e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,1.5214044823685937e-67,3.4525705985686899e-40,4.7108773725531162e-26,1.1357774110430161e-50,8.3635878916953436e-41,1.9115376635250719e-87,2.7308056776862402e-18,3.5929766782025812e-83,2.7308056732255087e-18,5.3914349711103346e-57,1.1825397250846864e-47,4.5912132003201076e-72,2.7742233250578277e-73,2.1871276867081161e-35,6.6955995015814964e-66,1.082998562194435e-11,5.2071533347346104e-13,2.007026712098918e-16,2.0072435019369298e-16,5.7850755387750891e-21,3.3639393537089223e-21,4.4245924831714776e-24,5.9504723789192194e-25,1.0024267573147933e-41,4.6204226818511588e-35,9.1694287320058079e-62,6.5585086417365284e-36
5.3710742497986066e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830494,0.02282156769253357,5.7816861242119188e-65,5.5238705756865478e-39,2.7803519733450555e-25,1.079337050527602e-48,6.6903025636639114e-40,7.2717585608462959e-85,5.4616119413886152e-18,2.2993180521349353e-81,5.4616119235460799e-18,8.6255877977278224e-56,1.8919176254738717e-46,8.7305865096295848e-70,5.2754239319064516e-71,1.7496358337637467e-34,2.1424187691752716e-64,2.1659973511985275e-11,1.0414307772451067e-12,4.0138708064273777e-16,4.0148024497793539e-16,1.6722140038452141e-20,1.9837797472004244e-20,5.2395154465023953e-23,2.3800922018139052e-24,4.7581597447075368e-40,3.6961704358603509e-34,1.7418507319114009e-59,7.813823999523141e-35
1.0742149068736782e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664456,0.022821567692012854,1.953066705483245e-62,8.8374148486745942e-38,1.4522215484262436e-24,9.1181749182453274e-47,5.3513318431825279e-39,2.4596848798970318e-82,1.0923224490636415e-17,1.4713233814237924e-79,1.0923224419272775e-17,1.3798669326185893e-54,3.0265272276366542e-45,1.4760828821064182e-67,8.9191745315704726e-69,1.3996021846872974e-33,6.8546297996927932e-63,4.3319949210835984e-11,2.0828616646209893e-12,8.0270099515343219e-16,8.0309832540639538e-16,4.2522143876939672e-20,1.0336468614220329e-19,5.5106476195943074e-22,9.5195926298642522e-24,2.0071628730357002e-38,2.9566672220663025e-33,2.9410355148895989e-57,8.258826074671554e-34
2.148429870661313e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.1186699659433238,0.022821567690971423,5.9281237604573288e-60,1.4137372321237772e-36,6.8242550603437721e-24,6.9215219754450826e-45,4.2796088641667454e-38,7.4760188889265754e-80,2.1846449676481799e-17,9.4133938334153871e-78,2.1846449391069363e-17,2.2070601392330076e-53,4.8408211789388933e-44,2.2424681269693705e-65,1.3550026490028556e-66,1.1195112582576218e-32,2.1927707644227162e-61,8.6639900283612784e-11,4.1657234387031226e-12,1.6051092668346273e-15,1.6067741218801156e-15,9.7281107923762092e-20,4.831714731236121e-19,5.2074612797357559e-21,3.807215799139994e-23,7.6077904043373023e-37,2.36490294506201e-32,4.4619513728257817e-55,7.8534578399893697e-33
4.2968597982365825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668227,0.022821567688888562,1.6602309991975427e-57,2.2611825074666259e-35,2.9813635769389749e-23,4.8475790055603431e-43,3.4213578705760912e-37,2.0961193304292417e-77,4.369290039736678e-17,6.0206369382995881e-76,4.3692899256044364e-17,3.528971265885928e-52,7.7401360272386565e-43,3.1428336943894245e-63,1.899044577822166e-64,8.9533628195426721e-32,7.0123199764092661e-60,1.7327980112946804e-10,8.3314469841888985e-12,3.2090480612113191e-15,3.2159108452090289e-15,2.0816417747705091e-19,2.0883091460565914e-18,4.5434732268814719e-20,1.5223894541170238e-22,2.6611258765697727e-35,1.8912332074324765e-31,6.2463422929308266e-53,6.9257244981654002e-32
6.445289725811853e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.11866996577004074,0.0228215676868057,1.2735240421407935e-56,8.3212964765755442e-35,6.5059300337470805e-23,2.7544646544966083e-42,1.0153227086517051e-36,1.596805756445733e-76,6.5539351467281932e-17,3.4175874526653694e-75,6.5539349042401187e-17,1.3346584463176279e-51,2.9501712522164444e-42,2.0873451523472609e-62,1.2612697909944829e-63,2.5596543603021608e-31,3.2703637359133481e-59,2.5991970067562487e-10,1.249717052699618e-11,4.8121095867130123e-15,4.8268490035252728e-15,3.1914664200391493e-19,4.5237710716894728e-18,1.3256196114761231e-19,3.2343481010563213e-22,1.2640258572734288e-34,5.406613365450058e-31,4.1817191262818542e-52,2.0325255017968496e-31
8.593719653387123e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756283676459,0.11866996568339921,0.022821567684722838,6.3199806902751667e-56,2.1101616646815994e-34,1.1255653288409222e-22,1.0152308504928472e-41,2.2114270238190172e-36,7.3270455296993293e-76,8.7385802885981757e-17,1.314023302450619e-74,8.7385798750158024e-17,3.4729869643553006e-51,7.9346753784013076e-42,8.6224347287843939e-62,5.2100702816506484e-63,5.3981957844978287e-31,9.9556404532257601e-59,3.4655959892208328e-10,1.6662894067125032e-11,6.4142943231912701e-15,6.4396034425853363e-15,4.3008637888812547e-19,7.77354237811862e-18,2.8226629341097015e-19,5.5162719128462632e-22,4.1199445283723378e-34,1.1401948977649737e-30,1.9054488787325637e-51,4.3507253869406029e-31
1.2890579508537663e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756265514692,0.11866996551011616,0.022821567680557115,8.1378834707078793e-55,7.3776598209856578e-34,2.3628443589293731e-22,6.6872082667271461e-41,6.4136445133508577e-36,6.5821273366251574e-75,1.3107870654126338e-16,9.9943819767184321e-74,1.3107869798124473e-16,1.2736834182863791e-50,3.2065057701067063e-41,6.6592830833212113e-61,4.0238416035487754e-62,1.4740251795346416e-30,4.5333249324216232e-58,5.198393923646878e-10,2.499434114109678e-11,9.616607513479086e-15,9.6694195053749828e-15,6.5182772120160594e-19,1.6135328605048872e-17,7.7598060327576144e-19,1.1416783670407807e-21,2.2918542440518962e-33,3.1132416589280715e-30,2.2340916051545304e-50,1.20652277815638e-30
1.7187439363688203e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756247352926,0.11866996533683311,0.022821567676391392,4.1804362068272688e-54,1.843118613865018e-33,4.0501103997986823e-22,2.468268951152701e-40,1.4015858145367273e-35,3.0036825590775987e-74,1.7477161147745045e-16,3.7724967084058869e-73,1.7477159692336882e-16,3.3009350215339525e-50,8.6802308872523805e-41,2.7537909850008556e-60,1.663965277486141e-61,3.083431065859899e-30,1.3610634038094848e-57,6.9311918102783803e-10,3.3325788205219259e-11,1.281570042016987e-14,1.2906032637355162e-14,8.7334577786645699e-19,2.7361848862216668e-17,1.6256690405070136e-18,1.9410558677760484e-21,7.3781692894090698e-33,6.5121168719814463e-30,1.0086316576509241e-49,2.5471276711810262e-30
2.148429921883874e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756229191159,0.11866996516355008,0.022821567672225668,1.6428168800335419e-53,3.9095884920330642e-33,6.2190580796669245e-22,7.281568053253695e-40,2.6276338106580932e-35,1.0882280941522208e-73,2.1846451778467096e-16,1.1534450639988903e-72,2.1846449555595291e-16,7.2133885194657541e-50,1.9487361134822825e-40,9.0570115271196245e-60,5.4726547927679279e-61,5.6119308111006677e-30,3.3945513428479684e-57,8.6639896457014439e-10,4.1657235258789182e-11,1.6011346224520987e-14,1.6150020049042803e-14,1.0946264325903376e-18,4.1556413471139373e-17,2.9548685206403784e-18,2.9644943516718536e-21,1.9291572848329695e-32,1.1851680035722114e-29,3.5993677555242886e-49,4.6658980778209198e-30
