Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49),CHOX(53),COX(50)
5.287432469129711e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33568251609600563,0.11688694185866827,0.022770666215615361,2.8332662182644058e-13,7.0673556746096386e-13,4.4714416093597008e-11,2.7489873470707689e-10,7.8383667458332657e-20,3.6970858166662167e-28,5.3057824139862299e-10,3.6521912142719024e-38,5.2493960372117975e-10,4.2956438682509417e-28,2.2122151647530251e-21,5.5960181733745416e-23,5.1417907075156564e-25,1.5563566104174152e-13,4.1393765603496741e-29,0.0017829676928420675,0.00010180004930289976,5.3868855398971243e-12,2.2365027693640714e-07,3.7298205765083807e-16,5.1333905784351647e-13,5.307610943936091e-08,3.8559892108821603e-11,2.5906822261651359e-09,4.032137109021983e-16,2.2063203433842163e-15,3.1768163719365272e-13,3.5437214747274613e-18,2.2683917387252026e-16
5.393502182937384e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33565101794789504,0.1168574782722441,0.022769651728655665,3.1337479073696887e-13,7.6219137515805783e-13,4.78048182039119e-11,2.9793056853067554e-10,8.316401587086779e-20,4.2151722766900335e-28,5.4108742327984115e-10,4.1064535714126821e-38,5.3528440561417221e-10,4.6415879363080388e-28,2.3733612150079047e-21,6.2536522962557392e-23,5.6832381529537605e-25,1.6554369443741994e-13,4.5638977866683065e-29,0.0018124298148728922,0.00010382883535125109,5.435335841906197e-12,2.2945773171765027e-07,3.7633667848644741e-16,5.3293257957249903e-13,5.4343879138775176e-08,4.0288907951150067e-11,2.7536665448360796e-09,4.2245698592942509e-16,2.392145214876922e-15,3.4297097820776619e-13,3.864839126147486e-18,2.4583304065243815e-16
5.499571896745058e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33561973756987268,0.11682823202764502,0.022768637476607203,3.4592718964329198e-13,8.2104305907027063e-13,5.1052206185685725e-11,3.223829933027223e-10,8.8133653738777574e-20,4.7942650291675922e-28,5.5159170224395135e-10,4.6065277017186406e-38,5.4562474181213077e-10,5.0076528260756268e-28,2.5433181643617269e-21,6.9734704803971841e-23,6.2694304476884235e-25,1.758901162517059e-13,5.0222463722168961e-29,0.0018416745822065778,0.0001058571433703381,5.4837613829345257e-12,2.3531632322140395e-07,3.7968958647254416e-16,5.530955091354299e-13,5.5616370949579883e-08,4.2064033206907103e-11,2.923382094396641e-09,4.423116848597375e-16,2.5894890011411985e-15,3.6976625092180818e-13,4.2081973089257178e-18,2.6599696304746748e-16
5.605641610552732e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3355886733558906,0.11679920152124489,0.02276762345811378,3.8113742014408464e-13,8.8344597742889039e-13,5.446190307246334e-11,3.4831297654095831e-10,9.3296165789101057e-20,5.4402459460517504e-28,5.6209109914871618e-10,5.1559929168431835e-38,5.559607693610759e-10,5.3945698365687464e-28,2.722422132484155e-21,7.7599634175028618e-23,6.9030851515980378e-25,1.8668640900159594e-13,5.5163691769680818e-29,0.0018707035984772528,0.00010788497588260241,5.5321624216636457e-12,2.4122600736018617e-07,3.8304079962904103e-16,5.7383490302485379e-13,5.6893387638701263e-08,4.388575229489564e-11,3.0999608867497834e-09,4.6279065510547943e-16,2.7988139931117166e-15,3.9812837785147288e-13,4.5748786999361092e-18,2.8737773328817392e-16
5.711711324360405e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33555782371178133,0.11677038516127626,0.022766609671829495,4.1916517977750281e-13,9.4956047732327843e-13,5.8039333432015124e-11,3.7577852205094076e-10,9.865513200670834e-20,6.1594441191633257e-28,5.7258563472898531e-10,5.758629281803048e-38,5.6629264476790182e-10,5.8030808971785863e-28,2.911017178957582e-21,8.6178469839492289e-23,7.5870266663584986e-25,1.9794417063954252e-13,6.0482830663887224e-29,0.0018995184554603944,0.00010991233538976066,5.580539214040581e-12,2.4718674018801036e-07,3.8639033578880232e-16,5.9515771247312739e-13,5.8174731901631771e-08,4.5754548973249243e-11,3.2835340520076515e-09,4.8390701735128271e-16,3.0205905574629176e-15,4.2811966826489129e-13,4.9659966627392088e-18,3.1002298754059741e-16
5.817781038168079e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33552718705516893,0.1167417813677421,0.022765596116418613,4.6017636677071077e-13,1.0195519949308637e-12,6.1790024114933168e-11,4.0483865960168224e-10,1.0421412766340189e-19,6.9586611013943281e-28,5.8307532959772376e-10,6.4184245331525938e-38,5.7662052400312192e-10,6.2339384543328178e-28,3.1094553951508451e-21,9.5520684143897918e-23,8.3241881043725536e-25,2.0967511431230453e-13,6.6200759163090864e-29,0.0019281207331609163,0.00011193922437301844,5.6288920133061051e-12,2.5319847789476023e-07,3.8973821259959721e-16,6.1707078062763329e-13,5.9460206415557538e-08,4.7670906340729952e-11,3.474231794610487e-09,5.0567417129919211e-16,3.2552970167882242e-15,4.5980382922157917e-13,5.3826954201142214e-18,3.3398119723473668e-16
5.9238507519757525e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33549676181538213,0.11671338857232849,0.02276458279055555,5.043431831962365e-13,1.0935911566157892e-12,6.571960500055481e-11,4.3555343423917097e-10,1.0997672334679093e-19,7.8451970858917805e-28,5.9356020424703667e-10,7.1395810837903909e-38,5.8694456250358412e-10,6.6879053593647666e-28,3.3180969962640344e-21,1.0567812473497253e-22,9.1176131370989538e-25,2.2189106812027103e-13,7.2339076070782328e-29,0.0019565119999005987,0.00011396564529328259,5.6772210700227486e-12,2.5926117680061092e-07,3.9308444752603454e-16,6.3958083978549667e-13,6.0749613892276177e-08,4.9635306837937102e-11,3.6721833500292051e-09,5.2810580146022313e-16,3.5034195259165082e-15,4.9324597662867404e-13,5.8261502128592737e-18,3.5930166010244314e-16
6.029920465783426e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33546654643336654,0.11668520521831763,0.022763569692924739,5.5184423648522945e-13,1.1718538808932609e-12,6.9833809740210094e-11,4.6798389524380089e-10,1.1594648498894056e-19,8.826878038614945e-28,6.0404027904918486e-10,7.9265231130949624e-38,5.9726491517515243e-10,7.1657547575798182e-28,3.537310413544003e-21,1.1670507622279158e-22,9.9704578221595937e-25,2.3460397487723643e-13,7.8920110071199947e-29,0.0019846938124048591,0.000115991600591372,5.7255266321025308e-12,2.6537479335049521e-07,3.964290578514776e-16,6.6269450868912122e-13,6.2042757130884511e-08,5.1648232248428883e-11,3.8775169420662145e-09,5.5121588299219691e-16,3.7654519444518862e-15,5.2851264631088549e-13,6.2975674447494302e-18,3.8603449092969137e-16
6.1359901795911e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33543653936159873,0.11665722976050207,0.022762556822220583,6.0286463924882316e-13,1.254521481256647e-12,7.4138476497789345e-11,5.0219208473786097e-10,1.2212697389479898e-19,9.912083799357133e-28,6.145155742575933e-10,8.7839037411051668e-38,6.0758173639535894e-10,7.6682699785075639e-28,3.7674723866702094e-21,1.2865832175444515e-22,1.0885992408614089e-24,2.4782589187060184e-13,8.5966929460027263e-29,0.0020126677158888834,0.00011801709268822666,5.7738089448344298e-12,2.7153928410861478e-07,3.9977206067993855e-16,6.8641828988380532e-13,6.3339439070215868e-08,5.3710163699756578e-11,4.0903597407687076e-09,5.7501868758368706e-16,4.0418957056245432e-15,5.6567180509080481e-13,6.7981848135514187e-18,4.1423061202829319e-16
6.2420598933987734e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33540673906400059,0.11662946066509887,0.022761544177147368,6.5759610735997391e-13,1.3417807698643351e-12,7.8639548687625792e-11,5.3824102594933804e-10,1.2852174677040401e-19,1.1109777166007552e-27,6.2498611000785219e-10,9.7166122854788743e-38,6.1789518001602191e-10,8.1962444273283034e-28,4.008968056310428e-21,1.4159720446341434e-22,1.1867603119802784e-24,2.6156899062198313e-13,9.3503351771349861e-29,0.0020404352441430909,0.00012004212398511558,5.8220682509115707e-12,2.7775460575299576e-07,4.031134729379539e-16,7.1075856713867193e-13,6.4639462841006237e-08,5.582158166441288e-11,4.3108378209683421e-09,5.9952878938392312e-16,4.3332596815417819e-15,6.0479286187642701e-13,7.3292714280035826e-18,4.4394174343219817e-16
6.348129607206447e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33537714401585428,0.11660189640966505,0.022760531756419185,7.1623705624931146e-13,1.4338241620833613e-12,8.3343075709688128e-11,5.761947111383992e-10,1.3513435575087248e-19,1.2429533976499371e-27,6.3545190631871296e-10,1.0729781599981578e-37,6.282053993658355e-10,8.7504814774626273e-28,4.2621910568458661e-21,1.5558368876029549e-22,1.2918793913170838e-24,2.7584555664820001e-13,1.0155395330198233e-28,0.0020679979196179849,0.00012206669686384276,5.8703047904581854e-12,2.8402071507008888e-07,4.0645331137644057e-16,7.35721602932096e-13,6.5942631817769873e-08,5.7982965960694881e-11,4.5390761214609111e-09,6.2476107097848919e-16,4.6400600449300224e-15,6.4594667875293266e-13,7.8921279106792919e-18,4.752203928236143e-16
6.454199321014121e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33534775270371753,0.11657453548301316,0.02275951955875985,7.7899269536974317e-13,1.530849781886784e-12,8.8255213682076716e-11,6.161180891930237e-10,1.4196834842817399e-19,1.3881574202547367e-27,6.4591298309307278e-10,1.1828795493274441e-37,6.38512547252928e-10,9.3317943643129057e-28,4.5275436092652082e-21,1.7068242143095331e-22,1.404318821649795e-24,2.9066798922262636e-13,1.1014407853426542e-28,0.0020953572535083479,0.00012409081368695187,5.9185188010562622e-12,2.9033756894941208e-07,4.0979159257253118e-16,7.6131353600277253e-13,6.7248749670364213e-08,6.0194795753482539e-11,4.7751984048392491e-09,6.5073072941064576e-16,4.9628201274598967e-15,6.8920558207595622e-13,8.4880864866614406e-18,5.0811984519426251e-16
6.560269034821794e-09,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33531856362534007,0.11654737638512792,0.022758507582902848,8.4607512078576235e-13,1.6330615681017719e-12,9.3382226170816749e-11,6.580770529003513e-10,1.4902726787869196e-19,1.5476794068922389e-27,6.5636936011895738e-10,1.3019296226788832e-37,6.4881677596738746e-10,9.9410060801457166e-28,4.8054366142270179e-21,1.8696079250864357e-22,1.5244530639970175e-24,3.0604880113687802e-13,1.1929984945842233e-28,0.0021225147458368166,0.00012611447679792935,5.9667105177720118e-12,2.967051243782386e-07,4.1312833293139393e-16,7.8754037896752254e-13,6.85576204152244e-08,6.2457549554933705e-11,5.0193272179923019e-09,6.774532822481242e-16,5.3020702747479192e-15,7.3464337356373851e-13,9.1185110579654982e-18,5.4269415224715646e-16
