Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CO2X(24)
8.016400458666333e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559674226,0.099999999997477898,0.099999999999632189,1.9990511151691029e-71,4.347607500520435e-42,1.8387325576420225e-28,5.9855924698501369e-55,9.0635543842919367e-44,2.6619561478272434e-37,4.1486556393399482e-23,5.7685943026994746e-88,4.1486550557183254e-23,1.47832103905522e-56,3.5551347442275965e-50,1.2980634700363833e-57,6.0990743329262169e-81,3.4545085437116496e-37,1.5195324020866999e-68,2.5220979976823005e-12,7.3565904124404378e-13,1.667191763689202e-17,1.2138428584200991e-25,1.6672381187148578e-17,1.4018099876446167e-22,6.107155088137283e-23,2.3837878599498663e-26,2.6551861758758812e-44,2.2191806461339078e-36,2.2182329412348508e-65
1.6032807712925297e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559348448,0.099999999994955777,0.099999999999264358,7.9773934771987672e-69,6.9560649218059107e-41,1.1393959346976334e-27,5.9224071348690782e-53,7.2506873763775518e-43,1.0647832658876781e-36,8.2973159754842747e-23,1.8459536116330742e-86,8.2973136410211334e-23,1.1826583556952773e-55,5.6880794113211863e-49,1.0384516644376518e-56,1.206842500867097e-78,1.6988164547958232e-36,2.4312551254570412e-67,5.0441981313801802e-12,1.4713187060885739e-12,3.3343447103663116e-17,4.8552990522798478e-25,3.3345435693961781e-17,4.2651167898831153e-22,3.7828951905379882e-22,2.9653777309378276e-25,1.3235888272474662e-42,1.7753166010561031e-35,4.4250488800211001e-63
3.2065622221443226e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558696891,0.099999999989911548,0.099999999998528696,2.8360423712018091e-66,1.1129352235477077e-39,6.2554844995183067e-27,5.2617918356815493e-51,5.8002914977325335e-42,4.259135455750393e-36,1.6594640187456853e-22,5.9070606036578039e-85,1.6594630849800772e-22,9.4612772008720352e-55,9.100475808479653e-48,8.3076182867726291e-56,2.1456812663301424e-76,9.3312556848412864e-36,3.8900125204385417e-66,1.0088398392790349e-11,2.942638035699818e-12,6.6685299177384501e-17,1.9420598662483902e-24,6.6693819661250451e-17,1.1418209861481785e-21,2.075221248230412e-21,3.2831252821048789e-24,5.876430824651307e-41,1.4202070372560747e-34,7.8633228804129337e-61
6.413125123847907e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557393772,0.099999999979823076,0.099999999997057373,8.996490180228523e-64,1.7805831232630287e-38,3.059256738880206e-26,4.1740871448164975e-49,4.6398163483048102e-41,1.7036552836462212e-35,3.3189302769101141e-22,1.8902631129464475e-83,3.3189265420064538e-22,7.5690327142831877e-54,1.4559305048847453e-46,6.6460988859947759e-55,3.4065720775644969e-74,5.7611167778947626e-35,6.2240289088788196e-65,2.0176798891668316e-11,5.8852766946110426e-12,1.33364176235149e-16,7.7677577654970199e-24,1.3340012733734125e-16,2.7158045311929459e-21,1.0132543803002489e-20,3.2422324016260645e-23,2.3277752704080896e-39,1.1360910143921417e-33,1.2467765144097589e-58
1.2826250927255076e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436255478754,0.099999999959646146,0.099999999994114741,2.6080429235607892e-61,2.8485701510009385e-37,1.371568910747217e-25,3.026063470763926e-47,3.7111848795951937e-40,6.8146283198544447e-35,6.6378684555019391e-22,6.0488657342381872e-82,6.6378535171660503e-22,6.0552414493797954e-53,2.3289626597020662e-45,5.3168844398618274e-54,4.9422400304784001e-72,3.9270556854787487e-34,9.9584706976157178e-64,4.0353599793654793e-11,1.1770554011188442e-11,2.6670262478894731e-16,3.1067170730331061e-23,2.668514968482919e-16,5.9458210208853702e-21,4.5280258010364657e-20,2.9274556703717548e-22,8.4276612170476323e-38,9.0875319452284467e-33,1.8066364676841599e-56
2.565250253406942e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549575071,0.099999999919292273,0.099999999988229463,7.115341687152654e-59,4.5565510409543525e-36,5.8269530161325744e-25,2.0644486434982193e-45,2.9678786355635429e-39,2.7258567499800702e-34,1.3275767455176158e-21,1.9356506992129771e-80,1.3275707712055629e-21,4.8442166997864777e-52,3.7247454375747723e-44,4.2535154882937542e-53,6.746356479523347e-70,2.8684576525935499e-33,1.5933628150092279e-62,8.0707201214549873e-11,2.3541108639363051e-11,5.3330232201790391e-16,1.242377962093509e-22,5.3391038060057653e-16,1.2429542912086141e-20,1.911218050752137e-19,2.4898694602776565e-21,2.8722527190641015e-36,7.2681113286069812e-32,2.4639263371899106e-54
5.13050057476981e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539150132,0.099999999838584541,0.099999999976458906,1.8665573151733383e-56,7.2867679618551131e-35,2.403168299296252e-24,1.3541632535555766e-43,2.3725931596382551e-38,1.0903469706645093e-33,2.6551655972052341e-21,6.1941686945402133e-79,2.6551417081337195e-21,3.8754106448129152e-51,5.9545022248025718e-43,3.4028248467052629e-52,8.8530945978572373e-68,2.1847690955441933e-32,2.5494042489867812e-61,1.6141440252402857e-10,4.7082217875791679e-11,1.0661930958048441e-15,4.9670423350453224e-22,1.0686592561195228e-15,2.539359885263292e-20,7.7812019968693011e-19,2.0378500900237301e-20,9.4145751492908366e-35,5.8114279905038217e-31,3.2313155661237171e-52
7.695750896132677e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362528725194,0.099999999757876809,0.099999999964688349,1.4194128834343322e-55,2.6813689076763995e-34,5.1525114236993265e-24,7.6060875421668552e-43,7.0407518900937394e-38,2.3169935645264447e-33,3.9827634954036698e-21,2.9634137353128238e-78,3.9827127431339479e-21,1.1505187893995718e-50,2.2693874526792744e-42,9.7299726775440731e-52,5.8200378653993074e-67,6.165421099763883e-32,9.6449570988894051e-61,2.4212160230119582e-10,7.062332709229972e-11,1.5987754276596467e-15,1.0551339930902771e-21,1.6040455187050913e-15,3.8350316986628187e-20,1.6536271003148184e-18,5.8393520497374658e-20,4.4138270010928975e-34,1.6612026455739321e-30,2.1422703322038645e-51
1.0261001217495545e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362518300255,0.099999999677169077,0.099999999952917792,6.9891471165305172e-55,6.7990771674118354e-34,8.830187515055431e-24,2.7778417844979608e-42,1.5334765174265626e-37,3.9525282410990887e-33,5.3103704348770836e-21,9.8079459744484123e-78,5.3102838763321945e-21,2.5069340924167749e-50,6.1030925950117422e-42,2.0523369289740527e-51,2.3842305788479157e-66,1.290816621339907e-31,2.5105880908094702e-60,3.2282880054605169e-10,9.4164436288887507e-11,2.1310494962200884e-15,1.7993653517763151e-21,2.1400752899458044e-15,5.1299542343391489e-20,2.8109850568966012e-18,1.2301389660669328e-19,1.4241563446449102e-33,3.5029963690077196e-30,9.6790161689977686e-51
1.539150186022128e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362497450378,0.099999999515753613,0.099999999929376679,8.8625878246428454e-54,2.3768306477853903e-33,1.8362613820383574e-23,1.8043944852195148e-41,4.4472122098442581e-37,8.1832415216884259e-33,7.9656055169103174e-21,5.7227332334395513e-77,7.9654263735863074e-21,7.2769397483691142e-50,2.4658293715798219e-41,5.6055863630863474e-51,1.8171887299538525e-65,3.4981221575161324e-31,9.2135878789354871e-60,4.8424319343952247e-10,1.4124665463531219e-10,3.1948747119968682e-15,3.7233919485626908e-21,3.2136635148944086e-15,7.7180406556157567e-20,5.7671198224160181e-18,3.3421037998693507e-19,7.808079620554175e-33,9.563399807031333e-30,1.1166502983478735e-49
