Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
6.611330471747461e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,0.0,1.2682561697454457e-42,4.5256283984504821e-30,9.2701638794448016e-55,1.736997862718448e-39,9.4437795563722019e-93,6.7227747354080606e-19,1.1133541740042876e-83,6.7227745651344757e-19,2.7565623759414726e-56,3.9660827071850711e-47,9.2175278643084423e-77,5.5696567065002027e-78,4.351242762660412e-36,8.4277250839691678e-66,2.6661564623941047e-12,1.281911720494541e-13,4.9411796242857519e-17,3.606487924252808e-26,6.8940430470310276e-37,4.9411811690591763e-17,7.7109973554112438e-24,1.4922549206454547e-26,4.7182875210994668e-30,6.4564068494094001e-49,8.1591412678475097e-67
1.3222666547993955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,0.0,2.0292064965653058e-41,1.8114094441457726e-29,1.1838067790007005e-52,1.3895992598372051e-38,4.8239303047325023e-90,1.3445555509342196e-18,7.1254755840655829e-82,1.3445554828247522e-18,4.4105032308459922e-55,6.3457341002792733e-46,2.354176694901128e-74,1.4225024443567855e-75,3.4809943518506852e-35,2.696874231128731e-64,5.3323151832779289e-12,2.563824527646214e-13,9.8823618956383267e-17,1.4425950033691969e-25,5.515224518318728e-36,9.8823680806900021e-17,3.0784510789675225e-23,1.1912790265812111e-25,7.5314917341409459e-29,4.1224169022272502e-47,2.0838602363029046e-64
2.6445338700486946e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,0.0,3.2467157237905767e-40,7.2548457283862639e-29,1.5089190660783461e-50,1.111679310160255e-37,2.4595230636829089e-87,2.6891118075873806e-18,4.5603054165185234e-80,2.6891115351494991e-18,7.0568049267493126e-54,1.0153162929816271e-44,6.0014660575256912e-72,3.6263633167175309e-73,2.7847926098222549e-34,8.6299974726206206e-63,1.0664632620122478e-11,5.1276501418480979e-13,1.9764721813464279e-16,5.7703731797702331e-25,4.412158834795655e-35,1.9764746601099756e-16,1.2266465842668492e-22,9.4900390330191119e-25,1.1999357253255132e-27,2.6272454739988252e-45,5.3123412106321754e-62
5.2890683005472925e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,0.0,5.1946951158058766e-39,2.9092245148225167e-28,1.9157721916860236e-48,8.8934263212591238e-37,1.2491048543657403e-84,5.3782247283586644e-18,2.918593501586379e-78,5.3782236386075454e-18,1.1290878133279326e-52,1.6245009637310469e-43,1.5239545124938325e-69,9.2084376056595797e-71,2.2278282538627749e-33,2.761596880486224e-61,2.1329267474119179e-11,1.0255301369846023e-12,3.9529423149616847e-16,2.3081427043603293e-24,3.5296918568467302e-34,3.9529522676196531e-16,4.8691182048458657e-22,7.5284009178330784e-24,1.9041776973996138e-26,1.667765745178381e-43,1.3489590442039087e-59
1.0578137161544488e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.11866996598730599,0.022821567692028758,0.0,8.3113495772260206e-38,1.1693954990285711e-27,2.4132460474471692e-46,7.1147253623409861e-36,6.2941480602752865e-82,1.075645219975801e-17,1.867896498495646e-76,1.0756447840757851e-17,1.8065366636328425e-51,2.5991832441384982e-42,3.8394879884092903e-67,2.3199959808944705e-68,1.7822527730502768e-32,8.837091600180181e-60,4.265853710334297e-11,2.0510603824218507e-12,7.9058751824062487e-16,9.2325160764056264e-24,2.8236963638209309e-33,7.9059152886471893e-16,1.9183048697614649e-21,5.9230447701292375e-23,2.9977664222085808e-25,1.0503536098404843e-41,3.3985712392854266e-57
2.115627488353888e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464665,0.022821567691003228,0.0,1.3297637020043802e-36,4.7213502186369702e-27,2.9934261121658765e-44,5.6917541230658407e-35,3.1232311067529854e-79,2.1512913661959397e-17,1.1954489987624728e-74,2.1512896225995304e-17,2.8904458069760189e-50,4.1586350363148737e-41,9.5257047586869786e-65,5.75587009228762e-66,1.4257862923723585e-31,2.8278569444189896e-58,8.5317076046712157e-11,4.1021208726470003e-12,1.581171131826309e-15,3.6929621983321677e-23,2.2588653866133708e-32,1.5811874028103663e-15,7.4481303480614989e-21,4.5854696285510906e-22,4.6464535362260521e-24,6.5135615008621556e-40,8.4316542647430772e-55
4.2312550327527663e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932797,0.022821567688952167,0.0,2.1274546434146207e-35,1.9208169166251001e-26,3.6057495332537449e-42,4.5533610097919451e-34,1.5051142873611313e-76,4.302586266377747e-17,7.6508115654692741e-73,4.3025792920217674e-17,4.6246716966617325e-49,6.6536293915162244e-40,2.295125559472748e-62,1.3868203670985233e-63,1.1406034738107423e-30,9.0490621411023891e-57,1.7063415267313691e-10,8.2042418504999152e-12,3.1623265194738208e-15,1.4771494068488104e-22,1.8069454705482243e-31,3.1623933142712084e-15,2.8132586872565565e-20,3.4426599340297716e-21,6.9913470069715303e-23,3.9220258211628267e-38,2.031455623531884e-52
6.346882577151645e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400929,0.022821567686901106,0.0,7.8302002836551357e-35,4.1260931358258602e-26,2.3151443994814671e-41,1.3517719017353848e-33,1.261091750903914e-75,6.4538837742814613e-17,4.3438910483411959e-72,6.45386895381875e-17,1.7495996565838128e-48,2.5366655330424522e-39,1.697028269998869e-61,1.0254224232414248e-62,3.2613710700514665e-30,4.2213522813342414e-56,2.5595122803924811e-10,1.2306362825755443e-11,4.743470067686501e-15,3.1388903949059526e-22,5.1664935207365948e-31,4.7436143885238186e-15,5.7500529593956132e-20,9.4953094298448453e-21,2.499280725192645e-22,2.1438109242022263e-37,1.5020556720130198e-51
1.0578137665949401e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275288818,0.11866996560337194,0.022821567682798985,0.0,6.0238855094854385e-34,1.1683359486334818e-25,9.3903228728506147e-40,6.3318697317461478e-33,1.5929621927240899e-73,1.0756489220820608e-16,1.1677382374942315e-70,1.0756448246911815e-16,1.3807780605903281e-47,2.0858767494805782e-38,1.2074321605923107e-59,7.2958546937530933e-61,1.4987466323937007e-29,5.6567909981228417e-55,4.2658537373021623e-10,2.0510604765876996e-11,7.9057098070851862e-15,8.6777372206305802e-22,2.3739935542236808e-30,7.9061240507020657e-15,1.4478147127132597e-19,3.9388481086953595e-20,1.7433987276587939e-21,5.022782303391758e-36,1.0686453638329241e-49
1.4386267245867383e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756259192794,0.11866996544979833,0.022821567679107077,0.0,1.6589187598837017e-33,2.1099265573894312e-25,4.3236188146519563e-39,1.4611270018160882e-32,8.6485903893434537e-73,1.4628842548082008e-16,5.0704448689868219e-70,1.4628769586058323e-16,3.8748799590231384e-47,6.0833733627342996e-38,6.0940150029425648e-59,3.6822796610798441e-60,3.3735907681517763e-29,1.8774362549173286e-54,5.8015610077998323e-10,2.789442250359421e-11,1.0751687320121998e-14,1.5452040546799656e-21,5.3434173664945311e-30,1.0752441602346545e-14,2.4265847424768886e-19,8.3804384360169652e-20,4.5920641381811319e-21,2.0669978717581563e-35,5.3934881406438497e-49
1.8194396825785365e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756243096769,0.11866996529622471,0.022821567675415169,0.0,3.7361365211339565e-33,3.335420174973933e-25,1.4729322747223379e-38,2.8132834747167722e-32,3.8927627511209281e-72,1.8501204793295519e-16,1.5353251662559383e-69,1.8501090899126801e-16,8.8716930221921617e-47,1.3919624192950326e-37,2.3995670334827065e-58,1.449926947144888e-59,6.376161618044623e-29,5.0446552666824151e-54,7.3372682351951114e-10,3.5278240232428477e-11,1.3597624344373081e-14,2.4120162953749015e-21,1.0098577133569363e-29,1.3598825968448035e-14,3.5729804681408937e-19,1.4962136607594114e-19,9.8593582392596939e-21,5.9954269722633135e-35,2.1236844675021941e-48
2.2002526405703347e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756227000745,0.1186699651426511,0.022821567671723261,0.0,7.1803503263380218e-33,4.8339352845850505e-25,4.0296101202135778e-38,4.7832243935127867e-32,1.2928986269155753e-71,2.2373575462348693e-16,3.9858424534894851e-69,2.2373412187561944e-16,1.7300199476889237e-46,2.7526345147209634e-37,7.2461954047992719e-58,4.3784778633684706e-59,1.065728709297356e-28,1.1159903337788023e-53,8.8729754218756167e-10,4.2662057952871886e-11,1.6443523123181969e-14,3.4577065649039375e-21,1.6878096559915057e-29,1.6445276680767073e-14,4.8527965456828692e-19,2.3740305576594024e-19,1.8153664239468117e-20,1.4843732687739956e-34,6.4129784198387295e-48
2.9618785565539307e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756194808701,0.11866996483550392,0.022821567664339442,0.0,1.8566659715490551e-32,8.4651319977513982e-25,1.8206138153049617e-37,1.0575553329185169e-31,7.3984408179192725e-71,3.0118336010545017e-16,1.7629966888906586e-68,3.0118054708256626e-16,4.5930659839133665e-46,7.6992006662396287e-37,3.6847960891738061e-57,2.2265173314061483e-58,2.275131301021532e-28,3.5112142360099122e-53,1.194438970238733e-09,5.7429693374623553e-11,2.2135233464237033e-14,5.9569769313284793e-21,3.6028339914038543e-29,2.2138337619549851e-14,7.6573032165420448e-19,4.6671706593588284e-19,4.3922155332889843e-20,5.9735408516526582e-34,3.2610142308888627e-47
3.723504472537527e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756162616658,0.11866996452835674,0.022821567656955623,0.0,3.9316629261712005e-32,1.3136535901185255e-24,5.8050272768588425e-37,1.9812799510197046e-31,2.8399258958417217e-70,3.7863127695742252e-16,5.3049303435237835e-68,3.7862697137896964e-16,9.9628454878572281e-46,1.7239043429100986e-36,1.296409067855743e-56,7.8334751281419345e-58,4.1369455242360803e-28,8.6849477655942557e-53,1.5015803832400674e-09,7.2197328765359307e-11,2.7826802438850076e-14,9.1173416370539592e-21,6.5505952448921547e-29,2.7831666512628454e-14,1.0795485944679403e-18,7.8639739945598907e-19,8.7649609271615438e-20,1.690496398757816e-33,1.147289192445015e-46
4.4851303885211235e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756130424614,0.11866996422120957,0.022821567649571804,0.0,7.4376448216834237e-32,1.8937611700761218e-24,1.5659303455728753e-36,3.3530665867669758e-31,9.1776961987461164e-70,4.5607952629120723e-16,1.373225538321564e-67,4.5607339470307425e-16,1.9254120467474946e-45,3.4059657599350685e-36,3.8470309023288265e-56,2.3245442139722831e-57,6.8430905581979018e-28,1.8889913946664679e-52,1.8087217801707692e-09,8.6964964122975493e-11,3.3518220461972727e-14,1.2983549408354429e-20,1.0834673359760156e-28,3.3525297078615837e-14,1.4192701352743742e-18,1.2064742680820616e-18,1.5637735035007875e-19,4.10379885729757e-33,3.4044543534813328e-46
6.008382220488316e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756066040539,0.11866996360691527,0.022821567634804169,0.0,2.2536698868644515e-31,3.4064473133245557e-24,1.1044622176123897e-35,7.9736559212342792e-31,1.3327772612079017e-68,6.1097704108975569e-16,8.4970916722892244e-67,6.1096623837963181e-16,6.0584507292211561e-45,1.0867411891169699e-35,3.8611227172536429e-55,2.3330525890277025e-56,1.5783544836662117e-27,7.9139683639548189e-52,2.4230045249147117e-09,1.165002347369835e-10,4.4900595170323479e-14,2.2872678689540432e-20,2.4984725205724443e-28,4.4913554974544618e-14,2.1408159597157086e-18,2.3527965653078022e-18,4.0796491660506992e-19,2.0605140762208996e-32,3.4165401079519774e-45
7.531634052455509e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756001656457,0.11866996299262107,0.022821567620036533,0.0,5.2994560871165051e-31,5.3911808337432425e-24,4.2922172865868046e-35,1.5571610381418857e-30,7.4256834217360257e-68,7.6587590645871946e-16,3.0747249788139846e-66,7.6585907810637021e-16,1.4553090500888792e-44,2.6208171362633378e-35,1.8079568069712971e-54,1.0924420749341467e-55,3.0318122290359339e-27,2.3163596964450948e-51,3.0372872043728716e-09,1.4603550521644698e-10,5.6282356700602282e-14,3.5627899420144723e-20,4.7982683372965826e-28,5.6303190525182107e-14,2.9000416154263439e-18,3.8897908081077872e-18,8.4579505317104886e-19,6.5621800083623698e-32,1.5996725175169606e-44
