Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CO2X(24),CHOX(50),COX(47),C2H6X(49)
1.0096991219513532e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039627135,0.099999999997406233,0.099999999999432598,1.7018183929054909e-77,5.9701630460050057e-46,4.2848001656002342e-37,6.2290998093859351e-60,1.9199280710091627e-39,9.7165795829217077e-104,4.9808968963515832e-31,6.471714026486928e-107,3.3363083751185557e-31,6.6260208370266021e-68,1.9537713841061693e-50,8.4097057771628545e-92,1.1392762903404008e-93,3.7008293555975127e-44,7.3553550929890157e-82,2.5937547067774141e-12,1.1348403805503692e-12,2.0375921799213913e-17,3.246232655485991e-26,2.0375922795291189e-17,4.893666419415444e-25,1.6591361822392991e-26,8.0144336962094505e-30,2.5953211457103726e-47,5.5466226934724024e-37,1.7416358143345165e-70,1.4361300861595411e-69,6.1380186918499347e-71,1.9399413346067719e-50
2.0193990998359828e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039254273,0.099999999994812461,0.099999999998865177,8.4607311786337008e-75,9.552260413132027e-45,3.3257429122891648e-36,7.7423451057717013e-58,1.53594390908347e-38,9.6606967733459469e-101,1.3250988938089242e-30,5.1896365601652854e-105,6.6726308021256843e-31,1.0601644127175821e-66,3.1260348393270839e-49,3.2533785913478158e-89,2.8322486914257031e-91,2.9606630646376725e-43,2.3537161095391899e-80,5.1875116097247433e-12,2.2696817230505169e-12,4.0751859922562012e-17,1.2984926585415152e-25,4.0751863969406753e-17,1.8950269522040008e-24,1.2871389314819024e-25,1.2447375672781291e-28,1.6127165812929631e-45,4.4372975208624454e-36,4.3292186762009541e-68,3.569623174350353e-67,1.5259153119330146e-68,3.1039092872992971e-49
4.038799055605242e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038508544,0.099999999989624902,0.099999999997730335,4.0940039420873301e-72,1.5283596628913364e-43,2.5106250918492938e-35,9.3664980228133044e-56,1.2287556280585745e-37,9.3480226546366034e-98,3.9658749184805292e-30,4.6624693734539363e-103,1.3345309327145191e-30,1.6962638163496749e-65,5.0016492243906998e-48,1.3497423882957609e-86,6.8535324143100363e-89,2.3685271446986379e-42,7.5318950504642087e-79,1.0375025407864222e-11,4.5393644078493691e-12,8.1503733322967059e-17,5.1939624516052837e-25,8.1503749968970386e-17,7.122875326716838e-24,9.7070714963563124e-25,1.8810501965965358e-27,9.7529551090978446e-44,3.5498330528155177e-35,1.0473597327501603e-65,8.634984319136352e-65,3.6924372165994607e-66,4.9662570522016514e-48
8.077598967143762e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037017087,0.099999999979249798,0.099999999995460651,1.8878850768142498e-69,2.4453675666217144e-42,1.8041001815924988e-34,1.0799153364665578e-53,9.8300457457335138e-37,8.6190748007351365e-95,1.3194456881340949e-29,4.7005889464556692e-101,2.6690801061232349e-30,2.7140223684534251e-64,8.0026110856554873e-47,5.7056149411727457e-84,1.5806915817777529e-86,1.8948153704650444e-41,2.4102066768007966e-77,2.075005297312247e-11,9.078729776641306e-12,1.6300746873861429e-16,2.0775774439642441e-24,1.6300753844042121e-16,2.5393278218177334e-23,6.961502546277404e-24,2.7075901777318567e-26,5.6200511077142589e-42,2.8398569202564982e-34,2.4146200551441369e-63,1.9903073643437759e-62,8.5161678476859339e-64,7.946011984673028e-47
1.61551987902208e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034034176,0.099999999958499577,0.099999999990921282,8.0529365823355602e-67,3.9125616772414158e-41,1.1975081487973734e-33,1.1518250116870474e-51,7.8640348340493623e-36,7.3492473045292643e-92,4.7439736046899482e-29,7.1428092179315343e-99,5.3382323265850453e-30,4.3424349033373979e-63,1.2804083103132186e-45,2.3224636330676229e-81,3.3731297111840728e-84,1.5158417223721699e-40,7.7126598670432319e-76,4.1500107979556124e-11,1.8157460511002103e-11,3.2601489402927106e-16,8.3102475017857139e-24,3.2601519151814457e-16,8.3143387866993567e-23,4.6023816589998287e-23,3.6021180646713797e-25,2.9950168612103931e-40,2.2718696692440028e-33,5.148977825155529e-61,4.2423238878872463e-60,1.8172883519126337e-61,1.2713616367220143e-45
3.2310398436374876e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575028068354,0.099999999916999135,0.099999999981842558,3.0799943921791369e-64,6.2600131655838265e-40,7.1244353039694567e-33,1.1016474847445159e-49,6.2912238805577017e-35,5.6160784902807828e-89,1.790827200235385e-28,8.6430440113340833e-97,1.0676752262315827e-29,6.9478916291181135e-62,2.0486226725210159e-44,8.6642695726501897e-79,6.4562335163985965e-82,1.2126562912033321e-39,2.4680496915715459e-74,8.3000217496092034e-11,3.6314921966831388e-11,6.520295624481424e-16,3.3240487862899267e-23,6.5203084562639077e-16,2.4220229124515986e-22,2.7161493603167143e-22,4.2922928018465588e-24,1.4307105398488907e-38,1.8174700960266968e-32,9.8439412334527644e-59,8.1035397870299736e-58,3.4781239336286592e-59,2.0341773159589087e-44
6.462079772868303e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575016136709,0.099999999833998265,0.099999999963685096,1.0380104109912555e-61,1.0015746718579511e-38,3.7505285691466002e-32,9.2852323763892908e-48,5.0329722591159103e-34,3.7782091628992144e-86,6.9497810804861125e-28,1.0731035510980689e-94,2.135465411502022e-29,1.111661201036599e-60,3.2776979440484411e-43,2.879485963448073e-76,1.0893458713200634e-79,9.7009762793948547e-39,7.8977488206747566e-73,1.6600043454383842e-10,7.2629844826920761e-11,1.3040581706369845e-15,1.3295792654686097e-22,1.3040636795189815e-15,6.2049823801703594e-22,1.4069114677253624e-21,4.5027091245320234e-23,6.0207843168443217e-37,1.453934954450214e-31,1.6582012302482041e-56,1.3626665785142032e-55,5.867217106963353e-57,3.2546792132688679e-43
9.69311970209912e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575004205065,0.099999999750997395,0.099999999945527634,8.1749805121975399e-61,3.6921800930394512e-38,8.7446938327242537e-32,5.4639294913654558e-47,1.4941624711615616e-33,3.3542875557671197e-85,1.463482633635526e-27,5.9865297260985353e-94,3.2033417951060764e-29,4.2056374397569264e-60,1.2496054593923532e-42,2.2631419190156937e-75,7.4623160197851008e-79,2.7738279580631694e-38,3.684280499553817e-72,2.4900064960625941e-10,1.0894476763544093e-10,1.9560860501777964e-15,2.8252969394824269e-22,1.9560980988421028e-15,1.0195786414260294e-21,3.2453565995568767e-21,1.389910327577011e-22,2.9761854605787931e-36,4.1572778151721938e-31,1.1435099802165498e-55,9.3924353964292287e-55,4.0188399875985597e-56,1.2313104308586842e-42
1.2924159631329936e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957499227342,0.099999999667996525,0.099999999927370173,4.1568948498085875e-60,9.3898056906570343e-38,1.5731777815158775e-31,2.0727544718544119e-46,3.25569866913747e-33,2.0340512508242602e-84,2.4845960142746606e-27,3.0727259838394893e-93,4.2713043772575123e-29,1.0947243200338561e-59,3.3621061687751451e-42,1.148348936317498e-74,3.1643340399519062e-78,5.8507205906902305e-38,1.1218657248206818e-71,3.3200086268335503e-10,1.4525969039239188e-10,2.6081132010714458e-15,4.8195316096477429e-22,2.6081341373699035e-15,1.4258374292436751e-21,5.7803870565317784e-21,3.0635259511311342e-22,1.0016158909420011e-35,8.7687740002386319e-31,5.3504967975886738e-55,4.3932270579156173e-54,1.7038660305097357e-55,3.2050918684885767e-42
1.9386239489791564e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574968410131,0.099999999501994799,0.09999999989105525,5.6202641267324267e-59,3.3081718682807328e-37,3.4421118692923026e-31,1.4274940726929065e-45,9.4502725369386536e-33,4.8877573834128805e-83,5.1196794161571678e-27,4.04491135868503e-92,6.4074318449490303e-29,4.0174783045168753e-59,1.3598177016905675e-41,1.5463267521858429e-73,2.5520315224899637e-77,1.5979742235457121e-37,5.1112491599672073e-71,4.9800128417810928e-10,2.1788953578526407e-10,3.9121657927711648e-15,9.9779087133961026e-22,3.912210087463688e-15,2.2431358541986558e-21,1.2436557667129234e-20,8.7413253715930652e-22,5.8369028967328925e-35,2.3949655743288656e-30,6.6049457794421135e-54,5.4210381276912125e-53,1.3726258180854535e-54,1.1762218302318958e-41
