Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(58)
1.6032807712925297e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559348448,0.099999999994955777,0.099999999999264358,8.9610207234510505e-99,6.9562708158911135e-41,1.0490894386229694e-33,1.0346919353227116e-52,3.3731565203353945e-39,1.0648214539696872e-36,8.2976625849116959e-23,1.8467367907430548e-86,8.2973170466444893e-23,1.1831308102161908e-55,1.6176423848411513e-45,1.0384864714740549e-56,2.1061034470549086e-78,1.4083463161836057e-35,2.4321942865037103e-67,5.0441981313801802e-12,1.4713187060885739e-12,3.3344246698380739e-17,4.8554426569473552e-25,1.7753656088086922e-35,3.3344257247278278e-17,5.4678012959110801e-24,3.1762239877365604e-26,2.4343010998280567e-29,1.0816985883760008e-46,1.4001945378549581e-64
3.2065622221443226e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558696891,0.099999999989911548,0.099999999998528696,1.7084677622675461e-95,1.1129978927180553e-39,6.7822014832044925e-33,1.3160980476346777e-50,2.6985257923795885e-38,4.2594392123659244e-36,1.659601981437241e-22,5.9120658111493221e-85,1.6594637661042615e-22,9.468828708069334e-55,2.5882251774623115e-44,8.3081716471410126e-56,5.3577327658282662e-76,1.0840846466440317e-34,3.8930159595426234e-66,1.0088398392790346e-11,2.942638035699818e-12,6.6688497490658153e-17,1.9421747464574592e-24,1.4202854470361187e-34,6.668853981232894e-17,2.1745428070651821e-23,2.5254042617326521e-25,3.871725158291319e-28,6.8820280187647992e-45,3.5619542921240207e-62
6.413125123847907e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557393772,0.099999999979823076,0.099999999997057373,3.3425195499249501e-92,1.7807785069912335e-38,4.7485700595122322e-32,1.664985546723482e-48,2.1588199543835821e-37,1.7038975897266001e-35,3.3194807655281821e-22,1.8934643027997851e-83,3.3189279042511281e-22,7.5811089710366093e-54,4.1411483153011168e-43,6.6469814208271509e-55,1.3556342285469305e-73,8.5022898463476593e-34,6.2336369569320357e-65,2.01767988916683e-11,5.8852766946110418e-12,1.333769689574936e-16,7.7686767509448338e-24,1.1362164616609021e-33,1.3337713923895113e-16,8.5991498270381139e-23,1.9957937573418468e-24,6.1219242817440023e-27,4.3531090142598488e-43,9.0125367356956556e-60
1.2826250927255076e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436255478754,0.099999999959646146,0.099999999994114741,1.8150705355437613e-88,2.8491870479201062e-37,3.4770663666559029e-31,2.0825900331804334e-46,1.727054235757644e-36,6.816563971713556e-35,6.6400676857559991e-22,6.0698274737193909e-82,6.6378562416138804e-22,6.0745587878319153e-53,6.6257951322743295e-42,5.3182942222332929e-54,3.3914503751964759e-71,6.733648737820698e-33,9.9892121122501221e-64,4.0353599793654703e-11,1.1770554011188432e-11,2.6675379142040594e-16,3.1074521717532526e-23,9.0895388342378005e-33,2.6675448029135683e-16,3.3629185171590376e-22,1.5585958747247411e-23,9.5691624901499002e-26,2.7222247299972024e-41,2.2546775700925741e-57
2.565250253406942e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549575071,0.099999999919292273,0.099999999988229463,3.5370347323395998e-85,4.5585114222750666e-36,2.5770111020626314e-30,2.5485590457192103e-44,1.3816403680071413e-35,2.7274041528595156e-34,1.3284558928401161e-21,1.949072993793668e-80,1.3275713160616059e-21,4.8751213872429139e-52,1.0601136584191444e-40,4.2557693215487913e-53,8.3012760606819892e-69,5.3596006245388785e-32,1.6031995882160348e-62,8.0707201214549498e-11,2.3541108639362996e-11,5.3350695446415136e-16,1.2429658978893763e-22,7.2713214970458941e-32,5.3350976872559926e-16,1.2874673476831173e-21,1.1896226413720225e-22,1.4629989403948455e-24,1.6653575877553193e-39,5.5186486488283659e-55
5.13050057476981e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539150132,0.099999999838584541,0.099999999976458906,6.6328666639324352e-82,7.2930168320657403e-35,1.8736217315798401e-29,2.9946321826154352e-42,1.1053073589891822e-34,1.0915844456932923e-33,2.6586810974496305e-21,6.2801203247943077e-79,2.655142797573231e-21,3.924857907884871e-51,1.6961382894491864e-39,3.4064295255568814e-52,1.9511800965693617e-66,4.2766809847241952e-31,2.5808825383069447e-61,1.614144025240271e-10,4.7082217875791213e-11,1.0670113530309597e-15,4.9717435329204384e-22,5.8165615301078857e-31,1.0670230356450062e-15,4.7398930925956616e-21,8.7019936537626768e-22,2.1466468707506657e-23,9.7808798707303526e-38,1.2970689562352809e-52
7.695750896132677e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362528725194,0.099999999757876809,0.099999999964688349,4.1561945503036045e-81,2.6842194750236124e-34,5.1055544025568441e-29,1.9095173722354774e-41,3.2813728646839756e-34,2.3205316414226557e-33,3.9902332533443343e-21,3.0117341181797751e-78,3.9827143767966452e-21,1.169253853583761e-50,6.4664538074474512e-39,9.7432390956023103e-52,1.4339883058194367e-65,1.2220469583752677e-30,9.7919770296973969e-61,2.4212160230119271e-10,7.0623327092298531e-11,1.6005138240847383e-15,1.0564778659363577e-21,1.6630916458917521e-30,1.600539226640763e-15,9.5254660433586057e-21,2.3657316012489014e-21,7.5848065215202951e-23,5.3037954830203954e-37,9.5324684497091461e-52
1.0261001217495545e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362518300255,0.099999999677169077,0.099999999952917792,4.4187913501941327e-80,6.8075686465253139e-34,1.0337042436315996e-28,7.8125383817945875e-41,7.1499194157231935e-34,3.959990687049276e-33,5.3231123557289166e-21,9.9964856381439333e-78,5.3102860537324217e-21,2.556022823045381e-50,1.7398247033384815e-38,2.0557014024547621e-51,6.5026626603791606e-65,2.5766860619419443e-30,2.5555638652567072e-60,3.2282880054604637e-10,9.4164436288884999e-11,2.1340143676331058e-15,1.8021992498590313e-21,3.5077861751707073e-30,2.1340585491975254e-15,1.5457615987059153e-20,4.7712045528993059e-21,1.855247888659695e-22,1.9445567165836086e-36,4.322608819969413e-51
1.539150186022128e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362497450378,0.099999999515753613,0.099999999929376679,2.5112046477055999e-78,2.380544347064862e-33,2.6478436075943695e-28,6.220060539073741e-40,2.0753894070497323e-33,8.2036227069994074e-33,7.9919848077930651e-21,5.8725840584536933e-77,7.9654296369308652e-21,7.4607909252301283e-50,7.036818826233394e-38,5.6173514192511854e-51,5.9789714679780637e-64,7.0349789998959683e-30,9.4218276936241022e-60,4.8424319343951151e-10,1.4124665463530485e-10,3.2010109310163149e-15,3.7311289338490435e-21,9.5801434561686936e-30,3.2011051000009862e-15,2.9533435687703735e-20,1.2120426198307932e-20,6.1135443807184867e-22,1.3291163969314791e-35,3.9744134447886143e-50
2.0522002502947015e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362476600511,0.099999999354338148,0.099999999905835565,1.8262770852209487e-77,5.9481105006827802e-33,5.2438524021076693e-28,2.5278086683323484e-39,4.5386210506726713e-33,1.3960248170648647e-32,1.0665736875530517e-20,1.9616272106377534e-76,1.0620573579458031e-20,1.6395375846304675e-49,1.9060430494825092e-37,1.1758191233834579e-50,2.7091509924669452e-63,1.4716069729555927e-29,2.4523119956025442e-59,6.4565758069811955e-10,1.8832887290846861e-10,4.2680004063381036e-15,6.3455182238623616e-21,2.0043549820490061e-29,4.2681645807954111e-15,4.6626252513232572e-20,2.3800325526067755e-20,1.4553348739713397e-21,4.7287912524328369e-35,1.8008335319696756e-49
