Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),CHOX(50)
9.214762987467758e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19016337905912095,0.098284710166390468,0.099491290072155542,4.8175134828707123e-13,2.026466361333767e-07,4.8466557289762764e-12,1.6492479485280723e-13,1.7171412857672118e-17,5.1940149305000686e-34,5.3552622451930478e-16,2.9096837503066872e-48,3.0303102403960749e-18,7.652746077923208e-33,5.1529732145843839e-15,7.2405610730980657e-32,3.2425071560073772e-34,3.7629760799969276e-15,3.3424445796129532e-38,0.0017150501690786667,0.001016771060375888,6.2024463734987153e-10,4.3135184520337807e-08,3.9411458113113126e-16,5.9624655519374081e-11,6.0148842027631645e-08,2.6325135542252248e-08,2.4098722612678107e-07,1.788351557418672e-07,1.0954793295455069e-14,3.2207494785689281e-17
9.253429604294718e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19015417429903003,0.098279704172050883,0.099489189116519341,4.8997939982789065e-13,2.0429721657847857e-07,4.8505647069899243e-12,1.670574592136639e-13,1.7252891423590512e-17,5.2231730346949232e-34,5.3794548793119149e-16,2.9778924708755024e-48,3.0359327867375478e-18,7.7618499995508737e-33,5.1796094882543982e-15,7.3064274292207509e-32,3.2730812620879366e-34,3.7812342859736754e-15,3.4059241042038699e-38,0.0017200550965383316,0.0010209694320448917,6.2054970800318377e-10,4.2955672156789166e-08,3.9432508725029632e-16,5.9136958791948008e-11,5.9900495088161978e-08,2.6326909919793033e-08,2.4155905681148188e-07,1.8015055472549003e-07,1.1081432382629626e-14,3.2310936331347798e-17
9.292096221121679e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19014498442944108,0.098274712571759335,0.099487088408469315,4.983022626773639e-13,2.0595084050736412e-07,4.8544358494840151e-12,1.6920518247281068e-13,1.7334450143894127e-17,5.2523029346989709e-34,5.4036613923835257e-16,3.0473832907389068e-48,3.0415249277458197e-18,7.8720011791841748e-33,5.2062606993552531e-15,7.3725048160979886e-32,3.303768194192019e-34,3.799491603514561e-15,3.4703065592827329e-38,0.0017250456294309218,0.0010251673083640802,6.2085480809235411e-10,4.2777883067741811e-08,3.9453563119562791e-16,5.8654140032886502e-11,5.9652701076247867e-08,2.632876882328603e-08,2.4212797569459351e-07,1.8146591477748145e-07,1.1208734655514831e-14,3.2413712226805607e-17
9.33076283794864e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1901358094087589,0.098269735324654398,0.099484987947653286,5.0672043106018783e-13,2.0760748488919973e-07,4.858269672569225e-12,1.7136795469044992e-13,1.7416089065692939e-17,5.2814044271664467e-34,5.427881783769622e-16,3.1181745161157664e-48,3.0470869459522874e-18,7.9832051064035929e-33,5.2329269355967892e-15,7.4387919135775011e-32,3.3345674196895503e-34,3.8177480923036282e-15,3.5356005930661992e-38,0.0017300218086177786,0.0010293646900581073,6.2115993734457176e-10,4.2601790844770422e-08,3.9474621274627394e-16,5.8176160014800826e-11,5.9405493003556423e-08,2.6330710361569953e-08,2.4269402022010806e-07,1.8278120304712168e-07,1.133669787901512e-14,3.2515824672818833e-17
9.3694294547756e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19012664919550687,0.098264772389990734,0.099482887733720118,5.1523439753838323e-13,2.0926712697768537e-07,4.8620666824536427e-12,1.7354576553045481e-13,1.7497808236037051e-17,5.3104773113959768e-34,5.4521160528381238e-16,3.1902846358568524e-48,3.0526191196444236e-18,8.0954672798481363e-33,5.2596082829142003e-15,7.5052874068055931e-32,3.3654784073355559e-34,3.8360038106928125e-15,3.6018148990225054e-38,0.001734983674844101,0.0010335615778490148,6.2146509549096994e-10,4.2427369660130279e-08,3.9495683168442116e-16,5.7702979799561109e-11,5.915890299527924e-08,2.6332732698888912e-08,2.4325722722815809e-07,1.8409638756930409e-07,1.1465319839997539e-14,3.2617276364133355e-17
9.40809607160256e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19011750374832692,0.098259823727138831,0.099480787766319606,5.2384465302795216e-13,2.1092974430658611e-07,4.8658273756936533e-12,1.7573860427159074e-13,1.7579607701917549e-17,5.3395213891906399e-34,5.4763641989629143e-16,3.2637323225486269e-48,3.058121722958002e-18,8.2087932072137942e-33,5.2863048255196391e-15,7.5719899864669844e-32,3.3965006274075353e-34,3.8542588157407513e-15,3.6689582159460752e-38,0.0017399312687392801,0.0010377579724562384,6.217702822665023e-10,4.2254594249493832e-08,3.9516748777773374e-16,5.7234561233371751e-11,5.8912962297619486e-08,2.6334834052862394e-08,2.438176329688976e-07,1.8541143725656002e-07,1.1594598347954239e-14,3.2718069908871418e-17
9.44676268842952e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19010837302597888,0.098254889295584652,0.099478688045102542,5.3255168681602155e-13,2.1259531468536412e-07,4.8695522394363333e-12,1.7794645981862972e-13,1.766148751026737e-17,5.368536465760827e-34,5.5006262215236697e-16,3.3385364336200741e-48,3.0635950259666738e-18,8.3231884052522828e-33,5.3130166459520789e-15,7.6388983489977936e-32,3.427633551739125e-34,3.8725131632502975e-15,3.7370393280321064e-38,0.0017448646308172247,0.0010419538745966136,6.2207549740982019e-10,4.2083439897096589e-08,3.9537818081556346e-16,5.6770865391043434e-11,5.8667701287517122e-08,2.6337012692742369e-08,2.4437527311595995e-07,1.8672632189089575e-07,1.1724531235636565e-14,3.2818207749284501e-17
9.485429305256481e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1900992569873404,0.098249969054929345,0.099476588569720775,5.4135598657844964e-13,2.1426381619490642e-07,4.8732417516540831e-12,1.8016932071335422e-13,1.7743447707962139e-17,5.3975223493058533e-34,5.5249021199056535e-16,3.4147160124525815e-48,3.06903929476897e-18,8.4386583997700834e-33,5.3397438251255381e-15,7.7060111968132026e-32,3.4588766538756938e-34,3.8907669078047623e-15,3.8060670649511555e-38,0.0017497838014766951,0.0010461492849843828,6.2238074066315542e-10,4.1913882418954019e-08,3.9558891059630172e-16,5.6311853452281454e-11,5.8423149480138354e-08,2.6339266937792928e-08,2.449301827795054e-07,1.8804101211543344e-07,1.185511635966631e-14,3.291769295709674e-17
9.524095922083442e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1900901555914066,0.098245062964888857,0.099474489339827055,5.5025803839787951e-13,2.1593522718334762e-07,4.8768963813725957e-12,1.824071751454489e-13,1.7825488341820919e-17,5.4264788505417971e-34,5.5491918934995485e-16,3.4922902894928812e-48,3.0744547915728035e-18,8.5552087256277828e-33,5.3664864423756215e-15,7.7733272385290024e-32,3.490229409231986e-34,3.9090201028029054e-15,3.8760503019237086e-38,0.0017546888210016273,0.0010503442043312057,6.2268601177220681e-10,4.1745898146750142e-08,3.9579967689153586e-16,5.5857487811988289e-11,5.817933553639207e-08,2.6341595155368347e-08,2.4548239651887317e-07,1.8935547942579029e-07,1.198635160111867e-14,3.3016528543019811e-17
9.562762538910402e-09,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19008106879728942,0.098240170985293598,0.099472390355075158,5.592583267822172e-13,2.1760952626198224e-07,4.8805165888911529e-12,1.846600109632772e-13,1.7907609458607016e-17,5.4554057839573517e-34,5.5734955417012785e-16,3.5712786833690554e-48,3.0798417747775818e-18,8.6728449267396478e-33,5.3932445755044829e-15,7.8408451891444393e-32,3.5216912950787091e-34,3.9272728004927642e-15,3.9469979597947635e-38,0.0017595797295614632,0.001054538633346164,6.2299131048603011e-10,4.1579463915295878e-08,3.9601047949766211e-16,5.5407729871880154e-11,5.7936287273918834e-08,2.6343995759322493e-08,2.4603194835485075e-07,1.906696961613043e-07,1.211823486607564e-14,3.3114717118282409e-17
