Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CH4OX(60),CHOX(53),C2H4X(210),C2H4X(65)
6.108870188783538e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679696753,0.11866996602696658,0.022821567693010695,0.0,2.3997548250139064e-42,1.8587746564403893e-24,5.9803662085076574e-53,9.4180231557893311e-37,4.8040685869007464e-85,5.3915623844329973e-14,1.2071463725965819e-71,5.3915623836652602e-14,7.0251100406569778e-49,1.0818115076802926e-46,6.5280981599003682e-71,7.569313444869641e-72,2.6100545562236051e-33,1.6491401731767444e-56,2.9444802299048605e-12,8.7180826313479506e-14,3.4901468973824443e-16,5.6379599530553061e-26,2.0876392365940376e-25,3.4901347835271149e-16,1.1494513505032761e-36,6.007256536843483e-22,1.939892480695656e-24,5.8825770994326209e-28,3.5463824615601663e-47,7.434624637436079e-35,1.3473281932475071e-63,1.1496586039057788e-64,9.8028948781225952e-58,1.4253618756803941e-67,1.273979457150314e-74,1.5716850411777996e-67
1.2217745556124889e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679393518,0.11866996602396783,0.022821567692967105,0.0,3.8396026815946932e-41,7.435329956364714e-24,7.253264168265954e-51,7.5344257669097771e-36,2.3300153190741654e-82,1.0783129339627643e-13,7.7257480448593471e-70,1.0783129336556695e-13,1.1240187410145954e-47,1.7308975688883736e-45,1.5832334822998437e-68,1.8357548932414419e-69,2.088044817918711e-32,5.2772536400907669e-55,5.8889629544233306e-12,1.7436172652923048e-13,6.9803089934116986e-16,2.2551849801685768e-25,8.3505573742872244e-25,6.9802604607933561e-16,9.1955971902478877e-36,2.3951851884866126e-21,1.5468382530442805e-23,8.9279085709427202e-27,2.1513764816793185e-45,5.9478733469225692e-34,8.6229084665256619e-62,2.788218699142032e-62,3.1369225604983698e-56,3.4580153292975803e-65,1.6306952390137727e-72,1.0058464174918528e-65
2.443549629080759e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678787047,0.11866996601797034,0.022821567692879925,0.0,6.1433408436974633e-40,2.974312589176287e-23,8.9861803747202762e-49,6.0275432593591791e-35,1.1545257995523768e-79,2.1566263250838071e-13,4.9444819817109718e-68,2.1566263238554277e-13,1.7984307575271973e-46,2.7694286952537374e-44,3.9226428965529112e-66,4.5482919331368721e-67,1.6704358726000513e-31,1.6887216462002854e-53,1.1777928399094294e-11,3.4872352695505225e-13,1.3960670363427897e-15,9.0207393101244771e-25,3.3402201065616381e-24,1.3960475620863309e-15,7.3564477858852943e-35,9.5195442679280755e-21,1.2294188712885978e-22,1.3833452170265004e-25,1.3329198155378038e-43,4.7585688586312317e-33,5.5186624863880103e-60,6.9081211729417459e-60,1.0038110206601592e-54,8.5686493836653424e-63,2.0872903214356178e-70,6.436996655779083e-64
4.8870997760172994e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677574101,0.11866996600597535,0.022821567692705564,0.0,9.8292644636437764e-39,1.1898664109948675e-22,1.1208772837192566e-46,4.8220352640960825e-34,5.7600870205383317e-77,4.3132531076543433e-13,3.1644690289019909e-66,4.3132531027408283e-13,2.8774893953166954e-45,4.4310584126518319e-43,9.7854332889256262e-64,1.1346169830092574e-64,1.3363479841654685e-30,5.4039079108285892e-52,2.3555859270972327e-11,6.9744712778397498e-13,2.7921544954707825e-15,3.6082935158821563e-24,1.336085131014378e-23,2.7920761164656126e-15,5.8851070104834415e-34,3.7597244328621121e-20,9.7087395647894936e-22,2.1572352949429917e-24,8.3134409684922451e-42,3.8072779054367249e-32,3.5319424108085821e-58,1.7232958477978361e-57,3.2121655690748411e-53,2.1374121909349435e-60,2.6717304279555588e-68,4.1191363952108665e-62
9.77420006989038e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675148213,0.11866996598198537,0.022821567692356839,0.0,1.5726559662748277e-37,4.7605564177299687e-22,1.3906288237696063e-44,3.8576278311844359e-33,2.8586242162425222e-74,8.6265066741091722e-13,2.0252597514910021e-64,8.626506654455169e-13,4.6039817895510306e-44,7.08957660467017e-42,2.4281371308587378e-61,2.8154106589758235e-62,1.069076948865629e-29,1.7292489529426262e-50,4.7111720944872791e-11,1.3948943293509369e-12,5.5843925650439983e-15,1.4433152974620519e-23,5.3443159571426792e-23,5.5840753158887929e-15,4.7080023567531148e-33,1.466745873319373e-19,7.5712475005971069e-21,3.3450986063909143e-23,5.1568571495707403e-40,3.0464753600938324e-31,2.2604401767908474e-56,4.2761231742661471e-55,1.0278698949761145e-51,5.3024140431923917e-58,3.4198104799136194e-66,2.6355533904030298e-60
1.954840065763654e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670296433,0.11866996593400542,0.022821567691659394,0.0,2.5161648691760418e-36,1.9050370921669944e-21,1.6917832500545177e-42,3.086101084596541e-32,1.3912475616010357e-71,1.7253013812273649e-12,1.2961653279085476e-62,1.7253013733658004e-12,7.3663654224269361e-43,1.1342985043758211e-40,5.9084391461446676e-59,6.8507788784919292e-60,8.552591418012166e-29,5.533585410953151e-49,9.4223444013251327e-11,2.7897887321213292e-12,1.1169139157361417e-14,5.7732436543039702e-23,2.1377064747477813e-22,1.1167842087017117e-14,3.7662681794053892e-32,5.5895339469659879e-19,5.7640690467693301e-20,5.0845493413312131e-22,3.1363078317131794e-38,2.4381577366429284e-30,1.446677614747739e-54,1.0405050555262409e-52,3.2890457297432713e-50,1.2894817346040324e-55,4.3773450562435556e-64,1.6858663188174152e-58
3.9096801833128864e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727660592879,0.1186699658380455,0.022821567690264499,0.0,4.0255926071588371e-35,7.6258662883719346e-21,1.9763838138391475e-40,2.4688787504439524e-31,6.5028770944127743e-69,3.4506028109620013e-12,8.2954452400625098e-61,3.4506027795160308e-12,1.1786166095401602e-41,1.8147698261661196e-39,1.3807213070855388e-56,1.6009232043826836e-57,6.8420340698752491e-28,1.7707399573198601e-47,1.8844688903231879e-10,5.579577536207984e-12,2.2339837293047053e-14,2.3092833283193749e-22,8.5506661286264844e-22,2.233444919538661e-14,3.0128004634280685e-31,2.0410180105820805e-18,4.1985761126089505e-19,7.417573795579351e-21,1.8313287145387942e-36,1.951904562127628e-29,9.2586833103027045e-53,2.4314554685452496e-50,1.052406584545638e-48,3.0096961193039601e-53,5.6029694470262818e-62,1.0778196612528142e-56
5.864520300862119e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727650889324,0.11866996574208558,0.022821567688869605,0.0,1.4816547123373791e-34,1.6212519029485111e-20,1.2585862756688278e-39,7.3294801535124315e-31,5.4137674502037771e-68,5.1759042427983792e-12,4.7099056843863461e-60,5.1759041759759263e-12,4.4589426739009953e-41,6.918673460616171e-39,1.0135721302946335e-55,1.1752178552973081e-56,1.9563877410415418e-27,8.2604491841354784e-47,2.8267033293369669e-10,8.369366338840505e-12,3.3511846869489876e-14,4.9072064854917991e-22,1.8169930722218601e-21,3.3500129946847838e-14,8.6143748868962066e-31,4.0798240076567543e-18,1.1389745670952939e-18,2.6152642805429899e-20,9.9156829652669774e-36,5.5832848851133436e-29,5.1775266588940333e-52,1.7848919990546291e-49,4.9391891234822363e-48,2.2200604073593641e-52,3.6690419429482617e-61,6.0250939750960465e-56
7.819360418411351e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727641185769,0.11866996564612566,0.02282156768747471,0.0,3.7577643489508471e-34,2.766749930590062e-20,5.1430522705312541e-39,1.5970543014603871e-30,2.6991060965925033e-67,6.9012056767361242e-12,1.8113331423401582e-59,6.9012055627454934e-12,1.1606593982713653e-40,1.8614524468116407e-38,4.5912034362173292e-55,5.3233988614102768e-56,4.1265762030618317e-27,2.5153094316590539e-46,3.7689377571738504e-10,1.1159155140018893e-11,4.4685260200504806e-14,8.371084769763566e-22,3.0995395302893445e-21,4.4664884418372937e-14,1.8169539368672427e-30,6.5900385406030483e-18,2.2930979495666339e-18,6.3863339082456742e-20,3.6304453337740664e-35,1.1780422317250994e-28,1.8123832261648846e-51,8.0850115782792697e-49,1.539637940583671e-47,1.1102828601110142e-51,1.4551143866188264e-60,2.1083857544862851e-55
1.1729040653509814e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727621778655,0.11866996545420584,0.022821567684684921,0.0,1.3141172173862694e-33,5.7315560369038164e-20,4.0850539919278802e-38,4.6357508513192123e-30,2.8415009043047575e-66,1.0351808549542545e-11,1.3785649426596221e-58,1.0351808313542033e-11,4.259450300793428e-40,7.5282993002061241e-38,4.2123912344365494e-54,4.8841119188728706e-55,1.1270904613137771e-26,1.1459795822704654e-45,5.6534065866161306e-10,1.6738732738962899e-11,6.7035622117683687e-14,1.733115764291457e-21,6.4170753981736787e-21,6.699221967787032e-14,4.9623591733316571e-30,1.2501704468175415e-17,5.811033546596221e-18,2.0995596182240359e-19,2.4750180257818255e-34,3.2191127510420293e-28,1.008676351566561e-50,7.417783379736723e-48,7.5853066669348456e-47,1.5991979285960732e-50,9.751481921060554e-60,1.1727514113374113e-54
