Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),C2H6X(52),CH4OX(60),C2H4X(205),C2H4X(65),CH2OH(40),OCX(25),CH2OX(54),CH2(T)(34),CH2O2(181),O(29),COX(50),C3H6O(210),C2H3(46),C2H2(308),C2H2(331),C2H2X(333),C4H6(347),acetyl(43),C3H5(340)
4.7211355239314074e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450314309185218,0.10549777295947373,0.021754708065335995,0.0,0.001185607380742641,0.00103162028926535,1.5346649013096193e-06,0.00017514527195455545,3.4973759296269724e-05,0.0049724742163961668,3.3952319379707001e-10,0.00030781328805880363,1.2736468391950316e-08,0.00016525005485668146,2.0799230119833958e-09,5.7320011412055365e-11,0.00062216924807754028,4.5688505460080684e-06,0.0076092407947515976,0.00010431046866784081,6.8291127639116806e-05,5.2173843110927528e-07,2.6911689539643324e-08,4.7580688959046127e-08,5.3529000494925211e-08,2.0683671018699276e-05,7.2268487773019607e-06,4.8273168128326676e-07,1.8381252785792846e-09,4.397741857744019e-07,1.2941328149691528e-12,1.4937009485316973e-08,4.5174435244053451e-16,6.0248367989151939e-08,1.2726349030956909e-05,3.4118096447178261e-13,1.9165421865129334e-05,4.7724064645367855e-12,3.4793930935715241e-17,4.1203240283342602e-11,4.2784544285365409e-08,8.3325836503307451e-12,1.9952179791974313e-10,1.7948165393329845e-20,1.9109460049540143e-14,2.4540527216988273e-14
4.7270023546877836e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450357794934137,0.10549115655225633,0.021753095815077703,0.0,0.0011880112874678608,0.001032554251407404,1.5428078973422649e-06,0.00017563494015484932,3.5100956562298988e-05,0.0049778630621871208,3.4115681899381067e-10,0.00030777079675633871,1.2774321192781599e-08,0.00016569502054606164,2.0883146490178269e-09,5.7666958696729908e-11,0.0006224009196431179,4.5893392469418876e-06,0.0076087703812020924,0.00010429670921243095,6.8317625542868511e-05,5.2187307756814215e-07,2.6938858573248776e-08,4.7632120772915266e-08,5.3637443740931918e-08,2.0702527674386956e-05,7.259262483079442e-06,4.8408551985751131e-07,1.8430766275818596e-09,4.4186100488545241e-07,1.2999375391188666e-12,1.4977750698958839e-08,4.541417711184959e-16,6.0467913601014396e-08,1.2751025369525251e-05,3.4181718831493097e-13,1.9187226163628391e-05,4.7977340835347416e-12,3.5077098748973063e-17,4.1400891856055902e-11,4.3051339215178084e-08,8.3845440871862959e-12,2.0077084146166595e-10,1.8141088708766378e-20,1.9231680693562918e-14,2.4720321774805411e-14
4.73286918544416e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450401279388929,0.10548454089014132,0.021751483036189668,0.0,0.0011904162178166509,0.0010334872571916649,1.5509814426949711e-06,0.00017612513500888174,3.5228404830372183e-05,0.0049832490668761109,3.4279542251139351e-10,0.00030772836841572214,1.2812220228729964e-08,0.00016614036828685997,2.0967251176429466e-09,5.8015380856395784e-11,0.00062263196058581522,4.6098882025290372e-06,0.0076083000174107856,0.00010428295746493603,6.8344089981583025e-05,5.2200743602410573e-07,2.6966007253790788e-08,4.7683525587763093e-08,5.3745933243279912e-08,2.0721365053264544e-05,7.2917715316951392e-06,4.8544082347551446e-07,1.848032236077732e-09,4.4395439988537196e-07,1.305759341827035e-12,1.5018528003312414e-08,4.5654818699839236e-16,6.0687893661360258e-08,1.2775700653205914e-05,3.4245327757310836e-13,1.9209023197489894e-05,4.8231567551894549e-12,3.536211600348849e-17,4.1599183364266092e-11,4.3319403488775695e-08,8.4367517403293048e-12,2.0202585301209188e-10,1.8335793288370669e-20,1.9354491324791065e-14,2.4901163522758207e-14
4.738736016200536e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.444504447625307,0.10547792597420552,0.021749869729232468,0.0,0.0011928221694249795,0.0010344193080047864,1.5591856002243052e-06,0.00017661585556429162,3.5356104079253765e-05,0.0049886322318187211,3.4443900857242764e-10,0.00030768600297388844,1.2850165430791452e-08,0.00016658609706761434,2.1051544188701447e-09,5.8365281099823353e-11,0.00062286237317302597,4.6304974837851744e-06,0.0076078297034662141,0.00010426921341639812,6.8370521029877918e-05,5.2214150724656584e-07,2.699313559050789e-08,4.7734903415416055e-08,5.3854468894894382e-08,2.0740183183244484e-05,7.3243760355541215e-06,4.8679758950287677e-07,1.852992092813225e-09,4.4605437950981886e-07,1.3115982432674427e-12,1.5059341307896383e-08,4.5896361860664298e-16,6.090830813554753e-08,1.2800374848656526e-05,3.4308923130452517e-13,1.9230812920419304e-05,4.8486746752495562e-12,3.5648991635599574e-17,4.1798115769444367e-11,4.3588741151182332e-08,8.4892073975750288e-12,2.0328685168511919e-10,1.8532292488538908e-20,1.9477893813291189e-14,2.5083056894029564e-14
4.7446028469569124e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450488244340663,0.10547131180552011,0.021748255894766338,0.0,0.0011952291399368088,0.0010353504052317793,1.567420432784502e-06,0.00017710710086908473,3.5484054287227011e-05,0.0049940125583755324,3.4608758137821526e-10,0.00030764370036754968,1.2888156729983307e-08,0.00016703220587817145,2.1136025536703892e-09,5.871666263300431e-11,0.00062309215966386937,4.6511671616103849e-06,0.0076073594394564566,0.0001042554770578734,6.8396918762153461e-05,5.2227529199915785e-07,2.7020243594105102e-08,4.7786254266414411e-08,5.3963050588396758e-08,2.0758982092206319e-05,7.3570761068773302e-06,4.8815581530617092e-07,1.8579561864916301e-09,4.4816095248116196e-07,1.3174542635829756e-12,1.5100190522356461e-08,4.613880844687179e-16,6.1129156988098292e-08,1.282504792271795e-05,3.4372504857027936e-13,1.9252595286299093e-05,4.874288039400058e-12,3.5937734611345481e-17,4.1997690032247205e-11,4.3859356253175763e-08,8.5419118478651637e-12,2.0455385662225689e-10,1.8730599701029281e-20,1.960189003882326e-14,2.5266006346265375e-14
4.7504696777132887e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450531724800046,0.10546469838515063,0.021746641533351142,0.0,0.0011976371270040604,0.001036280550256008,1.5756860032273343e-06,0.00017759886997163984,3.5612255432095963e-05,0.0049993900479120834,3.4774114510877457e-10,0.00030760146053319942,1.2926194057344473e-08,0.00016747869370968956,2.1220695229744214e-09,5.9069528659137367e-11,0.00062332132230921591,4.6718973067878095e-06,0.007606889225469142,0.00010424174838042978,6.8423283252591337e-05,5.2240879104278224e-07,2.7047331272792599e-08,4.7837578157190997e-08,5.4071678220697901e-08,2.0777761807996695e-05,7.3898718577030747e-06,4.8951549825296092e-07,1.8629245059871529e-09,4.5027412750848066e-07,1.3233274228497825e-12,1.5141075556465697e-08,4.6382160311681164e-16,6.1350440182702067e-08,1.2849719842413445e-05,3.4436072848980026e-13,1.9274370249189071e-05,4.8999970434397045e-12,3.6228353843050889e-17,4.2197907112533264e-11,4.4131252851281209e-08,8.5948658812347912e-12,2.0582688699239557e-10,1.8930729405337373e-20,1.9726481811582801e-14,2.5450016334641544e-14
4.756336508469665e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450575203890197,0.10545808571415693,0.02174502664554637,0.0,0.0012000461282865929,0.0010372097444591919,1.5839823744019927e-06,0.00017809116192071584,3.5740707491187387e-05,0.0050047647017988292,3.4939970392286317e-10,0.0003075592834071163,1.2964277343936125e-08,0.00016792555955464185,2.1305553276729459e-09,5.9423882378614104e-11,0.00062354986335170929,4.6926879899849074e-06,0.0076064190615914469,0.00010422802737514327,6.844961457515232e-05,5.2254200513977408e-07,2.7074398635485489e-08,4.7888875100175122e-08,5.4180351686041904e-08,2.0796522358429327e-05,7.4227633998858756e-06,4.9087663571182095e-07,1.8678970401078133e-09,4.523939132875635e-07,1.3292177411422786e-12,1.51819963201246e-08,4.662641930755638e-16,6.1572157682219319e-08,1.287439057494778e-05,3.4499627013831357e-13,1.9296137763326693e-05,4.9258018831133584e-12,3.6520858342748992e-17,4.2398767969358267e-11,4.4404435007765196e-08,8.6480702888553339e-12,2.0710596199177811e-10,1.9132695230861393e-20,1.9851671005058546e-14,2.5635091322176889e-14
4.762203339226041e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450618681592491,0.10545147379359338,0.021743411231911151,0.0,0.0012024561414521778,0.0010381379892214048,1.5923096091549588e-06,0.00017858397576545813,3.5869410441352772e-05,0.0050101365214110915,3.5106326195800121e-10,0.00030751716892536674,1.3002406520842169e-08,0.00016837280240681929,2.1390599686168191e-09,5.9779726989004808e-11,0.00062377778502579269,4.7135392817540443e-06,0.0076059489479100937,0.00010421431403310353,6.8475912803582406e-05,5.2267493504682114e-07,2.7101445693497901e-08,4.7940145104686146e-08,5.4289070877194255e-08,2.0815263771284972e-05,7.4557508450960029e-06,4.9223922505235258e-07,1.872873777565575e-09,4.5452031850090809e-07,1.3351252385131018e-12,1.5222952723361403e-08,4.6871587286660102e-16,6.1794309448684708e-08,1.2899060087706398e-05,3.4563167257980758e-13,1.9317897783127424e-05,4.9517027540580507e-12,3.6815257173323205e-17,4.260027356096345e-11,4.4678906790629297e-08,8.7015258630290931e-12,2.0839110084397104e-10,1.933651057699306e-20,1.9977459522590853e-14,2.5821235801887592e-14
4.7680701699824174e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450662157888415,0.10544486262450863,0.021741795293004254,0.0,0.0012048671641764585,0.0010390652859210727,1.6006677703298818e-06,0.00017907731055540524,3.5998364258970246e-05,0.0050155055081290085,3.5273182333049506e-10,0.0003074751170238094,1.3040581519169791e-08,0.00016882042126133346,2.1475834466172416e-09,6.0137065685044517e-11,0.00062400508955773228,4.7344512525307237e-06,0.0076054788845113597,0.00010420060834541236,6.850217801141266e-05,5.2280758151649197e-07,2.712847245512389e-08,4.7991388188057455e-08,5.4397835692736471e-08,2.083398607431144e-05,7.4888343048213392e-06,4.9360326364520469e-07,1.8778547072903447e-09,4.5665335181772088e-07,1.3410499349333789e-12,1.5263944676332243e-08,4.7117666102143209e-16,6.2016895443310557e-08,1.2923728348254552e-05,3.4626693496004035e-13,1.9339650263185006e-05,4.9776998520537954e-12,3.7111559308800737e-17,4.280242484478637e-11,4.4954672273604165e-08,8.7552333971386793e-12,2.0968232279983488e-10,1.9542190376404915e-20,2.0103849167986187e-14,2.6008454264061348e-14
4.773937000738794e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450705632759496,0.10543825220794585,0.021740178829384074,0.0,0.0012072791941429336,0.0010399916359349751,1.6090569207674571e-06,0.00017957116534049556,3.6127568919946528e-05,0.0050208716633375079,3.5440539213546111e-10,0.00030743312763809792,1.3078802270049958e-08,0.00016926841511461977,2.1561257624459464e-09,6.0495901658618966e-11,0.00062423177916564123,4.7554239726345653e-06,0.007605008871481079,0.00010418691030317855,6.8528410271954991e-05,5.2293994530395169e-07,2.7155478928745197e-08,4.8042604363768042e-08,5.4506646028512339e-08,2.0852689295223584e-05,7.5220138903665445e-06,4.9496874886209145e-07,1.8828398181648437e-09,4.587930218939168e-07,1.346991850376003e-12,1.5304972089321366e-08,4.7364657606307718e-16,6.2239915626490214e-08,1.2948395324336453e-05,3.4690205637455257e-13,1.9361395158271779e-05,5.0037933728481498e-12,3.7409773831722481e-17,4.3005222777463061e-11,4.5231735536143191e-08,8.8091936856988724e-12,2.1097964713749553e-10,1.9749748601354221e-20,2.0230841813056237e-14,2.6196751200582314e-14
4.779217148419532e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450744758910027,0.10543230347730344,0.021738723563957271,0.0,0.0012094508803965592,0.0010408245426677381,1.6166337039161977e-06,0.00018001607845802539,3.6244067565605496e-05,0.0050256987832330647,3.5591588878225163e-10,0.00030739539058866083,1.3113240007373814e-08,0.00016967192937815038,2.1638299536411402e-09,6.0820136842914845e-11,0.00062443527587943248,4.774351419429624e-06,0.0076045859028894347,0.00010417458859469595,6.8551991196933086e-05,5.2305883163901338e-07,2.717976741885109e-08,4.8088675922135097e-08,5.4604614161730368e-08,2.0869505901716501e-05,7.5519577967778588e-06,4.9619892024943311e-07,1.8873299834996124e-09,4.6072440653516845e-07,1.3523543130398604e-12,1.5341927005280532e-08,4.7587731839311355e-16,6.24410049891732e-08,1.2970594478075654e-05,3.4747354434778684e-13,1.9380959041463344e-05,5.0273601446967995e-12,3.7679809567640813e-17,4.3188294591647046e-11,4.5482205450230621e-08,8.8579747080436056e-12,2.1215247253314568e-10,1.9938168089460649e-20,2.0345652354963325e-14,2.6367144283082457e-14
4.78449729610027e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450783883878181,0.10542635535779703,0.021737267874371254,0.0,0.0012116233789686106,0.0010416566847002374,1.6242356850726077e-06,0.00018046141131038154,3.6360769356265135e-05,0.0050305236117478757,3.5743044770478294e-10,0.00030735770407758407,1.3147714698329962e-08,0.00017007574584914544,2.1715494045779048e-09,6.1145589727964909e-11,0.00062463827790041563,4.7933281811459522e-06,0.0076041629752273453,0.00010416227306537842,6.8575545546964103e-05,5.2317749015185649e-07,2.720403949190141e-08,4.8134725703952316e-08,5.4702619006036874e-08,2.0886307094276772e-05,7.5819797359934539e-06,4.9743025935972501e-07,1.8918235183687495e-09,4.6266118024348341e-07,1.3577307537725472e-12,1.5378910506066749e-08,4.7811548200785344e-16,6.264244598182257e-08,1.2992792542150172e-05,3.4804491676780657e-13,1.9400516711620276e-05,5.0510053201214705e-12,3.7951408359195816e-17,4.3371891661866636e-11,4.5733732856723419e-08,8.9069616867304547e-12,2.1333027058749732e-10,2.0128130970363593e-20,2.0460954212384811e-14,2.6538417898417492e-14
4.789777443781008e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450823007650631,0.10542040785017567,0.021735811761032339,0.0,0.0012137966881865594,0.0010424880630327217,1.6318629100409283e-06,0.00018090716320582508,3.6477674273389669e-05,0.0050353461499013062,3.5894907184446618e-10,0.00030732006805754688,1.3182226292764275e-08,0.00017047986379876767,2.1792841157375744e-09,6.147226263467933e-11,0.00062484078682875221,4.8123543088054959e-06,0.007603740088556462,0.0001041499637087659,6.8599073375048237e-05,5.2329592138806111e-07,2.7228295151880692e-08,4.8180753723639269e-08,5.4800660489163333e-08,2.090309289303997e-05,7.6120797887745069e-06,4.9866276427923215e-07,1.8963204148260168e-09,4.6460334930140872e-07,1.3631211870428602e-12,1.5415922526544177e-08,4.8036108041384529e-16,6.2844238573876832e-08,1.301498949341399e-05,3.4861617302232596e-13,1.9420068136143792e-05,5.0747290419048434e-12,3.8224576826689262e-17,4.3556014683833052e-11,4.5986320741408529e-08,8.9561552032516657e-12,2.145130554108358e-10,2.0319648297436866e-20,2.0576748702857612e-14,2.6710575331514076e-14
4.795057591461747e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44450862130214114,0.10541446095518484,0.02173435522434658,0.0,0.0012159708063829682,0.0010433186786643553,1.6395154246231562e-06,0.00018135333345289549,3.6594782298138821e-05,0.0050401663987157648,3.6047176412886994e-10,0.00030728248248110143,1.3216774740539483e-08,0.00017088428249905551,2.1870340875760513e-09,6.1800157882064824e-11,0.00062504280425931509,4.8314298533560213e-06,0.0076033172429381532,0.00010413766051840579,6.8622574734046997e-05,5.2341412589046883e-07,2.7252534409133043e-08,4.8226759982664599e-08,5.4898738530612643e-08,2.091986331812002e-05,7.6422580357604382e-06,4.9989643309496176e-07,1.9008206645661153e-09,4.6655091998277136e-07,1.368525627365854e-12,1.5452963001661502e-08,4.8261412710237172e-16,6.3046382734245418e-08,1.3037185308836403e-05,3.4918731239697968e-13,1.9439613282552984e-05,5.0985314525282017e-12,3.8499321765861083e-17,4.3740664352724351e-11,4.6239972093812195e-08,9.0055558398853274e-12,2.157008411312624e-10,2.0512729181844453e-20,2.069303729383847e-14,2.6883619912082922e-14
