Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(56),CH3OO(84)
1.4286938344428651e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33364896932915217,0.11502388303476255,0.022685312209129543,5.7566389071154286e-36,1.9129643167652059e-13,1.0060907243317833e-10,1.464544256232676e-21,4.3575241733851417e-15,8.6433236514323713e-13,2.241668526757529e-07,5.1308139579334107e-23,5.6106649532613924e-11,5.6427184458562316e-16,4.5182035065135886e-17,1.7170470154300742e-21,1.0860383211285698e-29,8.4792464514558046e-13,2.0938992542055397e-18,0.0036458585358516626,0.00027251088122619705,2.5316294125807011e-10,7.7968595914332585e-12,2.241917574265012e-07,8.1500467491852381e-17,1.0531452422271408e-12,3.8461353493489906e-11
1.4425877702081619e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.333625785668412,0.11500331519522083,0.022684004294360634,6.1418175198530416e-36,1.9768535168121703e-13,1.0446008374874051e-10,1.5129363468950268e-21,4.5239874775593614e-15,8.8476763467972207e-13,2.2747397956383735e-07,5.4536257132785033e-23,5.7014888322194684e-11,5.859916649134294e-16,4.6939747205237668e-17,1.7931511047990753e-21,1.1603773871239154e-29,8.6782132764646803e-13,2.193604205838573e-18,0.0036664230659687069,0.00027512670938680418,2.548667296809116e-10,7.9809584585082363e-12,2.2749228867072433e-07,8.3498062584043409e-17,1.0965721087489165e-12,3.9034544723367442e-11
1.4564817059734586e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33360280107812468,0.11498294591314973,0.022682696635959232,6.5489586066893629e-36,2.0423413803104737e-13,1.08424108151051e-10,1.5624737378420865e-21,4.695350886147563e-15,9.0550194924587457e-13,2.3080242691815218e-07,5.7937334592367811e-23,5.7932057385040968e-11,6.0835350231873857e-16,4.8750858621854732e-17,1.8719877611913866e-21,1.239138300765999e-29,8.8800459412318203e-13,2.2971303192570615e-18,0.0036867890172904328,0.00027774202480151537,2.565707492490081e-10,8.1678332691434383e-12,2.3081390381667437e-07,8.5528535051691823e-17,1.141375740450907e-12,3.9611422776146367e-11
1.4703756417387554e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33358001364024614,0.1149627732737022,0.02268138923232435,6.9791041740808583e-36,2.1094558080882059e-13,1.1250350321087594e-10,1.6131734037145333e-21,4.8717177161170213e-15,9.2653720330048377e-13,2.3415218777900419e-07,6.1519084343005094e-23,5.8858208185152131e-11,6.3137090360533571e-16,5.0616554624652636e-17,1.9536332353468415e-21,1.3225459430753395e-29,9.0847616545005159e-13,2.4045900768562264e-18,0.0037069583046708526,0.00028035683067225505,2.5827500728389204e-10,8.3575032465922571e-12,2.3415659105881759e-07,8.7592194649802749e-17,1.1875872276704472e-12,4.0191985764047365e-11
1.4842695775040521e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33355742145525069,0.1149427953805183,0.022680082081870678,7.4333360545238866e-36,2.1782250158933253e-13,1.167006568526483e-10,1.6650524366016186e-21,5.0531926540781213e-15,9.4787529035235837e-13,2.3752325528762793e-07,6.5289496206648968e-23,5.9793392040802934e-11,6.5505759451631159e-16,5.2538037557681252e-17,2.0381653256779678e-21,1.410834768537103e-29,9.2923776059493571e-13,2.5160983252290601e-18,0.0037269328244767391,0.00028297113016965232,2.5997951099560193e-10,8.5499875959808375e-12,2.3752033863098373e-07,8.9689352689885675e-17,1.2352380947186216e-12,4.0776231817927747e-11
1.498163513269349e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33353502264195178,0.11492301035554636,0.022678775183028368,7.9127770774650513e-36,2.2486775368601808e-13,1.21017987517146e-10,1.7181280462581903e-21,5.2398817646467472e-15,9.6951810296959355e-13,2.409156226846414e-07,6.9256845142187684e-23,6.0737660125009268e-11,6.7942748080941314e-16,5.4516526917783667e-17,2.1256633984414804e-21,1.5042491365063855e-29,9.5029109662938583e-13,2.6317723062836384e-18,0.0037467144547665464,0.00028558492643335144,2.6168426748418323e-10,8.7453055043367107e-12,2.4090513480449208e-07,9.1820322054659864e-17,1.2843603024364401e-12,4.1364159086997154e-11
1.5120574490346457e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33351281533732485,0.11490341633886568,0.022677468534242927,8.4185922649015533e-36,2.3208422239922462e-13,1.2545794432372827e-10,1.772417560325717e-21,5.431892498805762e-15,9.9146753278868963e-13,2.4432928330852366e-07,7.3429699099093809e-23,6.1691063465986326e-11,7.0449464933208023e-16,5.655325947301325e-17,2.2162084080325417e-21,1.6030436515549335e-29,9.7163788873866205e-13,2.7517316885468754e-18,0.003766305055467589,0.00028819822257232134,2.6338928374116907e-10,8.9434761406146492e-12,2.4431096788629907e-07,9.3985417212797869e-17,1.3349862507448743e-12,4.1955765738537102e-11
1.5259513847999424e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33349079769633133,0.11488401148851121,0.022676162133975063,8.9519900520049863e-36,2.3947482526609805e-13,1.300230072321274e-10,1.8279384245573259e-21,5.6293337022655687e-15,1.0137254705235392e-12,2.4776423059411212e-07,7.7816927026760026e-23,6.2653652947599343e-11,7.3027336909617999e-16,5.8649489381058262e-17,2.3098829174017688e-21,1.7074835129349733e-29,9.9327985023159956e-13,2.8760985986546213e-18,0.0037857064685514956,0.00029081102166515993,2.650945666510408e-10,9.1445186557195899e-12,2.4773782621716762e-07,9.6184954233707974e-17,1.3871487811887051e-12,4.2551049957624387e-11
1.5398453205652392e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33346896789174441,0.11486479398029972,0.022674855980700473,9.5142235331042586e-36,2.4704251231207663e-13,1.3471568720379298e-10,1.8847082030468638e-21,5.8323156238238558e-15,1.0362938059742694e-12,2.5122045807112066e-07,8.2427707041479293e-23,6.3625479309806732e-11,7.5677809235243833e-16,6.0806488307673142e-17,2.4067711185949395e-21,1.8178448733380493e-29,1.0152186925503323e-12,3.0049976530280866e-18,0.0038049205182079638,0.00029342332676039713,2.6680012299266973e-10,9.3484521825268406e-12,2.511856981698583e-07,9.8419250802357543e-17,1.4408811794741503e-12,4.3150009946858247e-11
1.553739256330536e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33344732411397721,0.11484576200765775,0.022673550072909783,1.0106591733366013e-35,2.5479026630398429e-13,1.3953852636278669e-10,1.9427445784619996e-21,6.0409499237245039e-15,1.0591744280359513e-12,2.5469795936267921e-07,8.7271534753038924e-23,6.4606593149096024e-11,7.8402345566457531e-16,6.3025545545115469e-17,2.5069588534153907e-21,1.9344152071290015e-29,1.0374561252798729e-12,3.138555989736527e-18,0.0038239490110168191,0.00029603514087679314,2.6850595944074007e-10,9.5552958358994212e-12,2.5465457214734052e-07,1.006886262341351e-16,1.4962171780002227e-12,4.375264392609134e-11
