Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),CH2X(134),CHX(26),H2X(36),C2H6X(39),CX(24),C2H3X(136),C2H5X(38),C2H4X(51),C2H3X(50),CH2(T)(29),C3H8X(43),C3H6(143),C3H6X(157),C3H5X(155),HOCXO(25),OCX(21),HOX(23),OX(20),COX(37),C3H5X(156),H2OX(35),C3H5X(144),allyl(160),CH3OHX(46),C4H8(202),C4H8X(300),C4H7X(299),C4H7X(203),C4H7(303),C4H7X(360),C4H8(148),C4H8X(467)
3.7122550572196914e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105726731196733,0.099966872835661746,2.3735888251098304e-56,0.099970706476390961,5.1288084075858979e-38,7.8422135257818756e-26,5.0840566311411978e-19,3.0726084976818477e-22,5.3401895215065017e-47,3.8068749156081192e-13,2.3273721403057521e-43,7.4777952834486272e-23,7.8827602669600998e-32,2.3659304739842387e-35,7.5987978555967097e-39,2.8857430198983294e-40,3.6866248071315905e-35,1.6321700990781591e-46,3.3127163872644597e-05,2.9293523609076337e-05,8.4901445683750057e-14,4.658664052268878e-13,5.1938755454698065e-17,5.7863310581384781e-17,1.9737604906011119e-29,5.5713546926066637e-26,1.2325060982328603e-27,1.6481418554765995e-36,2.1935590119607637e-34,1.6273779526797762e-50,5.6693771267832602e-53,1.4008955582845811e-31,2.8067778211228276e-47,3.6313630014497115e-66,2.3800996968161101e-70,3.7386552839820036e-73,1.4877264783887752e-27,2.1573468439690171e-26,2.9781616784055858e-26,5.0851370888630658e-19,1.0805398033515626e-22,1.8693276419910832e-73,7.8399092604931148e-42,4.4232674080920963e-76,8.1381290979005101e-74,3.5160751211440294e-39,1.6256761936215872e-86,7.6518793248463166e-91,1.1394752642204408e-93,9.0566611696965118e-96,1.5956860885352321e-91,2.2938907595011075e-93,1.5259183732234505e-84,7.8858079720234929e-89
3.7349991728832944e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105717575836313,0.099966842766225042,2.4174760205106256e-56,0.099970644992223426,5.2258808947791381e-38,7.9872142124179766e-26,5.115194028919797e-19,3.0982910941311546e-22,5.438929870182813e-47,3.8352688900051492e-13,2.364972322791591e-43,7.5696340407700987e-23,8.0058611827912786e-32,2.3979158179053502e-35,7.6921749057731427e-39,2.9212041779448686e-40,3.7337849239613313e-35,1.6819197072204399e-46,3.3157233306484566e-05,2.9355007776611656e-05,8.4913729784140051e-14,4.6872038333487285e-13,5.210002283237283e-17,5.8521320221470428e-17,2.0138802431208963e-29,5.6415828293797298e-26,1.2556127528063023e-27,1.6912936124431027e-36,2.2115474815291081e-34,1.6856690811797737e-50,5.8828770276988213e-53,1.4269079987507824e-31,2.8670399217177207e-47,3.7949209755641147e-66,2.5014887345830113e-70,3.9339520636229538e-73,1.4968524104948601e-27,2.1575142426827886e-26,2.9971849485466879e-26,5.1162842529856957e-19,1.0903080329710865e-22,1.966976031811563e-73,8.0183660353458872e-42,4.6226323347285215e-76,8.5635375708773331e-74,3.5789731254099585e-39,1.7226558056189557e-86,8.156960782147972e-91,1.2157243768770198e-93,9.5978852411010306e-96,1.6916170413276465e-91,2.4149661338477307e-93,1.6063190034281322e-84,8.3510444363120137e-89
3.7577432885468975e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105708545893278,0.099966813256976261,2.4619008330728884e-56,0.099970584202041912,5.3241704458922634e-38,8.1339911059186846e-26,5.1463313696091266e-19,3.123980980262874e-22,5.5388798291419358e-47,3.8636667191165827e-13,2.4028849753002933e-43,7.6620324786857441e-23,8.12996725193791e-32,2.4301093800311248e-35,7.7861220709484072e-39,2.9568818446330419e-40,3.7812451063466665e-35,1.7328187893244481e-46,3.318674255243129e-05,2.9415797958133196e-05,8.4925625294871798e-14,4.71574360584864e-13,5.225937898819152e-17,5.9181357418856285e-17,2.0545464173083447e-29,5.7120704795104973e-26,1.2789810819309752e-27,1.7352576607604333e-36,2.2295381067955801e-34,1.7456054051340782e-50,6.1028609207040365e-53,1.4532396978317612e-31,2.9281016765633502e-47,3.964640561291267e-66,2.6281575493654848e-70,4.1380136236819737e-73,1.5059783390808659e-27,2.1574429546393651e-26,3.0162082101690691e-26,5.1474313748576645e-19,1.100091125064842e-22,2.0690068118410789e-73,8.1996528738670481e-42,4.8295130624764369e-76,9.0080512208633964e-74,3.6425133454592718e-39,1.8246979480110339e-86,8.6915629684701733e-91,1.2965058774667868e-93,1.0167411847959329e-95,1.7925957188972745e-91,2.5415246563722381e-93,1.6903543761553522e-84,8.8401936252381509e-89
3.7804874042105005e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105699639540784,0.099966784297480377,2.5068665348853782e-56,0.099970524098012839,5.4236846405750677e-38,8.2825550146694579e-26,5.1774686539224616e-19,3.1496779261372461e-22,5.6400467612130086e-47,3.8920682750117698e-13,2.4411100487145697e-43,7.7549905822226054e-23,8.2550785865639747e-32,2.4625110723556212e-35,7.8806393502684205e-39,2.9927760196385273e-40,3.8290053514349307e-35,1.7848852879364882e-46,3.3215702045475593e-05,2.9475901987177343e-05,8.4937145057996175e-14,4.7442833699443632e-13,5.2416844283831676e-17,5.9843398128798224e-17,2.0957627692129828e-29,5.7828144451589381e-26,1.3026118858490671e-27,1.7800431216074662e-36,2.2475307641580856e-34,1.8072205159435933e-50,6.3294780636159429e-53,1.4798925566743601e-31,2.9899663106973956e-47,4.1407084886927263e-66,2.7602959852286618e-70,4.3511689662075155e-73,1.5151042642746358e-27,2.1574691789922625e-26,3.0352314635690154e-26,5.1785784550157423e-19,1.1098888695104153e-22,2.1755844831038542e-73,8.3837946064922836e-42,5.0441375214564258e-76,9.472387682948281e-74,3.7066968541883721e-39,1.9320293849405785e-86,9.2571889432422454e-91,1.3820555205811585e-93,1.0766510950924226e-95,1.8988500460150388e-91,2.6737737098469365e-93,1.7781617215693198e-84,9.3543031201478134e-89
3.8032315198741036e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105690854980255,0.099966755877496746,2.5523763980316362e-56,0.099970464672391179,5.5244310584717603e-38,8.4329167469874497e-26,5.2086058825867259e-19,3.1753817093608116e-22,5.7424380292174487e-47,3.9204734339880201e-13,2.4796474934494598e-43,7.84850833641154e-23,8.3811952920603715e-32,2.4951208089767378e-35,7.9757267428923448e-39,3.0288867026420344e-40,3.8770656563781185e-35,1.8381372872408738e-46,3.3244122026242398e-05,2.9535327608850903e-05,8.4948301491921913e-14,4.7728231258081892e-13,5.2572438946055744e-17,6.0507418563269553e-17,2.1375330548928707e-29,5.8538115613702923e-26,1.3265059553074822e-27,1.8256591433039256e-36,2.2655253349125601e-34,1.8705484143287918e-50,6.5628800351269281e-53,1.5068684757344906e-31,3.0526370108804336e-47,4.3233157675887628e-66,2.8980992677951548e-70,4.5737570276257346e-73,1.5242301862013912e-27,2.1576917658955659e-26,3.0542547090368141e-26,5.2097254939895869e-19,1.1197010591564315e-22,2.28687851381297e-73,8.5708160902140966e-42,5.2667388696308887e-76,9.9572862760188804e-74,3.7715247063354369e-39,2.04488536643393e-86,9.8554069970307143e-91,1.472619583141655e-93,1.1396500117179037e-95,2.010616544798433e-91,2.8119269771123445e-93,1.8698824312919028e-84,9.8944584307475106e-89
3.8259756355377066e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105682190440933,0.099966727986975548,2.5984336945900848e-56,0.099970405917519198,5.6264172792210535e-38,8.5850871111215429e-26,5.2397430563796822e-19,3.201092114841242e-22,5.8460609959690482e-47,3.9488820764311344e-13,2.5184972595247141e-43,7.9425857262871627e-23,8.5083174673139261e-32,2.5279385060563484e-35,8.0713842479923539e-39,3.0652138933292131e-40,3.9254260183327871e-35,1.8925930130278462e-46,3.3272012544610942e-05,2.959408248082947e-05,8.4959106605379339e-14,4.8013628736090188e-13,5.2726183064413928e-17,6.1173395189238594e-17,2.1798610304130064e-29,5.9250586959782762e-26,1.3506640716594241e-27,1.8721149010193591e-36,2.2835217050808564e-34,1.9356235114987843e-50,6.8032207530517447e-53,1.5341693547919912e-31,3.1161169260104784e-47,4.5126577538134338e-66,3.0417681150643475e-70,4.80612690559572e-73,1.533356104983772e-27,2.1576018064621452e-26,3.0732779468568633e-26,5.2408724923018474e-19,1.1295274897805413e-22,2.4030634527979684e-73,8.7607422081149235e-42,5.4975555738014647e-76,1.0463508498238951e-73,3.8369979388158763e-39,2.1635098836679665e-86,1.0487852992025177e-90,1.5684552567534095e-93,1.205874595497404e-95,2.1281405953011334e-91,2.9562045856510515e-93,1.9656621537253299e-84,1.0461784078335312e-88
3.8487197512013097e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105673644179426,0.099966700616054033,2.6450416966341264e-56,0.099970347825825673,5.7296508824562786e-38,8.7390769152524003e-26,5.2708801759804076e-19,3.2268089345500113e-22,5.9509230242740869e-47,3.9772940866805166e-13,2.5576592966332459e-43,8.0372227368877612e-23,8.6364452049669902e-32,2.5609640817807628e-35,8.1676118647534112e-39,3.1017575913905687e-40,3.9740864344599649e-35,1.9482708326620097e-46,3.3299383463267393e-05,2.9652174174344513e-05,8.4969572010924112e-14,4.8299026135124272e-13,5.2878096589107538e-17,6.1841304726918785e-17,2.2227504518438142e-29,5.9965527494981957e-26,1.375087006965288e-27,1.919419596484799e-36,2.3015197652444105e-34,2.0024806303023297e-50,7.0506564925704454e-53,1.5617970929652484e-31,3.180409167535599e-47,4.7089342159937279e-66,3.1915088496199214e-70,5.0486380893635045e-73,1.5424820207418859e-27,2.1575791906365142e-26,3.0923011773077688e-26,5.2720194504682581e-19,1.1393679600479947e-22,2.5243190446818672e-73,8.9535978689083904e-42,5.7368314912479642e-76,1.0991838530175277e-73,3.9031175710515666e-39,2.2881559300459921e-86,1.1156232768824363e-90,1.6698310518188315e-93,1.2754665580863697e-95,2.2516767020743302e-91,3.1068332544030833e-93,2.0656508908499617e-84,1.1057444701577773e-88
3.871463866864913e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105665214479266,0.099966673755053248,2.692203676232239e-56,0.09997029038982487,5.8341394478054588e-38,8.8948969674925059e-26,5.302017242071395e-19,3.2525319672926491e-22,6.0570314769314283e-47,4.005709352898747e-13,2.5971335542058633e-43,8.1324193532552534e-23,8.7655785916678319e-32,2.594197456321568e-35,8.2644095923730256e-39,3.1385177965213743e-40,4.0230469019250604e-35,2.005189255051305e-46,3.3326244461191591e-05,2.9709610175159351e-05,8.4979708937996167e-14,4.8584423456807145e-13,5.3028199329006494e-17,6.2511124147992146e-17,2.266205075259708e-29,6.0682906550104523e-26,1.399775524092854e-27,1.9675824577070833e-36,2.3195194103834798e-34,2.07115500636108e-50,7.3053459044672773e-53,1.5897535887255893e-31,3.2455168098644994e-47,4.9123494028527332e-66,3.3475335122306367e-70,5.3016606936424398e-73,1.5516079335933513e-27,2.1578730541955698e-26,3.111324400662444e-26,5.3031663689977306e-19,1.1492222714708087e-22,2.6508303468213405e-73,9.1494080064886946e-42,5.9848159520086833e-76,1.1543083745630727e-73,3.9698846052939026e-39,2.4190857681720598e-86,1.1862324620893336e-90,1.7770272136780894e-93,1.3485728120149337e-95,2.3814887667924198e-91,3.264046442840595e-93,2.1700030965088389e-84,1.1682646185121927e-88
3.894207982528516e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105656899650454,0.099966647394474514,2.7399229054480694e-56,0.099970233602115502,5.9398905548914131e-38,9.0525580758861985e-26,5.3331542554215497e-19,3.2782610184863557e-22,6.1643937167326155e-47,4.0341277669454424e-13,2.636919981472413e-43,8.2281755604351036e-23,8.8957177083122565e-32,2.627638551796838e-35,8.3617774300610415e-39,3.1754945084215855e-40,4.0723074178977772e-35,2.0633669306165238e-46,3.3352605037078634e-05,2.9766397884534045e-05,8.4989528245548175e-14,4.8869820702729876e-13,5.3176510949814878e-17,6.3182830673809222e-17,2.3102286567377316e-29,6.1402693780349154e-26,1.42473037681677e-27,2.0166127386858059e-36,2.3375205397217916e-34,2.141682289185327e-50,7.5674500333656517e-53,1.618040739911442e-31,3.3114428907749256e-47,5.1231121110367261e-66,3.5100599768492721e-70,5.5655756960474693e-73,1.5607338436533428e-27,2.15777307279288e-26,3.1303476171882052e-26,5.3343132483924606e-19,1.1590902283675052e-22,2.7827878480238625e-73,9.348197579487864e-42,6.2417638418019817e-76,1.2118075230244507e-73,4.0373000269408007e-39,2.5565712028139155e-86,1.2607981838080363e-90,1.8903361510471338e-93,1.4253456241035877e-95,2.5178503670364645e-91,3.4280845023197124e-93,2.2788777761907133e-84,1.2338636811332686e-88
3.916952098192119e-10,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24105648698029045,0.099966621524996052,2.7882026563405257e-56,0.099970177455379852,6.046911783331839e-38,9.2120710484097267e-26,5.364291216679935e-19,3.3039958999447452e-22,6.2730171064619647e-47,4.0625492242552856e-13,2.6770185275194992e-43,8.3244913434762721e-23,9.0268626302766297e-32,2.6612872922327552e-35,8.4597153770394247e-39,3.2126877267957621e-40,4.1218679795520145e-35,2.1228226512613623e-46,3.3378474512696752e-05,2.9822544620179467e-05,8.4999040434258096e-14,4.9155217874451931e-13,5.3323050972378581e-17,6.3856401773566217e-17,2.3548249523562645e-29,6.2124859163966849e-26,1.4499523099173148e-27,2.066519719132874e-36,2.3555230565764091e-34,2.2140985432725242e-50,7.8371323359592031e-53,1.6466604437422557e-31,3.3781904118198008e-47,5.3414357534661295e-66,3.6793120670146262e-70,5.8407751781109059e-73,1.5698597510346287e-27,2.1576733924145189e-26,3.1493708271468773e-26,5.3654600891480151e-19,1.1689716378234241e-22,2.9203875890555887e-73,9.5499915708408193e-42,6.5079356855890863e-76,1.2717668307919853e-73,4.1053648048477585e-39,2.7008938599454509e-86,1.3395135320599574e-90,2.0100628770281465e-93,1.5059427723015213e-95,2.6610450413295579e-91,3.5991948297273566e-93,2.3924385883232512e-84,1.3026708435447095e-88
