Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),OX(20),CH3X(22),HOX(23),HX(19),H2OX(30),CH3OHX(41),HO2X(48),H2X(31),C2H6X(34)
1.0311423488440703e-17,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330411742648,0.099999999997351166,0.099999999999835332,0.0,8.2284159377369998e-63,1.611719669400103e-53,0.0,2.4542816820013857e-47,0.0,7.4974615732345254e-31,0.0,2.2070051962602644e-43,0.0,3.5472349647284405e-59,0.0,0.0,1.4854901691608283e-53,0.0,2.648838779531089e-12,3.293564851093964e-13,1.0541491915093757e-22,1.4523893628327475e-33,1.0541491989923132e-22,1.061562048871056e-73,3.4314742822440436e-70,8.1427818505051896e-60,6.4231369319713153e-64,2.5325304605949704e-58
2.0622855717990813e-17,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330411444828,0.099999999994702327,0.099999999999670658,0.0,1.3165478249816129e-61,1.2893770105477679e-52,0.0,1.9634272612440746e-46,0.0,2.9989865176050769e-30,0.0,8.8280263969249834e-43,0.0,5.6755814816086701e-58,0.0,0.0,1.18839284188094e-52,0.0,5.2976795428078934e-12,6.5871324940351825e-13,2.1082992615857557e-22,5.809560228770867e-33,2.1082992915175254e-22,3.3970018394049248e-72,1.0980728568592243e-68,1.3028463763752672e-58,1.0277028871541437e-62,4.0520528651874578e-57
4.124572017709104e-17,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330410849188,0.099999999989404648,0.099999999999341296,0.0,2.1064770706918378e-60,1.0315021182568905e-51,0.0,1.5707425438390346e-45,0.0,1.1995949736684788e-29,0.0,3.5312116806523621e-42,0.0,9.0809326280822743e-57,0.0,0.0,9.5071434620470099e-52,0.0,1.0595360284247377e-11,1.3174267779483727e-12,4.2165993565972145e-22,2.3238240972885513e-32,4.2165994763243295e-22,1.0870408207555754e-70,3.5138339126024985e-67,2.0845547491687927e-57,1.6443251355871506e-61,6.4832874897511941e-56
8.249144909529149e-17,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1903733040965791,0.09999999997880929,0.099999999998682587,0.0,3.370362211389168e-59,8.2520189822480636e-51,0.0,1.2565942787468007e-44,0.0,4.798380539639629e-29,0.0,1.4124848962416674e-41,0.0,1.4529487057222122e-55,0.0,0.0,7.605711701703292e-51,0.0,2.1190718626670766e-11,2.6348538348645254e-12,8.4331993660549364e-22,9.2952920030555411e-32,8.4331998449634604e-22,3.478529061684157e-69,1.1244263558989207e-65,3.3352865089889494e-56,2.6309197777216466e-60,1.0373261037119385e-54
1.2373717801349193e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330408466632,0.099999999968213932,0.099999999998023878,0.0,1.2849503261650343e-58,2.4498183068221103e-50,0.0,3.7305144140887191e-44,0.0,1.0196558950514617e-28,0.0,3.0015305440562476e-41,0.0,5.5393657219819185e-55,0.0,0.0,2.1747575577284346e-50,0.0,3.1786073828639503e-11,3.9522808916071217e-12,1.2649799194947468e-21,1.9752487818454249e-31,1.2649800212628115e-21,1.6325983270649145e-68,5.2773357985226884e-65,1.2715777130228645e-55,9.9533025647904504e-60,3.9244153091947595e-54
1.6498290693169237e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330407275355,0.099999999957618574,0.099999999997365169,0.0,3.4572527604781856e-58,5.3380253563809165e-50,0.0,8.1285946163586779e-44,0.0,1.7394130129042073e-28,0.0,5.1202581111626671e-41,0.0,1.4904068064965244e-54,0.0,0.0,4.5871922506814219e-50,0.0,4.2381425890154527e-11,5.2697079481761623e-12,1.686639884327482e-21,3.3695407696176594e-31,1.6866400579318292e-21,5.0892995800247135e-68,1.6451041505854213e-64,3.4212727707834419e-55,2.5908386349897461e-59,1.0215230414859903e-53
2.4747436476809324e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330404892799,0.099999999936427886,0.099999999996047736,0.0,1.398344171454565e-57,1.5494641496943481e-49,0.0,2.3594801960170006e-43,0.0,3.6012336905236288e-28,0.0,1.0600844279373925e-40,0.0,6.0282013822297645e-54,0.0,0.0,1.2529038647868253e-49,0.0,6.3572122642734862e-11,7.9045620609069159e-12,2.5299597716154123e-21,6.9762016481799995e-31,2.529960131041161e-21,2.5075529548854513e-67,8.1056059920503708e-64,1.3837914606149492e-54,9.5080097544176908e-59,3.7488450914321364e-53
3.299658226044941e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330402510244,0.099999999915237184,0.099999999994730304,0.0,3.7877283062227545e-57,3.3885034093043929e-49,0.0,5.1599168938940504e-43,0.0,6.1247552012287927e-28,0.0,1.8029259776681454e-40,0.0,1.6328732807907728e-53,0.0,0.0,2.621492828353611e-49,0.0,8.476280784675456e-11,1.0539416172999441e-11,3.3732795925030915e-21,1.1864684389654052e-30,3.3732802037921428e-21,7.8680426892965769e-67,2.5433262867771081e-63,3.748309032327522e-54,2.4654975626053137e-58,9.7210351621997267e-53
4.12457280440895e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330400127689,0.09999999989404651,0.099999999993412872,0.0,8.5090105740459954e-57,6.3572936323944674e-49,0.0,9.6807058977107844e-43,0.0,9.3572418386040676e-28,0.0,2.7544635267134493e-40,0.0,3.668197521434278e-53,0.0,0.0,4.7723253652951569e-49,0.0,1.0595348067732265e-10,1.3174270284408149e-11,4.2165993422476505e-21,1.8126545126984904e-30,4.2166002761591795e-21,2.0226552797552721e-66,6.5381855515159691e-63,8.4204564375103965e-54,5.3907518837923509e-58,2.1254815637669013e-52
5.774401961136968e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330395362589,0.099999999851665203,0.099999999990778021,0.0,3.2996795704764371e-56,1.7394713836716529e-48,0.0,2.6488171573949163e-42,0.0,1.7993643212458988e-27,0.0,5.2967356909973221e-40,0.0,1.422477423007564e-52,0.0,0.0,1.2600330676055837e-48,0.0,1.4833478844091781e-10,1.8443978505131168e-11,5.9032386238386458e-21,3.4856650785739763e-30,5.9032404197173028e-21,1.1411025581445219e-65,3.6885871027435013e-62,3.2653394717428818e-53,2.0735216590335909e-57,8.1755465651509999e-52
7.424231117864986e-16,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330390597493,0.099999999809283951,0.099999999988143171,0.0,8.7801246411278194e-56,3.6670173181457801e-48,0.0,5.5840281301319135e-42,0.0,2.9509526958276851e-27,0.0,8.6866329199291235e-40,0.0,3.785073052894139e-52,0.0,0.0,2.6123610905781225e-48,0.0,1.9071604594946164e-10,2.371368672307685e-11,7.5898776164798023e-21,5.7164733595084883e-30,7.5898805617160255e-21,3.7950394390080236e-65,1.2267375387041565e-61,8.6887489991376261e-53,5.5078025811331494e-57,2.1716346765025877e-51
1.072388943132102e-15,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330381067313,0.099999999724521588,0.099999999982873469,0.0,3.9354460325037268e-55,1.1185540387080151e-47,0.0,1.703301309494596e-41,0.0,6.1178525116384365e-27,0.0,1.8008945228391017e-39,0.0,1.696553176277843e-51,0.0,0.0,7.8493687294810034e-48,0.0,2.7547841022288848e-10,3.4253103150637402e-11,1.0963154735034678e-20,1.1851235213544596e-29,1.0963160841035956e-20,2.5978297913614809e-64,8.3974234374288756e-61,3.8944894514266679e-52,2.4994894379365406e-56,9.8550809696251176e-51
1.7323206058233093e-15,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330362007018,0.099999999554997457,0.099999999972334053,0.0,2.8564281713257863e-54,4.8535015140465265e-47,0.0,7.3907653397846144e-41,0.0,1.5906515795517887e-26,0.0,4.6823561767151205e-39,0.0,1.2313929975094974e-50,0.0,0.0,3.3746763698596493e-47,0.0,4.4500253580178155e-10,5.5331935972435574e-11,1.7709705505263433e-20,3.0813206220652661e-29,1.7709721380966024e-20,3.3790315057734917e-63,1.0922639868089596e-59,2.8267010408757483e-51,1.8711650857599642e-55,7.377719479177199e-50
3.0521839312057233e-15,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330323886667,0.099999999215951624,0.09999999995125522,0.0,2.9301235126570408e-53,2.7439566967715648e-46,0.0,4.1784090996405883e-40,0.0,4.9303169827876095e-26,0.0,1.4513242666375429e-38,0.0,1.2631618888855298e-49,0.0,0.0,1.9002971351339878e-46,0.0,7.8404837512356537e-10,9.7489601482742075e-11,3.1202793178324975e-20,9.5506057059677344e-29,3.120284238598875e-20,6.6768339636680151e-62,2.1582711024888622e-58,2.899629435112347e-50,1.9900953676625123e-54,7.8466872559869773e-49
5.691910581970551e-15,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330247646933,0.099999998537869589,0.099999999909097553,0.0,3.6957584080088244e-52,1.82453360344392e-45,0.0,2.778334265905485e-39,0.0,1.7137363280715873e-25,0.0,5.0446853390746677e-38,0.0,1.5932212566250889e-48,0.0,0.0,1.2618352687434964e-45,0.0,1.4621304065590281e-09,1.8180493197020217e-10,5.8188913055023009e-20,3.3196203718620144e-28,5.8189084096693778e-20,1.6602137295625618e-60,5.3666036588986334e-57,3.6572963136052215e-49,2.5801975930504928e-53,1.0173498769476654e-47
1.0971363883500208e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330095171315,0.099999997181744127,0.099999999824782221,0.0,5.2259710324746449e-51,1.3268865926344041e-44,0.0,2.0205252609428173e-38,0.0,6.3662222094194217e-25,0.0,1.8740138900411212e-37,0.0,2.2528816724263066e-47,0.0,0.0,9.1725984804127198e-45,0.0,2.818255881635559e-09,3.5043559081255919e-10,1.1216093093170644e-19,1.2331128045178065e-27,1.1216156632081458e-19,4.6657402341668812e-59,1.5081907942478413e-55,5.1715839302579695e-48,3.7110179458498865e-52,1.4632559319564338e-46
1.6250817185029864e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329942700851,0.099999995825670082,0.099999999740466888,0.0,2.2303399181804954e-50,4.0995840203286048e-44,0.0,6.2426441756021455e-38,0.0,1.3966799108401835e-24,0.0,4.1113900199939956e-37,0.0,9.6148283627514654e-47,0.0,0.0,2.8336819874840755e-44,0.0,4.1743299076510244e-09,5.1906624681156098e-10,1.6613265297392633e-19,2.7051936843887045e-27,1.6613404694864348e-19,2.5194250856596035e-58,8.1439865275035391e-55,2.2071286066166042e-47,1.5317213103618399e-51,6.0396577400335455e-46
2.153027048655952e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329790235524,0.099999994469647496,0.099999999656151556,0.0,6.3943474370683054e-50,9.2210972467270744e-44,0.0,1.4041377368169594e-37,0.0,2.4515451445908368e-24,0.0,7.2165968072104784e-37,0.0,2.7565495168341065e-46,0.0,0.0,6.3733439610811207e-44,0.0,5.5303524864657879e-09,6.8769689996729417e-10,2.2010407918329484e-19,4.7481278889486633e-27,2.2010652598031163e-19,8.6591436820093761e-58,2.7990481522612199e-54,6.3278010380663662e-47,4.2701980596473661e-51,1.6837808926653756e-45
2.6809723788089176e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329637775346,0.099999993113676383,0.099999999571836223,0.0,1.472261075607408e-49,1.7436360673079886e-43,0.0,2.655102278791323e-37,0.0,3.8012163228626103e-24,0.0,1.1189634164427103e-36,0.0,6.3467805340096208e-46,0.0,0.0,1.2050923086132842e-43,0.0,6.8863236200011339e-09,8.5632755027984908e-10,2.7407520956146736e-19,7.3618360638124441e-27,2.7407900341595419e-19,2.3266456634049652e-57,7.5208250728030108e-54,1.4569391671409451e-46,9.6296078392245424e-51,3.797091771042611e-45
3.736863039114849e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329332870426,0.099999990401888436,0.099999999403205586,0.0,5.2807904082510477e-49,4.5910347365717182e-43,0.0,6.9908912940500241e-37,0.0,7.3849705995396806e-24,0.0,2.1739200314838483e-36,0.0,2.2764895482403906e-45,0.0,0.0,3.1727875404848551e-43,0.0,9.5981115583543597e-09,1.1935888423757556e-09,3.8201658283034551e-19,1.4301280169754084e-26,3.8202395349966497e-19,1.083043561383372e-56,3.5009084145119495e-53,5.2258329871448454e-46,3.355219414978707e-50,1.3230417232307415e-44
4.7927536994207804e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037329027986077,0.099999987690306269,0.099999999234574935,0.0,1.3836790528629241e-48,9.5496428445439106e-43,0.0,1.4541383852488808e-36,0.0,1.2147929949187401e-23,0.0,3.5760087877039609e-36,0.0,5.9648611627179641e-45,0.0,0.0,6.599140726790669e-43,0.0,1.2309693738113244e-08,1.5308501231e-09,4.8995677279380192e-19,2.3522889779808728e-26,4.8996889720086139e-19,3.4294153998256791e-56,1.1085481780490906e-52,1.3692790620319036e-45,8.6357662374487287e-50,3.4053570715998348e-44
5.848644359726712e-14,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037328723122307,0.099999984978929826,0.099999999065944312,0.0,3.0142889067818857e-48,1.7248501993786885e-42,0.0,2.626434848194382e-36,0.0,1.8090080909087548e-23,0.0,5.3252296238320113e-36,0.0,1.2994156668998014e-44,0.0,0.0,1.1918522313281702e-42,0.0,1.5021070175491884e-08,1.8681113924533394e-09,5.9789577946577209e-19,3.5025995251396419e-26,5.9791383452068577e-19,8.7672301709259756e-56,2.8339784605329854e-52,2.9829191493828725e-45,1.8611727596767695e-49,7.3393495689386889e-44
