Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),H2OX(35),CH3OHX(46),H2X(36),HO2X(135)
1.6238458853226041e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503530993,0.09999999995828604,0.099999999997406649,0.0,3.179675712458979e-58,5.0371248969652778e-50,0.0,7.6492072383387148e-44,0.0,1.6850563584206095e-28,0.0,4.960250045291659e-41,3.6882948672683023e-84,1.3623699140713326e-54,0.0,0.0,4.3166607183057508e-50,1.6571771538317613e-118,4.1713960617039942e-11,5.1867152347587255e-12,1.6600769689356943e-21,3.2215570969595615e-31,1.6600771371191745e-21,4.6075946318159976e-68,1.4800946065117148e-64,2.4064029325689644e-59,3.1273603049019301e-55
2.4357688710011337e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575032964898,0.099999999937429085,0.099999999996109964,0.0,1.2850096376998121e-57,1.4618836011581369e-49,0.0,2.2203288348619232e-43,0.0,3.4886951436197835e-28,0.0,1.0269567895921408e-40,3.5578471755643655e-83,5.5103346634334418e-54,0.0,0.0,1.1790133582462279e-49,5.947262573236558e-118,6.2570925256527831e-11,7.7800729886236248e-12,2.4901154009364454e-21,6.6698205195620912e-31,2.4901157491389772e-21,2.268629681950022e-67,7.292586203224369e-64,8.8299893114866408e-59,1.2649136208462271e-54
3.2476918566796634e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575030619865,0.099999999916572116,0.09999999999481328,0.0,3.479309755443166e-57,3.1966153445751911e-49,0.0,4.8556085763422942e-43,0.0,5.933356613586292e-28,0.0,1.7465845409238071e-40,1.4537651255549524e-82,1.4925974992932675e-53,0.0,0.0,2.466889257884593e-49,3.7042075542838291e-117,8.3427878708378173e-11,1.037343074187792e-11,3.3201537686127876e-21,1.1343610776434632e-30,3.3201543608140879e-21,7.11554070414152e-67,2.2882220453005748e-63,2.2894589001801399e-58,3.4263018083442155e-54
4.059614842358193e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575028274833,0.099999999895715175,0.099999999993516595,0.0,7.814038711544929e-57,5.9968428707410306e-49,0.0,9.1097821132972529e-43,0.0,9.064828053712401e-28,0.0,2.6683865416084042e-40,4.7357177554194558e-82,3.3530724981841646e-53,0.0,0.0,4.4908756326884627e-49,1.5393948701295491e-116,1.0428482017347992e-10,1.2966788494477998e-11,4.1501920673701259e-21,1.7330463078713021e-30,4.1501929721198858e-21,1.828684083153283e-66,5.8823834361589495e-63,5.0054645518124764e-58,7.6970775581412932e-54
5.683460813715253e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575023584779,0.099999999854001334,0.099999999990923238,0.0,3.0294075660886895e-56,1.6407067055789555e-48,0.0,2.4926020348491195e-42,0.0,1.7431341921641324e-27,0.0,5.1312127009285204e-40,4.114940894895917e-81,1.3002762301337913e-52,0.0,0.0,1.1857221539961546e-48,1.0187599256379946e-115,1.4599866639053986e-10,1.8153503997674408e-11,5.810268453798733e-21,3.332581634638394e-30,5.8102701936003445e-21,1.0312544775546835e-65,3.3186094374130135e-62,1.9250942027394669e-57,2.9848229658931308e-53
7.307306785072312e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575018894728,0.099999999812287549,0.099999999988329882,0.0,8.0601097465643146e-56,3.4586761029484741e-48,0.0,5.2547076987011455e-42,0.0,2.8587354364330957e-27,0.0,8.4151756417492188e-40,1.7231084502199665e-80,3.4599077194250809e-52,0.0,0.0,2.4582961784015241e-48,1.5061903244786544e-114,1.8771246392315005e-10,2.3340219498213704e-11,7.4703445603108141e-21,5.4654174010231607e-30,7.470347413580834e-21,3.4292229697945191e-65,1.1036916679677216e-61,5.1132679366331383e-57,7.9423221576285721e-53
1.0554998727786431e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957500951464,0.099999999728860089,0.09999999998314317,0.0,3.6125494165212993e-55,1.0549673779463753e-47,0.0,1.6028483988087534e-41,0.0,5.9266696577556104e-27,0.0,1.7446165691703112e-39,1.7565924868613756e-79,1.5508069830032865e-51,0.0,0.0,7.3864497653183659e-48,5.9103264692271987e-113,2.7113991295583766e-10,3.3713650491322071e-11,1.0790495933703648e-20,1.1330753476116662e-29,1.0790501849042552e-20,2.3471784433101462e-64,7.5551342483855052e-61,2.3203204344341077e-56,3.5599246012275175e-52
1.705038261321467e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574990754521,0.099999999562005767,0.099999999972769746,0.0,2.6222414579672892e-54,4.5774989037894529e-47,0.0,6.9548919178974071e-41,0.0,1.5409437336428991e-26,0.0,4.5360325469207147e-39,3.6711561624057737e-78,1.1256075493879792e-50,0.0,0.0,3.1756540779966664e-47,4.3506606096269051e-111,4.3799422689752591e-10,5.4460512445658241e-11,1.7430795321991845e-20,2.9459957034330036e-29,1.7430810701969225e-20,3.0531317981831924e-63,9.8270643778273476e-60,1.7369774137848004e-55,2.5838672110119307e-51
3.0041150384071144e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957495323452,0.099999999228299483,0.099999999952022883,0.0,2.6902442868868563e-53,2.5878939701222506e-46,0.0,3.9319857875651443e-40,0.0,4.7762446669001466e-26,0.0,1.4059703837140049e-38,1.2545313026941939e-76,1.154647519661095e-49,0.0,0.0,1.7882270398662969e-46,6.8110582515321345e-109,7.7170051832063091e-10,9.5954236226810111e-11,3.0711380664702174e-20,9.131165801085267e-29,3.0711428335837185e-20,6.0336272416928452e-62,1.9417901412774366e-58,1.8473533224843122e-54,2.6505310890213189e-50
5.60226859257841e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574878195453,0.099999998560896253,0.099999999910529158,0.0,3.3935868791148091e-52,1.7207579935916073e-45,0.0,2.6144810228007202e-39,0.0,1.6601821274647594e-25,0.0,4.8870389249397277e-38,5.7425212022115168e-75,1.4563531429059811e-48,0.0,0.0,1.1874189610321565e-45,1.7396494217340106e-106,1.4391037554554694e-09,1.7894168327903806e-10,5.7272497614810699e-20,3.1738319304477684e-28,5.7272663315640253e-20,1.5004536607903073e-60,4.8283199183440143e-57,2.395119755767454e-53,3.3431105216925678e-49
1.0798575700921001e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574728121053,0.099999997226127166,0.099999999827541708,0.0,4.7990491267601812e-51,1.2514150029444202e-44,0.0,1.9013642275760502e-38,0.0,6.1672781989676747e-25,0.0,1.815450957946629e-37,3.0896792286280935e-73,2.0593462487704165e-47,0.0,0.0,8.6316545214961414e-45,6.9420069604066765e-104,2.7738728478697065e-09,3.449165753432365e-10,1.1039451657472241e-19,1.1789589804960298e-27,1.1039513212358331e-19,4.2170928076531682e-59,1.3569168700708828e-55,3.4448239368095265e-52,4.7273148826581736e-48
1.5994882809263592e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574578051641,0.099999995891407928,0.099999999744554258,0.0,2.0478293660890015e-50,3.8664043596275156e-44,0.0,5.8744828944614531e-38,0.0,1.3530337975795562e-24,0.0,3.9829090879515431e-37,2.3161223554384235e-72,8.7888643091515214e-47,0.0,0.0,2.6665701478583254e-44,8.8591410227866788e-103,4.1085920990795833e-09,5.1089146468715046e-10,1.6351624894865985e-19,2.5863933353161466e-27,1.6351759939606411e-19,2.276910322473475e-58,7.3271354629738695e-55,1.4218499964815909e-51,2.0175244749643436e-47
2.1191189917606182e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574427987208,0.099999994556738497,0.099999999661566807,0.0,5.8703754470745186e-50,8.6966112196089949e-44,0.0,1.3213284964702171e-37,0.0,2.3749346601101057e-24,0.0,6.9910781706636659e-37,1.059619893652221e-71,2.5197489011337403e-46,0.0,0.0,5.9974893633516647e-44,7.4039795387224268e-102,5.4432615108589807e-09,6.7686635131086128e-10,2.1663769473816012e-19,4.5396139975507626e-27,2.1664006513320625e-19,7.8248364538205625e-58,2.5183017355851565e-54,3.9638949900654072e-51,5.7842121840088591e-47
2.6387497025948773e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574277927762,0.099999993222118916,0.099999999578579357,0.0,1.3515001858560114e-49,1.6444598863642769e-43,0.0,2.4985173718854744e-37,0.0,3.6824288824741975e-24,0.0,1.0839958122650781e-36,3.6198991929008933e-71,5.8015655508581681e-46,0.0,0.0,1.1340251037001686e-43,4.5744578827425671e-101,6.7778810850398403e-09,8.4284123521445369e-10,2.6975885394480126e-19,7.0385462922299621e-27,2.697625293351375e-19,2.1023016383783033e-57,6.7664848403165604e-54,8.9388744091725381e-51,1.3317817555819131e-46
3.678011124263396e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289573977823823,0.099999990553029286,0.099999999412604484,0.0,4.8470575021287435e-49,4.3299014067247255e-43,0.0,6.5786036801642975e-37,0.0,7.1541917683113944e-24,0.0,2.1059850373085056e-36,2.5058517867500823e-70,2.0809322464675672e-45,0.0,0.0,2.9856836900189612e-43,1.0014584416489188e-99,9.4469707273955543e-09,1.1747909948615964e-09,3.7600031261534149e-19,1.3673268969739831e-26,3.7600745313384089e-19,9.7849359560517272e-57,3.1497703705544086e-53,3.1145507680316422e-50,4.7769169949369482e-46
4.717272545931914e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289573677739819,0.099999987884138969,0.099999999246629598,0.0,1.2699407760267647e-48,9.0064688930279241e-43,0.0,1.3683807899783104e-36,0.0,1.1768310258349989e-23,0.0,3.4642585272489781e-36,1.0107090104696187e-69,5.4524678626477524e-45,0.0,0.0,6.2099861518256256e-43,6.9232160787484355e-99,1.2115861040832947e-08,1.5067407436292559e-09,4.8224062497290267e-19,2.2489962660879959e-26,4.8225237079319842e-19,3.0981345133081897e-56,9.973627612716196e-53,8.0163303389800089e-50,1.2516549005527996e-45
5.756533967600432e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289573377675745,0.099999985215447965,0.099999999080654739,0.0,2.7663982286351166e-48,1.6267424699643053e-42,0.0,2.4715415581417657e-36,0.0,1.7524771516088882e-23,0.0,5.15881622366237e-36,3.140754346084128e-69,1.1877946488178666e-44,0.0,0.0,1.1215692572057346e-42,3.4891329325109378e-98,1.478455204081203e-08,1.8386904815181445e-09,5.8847979103076944e-19,3.3487997206764499e-26,5.8849728231428845e-19,7.9199188900569572e-56,2.5497379398292219e-52,1.7276734409629686e-49,2.7266825707074259e-45
7.835056810937468e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289572777607389,0.099999979878663853,0.099999998748705021,0.0,9.5744170587029346e-48,4.0851666796199575e-42,0.0,6.2065688470361935e-36,0.0,3.2464672393725523e-23,0.0,9.5567840148914059e-36,2.182723420735118e-68,4.1110403611112926e-44,0.0,0.0,2.8161371919282347e-42,8.9619936929808554e-97,2.0121336160556984e-08,2.5025899246623826e-09,8.0095468429910365e-19,6.2025637621143649e-26,8.0098708694585977e-19,3.8368420403120603e-55,1.2353100630455377e-51,5.9213576258076114e-49,9.4373312771584994e-45
9.913579654274504e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289572177618744,0.099999974542676784,0.099999998416755331,0.0,2.4537824615941814e-47,8.2678481018761182e-42,0.0,1.2561085804052287e-35,0.0,5.1973794987171886e-23,0.0,1.5299887965583132e-35,8.8201089745808958e-68,1.0536049444031661e-43,0.0,0.0,5.6986917357511908e-42,6.6262005363811493e-96,2.5457323206367102e-08,3.1664893242998318e-09,1.0134249925232274e-18,9.9281312226725416e-26,1.0134768670369025e-18,1.2391061152047603e-54,3.9895226724256675e-51,1.5121851451871373e-48,2.4186837206133453e-44
