Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),H2OX(23),C2H6X(52),C2H4X(205),CH2X(27),CHX(28),CX(26),OCX(25),C2H4X(65),COX(50)
6.0300427536519135e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679700666,0.11866996602700527,0.02282156769301126,0.0,2.2288675511323857e-42,1.8110587559048467e-24,4.7685951882296313e-53,9.2093985044631679e-37,3.730606962114569e-85,5.3219924728012606e-14,1.1352982117677825e-71,5.3219924501209327e-14,6.7808484177240252e-49,1.0270128183788273e-46,5.1365082268059077e-71,5.9557675065878513e-72,1.089736898853355e-35,1.5712592394884498e-56,2.9064853442566566e-12,8.6055865278378229e-14,3.4451049280128251e-16,5.4932030215515251e-26,2.0341108830476324e-25,3.4451026144930231e-16,7.1503158403761094e-35,1.2671364576067867e-63,1.105489917756424e-36,8.7868521828962069e-48,1.1826926793790918e-74,4.0110615469214753e-24,8.7317572989850275e-29,2.361972726653814e-32,1.3375658966895041e-51,1.4781396659119556e-67,9.0458658647173561e-65
1.206009061903874e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679401345,0.11866996602404523,0.022821567692968232,0.0,3.566069673010686e-41,7.2442396281658953e-24,5.897532972990194e-51,7.3675259228264663e-36,1.8457027258807256e-82,1.0643989501246481e-13,7.2659192035256056e-70,1.064398941052518e-13,1.0849368475573741e-47,1.6431650656079138e-45,1.2705921581781281e-68,1.4732481281438114e-69,8.7176129648342088e-35,5.0280344432140788e-55,5.8129731509555465e-12,1.7211180350543439e-13,6.8902129255524883e-16,2.1972046454738454e-25,8.1364440392416158e-25,6.8902036714690451e-16,5.7202569040462664e-34,8.1096809356443131e-62,8.8436152039534603e-36,1.4058978035139867e-46,1.5138480638137588e-72,1.6043898099947489e-23,6.9833782732071229e-28,3.7766940015192038e-31,8.2700526272564005e-50,9.4597968866605154e-66,2.2376288135957172e-62
2.412018634981239e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678802696,0.11866996601812513,0.022821567692882176,0.0,5.7053258031330907e-40,2.8976967714452526e-23,7.0739996622452493e-49,5.8940233853313162e-35,8.8572384285992477e-80,2.1287983690530339e-13,4.6501914052877774e-68,2.1287983327645437e-13,1.7358997192642319e-46,2.628882225157782e-44,3.0484952024898655e-66,3.5347215038150291e-67,6.9736310946688184e-34,1.6089715003767041e-53,1.1625948760099297e-11,3.4422367995401208e-13,1.3780429367871053e-15,8.7881977564243938e-25,3.2545749175328858e-24,1.3780392351537951e-15,4.5762072024524415e-33,5.1901968736496429e-60,7.0743977179542443e-35,2.2494375638422075e-45,1.9377259336614307e-70,6.4172746667392989e-23,5.5834548569463858e-27,6.0381908217936831e-30,4.9586442356001105e-48,6.0538798125150485e-64,5.3686714880894714e-60
4.824037781135969e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677605403,0.11866996600628492,0.022821567692710064,0.0,9.1272819230646715e-39,1.1590788920295693e-22,8.0428745443789154e-47,4.7152194460816537e-34,4.0295278337579462e-77,4.257597259866957e-13,2.976123121924608e-66,4.2575971147133031e-13,2.7774397856651666e-45,4.2056260774379309e-43,6.9336452966109187e-64,8.039540444225494e-65,5.5781670702995786e-33,5.1487076356963863e-52,2.3251899961370683e-11,6.8844743282902972e-13,2.7560864041610926e-15,3.5147808648665058e-24,1.3018271877294181e-23,2.7560715976353807e-15,3.660966412077096e-32,3.3217246030652595e-58,5.6587240665989888e-34,3.5991006921449748e-44,2.4802881636155206e-68,2.566681011973539e-22,4.4615731674461006e-26,9.6493453922595454e-29,2.8175938642263403e-46,3.8739804944102204e-62,1.2210735188246791e-57
9.648076073445429e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675210819,0.1186699659826045,0.022821567692365839,0.0,1.4599682273221925e-37,4.636315930341882e-22,8.4091713209307442e-45,3.772175338380941e-33,1.6861920730566641e-74,8.5151952533218705e-13,1.9047185564437666e-64,8.515194672709651e-13,4.4439026427208528e-44,6.7271168287378413e-42,1.4504444137759612e-61,1.681785208128509e-62,4.461352380440212e-32,1.6475850209872473e-50,4.6503802295849003e-11,1.3768949384905181e-12,5.5121740546694908e-15,1.4055135790255613e-23,5.2072852752766239e-23,5.5121148286379893e-15,2.9287733551873387e-31,2.1259010720035386e-56,4.525707912149237e-33,5.7585607071894272e-43,3.1747648737443563e-66,1.0264891209314493e-21,3.5609784982285669e-25,1.5403577116996543e-27,1.4718149732647835e-44,2.4787034215439907e-60,2.5543419584823477e-55
1.929615265806435e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670421644,0.11866996593524366,0.022821567691677393,0.0,2.3346797625449858e-36,1.8545264408398108e-21,7.8625770722002107e-43,3.0177393615547002e-32,6.3117247478722078e-72,1.7030392087526581e-12,1.2190191982497954e-62,1.7030389765097664e-12,7.1102395698335606e-43,1.0757371515889621e-40,2.7138722821965064e-59,3.1467229992527241e-60,3.5671928195510002e-31,5.2722618812176876e-49,9.3007606692547815e-11,2.7537899494593265e-12,1.1024352219675503e-14,5.6188660443948157e-23,2.0828950815383139e-22,1.1024115316147848e-14,2.34301871913193e-30,1.3605729795994105e-54,3.618533249418984e-32,9.2136940202018698e-42,4.0636880062267211e-64,4.1044904387547249e-21,2.8356172925862641e-24,2.4534924103591334e-26,6.8728809491361429e-43,1.5855460551730477e-58,4.7792842649589263e-53
3.859230582730219e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727660843301,0.11866996584052199,0.022821567690300498,0.0,3.7314314183876967e-35,7.4181058708289461e-21,6.5073878814261113e-41,2.4141898108444757e-31,2.0917203797779765e-69,3.4060789145009811e-12,7.8017130872807735e-61,3.4060779855454966e-12,1.137636727470697e-41,1.7192574771217315e-39,4.4953582680576187e-57,5.2123402703649071e-58,2.8507361630887834e-30,1.6871171098913779e-47,1.8601521439691412e-10,5.507579969980434e-12,2.2048720013351412e-14,2.2449997137994536e-22,8.3314276048930174e-22,2.2047772403959323e-14,1.8744149009323177e-29,8.7076187187588507e-53,2.8915784825254742e-31,1.4741899012152258e-40,5.2014918591049e-62,1.6406243851831266e-20,2.2476905357759592e-23,3.8907008145820297e-25,2.8401491236591648e-41,1.0136961072459254e-56,7.9164191860078617e-51
5.788845899654004e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727651264957,0.11866996574580031,0.022821567688923603,0.0,1.3727001844153153e-34,1.5763475007697007e-20,3.8043527001920147e-40,7.1671231059223154e-31,1.6295260796828701e-68,5.1091189591460304e-12,4.4295795613913462e-60,5.1091169851393536e-12,4.303907917754498e-41,6.5513628751467661e-39,3.0617501632992466e-56,3.5500788859241369e-57,8.1463721925554377e-30,7.8703517239282168e-47,2.7902282101224913e-10,8.2613699890850319e-12,3.307309927893692e-14,4.7668888903019028e-22,1.7704059216035352e-21,3.3071085615333858e-14,5.3596549453504362e-29,4.8693674858962828e-52,8.262778335917281e-31,5.5771577273865908e-40,3.406139054029213e-61,3.4846071072655768e-20,6.3931458598003626e-23,1.4259209715736204e-24,1.3932283763659585e-40,5.6666649670133913e-56,5.3917734186092764e-50
9.648076533501572e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072763210827,0.11866996555635698,0.022821567686169813,0.0,1.05420652160157e-33,4.3581371900567696e-20,1.0959834269565207e-38,3.357226650711168e-30,1.4411373075090832e-66,8.5152004039389761e-12,1.1907892690973356e-58,8.5151949465595783e-12,3.3966788510493719e-40,5.3759533992343533e-38,1.5357122920839368e-54,1.7806406419159352e-55,3.736912392265619e-29,1.0546708398108095e-45,4.6503802988679397e-10,1.3768950021630524e-11,5.5121903759286725e-14,1.3152490990588278e-21,4.8944916221450466e-21,5.5116336618521936e-14,2.4630980040439195e-28,1.1203613882720002e-50,3.789885777747831e-30,4.4015426798559866e-39,1.3620990053513621e-59,9.6216754511272687e-20,2.8920474944845883e-22,1.080663111740288e-23,2.3369250909022467e-39,1.3014844379339076e-54,2.7043032025602157e-48
1.3121384103964384e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072761486725,0.11866996538585797,0.022821567683691403,0.0,2.9008653880742244e-33,7.7605510671427045e-20,4.7585516559370288e-38,7.7471345263225704e-30,7.5509539839787104e-66,1.1580674799107768e-11,5.1705627221806031e-58,1.1580665081330856e-11,9.5321776028460765e-40,1.5661793727777704e-37,7.397038707904408e-54,8.5767592387052259e-55,8.4032014280607278e-29,3.5003697751644595e-45,6.3245171435519721e-10,1.8725772046345972e-11,7.4965864955181632e-14,2.3389410240996892e-21,8.7154505069182135e-21,7.4955951579537983e-14,5.5444085297165929e-28,4.2819237612456612e-50,8.5217924564195886e-30,1.2352155950658791e-38,5.8492487400458158e-59,1.7118925515674289e-19,6.4533256120263118e-22,2.9557242235998608e-23,8.9552750718471671e-39,4.9715806431949866e-54,1.3025649058647951e-47
