Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),H2X(49),CH3OO(77),C2H4(47),HOX(22),H2OX(23),C2H6X(52)
5.7038494186525966e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679716859,0.1186699660271654,0.022821567693013585,0.0,3.2565219266003325e-42,1.620420644386692e-24,0.0,7.7942441907063568e-37,0.0,5.0340994368688483e-14,8.1319678543455573e-72,5.0340994353426707e-14,5.4284337366263394e-49,8.2220512059729825e-47,0.0,0.0,7.9836142440871266e-32,1.1898333509631299e-56,2.749259900576878e-12,8.1400699330455858e-14,3.2587436967211929e-16,3.2587421449740295e-16,7.1466496170758442e-23,2.9317469568577914e-26,7.6132121604966362e-30,6.0515706953597953e-35,1.8199932514202501e-25,9.0763058212530568e-64,4.9151375956555804e-26,9.3564595239163109e-37,7.0343459432192977e-48
1.1407703672522353e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767943373,0.11866996602436547,0.022821567692972885,0.0,5.2104263659325365e-41,6.4816871658669685e-24,0.0,6.235401449692409e-36,0.0,1.0068203143152639e-13,5.2044671038482393e-70,1.0068203137047927e-13,8.6855028981841732e-48,1.3155274315255941e-45,0.0,0.0,6.3868865190172116e-31,3.8074704791842319e-55,5.4985221304634814e-12,1.6280146766335353e-13,6.5174916491935479e-16,6.5174854410253953e-16,2.8574889522051315e-22,2.3439021146291335e-25,1.2079938925412945e-28,4.8412604648275808e-34,7.2799736619307518e-25,5.808841285826301e-62,1.9660531175734947e-25,7.4851476316319713e-36,1.1254965278704297e-46
2.281541218026187e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678867466,0.11866996601876562,0.022821567692891485,0.0,8.3366443536626769e-40,2.5926760640166493e-23,0.0,4.9883235150170985e-35,0.0,2.0136410561577296e-13,3.3308612416039016e-68,2.0136410537158451e-13,1.3896811091385284e-46,2.104837869367192e-44,0.0,0.0,5.1094957283398935e-30,1.218390956112366e-53,1.0997046586430455e-11,3.2560300432284009e-13,1.3034992040964718e-15,1.3034967198945352e-15,1.1420588505564855e-21,1.8727302519376994e-24,1.9229192591051125e-27,3.873010315774073e-33,2.9119872126844037e-24,3.7176593355047329e-60,7.8641896050120081e-25,5.9880794630892548e-35,1.8007953485647437e-45
4.56308291957409e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677734939,0.11866996600756589,0.022821567692728684,0.0,1.3338501955115529e-38,1.0370708885285134e-22,0.0,3.9906596203771736e-34,0.0,4.0272825421854872e-13,2.131751722323165e-66,4.0272825324179503e-13,2.223490072923927e-45,3.3677184562751488e-43,0.0,0.0,4.0875727300761348e-29,3.8988504354972594e-52,2.199409548313946e-11,6.5120607761115077e-13,2.6070010821325499e-15,2.6069911378082998e-15,4.5607565541046123e-21,1.494367816836588e-23,3.0631126226649918e-26,3.098409637316109e-32,1.1647925279925421e-23,2.3793011573763013e-58,3.1456560501263603e-24,4.7903990790828194e-34,2.8812731605848519e-44
9.126166322669896e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675469889,0.11866996598516646,0.02282156769240308,0.0,2.1341183947436815e-37,4.1482862575955249e-22,0.0,3.1925278056610437e-33,0.0,8.0545655236122655e-13,1.3643210077936226e-64,8.0545654845421684e-13,3.557583657589904e-44,5.3882735965564124e-42,0.0,0.0,3.2700191112565014e-28,1.2476312276708257e-50,4.3988193215657714e-11,1.3024122240217028e-12,5.2140120760596423e-15,5.213972238978191e-15,1.8183464472924952e-20,1.1894219187067472e-22,4.8721336732088284e-25,2.4787292300275737e-31,4.6591501446068387e-23,1.5227510591777519e-56,1.2582462869493478e-23,3.8322150144607042e-33,4.6100371542932468e-43
1.8252333128861508e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670939785,0.11866996594036759,0.022821567691751875,0.0,3.4144547930176031e-36,1.6593164507068665e-21,0.0,2.5540219458978242e-32,0.0,1.6109131523950688e-12,8.7316507643765401e-63,1.6109131367670631e-12,5.6921312521442035e-43,8.6209971598976529e-41,0.0,0.0,2.6159524119801035e-27,3.9924132741012474e-49,8.7976388437095224e-11,2.6048245158311791e-12,1.0428063328315854e-14,1.0427903502872831e-14,7.226168481556211e-20,9.419298931155383e-22,7.7154735804885996e-24,1.9829855218245568e-30,1.8636438619835031e-22,9.7455832219758276e-55,5.0328554900383842e-23,3.0656047983540272e-32,7.3760582929314534e-42
3.6504666741244733e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661879577,0.11866996585076987,0.022821567690449462,0.0,5.4626964718431066e-35,6.6372807173040371e-21,0.0,2.0432168894764082e-31,0.0,3.2218263674565274e-12,5.5882509819753432e-61,3.2218263049447679e-12,9.1074007787499871e-42,1.3792824586216415e-39,0.0,0.0,2.09266119121593e-26,1.2775678577523168e-47,1.7595277790557419e-10,5.209649092624814e-12,2.0856285373550506e-14,2.0855642278365607e-14,2.8533720541088225e-19,7.3851007865962146e-21,1.210344518132119e-22,1.5863916690287179e-29,7.4544454399073303e-22,6.2371424590404657e-53,2.0130383608877515e-22,2.4522161628897637e-31,1.180168840376054e-40
7.300933396601118e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727643759161,0.11866996567157441,0.022821567687844636,0.0,8.7389345387905601e-34,2.654923722594116e-20,0.0,1.6345723682536622e-30,0.0,6.4436528575531602e-12,3.576473326589264e-59,6.4436526075082241e-12,1.45718110036063e-40,2.2066051925099686e-38,0.0,0.0,1.6739677460810268e-25,4.0881888396298534e-46,3.5190555294494812e-10,1.0419298196680348e-11,4.1713227175331113e-14,4.1710624832037176e-14,1.1127153168216735e-18,5.6778873933422807e-20,1.8632965982613998e-21,1.2691183134166552e-28,2.9816740857658085e-21,3.9917315382945983e-51,8.0513226966205948e-22,1.9613446950175291e-30,1.8882684940739001e-39
1.0951400119077764e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727625638745,0.11866996549237895,0.02282156768523981,0.0,3.2162852115461803e-33,5.6417291943004872e-20,0.0,4.852634767814651e-30,0.0,9.6654794076224518e-12,2.0306142558837278e-58,9.6654788762797299e-12,5.512806682839571e-40,8.4122729385345313e-38,0.0,0.0,4.7862370695450407e-25,1.9071258411626715e-45,5.2785832408673807e-10,1.5628947221563518e-11,6.257068584773631e-14,6.2565112400265589e-14,2.3236818480410607e-18,1.5869671442069677e-19,6.7327675537751519e-21,3.6288931194436786e-28,6.3359045308504543e-21,2.2322037004142107e-50,1.7107842455306377e-21,5.6075170717594364e-30,7.1437002565102523e-39
1.4601866841554408e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072760751834,0.11866996531318351,0.022821567682634984,0.0,8.1567300664766168e-33,9.6241512062096066e-20,0.0,1.0573631226434944e-29,0.0,1.2887306017662708e-11,7.8093248818026329e-58,1.2887305111259289e-11,1.4349791254825721e-39,2.263255898250412e-37,0.0,0.0,1.0095054556261578e-24,5.8071986431282599e-45,7.0381109133094412e-10,2.0838596137633713e-11,8.3428680370951796e-14,8.3419104994923323e-14,3.9013731455673611e-18,3.2792655846881671e-19,1.6794744050225679e-20,7.6544014461275653e-28,1.0808067560604e-20,7.8137759787761916e-50,2.9182054593663277e-21,1.1826533237138022e-29,1.8595003389703172e-38
