Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),CHOX(50),CH4OX(57)
9.955756552597983e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039631768,0.099999999997439595,0.099999999999440523,8.9243136507279151e-72,9.4386672805268185e-44,3.3645245702789292e-29,1.5698457997812449e-58,1.8404708383623954e-39,5.0209784200987189e-98,4.8885377688522983e-31,5.9261233578268382e-107,3.2904340047952951e-31,6.262953140069337e-68,1.5985546500597427e-46,1.6851944518795028e-88,2.8385850454932335e-92,3.0709425167613906e-40,6.8550770880603989e-82,2.5574737916088046e-12,1.1189664632951603e-12,2.9412062732527214e-15,2.9412362690802477e-15,1.6358304700300124e-21,8.9021281070511311e-21,4.4429719488095395e-24,3.1560764651447539e-26,5.3171457947419052e-37,1.4140699852298606e-41,9.2503823218756444e-65,7.6280615903757327e-64,1.4930484853433749e-57
1.991152154480252e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039263535,0.099999999994879171,0.09999999999888104,2.5087680887786327e-69,1.5102070711190957e-42,1.4614033249940918e-28,1.1035590030515559e-56,1.4723682753939248e-38,2.8224813833123289e-95,1.2974867807967402e-30,4.7420343177179271e-105,6.5824683566190645e-31,1.0020670757973631e-66,2.5576991568071493e-45,4.7240719368650634e-86,3.9930340233233194e-90,2.4567710629722696e-39,2.1936130917835881e-80,5.1149497487033936e-12,2.2379338750853763e-12,5.8823939549204676e-15,5.8825170187442326e-15,3.4832305224937781e-21,3.8647351142115366e-20,3.8921781599600734e-23,1.2624397723247419e-25,4.2537461516332963e-36,4.9652332867844691e-40,1.2998901095665167e-62,1.0718660589070784e-61,4.7777769589632858e-56
3.982305152921159e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038527068,0.099999999989758337,0.099999999997762073,6.7464308627802815e-67,2.416401459352783e-41,6.1005889940651922e-28,7.4203235242410314e-55,1.1778794406604857e-37,1.5177840986610871e-92,3.8740778434853573e-30,5.3212732429258771e-103,1.3171329853319587e-30,1.6032874080028739e-65,4.092341439543961e-44,1.2685014100131871e-83,5.3722670423315624e-88,1.9654419429714554e-38,7.0194762767598178e-79,1.0229901655352225e-11,4.4758686984696909e-12,1.1764706064371444e-14,1.1765205238950029e-14,7.1822470877844175e-21,1.6116829349982841e-19,3.2649035141589398e-22,5.0498277637192343e-25,3.4030403605023991e-35,1.668214494160374e-38,1.7475107068849009e-60,1.440839912642403e-59,1.5288970924312731e-54
7.964611149802973e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037054138,0.099999999979516668,0.099999999995524141,1.7690987317346543e-64,3.866450161517307e-40,2.493652058609027e-27,4.8650189380256373e-53,9.422785668139313e-37,7.9584636412968612e-90,1.2864477662912029e-29,5.6571165363316735e-101,2.6368224846338281e-30,2.5651940934166891e-64,6.5478252527697421e-43,3.3234364706181509e-81,7.049429931567474e-86,1.5723928278118654e-37,2.2461757705799056e-77,2.0459805438488488e-11,8.9517383444538516e-12,2.3529077273175742e-14,2.3531089462732934e-14,1.4580604800038437e-20,6.5744671457745682e-19,2.6726200287548383e-21,2.0199850818366644e-24,2.7225002766000027e-34,5.466582485744948e-37,2.2910074904213343e-58,1.8886077482454994e-57,4.8925286881439091e-53
1.5929223143566602e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034108278,0.099999999959033331,0.099999999991048277,4.5718282841696345e-62,6.1869824319034813e-39,1.0083709420051288e-26,3.1433192650281236e-51,7.537825989985278e-36,4.1119580169718521e-87,4.6193487903054026e-29,6.4953989547005448e-99,5.2838709473004228e-30,4.1040985002460802e-63,1.0476769729847233e-41,8.5824938640956854e-79,9.1289349987520311e-84,1.2579767497766379e-36,7.1873970514420277e-76,4.0919612884115449e-11,1.7903477633284296e-11,4.7056807693922339e-14,4.7064896079901063e-14,2.9376711683647205e-20,2.6477868127297159e-18,2.1570117239090428e-20,8.0803702111832582e-24,2.1781083964473459e-33,1.7655932547626735e-35,2.9601239929060714e-56,2.439292159407368e-55,1.5656458538264395e-51
2.389383513733023e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575031162418,0.099999999938549994,0.099999999986572413,3.4736072290767832e-61,2.3584244535036082e-38,2.1496479064636528e-26,1.7635117780755223e-50,2.2377240848749084e-35,3.5378601431189712e-86,9.4870048597975107e-29,3.6291149846713672e-98,7.9385895404763676e-30,1.5526251799655976e-62,3.9943378853621801e-41,6.5197755217064695e-78,5.9999497862441357e-83,3.597142594746248e-36,3.352835045162988e-75,6.1379420209096848e-11,2.6855216918976861e-11,7.0583526161343093e-14,7.0600747711541361e-14,4.4172182576035161e-20,5.6287961872374194e-18,6.174334691576053e-20,1.717151144694392e-23,6.2282283457167698e-33,8.2679669748165673e-35,1.960632642182329e-55,1.6154436378067698e-54,7.3482435210294173e-51
3.185844713109386e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575028216557,0.099999999918066657,0.099999999982096549,1.7098972546212304e-60,6.343915055600306e-38,3.6731802139175083e-26,6.4399369909652145e-50,4.8757257106740107e-35,2.0840033960171868e-85,1.5889349962955543e-28,1.8216338449453865e-97,1.0600978932913042e-29,4.041371978095088e-62,1.0747193209657571e-40,3.2090477934401163e-77,2.461206987088507e-82,7.5876486190799424e-36,1.0209196279120721e-74,8.1839227413432675e-11,3.5806956201531548e-11,9.4109232718953467e-14,9.4138651430271471e-14,5.8967017108615944e-20,9.593411218311172e-18,1.3021238995731055e-19,2.929378437599351e-23,1.3137540910357074e-32,2.6680283462723841e-34,8.8562922367981062e-55,7.2966806539567933e-54,2.2906940893475032e-50
4.778767111862112e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575022324834,0.099999999877099982,0.099999999973144807,2.1712200005149413e-59,2.5644963834968617e-37,7.6173258959281982e-26,4.1921202833412554e-49,1.4151782785341626e-34,4.7084073329730538e-84,3.229565661052093e-28,2.3296772145960466e-96,1.5943762697368008e-29,1.483048323771422e-61,4.3470066688826826e-40,4.0744685755188999e-76,1.8974357486141655e-81,2.0725374825713209e-35,4.6511400328804871e-74,1.2275884153895658e-10,5.3710434759276516e-11,1.411582710787978e-13,1.4121929650145874e-13,8.8555192750465482e-20,1.9809387778448327e-17,3.5513974545383167e-19,6.0653682427382625e-23,3.588469515315411e-32,1.4672054114788218e-33,1.0236264648902812e-53,8.4338047268279703e-53,1.1286754700467337e-49
6.371689510614838e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575016433111,0.099999999836133308,0.099999999964193065,1.1103202703592847e-58,6.9448707052537932e-37,1.2967029765156055e-25,1.5401338563662922e-48,3.0946606414247213e-34,2.8771649198394212e-83,5.4345013867191214e-28,1.0586854390206752e-95,2.1314760314446837e-29,3.8454884645301344e-61,1.1775111299004474e-39,2.083396528941988e-75,7.8641390130902096e-81,4.3366674404046654e-35,1.3969988984098549e-73,1.6367845522082364e-10,7.1613913305482365e-11,1.882035886469026e-13,1.8830754470445513e-13,1.1814102847685087e-19,3.3584477934919894e-17,7.4171457224729273e-19,1.0316386456672787e-22,7.5086694140519372e-32,4.7040715944395175e-33,4.6029111966530617e-53,3.7919974848197794e-52,3.5415540089592062e-49
7.964611909367564e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575010541388,0.099999999795166633,0.099999999955241323,4.3503740335768406e-58,1.5599700675147637e-36,1.9822582770161637e-25,4.5312155935195184e-48,5.8056688104447226e-34,1.3535194707927881e-82,8.2440055606630451e-28,3.8949493055416671e-95,2.671599157918517e-29,8.4077018350505423e-61,2.6453085983384306e-39,8.1622953278493692e-75,2.6029033280518571e-80,7.8951652579006825e-35,3.4856124342289895e-73,2.0459806842734422e-10,8.9517391839324895e-11,2.3524491994331489e-13,2.3540398434895392e-13,1.477243573344556e-19,5.1126801878942592e-17,1.3472944413834369e-18,1.5762335509348475e-22,1.3669986529012415e-31,1.2274401457304604e-32,1.6381465347915267e-52,1.3494592415530237e-51,9.1045340740072871e-49
