Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),COX(47),CH4OX(57),C2H6X(49),CHOX(50)
1.6867851575110912e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1735750937526378,0.096757058755208736,0.09195329878728925,1.1667768555307506e-07,9.2141178026976405e-06,1.9070631449593446e-13,9.9245000659654724e-07,2.7866346483195567e-09,2.4459159838079605e-29,2.0987539243246003e-10,8.0024061933429228e-31,1.5661952147467913e-18,4.2574325168751852e-22,3.3426718755779682e-09,6.5828671875750021e-26,8.3781703212606562e-24,7.3172806336890981e-14,2.4289513728750296e-26,0.0032375054356011562,0.016077439636298464,1.8142647795877495e-07,4.4857247894154752e-08,4.0643560719333054e-09,1.3451095149647469e-06,1.1517614771641817e-13,9.8687662370540187e-11,6.5735178566358555e-09,4.1280110345170375e-06,1.2222828077132461e-10,1.1275442185548853e-09,1.7338845093211427e-10,1.1338050871829219e-11,1.1232794095438455e-14
1.6880799590672293e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17356446985874011,0.096757245393316912,0.09194788160527996,1.1698261725624419e-07,9.2278995978407305e-06,1.907744722270398e-13,9.9425102249802546e-07,2.7922765224204347e-09,2.4506179466785829e-29,2.1015137522705797e-10,8.0518730086100785e-31,1.566475133309155e-18,4.2745582828677861e-22,3.3487900483534382e-09,6.5973346859724413e-26,8.4005317323751335e-24,7.3252165529135077e-14,2.4407173427500557e-26,0.0032373110614527449,0.016088250777458978,1.8153042312924387e-07,4.4878936494517535e-08,4.0637612629497896e-09,1.3466029146394355e-06,1.1524281254020566e-13,9.8675098516821932e-11,6.5732009092805594e-09,4.1335171867404878e-06,1.2245162889048178e-10,1.1295307317387966e-09,1.7378009426546132e-10,1.1360695434028882e-11,1.1246817429386805e-14
1.6893747606233673e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17355384790718048,0.096757431992997078,0.091942465405422349,1.1728810517799084e-07,9.2416903568448443e-06,1.9084257488210987e-13,9.960536482419057e-07,2.7979248613613258e-09,2.4553250882934062e-29,2.1042747188411347e-10,8.1016040041236673e-31,1.5667545161797562e-18,4.2917386101662153e-22,3.3549145598585662e-09,6.6118219727454816e-26,8.4229338692898466e-24,7.3331547888406235e-14,2.4525306223347882e-26,0.003237116721006733,0.016099059939518337,1.8163432338654982e-07,4.4900623237894764e-08,4.0631669825283399e-09,1.3480968362165268e-06,1.1530944944116006e-13,9.8662544985205824e-11,6.5728838939268331e-09,4.1390259216273456e-06,1.2267520906290468e-10,1.1315188534739907e-09,1.7417227502503491e-10,1.1383364528047779e-11,1.1260846454545918e-14
1.6906695621795054e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1735432278973594,0.096757618554248609,0.091937050187418684,1.1759414989407971e-07,9.2554900769960969e-06,1.9091062252509449e-13,9.9785788347324452e-07,2.8035796660511915e-09,2.4600374099262983e-29,2.1070368229382001e-10,8.1516003648496982e-31,1.5670333643003588e-18,4.3089736256655452e-22,3.3610454116050668e-09,6.6263290564264559e-26,8.4453767697528152e-24,7.3410953404171154e-14,2.4643913622908261e-26,0.0032369224142652954,0.016109867123075942,1.8173817875478848e-07,4.4922308129239065e-08,4.0625732303314286e-09,1.3495912794029759e-06,1.1537605843383775e-13,9.8650001773480859e-11,6.5725668108706732e-09,4.1445372374483576e-06,1.2289902134424825e-10,1.1335085830817952e-09,1.745649934211793e-10,1.1406058153737834e-11,1.1274881169938367e-14
1.6919643637356434e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17353260982867763,0.096757805077070894,0.091931635950971355,1.1790075198040337e-07,9.2692987555816789e-06,1.9097861521970181e-13,9.9966372783668386e-07,2.8092409373957089e-09,2.4647549128535805e-29,2.1098000634645382e-10,8.201863280020015e-31,1.5673116786101579e-18,4.326263456440203e-22,3.3671826051037618e-09,6.6408559455396713e-26,8.4678604715082667e-24,7.3490382065915771e-14,2.4762997136292237e-26,0.0032367281412304925,0.016120672328730934,1.8184198925803983e-07,4.4943991174035607e-08,4.0619800050767454e-09,1.3510862439061029e-06,1.1544263953278544e-13,9.8637468857199482e-11,6.5722496604347141e-09,4.1500511324751656e-06,1.2312306578905055e-10,1.1354999198832523e-09,1.7495824966396994e-10,1.1428776310937228e-11,1.1288921573229399e-14
1.6932591652917815e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17352199370053628,0.096757991561463474,0.091926222695782878,1.1820791201299253e-07,9.283116389889843e-06,1.9104655302966724e-13,1.0014711809764493e-06,2.8149086762972596e-09,2.4694775983470529e-29,2.1125644393237425e-10,8.2523939431584283e-31,1.5675894600474671e-18,4.3436082297446876e-22,3.3733261418645645e-09,6.6554026485934778e-26,8.4903850122910156e-24,7.3569833863140787e-14,2.4882558277122186e-26,0.0032365339019042711,0.016131475557082206,1.8194575492036719e-07,4.4965672377247426e-08,4.0613873063521922e-09,1.3525817294332102e-06,1.1550919275254036e-13,9.8624946231399799e-11,6.5719324429159599e-09,4.1555676049803249e-06,1.2334734245281934e-10,1.1374928631991174e-09,1.753520439632133e-10,1.145151899947037e-11,1.1302967656309196e-14
1.6945539668479195e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17351137951233689,0.096758178007426018,0.091920810421555907,1.1851563056800671e-07,9.2969429772099196e-06,1.9111443601850838e-13,1.0032802425363549e-06,2.8205828836549445e-09,2.4742054676804336e-29,2.1153299494202342e-10,8.3031935520836656e-31,1.5678667095481821e-18,4.3610080730132478e-22,3.3794760233964909e-09,6.6699691740874123e-26,8.5129504298294523e-24,7.3649308785365638e-14,2.5002598562530071e-26,0.0032363396962884635,0.01614227680872839,1.8204947576581815e-07,4.498735174429116e-08,4.0607951329499224e-09,1.3540777356919301e-06,1.1557571810763029e-13,9.8612433873286327e-11,6.5716151586327743e-09,4.1610866532372823e-06,1.2357185139004467e-10,1.1394874123498619e-09,1.7574637652844753e-10,1.1474286219147949e-11,1.1317019416572094e-14
1.6958487684040575e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17350076726348143,0.096758364414958262,0.091915399127993208,1.1882390822174227e-07,9.3107785148322993e-06,1.9118226424974955e-13,1.0050909121598002e-06,2.8262635603645838e-09,2.4789385221232305e-29,2.1180965926592614e-10,8.3542633089261165e-31,1.5681434280471944e-18,4.3784631138601864e-22,3.3856322512076526e-09,6.6845555305059762e-26,8.5355567618496383e-24,7.3728806822124878e-14,2.5123119513166782e-26,0.0032361455243847901,0.016153076084267855,1.8215315181842374e-07,4.5009029280135503e-08,4.0602034844000023e-09,1.3555742623899026e-06,1.1564221561257355e-13,9.8599931777448013e-11,6.5712978078812689e-09,4.1666082755203879e-06,1.2379659265602394e-10,1.1414835666556751e-09,1.761412475689424e-10,1.1497077969766932e-11,1.1331076852715304e-14
1.6971435699601956e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.17349015695337203,0.096758550784060079,0.091909988814797727,1.1913274555062492e-07,9.324623000048452e-06,1.9125003778671614e-13,1.0069031894897749e-06,2.831950707318723e-09,2.4836767629463365e-29,2.1208643679469015e-10,8.4056044201363319e-31,1.5684196164771007e-18,4.3959734800797817e-22,3.391794826805264e-09,6.6991617263244319e-26,8.5582040460728729e-24,7.3808327962971312e-14,2.52441226532045e-26,0.0032359513861948633,0.016163873384298734,1.8225678310219936e-07,4.5030704990138277e-08,4.0596123595529907e-09,1.3570713092350742e-06,1.1570868528187893e-13,9.8587439922345759e-11,6.5709803909765068e-09,4.1721324701048886e-06,1.2402156630518773e-10,1.1434813254364644e-09,1.7653665729369973e-10,1.1519894251110614e-11,1.1345139961547005e-14
1.6984383715163336e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1734795485814114,0.096758737114731416,0.091904579481672438,1.1944214313121626e-07,9.3384764301509115e-06,1.9131775669272462e-13,1.0087170741688593e-06,2.8376443254066356e-09,2.4884201914170861e-29,2.1236332741900575e-10,8.4572180964984446e-31,1.5686952757693962e-18,4.4135392996464447e-22,3.3979637516956393e-09,6.7137877700031775e-26,8.5808923202115158e-24,7.3887872197473057e-14,2.536560951034323e-26,0.003235757281720182,0.016174668709418884,1.8236036964114382e-07,4.5052378879265899e-08,4.0590217578949894e-09,1.3585688759354226e-06,1.1577512713004566e-13,9.8574958300694778e-11,6.57066290821457e-09,4.1776592352669309e-06,1.2424677239267182e-10,1.1454806880118576e-09,1.769326059114538e-10,1.1542735062948621e-11,1.1359208735875624e-14
