Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),H2X(49)
2.6855368403295197e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,1.1732822730367343e-68,3.45257057209478e-40,9.661352576513144e-28,1.5127266340289182e-50,1.4446980805044012e-39,2.5436268178282534e-87,2.7308056900116391e-18,6.2063712546564404e-82,2.7308056732255068e-18,9.3129642630006085e-56,4.9153040054707793e-47,6.1112486281458965e-72,3.6926990208270006e-73,2.1871276856133025e-35,1.1565718088788039e-64,1.082998562194435e-11,5.2071533347346104e-13,2.007096223441822e-16,2.0071429206061974e-16,1.9369242362093701e-21,2.6502624640104673e-22,3.4237971993566179e-25,5.9504723762141864e-25,4.6204226799210116e-35,7.7376375689509714e-43,7.0734700520829806e-63,1.3386270569698159e-37
5.3710742497986066e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830494,0.02282156769253357,5.4048984590169105e-66,5.5238704782458565e-39,6.7024769766554585e-27,1.7423277520703799e-48,1.155735084652612e-38,1.172226816442101e-84,5.4616119906898018e-18,3.9720010215253616e-80,5.4616119235460607e-18,1.4900451482261986e-54,7.8641063173339606e-46,1.4080411813167147e-69,8.5080356704213576e-71,1.7496358315827055e-34,3.7009586229241303e-63,2.1659973511985275e-11,1.0414307772451067e-12,4.0141488383605709e-16,4.0143441083863546e-16,6.9028701184237409e-21,1.9012965213001756e-21,4.9233814157555601e-24,2.3800921988995142e-24,3.6961704317071838e-34,4.4542508625826988e-41,1.6290878342173017e-60,1.859405033079856e-36
1.0742149068736782e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664456,0.022821567692012854,2.3057466057643359e-63,8.8374144402923324e-38,4.3677576014605294e-26,1.8585403338901292e-46,9.2455031897276753e-38,5.0042573227979051e-82,1.092322468784324e-17,2.5419812150362295e-78,1.0923224419272499e-17,2.3839780657883679e-53,1.2581275831684981e-44,3.0049568206323566e-67,1.8157337006878499e-68,1.3996021808292794e-33,1.1842607292202846e-61,4.3319949210835984e-11,2.0828616646209893e-12,8.0281219715070661e-16,8.0289537046862808e-16,2.2589958514396786e-20,1.2580233384446885e-20,6.5508377717197333e-23,9.5195926031594141e-24,2.9566672143936399e-33,2.3740142817841029e-39,3.4742662683214099e-58,2.4348853360440679e-35
2.148429870661313e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.1186699659433238,0.022821567690971423,8.8321967582024519e-61,1.4137370923539017e-36,2.573262964539282e-25,1.7802878507001456e-44,7.3957972517460978e-37,1.9189572893131076e-79,2.1846450465311175e-17,1.6267402355398824e-76,2.184644939106691e-17,3.8140628243575824e-52,2.0126005506365684e-43,5.7599457558557637e-65,3.4804248326979107e-66,1.1195112516986374e-32,3.7893389873299629e-60,8.6639900283612784e-11,4.1657234387031226e-12,1.6055539885819851e-15,1.6059117825140389e-15,6.5762905621310321e-20,7.4392774209111534e-20,7.8182628610114457e-22,3.8072157758878365e-23,2.3649029316570294e-32,1.1358068626679582e-37,6.652336780796021e-56,2.8934186647300044e-34
4.2968597982365825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668227,0.022821567688888562,2.9886415309974503e-58,2.2611820460396633e-35,1.3472668833071372e-24,1.5065883608337177e-42,5.9156689401576367e-36,6.5024863233951656e-77,4.3692903552686267e-17,1.0409501213285434e-74,4.3692899256023964e-17,6.1015334182609795e-51,3.2188707864695108e-42,9.7555783769051248e-63,5.8947688661167047e-64,8.953362712002292e-32,1.2123993618119465e-58,1.7327980112946804e-10,8.3314469841888985e-12,3.2108262584763704e-15,3.2123571021374468e-15,1.6836414929193901e-19,3.8710795075912977e-19,8.2355353562297261e-21,1.5223894348140926e-22,1.8912331851106347e-31,4.7992575998758606e-36,1.1251210008572745e-53,3.0641557074586198e-33
6.445289725811853e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.11866996577004074,0.0228215676868057,2.356136722971217e-57,8.3212944213478443e-35,3.1355790784014561e-24,8.8775887434621913e-42,1.7560507214369227e-35,5.096312494255608e-76,6.5539358172289924e-17,5.9098936478363041e-74,6.5539349042349246e-17,2.3081579851796025e-50,1.2269852469565336e-41,6.6901032226213257e-62,4.0424675818517941e-63,2.5596543194326325e-31,5.6554551511285528e-58,2.5991970067562487e-10,1.249717052699618e-11,4.8158872432210815e-15,4.8192292959404651e-15,2.765579199843189e-19,8.957756945395614e-19,2.5482848017941563e-20,3.2343480432295233e-22,5.4066132802745455e-31,2.376120002280466e-35,7.7678814757059326e-53,9.5221544217562374e-33
1.0742149580962393e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756274595578,0.11866996559675769,0.022821567682639977,2.4739522887177344e-55,6.3986836761995922e-34,9.5646046595485826e-24,2.5105972343832286e-40,8.2230975220650937e-35,4.4359101449116715e-74,1.0923227353880543e-16,1.5882406205302887e-72,1.0923224830050334e-16,1.8210725450529586e-49,1.0081969822588452e-40,3.2990695983430634e-60,1.9934479850702684e-61,1.1757006127116857e-30,7.5764407536668897e-57,4.3319949456914508e-10,2.0828617601897224e-11,8.0251642946258626e-15,8.0347282119929125e-15,4.9755638526682214e-19,2.6847468872592444e-18,1.2886313209067178e-19,8.9368245735501414e-22,2.4831084152095382e-30,3.9034987579186968e-34,4.6261119033003489e-51,4.8920424919871758e-32
1.4509539444186124e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675625867175,0.11866996544482701,0.022821567678987565,1.34859903861336e-54,1.7050421323880197e-33,1.7393465731840469e-23,9.9527896962883349e-40,1.8545127206828672e-34,2.0682428922659043e-73,1.4754124151614555e-16,6.5584574616591145e-72,1.4754119722477514e-16,4.9458383498546036e-49,2.8485347554830301e-40,1.4346020033999283e-59,8.668514465560045e-61,2.5854276891060233e-30,2.4066927427735951e-56,5.8512730788495577e-10,2.8133442585450766e-11,1.0838339496335271e-14,1.0855369610382081e-14,6.9210498314686886e-19,4.8274884238847951e-18,2.9124950749466812e-19,1.5678982401953498e-21,5.4601885782885792e-30,1.376836532378907e-33,2.3712417605014018e-50,1.1149439989428826e-31
1.8276929307409855e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756242747921,0.11866996529289636,0.022821567675335153,5.4298790474736624e-54,3.8029190103901437e-33,2.7580241735814252e-23,3.1145610970057291e-39,3.5351330879065257e-34,8.6844451209781683e-73,1.8585021453212809e-16,1.964206134020712e-71,1.8585014589030475e-16,1.1210703232929627e-48,6.4440016499386065e-40,5.2247571784319838e-59,3.1570345292539145e-60,4.8413623728262847e-30,6.4103989577830106e-56,7.3705511692349704e-10,3.543826756018994e-11,1.3650819892983079e-14,1.3677501426724492e-14,8.8679126307663388e-19,7.56446863102285e-18,5.5424083506736426e-19,2.4291774305009853e-21,1.0223907847938333e-29,3.6497897646659262e-33,8.1225790555931615e-50,2.141724234635351e-31
2.2044319170633586e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756226824092,0.1186699651409657,0.022821567671682742,1.7241878352708819e-53,7.2488887368134132e-33,3.9959912368791546e-23,7.8674806588599156e-39,5.9676395717770316e-34,2.695154728163235e-72,2.2415919223324513e-16,5.0447790388531521e-71,2.241590943152209e-16,2.1677877146743383e-48,1.2629404021594616e-39,1.4662192870806218e-58,8.8595574021559188e-60,8.0361652607042126e-30,1.4051505919529559e-55,8.8898292198395831e-10,4.2743092526731728e-11,1.6462654229735978e-14,1.6501036641762891e-14,1.0814870960710432e-18,1.0836693335350169e-17,9.2820191395145419e-19,3.4642666021372708e-21,1.6969702800039142e-29,8.2739095820528891e-33,2.3716764760983381e-49,3.6181863783520187e-31
