Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49),COX(50),CHOX(53)
1.770913646351367e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756008204565691,0.11866282873170088,0.022821396010810444,2.9835193920452274e-26,2.9027635116229417e-19,4.2923494446363865e-16,4.4630317521788952e-19,5.3213018960976923e-24,2.9556288761896135e-42,1.8015665658802403e-12,2.4174013706607232e-49,1.8005674849324712e-12,1.8508309541384121e-34,2.4688442844557638e-26,9.0564611974911922e-35,2.7313479846476808e-36,1.7088331234964072e-19,8.6472796212847555e-38,7.1371639219145727e-06,3.4336447925206337e-07,1.2226059072597213e-11,4.9339220646998203e-10,8.4653411318859414e-16,8.3624287533017226e-14,1.2023036677060655e-10,8.3199804227439626e-15,7.3232082806385062e-17,7.1557429921265705e-20,8.1536712363051478e-26,3.2751159322039671e-20,2.0260047505225725e-25,8.9358561747592193e-28
1.8037309392119012e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755994349304719,0.11866269655170904,0.02282139282940307,3.3286925846746125e-26,3.0270755011445691e-19,4.3844978749207756e-16,4.820260387195337e-19,5.436113646894847e-24,3.3230969839148128e-42,1.8349519678290011e-12,2.6192171218914887e-49,1.8339307984271287e-12,1.9302213916809834e-34,2.5657060037778703e-26,9.9781759897173562e-35,3.0070035155701391e-36,1.7748657423851726e-19,9.2031172504117879e-38,7.2693414206869284e-06,3.4972729383701469e-07,1.222674627230882e-11,5.0322872046854355e-10,8.4658169469445547e-16,8.362931812942316e-14,1.2268935508432627e-10,8.4828082540250695e-15,7.7587210255987291e-17,7.3125861501026938e-20,8.9198715284556593e-26,3.4109276701358556e-20,2.208405586973057e-25,9.6600892665757659e-28
1.854812738571144e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755972783484162,0.11866249081279889,0.022821387877385406,3.9306739552404574e-26,3.2259576359444405e-19,4.5283085686845773e-16,5.4184529269645992e-19,5.6148620589304951e-24,3.9704178588591551e-42,1.8869179429022227e-12,2.9582673613588486e-49,1.8858622553855386e-12,2.0571666111852357e-34,2.7202256124010914e-26,1.1561062449145769e-34,3.480005867499956e-36,1.8801972685485057e-19,1.011543285630954e-37,7.4750764499778278e-06,3.5963132889469761e-07,1.2227800947510151e-11,5.1854082684391277e-10,8.4665472009930339e-16,8.3637046890819498e-14,1.2651716703657663e-10,8.736651105204757e-15,8.4703703483106082e-17,7.5571082451279334e-20,1.0222677930886171e-25,3.6280465014016963e-20,2.5169530779968462e-25,1.0873827558972829e-27
1.9058945379303865e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755951218398711,0.11866228508122631,0.022821382925375146,4.619153044451501e-26,3.431408336014533e-19,4.6725792827166187e-16,6.0706750002123801e-19,5.7936567634846163e-24,4.7195873692110982e-42,1.9388837776468633e-12,3.3293362487102821e-49,1.9377934060877709e-12,2.188216160876995e-34,2.8793189012937901e-26,1.3339041102293173e-34,4.0107995188582086e-36,1.9886370813505781e-19,1.1086787838697944e-37,7.6808041413962961e-06,3.6953534914775815e-07,1.2228841714263485e-11,5.338542206648411e-10,8.4672678248759708e-16,8.3644525815143211e-14,1.3034530418981272e-10,8.9909725327127536e-15,9.224177582984267e-17,7.8021011876753117e-20,1.1668801929125597e-25,3.8521495343230928e-20,2.8573458103550947e-25,1.2198423977840872e-27
1.9569763372896292e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755929654048344,0.11866207935699102,0.022821377973372293,5.4034919904554308e-26,3.6434415503237641e-19,4.8173112236414635e-16,6.7800797505835578e-19,5.9724978501907736e-24,5.5830355603521381e-42,1.9908494720387886e-12,3.734386040430345e-49,1.9897242505553829e-12,2.3233709237661453e-34,3.0429950835685265e-26,1.5329640538360182e-34,4.6045255815480947e-36,2.1001910263073892e-19,1.2119060866111823e-37,7.8865244952042944e-06,3.7943935459663212e-07,1.2229872280598445e-11,5.4916889036925735e-10,8.4679813835712243e-16,8.3652185774917044e-14,1.3417376239098132e-10,9.2457725890638926e-15,1.0021344294243625e-16,8.0475638985240013e-20,1.3269043721260054e-25,4.0832571252212282e-20,3.2317534365251429e-25,1.3640416780572608e-27
2.008058136648872e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755908090433034,0.1186618736400928,0.022821373021376837,6.2937457972913231e-26,3.8620712065607156e-19,4.9625056322635297e-16,7.5499088849666461e-19,6.1513855026535484e-24,6.5742937013484028e-42,2.0428150260612993e-12,4.1754376307483491e-49,2.0416547888098141e-12,2.4626317859275475e-34,3.2112634061665621e-26,1.7551410249753869e-34,5.2666204382533095e-36,2.2148649495660869e-19,1.3214131011766817e-37,8.0922375116637804e-06,3.8934334524175509e-07,1.2230895346045321e-11,5.644848280258825e-10,8.4686897488051092e-16,8.3659852457427517e-14,1.3800253910077437e-10,9.5010513282149125e-15,1.0863071293750091e-16,8.2934955668557153e-20,1.5034650886070586e-25,4.3213896838858509e-20,3.6424193785849022e-25,1.5206530017085548e-27
2.0591399360081146e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755886527552753,0.11866166793053133,0.022821368069388781,7.3006926429589985e-26,4.0873112182931718e-19,5.108163773077793e-16,8.3834926130242015e-19,6.3303199693472556e-24,7.7080618489385284e-42,2.0947804397028239e-12,4.6545705700567068e-49,2.093585020872423e-12,2.6059996386385836e-34,3.384133141454104e-26,2.0023952006974606e-34,6.0028245327241524e-36,2.3326646979238776e-19,1.437387775533213e-37,8.2979431910366971e-06,3.9924732108356298e-07,1.2231912914022943e-11,5.7980202792148997e-10,8.4693943090221195e-16,8.366722190665816e-14,1.4183163260568124e-10,9.7568088051675228e-15,1.1750558645922353e-16,8.5398955791091725e-20,1.6977321400648233e-25,4.5665676752143961e-20,4.0916608073777438e-25,1.6903673533888549e-27
2.1102217353673573e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755864965407478,0.11866146222830637,0.022821363117408133,8.4358618762887974e-26,4.3191754893198184e-19,5.2542869284668275e-16,9.2842495920428587e-19,6.5093015475180775e-24,9.0002731295919083e-42,2.1467457129556492e-12,5.1739230823759842e-49,2.1455149467645071e-12,2.7534753795615446e-34,3.5616135823884674e-26,2.2767948637130577e-34,6.819190417065757e-36,2.4535961188373595e-19,1.5600180985689643e-37,8.5036415335849897e-06,4.0915128212249126e-07,1.2232926464627276e-11,5.9512048523368535e-10,8.4700960859258902e-16,8.3674669362175757e-14,1.4566104103634969e-10,1.001304507562358e-14,1.2685005669251763e-16,8.7867634756880271e-20,1.9109206143650322e-25,4.8188116201173496e-20,4.5818686177110492e-25,1.8738942879159913e-27
2.1613035347266e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755843403997182,0.11866125653341768,0.022821358165434881,9.7115584072261466e-26,4.5576779167079198e-19,5.40087639479635e-16,1.0255686879291979e-18,6.6883305723490153e-24,1.0468150800988145e-41,2.1987108458150595e-12,5.7356920807446948e-49,2.1974445665073183e-12,2.9050599135392657e-34,3.7437140390039227e-26,2.5805189003406206e-34,7.7220897273080865e-36,2.577665060429281e-19,1.6894921003662747e-37,8.7093325395705777e-06,4.1905522835897595e-07,1.223393707090869e-11,6.1044019667620598e-10,8.470795823851898e-16,8.368225511113299e-14,1.4949076324544881e-10,1.0269760195850338e-14,1.3667610938211611e-16,9.0340989207513671e-20,2.1442910937041525e-25,5.0781420961269213e-20,5.1155074045402955e-25,2.0719619129392134e-27
2.2123853340858426e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33755821843321837,0.11866105084586497,0.02282135321346903,1.1140902236126792e-25,4.8028323946694454e-19,5.5479334776021778e-16,1.1301399855292195e-18,6.867407403599346e-24,1.2130302212677789e-41,2.2506758382782864e-12,6.3421331924040038e-49,2.2493738801220768e-12,3.0607541535759994e-34,3.9304438338228935e-26,2.9158608320576692e-34,8.7182244291072401e-36,2.7048773714970501e-19,1.8259978526860458e-37,8.9150162092553805e-06,4.2895915979345236e-07,1.2234945542234043e-11,6.2576116007502943e-10,8.4714940841080823e-16,8.368971828081581e-14,1.5332079867050612e-10,1.0526954222690609e-14,1.4699572287041866e-16,9.2819016636710785e-20,2.3991499625946366e-25,5.3445797381464914e-20,5.6951154209973228e-25,2.2853168852335589e-27
