Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CH3OO(84)
6.713837832277469e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,1.4902902675613768e-98,1.3488023435265158e-42,7.5299351273896083e-32,6.4267886084276437e-53,1.8190526701229767e-39,4.1646188372018491e-35,1.4199996849779232e-20,2.0974203965431101e-80,1.4199694096558147e-20,2.3826054260906022e-51,4.2974695343221555e-48,1.7798846708329587e-53,6.7664527347609231e-77,4.1671815840921551e-35,1.064596486208409e-62,2.7074946866445087e-12,1.3017875060811423e-13,5.0177923389451339e-17,3.7186874472629425e-26,5.0177924577429511e-17,7.2188010430914721e-37,4.6112726281180272e-25,5.2448871234782175e-29,1.6829985531508104e-32,2.3738659346986279e-51,2.7693839209108556e-42,4.7509600810454169e-32
1.3427681355950613e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,1.1451345372976041e-96,2.1574328954284906e-41,3.0119997991044248e-31,6.3800404383178712e-52,1.4552435359127111e-38,1.6658790376418783e-34,2.8400611252250417e-20,6.7121287414585296e-79,2.8399400238611288e-20,1.9061634184518286e-50,6.8750537468543127e-47,1.4239330802465596e-52,1.328338810660804e-75,1.6679289763591195e-34,1.7034229400272593e-61,5.4149916667703331e-12,2.6035761156672863e-13,1.0035588785914825e-16,1.4872735686265926e-25,1.0035589261129407e-16,5.7743010698073112e-36,1.8443003825835632e-24,4.1941219001607115e-28,2.6916403392358853e-31,1.5179661130840687e-49,2.2155251375374126e-41,1.9004199396921479e-31
2.6855368403296898e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,2.6862113625141119e-94,3.4507267073730092e-40,1.2048193631747347e-30,2.0929566630866359e-50,1.1641953413578983e-37,6.6637618180564245e-34,5.68036566034585e-20,2.1481219284744293e-77,5.6798812547482464e-20,1.5250550000711055e-49,1.0997196316960206e-45,1.1391857465306189e-51,8.4040549607668261e-74,6.6801571703581414e-34,2.7256917765433453e-60,1.0829985621945032e-11,5.2071533347349426e-13,2.0071181243011095e-16,5.9474779337417993e-25,2.0071183144054208e-16,4.6182525302136444e-35,7.3755256785616969e-24,3.3524361915653785e-27,4.3030328251536163e-30,9.698510892827179e-48,1.7724469313274232e-40,7.6019597676763042e-31
5.371074249798947e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830496,0.02282156769253357,2.167654518286992e-91,5.5181669652291678e-39,4.8194306068160055e-30,2.1860587178604892e-48,9.3135640246023173e-37,2.6656999902809059e-33,1.1361701349030121e-19,6.8755234787982498e-76,1.1359763726428437e-19,1.2202419300511645e-48,1.758625909001689e-44,9.1141094199587007e-51,1.7362346492920502e-71,2.678809617832214e-33,4.361791644234524e-59,2.1659973511986649e-11,1.0414307772451744e-12,4.0142364409831331e-16,2.3776979514387722e-24,4.0142372015481824e-16,3.6927000498535311e-34,2.9488690373179111e-23,2.6773785466979681e-26,6.8734681588759168e-29,6.1861143978099827e-46,1.4179996447684007e-39,3.0410064643082614e-30
1.0742149068737461e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664457,0.022821567692012854,3.443580163881581e-88,8.8200800076136024e-38,1.927894152720096e-29,2.7408644738473188e-46,7.4508505263422523e-36,1.0664359523538262e-32,2.2727279199663592e-19,2.201326856256241e-74,2.2719528709412649e-19,9.7650991708400849e-48,2.8108429996831892e-43,7.2922830243454705e-50,4.3500450539678145e-69,1.076913020288803e-32,6.9810555425214498e-58,4.3319949210838724e-11,2.0828616646211395e-12,8.0284723753983829e-16,9.5004595011921127e-24,8.0284754188417383e-16,2.9511205407365826e-33,1.1784757117495319e-22,2.1346189441671122e-25,1.0961331924743111e-27,3.9325334439442849e-44,1.1344666781201933e-38,1.2165803414857086e-29
2.148429870661449e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.11866996594332382,0.022821567690971423,3.5122660141765091e-85,1.4083919797697613e-36,7.7125485193065416e-29,3.4586763109384768e-44,5.9606782064024226e-35,4.2669909506309006e-32,4.5470060789935155e-19,7.0511124452571404e-73,4.5439058833876421e-19,7.8171410398936028e-47,4.4879092079048166e-42,5.8354183893198546e-49,1.0978260008612884e-66,4.350637836760103e-32,1.1176692784382362e-56,8.6639900283618277e-11,4.1657234387035378e-12,1.605694144843472e-15,3.7919426035433455e-23,1.6056953631713708e-15,2.3560471999712503e-32,4.7053488453817874e-22,1.6961338072815699e-24,1.7423202427995464e-26,2.4832845156662119e-42,9.0768009525973929e-38,4.867742831188246e-29
4.2968597982368547e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668231,0.022821567688888562,3.5710951336366731e-82,2.2444898121498336e-35,3.0857928493100779e-28,4.311057508328906e-42,4.7685385795199193e-34,1.7077939909945601e-31,9.100212749406597e-19,2.2607489922639835e-71,9.0878119716785821e-19,6.2618149075525992e-46,7.1506271382652901e-41,4.6708815373792657e-48,2.7368984102487606e-64,1.7744416327904579e-31,1.7905129909598282e-55,1.7327980112947902e-10,8.3314469841906385e-12,3.2113868411338942e-15,1.5102238798947423e-22,3.2113917221122847e-15,1.8771242928020351e-31,1.8753308837606264e-21,1.3387016482801561e-23,2.7515125685009848e-25,1.5475649335359176e-40,7.2631400054702389e-37,1.9482341872228954e-28
6.445289725812261e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.1186699657700408,0.0228215676868057,2.5915006951798445e-81,8.245477015224627e-35,6.5584425877675336e-28,2.7946456940511363e-41,1.4156592057900386e-33,3.6305274423405777e-31,1.3658069768933494e-18,1.0821879820875266e-70,1.3631718123367743e-18,1.8603428869868435e-45,2.720999837010253e-40,1.3359985157355356e-47,2.0407692626345853e-63,3.820656763381506e-31,6.7779540822131186e-55,2.5991970067564136e-10,1.2497170527000045e-11,4.8170784191082922e-15,3.1996487937986984e-22,4.8170888025169835e-15,5.35478942452546e-31,3.9751196376420221e-21,3.7983109898539418e-23,1.0064054338958501e-24,8.5531724615016258e-40,2.0770824674661187e-36,4.1416676625892085e-28
1.0742149580963071e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756274595578,0.1186699655967578,0.022821567682639977,1.2255238479825447e-78,6.3013441019091966e-34,1.8140163450031125e-27,1.2011601887724398e-39,6.6312346603147726e-33,1.0047785832744968e-30,2.2792385178509049e-18,1.6388714807709764e-69,2.2719530680339226e-18,8.7360955258825101e-45,2.2199017594200981e-39,6.1455615207154855e-47,1.5394163110977397e-61,1.0915483373383074e-30,5.3619600434269284e-54,4.3319949456917274e-10,2.0828617601913974e-11,8.0284571017995132e-15,8.7785506058597955e-22,8.0284858907464261e-15,2.4435236900775474e-30,1.0919685010232874e-20,1.7056451216031969e-22,7.5738504559941472e-24,2.1228139377327847e-38,9.5493312962802055e-36,1.1462398200205804e-27
1.46093234505988e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756258249987,0.11866996544080309,0.022821567678890826,1.1135012321396023e-77,1.730056899052992e-33,3.231164426329439e-27,5.6429891389645575e-39,1.5302231191414559e-32,1.7904459368704602e-30,3.102829440146968e-18,5.9912831768229123e-69,3.0898562186455221e-18,2.0190319569023897e-44,6.4478084734448039e-39,1.3840853362550756e-46,7.903247096012452e-61,1.9850111662524445e-30,1.5065621956079518e-53,5.891513048739933e-10,2.832691996069156e-11,1.0918694302924625e-14,1.5552910906975786e-21,1.0918745665043329e-14,5.4788357761447007e-30,1.9362233844754601e-20,3.790437027674296e-22,2.0648546356676915e-23,8.946388582686983e-38,2.1500211772176207e-35,2.0425188261728849e-27
