Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19)
7.198940127731715e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559707449,0.099999999997735081,0.099999999999669686,4.8035440972858889e-105,1.8885527640500697e-47,7.9760949308800007e-35,3.9824879242562795e-57,3.0536107489550679e-40,2.1476952501287119e-37,3.7275389716475046e-23,3.3741116803856074e-88,3.7256037500229806e-23,1.0718156890636134e-56,4.5779969564278264e-48,9.4046788784317896e-58,3.8671300881672643e-83,2.1756429125542287e-37,9.8931532932000456e-69,2.2649108631656231e-12,6.6064132145800803e-13,1.4972004733814969e-17,9.7864022442304324e-26,1.4972004655303162e-17
1.4397886358085767e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559414889,0.099999999995470157,0.099999999999339367,3.1061358377818581e-103,2.8923141668183514e-46,3.1904538839943787e-34,3.1873160982841489e-56,2.4428910389633306e-39,8.5946096727790111e-37,7.4589515599964302e-23,1.0813166880415196e-86,7.4512106685422938e-23,8.5840806631851675e-56,7.3227726679981415e-47,7.5268738935519092e-57,6.1899009535248667e-82,8.8181313536323621e-37,1.584611767575949e-67,4.5298236447125721e-12,1.321283202928161e-12,2.9944022315790282e-17,3.9134418960223846e-25,2.9944022001855005e-17
2.879577881879386e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558829774,0.099999999990940308,0.099999999998678729,2.0287273963654224e-101,4.5223690023760663e-45,1.2761930658606905e-33,2.5519712581986379e-55,1.9543138356397716e-38,3.4409035312946064e-36,1.4933388112297316e-22,3.4704642691793281e-85,1.4902424536361612e-22,6.8825512172761042e-55,1.1709949553159942e-45,6.026501686116756e-56,9.9118067337104138e-81,3.619625361454967e-36,2.5408410048701645e-66,9.0596492029793786e-12,2.6425669658057106e-12,5.988805794841286e-17,1.5644807827146411e-24,5.9888056693567812e-17
5.759156374021007e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557659538,0.099999999981880597,0.099999999997357439,1.3506466956518818e-99,7.1456547346925737e-44,5.1048619274435491e-33,2.0449652800899525e-54,1.5634515159778496e-37,1.3788084871917917e-35,2.9928706720760776e-22,1.1171237213646097e-83,2.9804852395123013e-22,5.5305231603264894e-54,1.8715178582259366e-44,4.8292027854955722e-55,1.5884370034430894e-79,1.521633285544305e-35,4.0828407345090649e-65,1.8119300300204625e-11,5.2851344913098613e-12,1.1977613108834574e-16,6.2507638267663896e-24,1.1977612607612505e-16
1.1518313358304248e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362555319071,0.099999999963761174,0.099999999994714872,1.2867470653557316e-97,1.1342228153118683e-42,2.0420160153574463e-32,1.6413930084373365e-53,1.2507614648539908e-36,5.5348092368682172e-35,6.0105125964730797e-22,3.624262920601218e-82,5.9609708605136825e-22,4.4637135448343091e-53,2.9878111936667422e-43,3.8761634565255548e-54,2.5496518429106768e-78,6.6749722125373717e-35,6.5887022189738757e-64,3.6238602417421635e-11,1.0570269541314041e-11,2.3955228486696255e-16,2.4945958058150535e-23,2.395522648751779e-16
2.303662732687073e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362550638137,0.099999999927522329,0.099999999989429739,9.7685416340526078e-96,1.8015472591215215e-41,8.1686330428302952e-32,1.3217874811537507e-52,1.0006093896483304e-35,2.2295836647374735e-34,1.2120109265361404e-21,1.1895765275035802e-80,1.1921942299512856e-21,3.6341583547175394e-52,4.7594539675813973e-42,3.1214123037851067e-53,4.1055309316718228e-77,3.1378412800557967e-34,1.0722517009981729e-62,7.2477206342921792e-11,2.1140539637306678e-11,4.7910462241919884e-16,9.9329951755729496e-23,4.7910454290594319e-16
4.607325526400368e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362541276265,0.099999999855044638,0.099999999978859472,8.1892912934766938e-94,2.8531643943000108e-40,3.2679082075308554e-31,1.0713068340825558e-51,8.0048778592305535e-35,9.0436139197693004e-34,2.4636553957732001e-21,4.0017567265512387e-79,2.384388596549686e-21,3.0094758565924748e-51,7.5486224421611596e-41,2.5299001396968252e-52,6.6523315473063681e-76,1.624846793619927e-33,1.7739825913167139e-61,1.4495441295818665e-10,4.2281079813231437e-11,9.5820941750367486e-16,3.9373462648830426e-22,9.5820910303584679e-16
6.910988320113665e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362531914393,0.099999999782566948,0.099999999968289205,4.1448557878491721e-93,1.0830165042329308e-39,6.9450726417385799e-31,3.0860617689814992e-51,2.3764485563046486e-34,1.9401683376530424e-33,3.7450250078908498e-21,1.9419847732942749e-78,3.576583041946652e-21,9.1065210725758558e-51,2.8665001332214094e-40,7.2877609405888004e-52,2.4632762755288227e-75,3.9903472299180021e-33,6.8175058832329984e-61,2.1743161833771596e-10,6.3421619973095683e-11,1.4373143325681462e-15,8.3147519194442875e-22,1.4373136695358321e-15
1.1518313907540258e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362513190653,0.099999999637611581,0.099999999947148671,2.0339352518882532e-91,8.7556210762721158e-39,1.9206267993264333e-30,1.4498906340149425e-50,1.1131792175657e-33,5.4951694856906044e-33,6.4266648630246527e-21,3.2543936629358965e-77,5.9609722479348618e-21,4.5463292009131369e-50,2.3186910989279243e-39,3.4239289824082931e-51,1.9358528695193547e-74,1.4781610751355942e-32,5.7175962279005123e-60,3.6238602415383301e-10,1.057027002286137e-10,2.3955246426170092e-15,2.2624660102682208e-21,2.3955228458445235e-15
1.5531452904652491e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362496881633,0.099999999511350468,0.09999999992873454,1.0227361256008302e-90,2.4354481723524534e-38,3.3593596845021171e-30,3.2069503201369503e-50,2.4968269319108633e-33,9.7541086061552492e-33,8.8522468439821349e-21,1.1836943729697232e-76,8.0378574651444308e-21,1.0564640281736323e-49,6.4508807912926169e-39,7.5732402775472241e-51,5.162681922344907e-74,2.9912970026886575e-32,1.5838833014315912e-59,4.8864629175355401e-10,1.4253097480360054e-10,3.2301591305323626e-15,3.9171958584647405e-21,3.2301560277268471e-15
